Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3040
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x3040
Scaled Tile Size: 48x48
Total Mask: 81.48%, Total Tissue: 18.52%
Tiles: 56x64 = 3584
   300 ( 8.37%) tiles >=80% tissue
   731 (20.40%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
265,5,41,79.90,MEDIUM,1920,192,1968,240,48,48, 659,1.00,0.20,0.7574
266,5,42,85.03,HIGH,1968,192,2016,240,48,48, 262,0.49,1.00,0.7786
267,5,43,62.54,MEDIUM,2016,192,2064,240,48,48,  88,1.00,0.20,0.5335
319,6,39,35.55,MEDIUM,1824,240,1872,288,48,48, 488,1.00,0.20,0.3672
320,6,40,92.06,HIGH,1872,240,1920,288,48,48, 439,1.00,1.00,0.8376
321,6,41,77.13,MEDIUM,1920,240,1968,288,48,48,  59,1.00,0.20,0.6027
322,6,42,73.22,MEDIUM,1968,240,2016,288,48,48,  72,1.00,0.20,0.5941
323,6,43,30.34,MEDIUM,2016,240,2064,288,48,48, 116,1.00,0.20,0.2270
375,7,39,81.38,HIGH,1824,288,1872,336,48,48, 119,1.00,1.00,0.7602
376,7,40,65.15,MEDIUM,1872,288,1920,336,48,48,  48,1.00,0.20,0.5007
377,7,41,71.22,MEDIUM,1920,288,1968,336,48,48,  34,1.00,0.20,0.5096
378,7,42,71.18,MEDIUM,1968,288,2016,336,48,48,   5,1.00,0.20,0.2629
379,7,43,62.28,MEDIUM,2016,288,2064,336,48,48,   8,1.00,0.20,0.2656
380,7,44,46.70,MEDIUM,2064,288,2112,336,48,48,   8,1.00,0.20,0.1745
381,7,45,31.60,MEDIUM,2112,288,2160,336,48,48,   0,1.00,0.20,0.0000
407,8,15,35.07,MEDIUM,672,336,720,384,48,48, 218,1.00,0.20,0.3184
408,8,16,45.96,MEDIUM,720,336,768,384,48,48, 333,1.00,0.20,0.4709
431,8,39,94.57,HIGH,1824,336,1872,384,48,48,  42,1.00,1.00,0.7704
432,8,40,54.64,MEDIUM,1872,336,1920,384,48,48,  17,1.00,0.20,0.3073
433,8,41,81.42,HIGH,1920,336,1968,384,48,48,   2,1.00,1.00,0.3838
434,8,42,70.88,MEDIUM,1968,336,2016,384,48,48,   0,1.00,0.20,0.0349
435,8,43,77.21,MEDIUM,2016,336,2064,384,48,48,   5,1.00,0.20,0.3027
436,8,44,75.78,MEDIUM,2064,336,2112,384,48,48,   2,1.00,0.20,0.1331
437,8,45,72.40,MEDIUM,2112,336,2160,384,48,48,   4,1.00,0.20,0.2503
438,8,46,48.96,MEDIUM,2160,336,2208,384,48,48,   1,1.00,0.20,0.0270
462,9,14,70.53,MEDIUM,624,384,672,432,48,48, 329,1.00,0.20,0.6763
463,9,15,65.10,MEDIUM,672,384,720,432,48,48,  98,1.00,0.20,0.5618
464,9,16,34.24,MEDIUM,720,384,768,432,48,48,  64,1.00,0.20,0.2356
465,9,17,20.27,MEDIUM,768,384,816,432,48,48, 467,1.00,0.20,0.1574
474,9,26,23.57,MEDIUM,1200,384,1248,432,48,48,  50,1.00,0.20,0.1173
475,9,27,92.10,HIGH,1248,384,1296,432,48,48,  22,1.00,1.00,0.7258
476,9,28,91.23,HIGH,1296,384,1344,432,48,48, 536,0.49,1.00,0.8227
487,9,39,97.22,HIGH,1824,384,1872,432,48,48, 233,0.49,1.00,0.8177
488,9,40,85.07,HIGH,1872,384,1920,432,48,48, 192,1.00,1.00,0.7921
