Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4320x2520
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4320x2520
Scaled Tile Size: 48x48
Total Mask: 98.37%, Total Tissue: 1.63%
Tiles: 90x53 = 4770
    50 ( 1.05%) tiles >=80% tissue
    67 ( 1.40%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
402,5,42,35.89,MEDIUM,1968,192,2016,240,48,48,   2,1.00,0.20,0.0394
403,5,43,69.92,MEDIUM,2016,192,2064,240,48,48,   7,1.00,0.20,0.2896
404,5,44,29.38,MEDIUM,2064,192,2112,240,48,48,  10,1.00,0.20,0.0884
456,6,6,32.99,MEDIUM,240,240,288,288,48,48,   3,1.00,0.20,0.0496
492,6,42,52.00,MEDIUM,1968,240,2016,288,48,48,   5,1.00,0.20,0.1495
493,6,43,91.15,HIGH,2016,240,2064,288,48,48,  23,1.00,1.00,0.7252
494,6,44,96.22,HIGH,2064,240,2112,288,48,48,   1,1.00,1.00,0.4238
495,6,45,41.75,MEDIUM,2112,240,2160,288,48,48,   4,1.00,0.20,0.0951
545,7,5,19.92,MEDIUM,192,288,240,336,48,48,   1,1.00,0.20,0.0069
546,7,6,85.03,HIGH,240,288,288,336,48,48,  12,1.00,1.00,0.6502
547,7,7,86.59,HIGH,288,288,336,336,48,48,  12,1.00,1.00,0.6607
548,7,8,51.09,MEDIUM,336,288,384,336,48,48,   2,1.00,0.20,0.0857
582,7,42,59.72,MEDIUM,1968,288,2016,336,48,48,   6,1.00,0.20,0.2206
583,7,43,96.40,HIGH,2016,288,2064,336,48,48,  14,1.00,1.00,0.7131
584,7,44,99.31,HIGH,2064,288,2112,336,48,48,   3,1.00,1.00,0.5762
585,7,45,42.84,MEDIUM,2112,288,2160,336,48,48,   4,1.00,0.20,0.0982
635,8,5,31.16,MEDIUM,192,336,240,384,48,48,   4,1.00,0.20,0.0504
636,8,6,79.38,MEDIUM,240,336,288,384,48,48,  20,1.00,0.20,0.5056
637,8,7,98.18,HIGH,288,336,336,384,48,48,   3,1.00,1.00,0.5506
638,8,8,69.05,MEDIUM,336,336,384,384,48,48,   2,1.00,0.20,0.1346
672,8,42,39.84,MEDIUM,1968,336,2016,384,48,48,   5,1.00,0.20,0.0986
673,8,43,96.40,HIGH,2016,336,2064,384,48,48,  15,1.00,1.00,0.7199
674,8,44,97.57,HIGH,2064,336,2112,384,48,48,   1,1.00,1.00,0.3800
675,8,45,51.04,MEDIUM,2112,336,2160,384,48,48,   3,1.00,0.20,0.1061
725,9,5,41.54,MEDIUM,192,384,240,432,48,48,   5,1.00,0.20,0.1018
726,9,6,86.55,HIGH,240,384,288,432,48,48,  14,1.00,1.00,0.6694
727,9,7,99.00,HIGH,288,384,336,432,48,48,   1,1.00,1.00,0.4456
728,9,8,83.33,HIGH,336,384,384,432,48,48,   5,1.00,1.00,0.5493
762,9,42,32.25,MEDIUM,1968,384,2016,432,48,48,   9,1.00,0.20,0.0964
763,9,43,95.70,HIGH,2016,384,2064,432,48,48,  21,1.00,1.00,0.7395
764,9,44,99.09,HIGH,2064,384,2112,432,48,48,   2,1.00,1.00,0.5348
765,9,45,21.31,MEDIUM,2112,384,2160,432,48,48,   2,1.00,0.20,0.0121
804,9,84,69.31,MEDIUM,3984,384,4032,432,48,48,   5,1.00,0.20,0.2436
805,9,85,31.51,MEDIUM,4032,384,4080,432,48,48,  17,1.00,0.20,0.1273
816,10,6,78.39,MEDIUM,240,432,288,480,48,48,  18,1.00,0.20,0.4812
817,10,7,99.39,HIGH,288,432,336,480,48,48,   3,1.00,1.00,0.5601
818,10,8,74.09,MEDIUM,336,432,384,480,48,48,   2,1.00,0.20,0.1464
853,10,43,74.22,MEDIUM,2016,432,2064,480,48,48,  27,1.00,0.20,0.5047
854,10,44,44.14,MEDIUM,2064,432,2112,480,48,48,   2,1.00,0.20,0.0532
893,10,83,17.93,MEDIUM,3936,432,3984,480,48,48,   3,1.00,0.20,0.0134
894,10,84,91.32,HIGH,3984,432,4032,480,48,48,  15,1.00,1.00,0.6965
895,10,85,96.57,HIGH,4032,432,4080,480,48,48,  20,1.00,1.00,0.7381
896,10,86,26.91,MEDIUM,4080,432,4128,480,48,48,   3,1.00,0.20,0.0308
906,11,6,58.85,MEDIUM,240,480,288,528,48,48,  40,1.00,0.20,0.4323
907,11,7,87.20,HIGH,288,480,336,528,48,48,  12,1.00,1.00,0.6585
908,11,8,33.46,MEDIUM,336,480,384,528,48,48,   1,1.00,0.20,0.0152
983,11,83,37.28,MEDIUM,3936,480,3984,528,48,48,   5,1.00,0.20,0.0895
984,11,84,91.97,HIGH,3984,480,4032,528,48,48,  24,1.00,1.00,0.7307
985,11,85,99.09,HIGH,4032,480,4080,528,48,48,   3,1.00,1.00,0.5717
986,11,86,19.53,MEDIUM,4080,480,4128,528,48,48,   2,1.00,0.20,0.0128
997,12,7,21.96,MEDIUM,288,528,336,576,48,48,  10,1.00,0.20,0.0496
1073,12,83,48.83,MEDIUM,3936,528,3984,576,48,48,   9,1.00,0.20,0.2006
1074,12,84,98.09,HIGH,3984,528,4032,576,48,48,  20,1.00,1.00,0.7460
1075,12,85,94.53,HIGH,4032,528,4080,576,48,48,   1,1.00,1.00,0.3525
1076,12,86,17.62,MEDIUM,4080,528,4128,576,48,48,   2,1.00,0.20,0.0105
1163,13,83,39.71,MEDIUM,3936,576,3984,624,48,48,  15,1.00,0.20,0.1776
1164,13,84,99.09,HIGH,3984,576,4032,624,48,48,  45,1.00,1.00,0.7899
1165,13,85,85.81,HIGH,4032,576,4080,624,48,48,   5,1.00,1.00,0.5704
1254,14,84,72.61,MEDIUM,3984,624,4032,672,48,48,  41,1.00,0.20,0.5396
1255,14,85,17.49,MEDIUM,4032,624,4080,672,48,48,   3,1.00,0.20,0.0157
2989,34,19,41.88,MEDIUM,864,1584,912,1632,48,48,  29,1.00,0.20,0.2522
3079,35,19,35.98,MEDIUM,864,1632,912,1680,48,48,  15,1.00,0.20,0.1535
3552,40,42,23.05,MEDIUM,1968,1872,2016,1920,48,48,   7,1.00,0.20,0.0454
3642,41,42,86.85,HIGH,1968,1920,2016,1968,48,48,   8,1.00,1.00,0.6210
3643,41,43,68.92,MEDIUM,2016,1920,2064,1968,48,48,  20,1.00,0.20,0.4343
3698,42,8,57.94,MEDIUM,336,1968,384,2016,48,48,   3,1.00,0.20,0.1462
3699,42,9,31.77,MEDIUM,384,1968,432,2016,48,48,   7,1.00,0.20,0.0838
3732,42,42,91.88,HIGH,1968,1968,2016,2016,48,48,  24,1.00,1.00,0.7322
3733,42,43,98.52,HIGH,2016,1968,2064,2016,48,48,   2,1.00,1.00,0.5030
3734,42,44,59.11,MEDIUM,2064,1968,2112,2016,48,48,   7,1.00,0.20,0.2326
3788,43,8,91.23,HIGH,336,2016,384,2064,48,48,   8,1.00,1.00,0.6501
3789,43,9,95.96,HIGH,384,2016,432,2064,48,48,  20,1.00,1.00,0.7372
3790,43,10,64.28,MEDIUM,432,2016,480,2064,48,48,   4,1.00,0.20,0.1837
3821,43,41,40.67,MEDIUM,1920,2016,1968,2064,48,48,  13,1.00,0.20,0.1721
3822,43,42,99.26,HIGH,1968,2016,2016,2064,48,48,  11,1.00,1.00,0.7079
3823,43,43,96.05,HIGH,2016,2016,2064,2064,48,48,   4,1.00,1.00,0.5931
3824,43,44,29.77,MEDIUM,2064,2016,2112,2064,48,48,   3,1.00,0.20,0.0394
3862,43,82,37.59,MEDIUM,3888,2016,3936,2064,48,48,   4,1.00,0.20,0.0705
3863,43,83,23.22,MEDIUM,3936,2016,3984,2064,48,48,  12,1.00,0.20,0.0633
3877,44,7,25.43,MEDIUM,288,2064,336,2112,48,48,   2,1.00,0.20,0.0202
3878,44,8,89.32,HIGH,336,2064,384,2112,48,48,  15,1.00,1.00,0.6886
3879,44,9,99.09,HIGH,384,2064,432,2112,48,48,   3,1.00,1.00,0.5777
3880,44,10,65.10,MEDIUM,432,2064,480,2112,48,48,   2,1.00,0.20,0.1232
3911,44,41,73.48,MEDIUM,1920,2064,1968,2112,48,48,  29,1.00,0.20,0.5070
3912,44,42,98.91,HIGH,1968,2064,2016,2112,48,48,   6,1.00,1.00,0.6480
3913,44,43,92.36,HIGH,2016,2064,2064,2112,48,48,   2,1.00,1.00,0.4748
3914,44,44,16.23,MEDIUM,2064,2064,2112,2112,48,48,  11,1.00,0.20,0.0297
3952,44,82,82.51,HIGH,3888,2064,3936,2112,48,48,   6,1.00,1.00,0.5650
3953,44,83,98.13,HIGH,3936,2064,3984,2112,48,48,  47,1.00,1.00,0.7884
3954,44,84,36.68,MEDIUM,3984,2064,4032,2112,48,48,   7,1.00,0.20,0.1008
3967,45,7,35.94,MEDIUM,288,2112,336,2160,48,48,   5,1.00,0.20,0.0868
3968,45,8,84.98,HIGH,336,2112,384,2160,48,48,  14,1.00,1.00,0.6634
3969,45,9,98.52,HIGH,384,2112,432,2160,48,48,   1,1.00,1.00,0.4427
3970,45,10,64.28,MEDIUM,432,2112,480,2160,48,48,   5,1.00,0.20,0.2221
4001,45,41,70.96,MEDIUM,1920,2112,1968,2160,48,48, 105,1.00,0.20,0.6089
4002,45,42,93.97,HIGH,1968,2112,2016,2160,48,48,   6,1.00,1.00,0.6294
4003,45,43,48.22,MEDIUM,2016,2112,2064,2160,48,48,   3,1.00,0.20,0.1059
4042,45,82,87.76,HIGH,3888,2112,3936,2160,48,48,  28,1.00,1.00,0.7210
4043,45,83,98.74,HIGH,3936,2112,3984,2160,48,48,   3,1.00,1.00,0.5836
4044,45,84,45.18,MEDIUM,3984,2112,4032,2160,48,48,   1,1.00,0.20,0.0471
4057,46,7,28.73,MEDIUM,288,2160,336,2208,48,48,  13,1.00,0.20,0.0939
4058,46,8,93.32,HIGH,336,2160,384,2208,48,48,  22,1.00,1.00,0.7323
4059,46,9,98.65,HIGH,384,2160,432,2208,48,48,   2,1.00,1.00,0.5244
4060,46,10,37.37,MEDIUM,432,2160,480,2208,48,48,   2,1.00,0.20,0.0524
4091,46,41,23.00,MEDIUM,1920,2160,1968,2208,48,48,  27,1.00,0.20,0.0900
4092,46,42,18.23,MEDIUM,1968,2160,2016,2208,48,48,   1,1.00,0.20,0.0075
4131,46,81,24.09,MEDIUM,3840,2160,3888,2208,48,48,   4,1.00,0.20,0.0344
4132,46,82,98.00,HIGH,3888,2160,3936,2208,48,48,  18,1.00,1.00,0.7371
4133,46,83,96.40,HIGH,3936,2160,3984,2208,48,48,   1,1.00,1.00,0.3338
4134,46,84,21.35,MEDIUM,3984,2160,4032,2208,48,48,   1,1.00,0.20,0.0060
4148,47,8,88.98,HIGH,336,2208,384,2256,48,48,  29,1.00,1.00,0.7300
4149,47,9,59.29,MEDIUM,384,2208,432,2256,48,48,   2,1.00,0.20,0.1054
4221,47,81,37.72,MEDIUM,3840,2208,3888,2256,48,48,  16,1.00,0.20,0.1708
4222,47,82,99.00,HIGH,3888,2208,3936,2256,48,48,  43,1.00,1.00,0.7875
4223,47,83,92.80,HIGH,3936,2208,3984,2256,48,48,   4,1.00,1.00,0.5870
4312,48,82,82.07,HIGH,3888,2256,3936,2304,48,48,  44,1.00,1.00,0.7200
4313,48,83,25.56,MEDIUM,3936,2256,3984,2304,48,48,   3,1.00,0.20,0.0274
