Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x4256
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2176x4256
Scaled Tile Size: 48x48
Total Mask: 89.71%, Total Tissue: 10.29%
Tiles: 46x89 = 4094
   240 ( 5.86%) tiles >=80% tissue
   400 ( 9.77%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
122,3,30,17.62,MEDIUM,1392,96,1440,144,48,48,   1,1.00,0.20,0.0034
123,3,31,60.94,MEDIUM,1440,96,1488,144,48,48,   1,1.00,0.20,0.0876
168,4,30,42.01,MEDIUM,1392,144,1440,192,48,48,   1,1.00,0.20,0.0263
169,4,31,95.79,HIGH,1440,144,1488,192,48,48,   2,1.00,1.00,0.4730
170,4,32,88.85,HIGH,1488,144,1536,192,48,48,   1,1.00,1.00,0.3981
213,5,29,28.86,MEDIUM,1344,192,1392,240,48,48,   3,1.00,0.20,0.0391
214,5,30,77.82,MEDIUM,1392,192,1440,240,48,48,   4,1.00,0.20,0.2439
215,5,31,99.48,HIGH,1440,192,1488,240,48,48,   2,1.00,1.00,0.5381
216,5,32,92.45,HIGH,1488,192,1536,240,48,48,   1,1.00,1.00,0.4053
258,6,28,15.71,MEDIUM,1296,240,1344,288,48,48,   0,1.00,0.20,0.0001
259,6,29,90.58,HIGH,1344,240,1392,288,48,48,   3,1.00,1.00,0.5490
260,6,30,90.10,HIGH,1392,240,1440,288,48,48,   4,1.00,1.00,0.5511
261,6,31,99.57,HIGH,1440,240,1488,288,48,48,   2,1.00,1.00,0.5428
262,6,32,47.35,MEDIUM,1488,240,1536,288,48,48,   0,1.00,0.20,0.0000
304,7,28,38.45,MEDIUM,1296,288,1344,336,48,48,   3,1.00,0.20,0.0575
305,7,29,98.48,HIGH,1344,288,1392,336,48,48,   3,1.00,1.00,0.5744
306,7,30,99.65,HIGH,1392,288,1440,336,48,48,   3,1.00,1.00,0.5644
307,7,31,99.35,HIGH,1440,288,1488,336,48,48,   2,0.49,1.00,0.4009
308,7,32,27.47,MEDIUM,1488,288,1536,336,48,48,   2,1.00,0.20,0.0208
350,8,28,72.31,MEDIUM,1296,336,1344,384,48,48,   5,1.00,0.20,0.2557
351,8,29,99.83,HIGH,1344,336,1392,384,48,48,   2,1.00,1.00,0.5332
352,8,30,99.96,HIGH,1392,336,1440,384,48,48,   2,0.49,1.00,0.4287
353,8,31,99.09,HIGH,1440,336,1488,384,48,48,   0,0.49,1.00,0.0573
354,8,32,31.38,MEDIUM,1488,336,1536,384,48,48,   0,1.00,0.20,0.0000
396,9,28,83.12,HIGH,1296,384,1344,432,48,48,   3,1.00,1.00,0.4641
397,9,29,97.48,HIGH,1344,384,1392,432,48,48,   1,1.00,1.00,0.4633
398,9,30,99.83,HIGH,1392,384,1440,432,48,48,   0,0.49,1.00,0.0813
399,9,31,95.18,HIGH,1440,384,1488,432,48,48,   0,1.00,1.00,0.0000
400,9,32,52.78,MEDIUM,1488,384,1536,432,48,48,   0,1.00,0.20,0.0000
420,10,6,16.45,MEDIUM,240,432,288,480,48,48,   0,0.49,0.20,0.0000
432,10,18,25.78,MEDIUM,816,432,864,480,48,48,  15,1.00,0.20,0.0831
433,10,19,29.95,MEDIUM,864,432,912,480,48,48,   4,1.00,0.20,0.0477
441,10,27,27.52,MEDIUM,1248,432,1296,480,48,48,   5,1.00,0.20,0.0501
442,10,28,99.74,HIGH,1296,432,1344,480,48,48,   3,1.00,1.00,0.5552
443,10,29,84.55,HIGH,1344,432,1392,480,48,48,   1,1.00,1.00,0.2505
444,10,30,99.09,HIGH,1392,432,1440,480,48,48,   1,0.49,1.00,0.2159
445,10,31,97.40,HIGH,1440,432,1488,480,48,48,   0,0.49,1.00,0.0000
446,10,32,74.13,MEDIUM,1488,432,1536,480,48,48,   0,1.00,0.20,0.0000
