Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4023x2661
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4023x2661
Scaled Tile Size: 48x48
Total Mask: 88.86%, Total Tissue: 11.14%
Tiles: 84x56 = 4704
   137 ( 2.91%) tiles >=80% tissue
   824 (17.52%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1538,19,26,18.36,MEDIUM,1200,864,1248,912,48,48, 103,1.00,0.20,0.0939
1627,20,31,15.41,MEDIUM,1440,912,1488,960,48,48,  61,1.00,0.20,0.0578
1635,20,39,21.70,MEDIUM,1824,912,1872,960,48,48,  26,1.00,0.20,0.0788
1638,20,42,25.95,MEDIUM,1968,912,2016,960,48,48,  27,1.00,0.20,0.1112
1646,20,50,21.40,MEDIUM,2352,912,2400,960,48,48,  42,1.00,0.20,0.0931
1647,20,51,25.22,MEDIUM,2400,912,2448,960,48,48,  35,1.00,0.20,0.1170
1648,20,52,18.40,MEDIUM,2448,912,2496,960,48,48,  45,1.00,0.20,0.0725
1649,20,53,13.41,MEDIUM,2496,912,2544,960,48,48,  16,0.49,0.20,0.0167
1660,20,64,38.89,MEDIUM,3024,912,3072,960,48,48,  41,1.00,0.20,0.2520
1661,20,65,34.55,MEDIUM,3072,912,3120,960,48,48,  64,1.00,0.20,0.2382
1668,20,72,15.06,MEDIUM,3408,912,3456,960,48,48,  22,0.49,0.20,0.0254
1669,20,73,31.16,MEDIUM,3456,912,3504,960,48,48,  70,1.00,0.20,0.2081
1670,20,74,13.41,MEDIUM,3504,912,3552,960,48,48,  15,0.49,0.20,0.0157
1707,21,27,34.42,MEDIUM,1248,960,1296,1008,48,48,   3,1.00,0.20,0.0522
1708,21,28,41.97,MEDIUM,1296,960,1344,1008,48,48,   6,1.00,0.20,0.1279
1709,21,29,22.79,MEDIUM,1344,960,1392,1008,48,48,  14,1.00,0.20,0.0652
1710,21,30,45.40,MEDIUM,1392,960,1440,1008,48,48,  11,1.00,0.20,0.1904
1711,21,31,52.30,MEDIUM,1440,960,1488,1008,48,48,  41,1.00,0.20,0.3777
1712,21,32,31.94,MEDIUM,1488,960,1536,1008,48,48,  12,1.00,0.20,0.1120
1713,21,33,15.10,MEDIUM,1536,960,1584,1008,48,48,  21,0.49,0.20,0.0246
1716,21,36,42.32,MEDIUM,1680,960,1728,1008,48,48,  44,1.00,0.20,0.2908
