Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2048x3616
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2048x3616
Scaled Tile Size: 48x48
Total Mask: 89.18%, Total Tissue: 10.82%
Tiles: 43x76 = 3268
   213 ( 6.52%) tiles >=80% tissue
   275 ( 8.41%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
70,2,27,27.52,MEDIUM,1248,48,1296,96,48,48,   1,1.00,0.20,0.0106
111,3,25,15.02,MEDIUM,1152,96,1200,144,48,48,   0,1.00,0.20,0.0009
112,3,26,86.76,HIGH,1200,96,1248,144,48,48,   1,1.00,1.00,0.3848
113,3,27,83.55,HIGH,1248,96,1296,144,48,48,   3,1.00,1.00,0.5120
154,4,25,74.31,MEDIUM,1152,144,1200,192,48,48,   2,1.00,0.20,0.1634
155,4,26,71.83,MEDIUM,1200,144,1248,192,48,48,   1,1.00,0.20,0.0724
156,4,27,76.56,MEDIUM,1248,144,1296,192,48,48,   2,1.00,0.20,0.1721
157,4,28,56.77,MEDIUM,1296,144,1344,192,48,48, 269,1.00,0.20,0.5634
196,5,24,86.98,HIGH,1104,192,1152,240,48,48,   2,1.00,1.00,0.4832
197,5,25,73.48,MEDIUM,1152,192,1200,240,48,48,   3,1.00,0.20,0.1947
198,5,26,58.42,MEDIUM,1200,192,1248,240,48,48,   3,1.00,0.20,0.1431
199,5,27,54.95,MEDIUM,1248,192,1296,240,48,48,   2,1.00,0.20,0.0913
200,5,28,13.76,MEDIUM,1296,192,1344,240,48,48,   0,1.00,0.20,0.0000
201,5,29,43.97,MEDIUM,1344,192,1392,240,48,48,  17,1.00,0.20,0.2211
238,6,23,50.56,MEDIUM,1056,240,1104,288,48,48,   2,1.00,0.20,0.0764
239,6,24,96.74,HIGH,1104,240,1152,288,48,48,   8,0.49,1.00,0.5918
240,6,25,85.89,HIGH,1152,240,1200,288,48,48,   1,1.00,1.00,0.3584
