Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 768x928
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 768x928
Scaled Tile Size: 48x48
Total Mask: 79.49%, Total Tissue: 20.51%
Tiles: 16x20 = 320
    53 (16.56%) tiles >=80% tissue
    24 ( 7.50%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
53,4,5,29.69,MEDIUM,192,144,240,192,48,48,   1,1.00,0.20,0.0172
54,4,6,17.27,MEDIUM,240,144,288,192,48,48,   0,1.00,0.20,0.0025
56,4,8,18.92,MEDIUM,336,144,384,192,48,48,   0,1.00,0.20,0.0032
57,4,9,21.96,MEDIUM,384,144,432,192,48,48,   0,1.00,0.20,0.0000
69,5,5,99.05,HIGH,192,192,240,240,48,48,   2,1.00,1.00,0.5203
70,5,6,99.31,HIGH,240,192,288,240,48,48,   1,0.49,1.00,0.2685
71,5,7,97.61,HIGH,288,192,336,240,48,48,   0,1.00,1.00,0.1919
72,5,8,99.74,HIGH,336,192,384,240,48,48,   0,0.49,1.00,0.1474
73,5,9,99.13,HIGH,384,192,432,240,48,48,   1,0.49,1.00,0.2055
74,5,10,85.29,HIGH,432,192,480,240,48,48,   2,1.00,1.00,0.4305
75,5,11,61.63,MEDIUM,480,192,528,240,48,48,   0,1.00,0.20,0.0017
84,6,4,22.40,MEDIUM,144,240,192,288,48,48,   0,1.00,0.20,0.0031
85,6,5,98.57,HIGH,192,240,240,288,48,48,   1,1.00,1.00,0.4517
86,6,6,98.70,HIGH,240,240,288,288,48,48,   0,1.00,1.00,0.2304
87,6,7,99.48,HIGH,288,240,336,288,48,48,   0,0.49,1.00,0.1218
88,6,8,94.92,HIGH,336,240,384,288,48,48,   0,1.00,1.00,0.1850
89,6,9,99.87,HIGH,384,240,432,288,48,48,   0,0.49,1.00,0.1193
90,6,10,94.88,HIGH,432,240,480,288,48,48,   0,1.00,1.00,0.2174
91,6,11,81.34,HIGH,480,240,528,288,48,48,   1,1.00,1.00,0.2673
101,7,5,69.88,MEDIUM,192,288,240,336,48,48,   0,1.00,0.20,0.0060
102,7,6,99.78,HIGH,240,288,288,336,48,48,   1,0.49,1.00,0.2713
103,7,7,98.57,HIGH,288,288,336,336,48,48,   1,1.00,1.00,0.2997
104,7,8,96.48,HIGH,336,288,384,336,48,48,   0,1.00,1.00,0.1551
105,7,9,93.45,HIGH,384,288,432,336,48,48,   0,1.00,1.00,0.1551
106,7,10,99.22,HIGH,432,288,480,336,48,48,   1,0.49,1.00,0.2316
107,7,11,93.19,HIGH,480,288,528,336,48,48,   2,1.00,1.00,0.5078
108,7,12,44.75,MEDIUM,528,288,576,336,48,48,   0,1.00,0.20,0.0000
117,8,5,61.28,MEDIUM,192,336,240,384,48,48,   0,1.00,0.20,0.0266
118,8,6,99.57,HIGH,240,336,288,384,48,48,   1,1.00,1.00,0.3189
119,8,7,99.22,HIGH,288,336,336,384,48,48,   2,0.49,1.00,0.3708
120,8,8,97.27,HIGH,336,336,384,384,48,48,   0,1.00,1.00,0.1596
121,8,9,95.31,HIGH,384,336,432,384,48,48,   1,1.00,1.00,0.2739
122,8,10,99.91,HIGH,432,336,480,384,48,48,   0,0.16,1.00,0.0349
123,8,11,99.00,HIGH,480,336,528,384,48,48,   1,0.49,1.00,0.2594
124,8,12,96.61,HIGH,528,336,576,384,48,48,   0,1.00,1.00,0.0709
133,9,5,60.59,MEDIUM,192,384,240,432,48,48,   0,1.00,0.20,0.0313
134,9,6,99.74,HIGH,240,384,288,432,48,48,   1,1.00,1.00,0.3521
