Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3488
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2560x3488
Scaled Tile Size: 48x48
Total Mask: 70.97%, Total Tissue: 29.03%
Tiles: 54x73 = 3942
   896 (22.73%) tiles >=80% tissue
   538 (13.65%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
181,4,19,16.67,MEDIUM,864,144,912,192,48,48,   0,1.00,0.20,0.0000
232,5,16,35.03,MEDIUM,720,192,768,240,48,48,   0,1.00,0.20,0.0109
233,5,17,58.29,MEDIUM,768,192,816,240,48,48,   0,1.00,0.20,0.0000
234,5,18,70.05,MEDIUM,816,192,864,240,48,48,   1,1.00,0.20,0.1055
235,5,19,76.78,MEDIUM,864,192,912,240,48,48,   0,1.00,0.20,0.0000
236,5,20,77.52,MEDIUM,912,192,960,240,48,48,   2,1.00,0.20,0.1880
237,5,21,63.28,MEDIUM,960,192,1008,240,48,48,   0,1.00,0.20,0.0000
238,5,22,84.85,HIGH,1008,192,1056,240,48,48,   0,1.00,1.00,0.0000
239,5,23,49.31,MEDIUM,1056,192,1104,240,48,48,   0,1.00,0.20,0.0000
246,5,30,46.05,MEDIUM,1392,192,1440,240,48,48,   1,1.00,0.20,0.0222
247,5,31,29.95,MEDIUM,1440,192,1488,240,48,48,   0,1.00,0.20,0.0000
283,6,13,33.85,MEDIUM,576,240,624,288,48,48,  44,1.00,0.20,0.2076
284,6,14,32.73,MEDIUM,624,240,672,288,48,48,   0,1.00,0.20,0.0000
285,6,15,63.28,MEDIUM,672,240,720,288,48,48,   0,1.00,0.20,0.0102
286,6,16,72.74,MEDIUM,720,240,768,288,48,48,   0,1.00,0.20,0.0256
287,6,17,86.28,HIGH,768,240,816,288,48,48,   0,1.00,1.00,0.0000
288,6,18,86.37,HIGH,816,240,864,288,48,48,   0,1.00,1.00,0.0000
