Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3808x2520
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3808x2520
Scaled Tile Size: 48x48
Total Mask: 89.43%, Total Tissue: 10.57%
Tiles: 80x53 = 4240
   278 ( 6.56%) tiles >=80% tissue
   394 ( 9.29%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
48,1,48,61.02,MEDIUM,2256,0,2304,48,48,48,4344,1.00,0.20,0.7160
49,1,49,20.05,MEDIUM,2304,0,2352,48,48,48,3294,1.00,0.20,0.2070
126,2,46,23.48,MEDIUM,2160,48,2208,96,48,48,1278,1.00,0.20,0.2342
127,2,47,44.36,MEDIUM,2208,48,2256,96,48,48,4467,1.00,0.20,0.5721
128,2,48,82.86,HIGH,2256,48,2304,96,48,48,3050,0.49,1.00,0.8338
129,2,49,60.72,MEDIUM,2304,48,2352,96,48,48,2206,1.00,0.20,0.6919
130,2,50,21.40,MEDIUM,2352,48,2400,96,48,48,4943,1.00,0.20,0.2400
205,3,45,36.33,MEDIUM,2112,96,2160,144,48,48,1828,1.00,0.20,0.4380
207,3,47,86.41,HIGH,2208,96,2256,144,48,48,2901,1.00,1.00,0.8562
208,3,48,93.97,HIGH,2256,96,2304,144,48,48,1302,0.49,1.00,0.8508
209,3,49,92.93,HIGH,2304,96,2352,144,48,48,2916,0.49,1.00,0.8625
210,3,50,88.85,HIGH,2352,96,2400,144,48,48,4344,0.49,1.00,0.8581
211,3,51,19.27,MEDIUM,2400,96,2448,144,48,48,2203,1.00,0.20,0.1845
285,4,45,45.92,MEDIUM,2112,144,2160,192,48,48,1404,1.00,0.20,0.5433
286,4,46,64.50,MEDIUM,2160,144,2208,192,48,48,3947,1.00,0.20,0.7351
287,4,47,97.18,HIGH,2208,144,2256,192,48,48,4077,0.49,1.00,0.8777
