Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3824x7808
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3824x7808
Scaled Tile Size: 48x48
Total Mask: 97.02%, Total Tissue: 2.98%
Tiles: 80x163 = 13040
    14 ( 0.11%) tiles >=80% tissue
   908 ( 6.96%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1439,18,79,29.25,MEDIUM,3744,816,3792,864,48,48,   0,1.00,0.20,0.0000
1475,19,35,18.40,MEDIUM,1632,864,1680,912,48,48,   0,1.00,0.20,0.0001
1554,20,34,39.28,MEDIUM,1584,912,1632,960,48,48,   0,1.00,0.20,0.0000
1556,20,36,60.46,MEDIUM,1680,912,1728,960,48,48,   0,1.00,0.20,0.0011
1557,20,37,25.39,MEDIUM,1728,912,1776,960,48,48,   0,1.00,0.20,0.0000
1558,20,38,17.14,MEDIUM,1776,912,1824,960,48,48,   0,1.00,0.20,0.0000
1599,20,79,25.13,MEDIUM,3744,912,3792,960,48,48,   0,1.00,0.20,0.0000
1619,21,19,83.77,HIGH,864,960,912,1008,48,48,   0,1.00,1.00,0.0634
1620,21,20,72.44,MEDIUM,912,960,960,1008,48,48,   0,1.00,0.20,0.0016
1621,21,21,17.97,MEDIUM,960,960,1008,1008,48,48,   0,1.00,0.20,0.0000
1632,21,32,18.84,MEDIUM,1488,960,1536,1008,48,48,   0,1.00,0.20,0.0000
1633,21,33,29.95,MEDIUM,1536,960,1584,1008,48,48,   1,1.00,0.20,0.0117
1634,21,34,16.54,MEDIUM,1584,960,1632,1008,48,48,   0,1.00,0.20,0.0000
1635,21,35,29.99,MEDIUM,1632,960,1680,1008,48,48,   0,1.00,0.20,0.0000
1636,21,36,22.53,MEDIUM,1680,960,1728,1008,48,48,   0,1.00,0.20,0.0000
1637,21,37,52.47,MEDIUM,1728,960,1776,1008,48,48,   0,1.00,0.20,0.0000
1638,21,38,41.71,MEDIUM,1776,960,1824,1008,48,48,   0,1.00,0.20,0.0000
1639,21,39,34.38,MEDIUM,1824,960,1872,1008,48,48,   0,1.00,0.20,0.0000
1651,21,51,22.79,MEDIUM,2400,960,2448,1008,48,48,   0,1.00,0.20,0.0000
1652,21,52,27.47,MEDIUM,2448,960,2496,1008,48,48,   0,1.00,0.20,0.0019
1653,21,53,36.94,MEDIUM,2496,960,2544,1008,48,48,   0,1.00,0.20,0.0023
1654,21,54,27.99,MEDIUM,2544,960,2592,1008,48,48,   0,1.00,0.20,0.0070
1655,21,55,22.57,MEDIUM,2592,960,2640,1008,48,48,   0,1.00,0.20,0.0003
1698,22,18,57.07,MEDIUM,816,1008,864,1056,48,48,   0,1.00,0.20,0.0025
1699,22,19,73.18,MEDIUM,864,1008,912,1056,48,48,   0,1.00,0.20,0.0000
1700,22,20,85.98,HIGH,912,1008,960,1056,48,48,   0,1.00,1.00,0.0000
1701,22,21,51.17,MEDIUM,960,1008,1008,1056,48,48,   0,1.00,0.20,0.0000
1702,22,22,40.76,MEDIUM,1008,1008,1056,1056,48,48,   0,1.00,0.20,0.0000
1703,22,23,26.87,MEDIUM,1056,1008,1104,1056,48,48,   0,1.00,0.20,0.0000
1711,22,31,29.30,MEDIUM,1440,1008,1488,1056,48,48,   0,1.00,0.20,0.0006
1712,22,32,48.22,MEDIUM,1488,1008,1536,1056,48,48,   0,1.00,0.20,0.0000
1713,22,33,35.16,MEDIUM,1536,1008,1584,1056,48,48,   0,1.00,0.20,0.0000
1714,22,34,33.90,MEDIUM,1584,1008,1632,1056,48,48,   0,1.00,0.20,0.0000
1715,22,35,35.72,MEDIUM,1632,1008,1680,1056,48,48,   0,1.00,0.20,0.0000
1716,22,36,36.72,MEDIUM,1680,1008,1728,1056,48,48,   0,1.00,0.20,0.0000
1717,22,37,45.23,MEDIUM,1728,1008,1776,1056,48,48,   0,1.00,0.20,0.0000
1718,22,38,38.11,MEDIUM,1776,1008,1824,1056,48,48,   0,1.00,0.20,0.0000
1719,22,39,28.04,MEDIUM,1824,1008,1872,1056,48,48,   0,1.00,0.20,0.0000
1720,22,40,51.17,MEDIUM,1872,1008,1920,1056,48,48,   0,1.00,0.20,0.0000
1721,22,41,40.76,MEDIUM,1920,1008,1968,1056,48,48,   7,1.00,0.20,0.1293
1728,22,48,23.61,MEDIUM,2256,1008,2304,1056,48,48,   0,1.00,0.20,0.0011
1729,22,49,62.37,MEDIUM,2304,1008,2352,1056,48,48,   0,1.00,0.20,0.0000
1730,22,50,69.79,MEDIUM,2352,1008,2400,1056,48,48,   0,1.00,0.20,0.0000
1731,22,51,87.85,HIGH,2400,1008,2448,1056,48,48,   0,1.00,1.00,0.0000
1732,22,52,85.72,HIGH,2448,1008,2496,1056,48,48,   0,1.00,1.00,0.0000
1733,22,53,58.72,MEDIUM,2496,1008,2544,1056,48,48,   0,1.00,0.20,0.0000
1734,22,54,63.98,MEDIUM,2544,1008,2592,1056,48,48,   0,1.00,0.20,0.0374
1735,22,55,85.55,HIGH,2592,1008,2640,1056,48,48,   0,1.00,1.00,0.0000
1736,22,56,42.97,MEDIUM,2640,1008,2688,1056,48,48,   1,1.00,0.20,0.0173
1778,23,18,83.98,HIGH,816,1056,864,1104,48,48,   0,1.00,1.00,0.2212
1779,23,19,81.34,HIGH,864,1056,912,1104,48,48,   0,1.00,1.00,0.0750
1780,23,20,75.52,MEDIUM,912,1056,960,1104,48,48,   0,1.00,0.20,0.0000
1781,23,21,15.36,MEDIUM,960,1056,1008,1104,48,48,   0,1.00,0.20,0.0000
