Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1488x1664
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1488x1664
Scaled Tile Size: 48x48
Total Mask: 65.76%, Total Tissue: 34.24%
Tiles: 31x35 = 1085
   338 (31.15%) tiles >=80% tissue
    89 ( 8.20%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
73,3,11,36.37,MEDIUM,480,96,528,144,48,48,  47,1.00,0.20,0.2370
74,3,12,55.51,MEDIUM,528,96,576,144,48,48,  47,1.00,0.20,0.4196
75,3,13,49.26,MEDIUM,576,96,624,144,48,48,  58,1.00,0.20,0.3808
76,3,14,57.77,MEDIUM,624,96,672,144,48,48,  14,1.00,0.20,0.3069
77,3,15,47.83,MEDIUM,672,96,720,144,48,48, 121,1.00,0.20,0.4249
78,3,16,45.05,MEDIUM,720,96,768,144,48,48,  60,1.00,0.20,0.3425
79,3,17,54.38,MEDIUM,768,96,816,144,48,48,  34,1.00,0.20,0.3793
80,3,18,29.69,MEDIUM,816,96,864,144,48,48,  19,1.00,0.20,0.1206
81,3,19,21.31,MEDIUM,864,96,912,144,48,48,   9,1.00,0.20,0.0439
101,4,8,62.02,MEDIUM,336,144,384,192,48,48, 197,1.00,0.20,0.5874
102,4,9,75.78,MEDIUM,384,144,432,192,48,48, 162,1.00,0.20,0.6683
103,4,10,98.48,HIGH,432,144,480,192,48,48, 208,1.00,1.00,0.8382
104,4,11,99.61,HIGH,480,144,528,192,48,48, 255,1.00,1.00,0.8462
105,4,12,99.44,HIGH,528,144,576,192,48,48, 147,1.00,1.00,0.8317
106,4,13,99.26,HIGH,576,144,624,192,48,48,  39,1.00,1.00,0.7848
107,4,14,99.48,HIGH,624,144,672,192,48,48,  48,1.00,1.00,0.7939
108,4,15,99.22,HIGH,672,144,720,192,48,48, 121,1.00,1.00,0.8254
109,4,16,99.48,HIGH,720,144,768,192,48,48, 232,1.00,1.00,0.8436
110,4,17,99.05,HIGH,768,144,816,192,48,48, 180,1.00,1.00,0.8360
111,4,18,99.18,HIGH,816,144,864,192,48,48,  89,1.00,1.00,0.8156
112,4,19,98.31,HIGH,864,144,912,192,48,48,  46,1.00,1.00,0.7879
113,4,20,82.38,HIGH,912,144,960,192,48,48,  16,1.00,1.00,0.6578
114,4,21,28.86,MEDIUM,960,144,1008,192,48,48,  32,1.00,0.20,0.1423
115,4,22,55.69,MEDIUM,1008,144,1056,192,48,48,  56,1.00,0.20,0.4369
116,4,23,72.01,MEDIUM,1056,144,1104,192,48,48, 106,1.00,0.20,0.6168
