Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 97.14%, Total Tissue: 2.86%
Tiles: 70x200 = 14000
   359 ( 2.56%) tiles >=80% tissue
    95 ( 0.68%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
3469,50,39,23.57,MEDIUM,1824,2352,1872,2400,48,48, 109,1.00,0.20,0.1480
3470,50,40,63.85,MEDIUM,1872,2352,1920,2400,48,48,  37,1.00,0.20,0.4654
3471,50,41,81.60,HIGH,1920,2352,1968,2400,48,48,  11,1.00,1.00,0.6251
3472,50,42,83.90,HIGH,1968,2352,2016,2400,48,48,   8,1.00,1.00,0.6068
3473,50,43,75.17,MEDIUM,2016,2352,2064,2400,48,48,  14,1.00,0.20,0.4282
3474,50,44,56.38,MEDIUM,2064,2352,2112,2400,48,48, 842,1.00,0.20,0.6200
3475,50,45,25.61,MEDIUM,2112,2352,2160,2400,48,48,2127,1.00,0.20,0.2842
3537,51,37,23.48,MEDIUM,1728,2400,1776,2448,48,48, 314,1.00,0.20,0.1865
3538,51,38,92.66,HIGH,1776,2400,1824,2448,48,48,  51,1.00,1.00,0.7723
3539,51,39,95.05,HIGH,1824,2400,1872,2448,48,48,  12,1.00,1.00,0.7009
3540,51,40,95.36,HIGH,1872,2400,1920,2448,48,48,  21,1.00,1.00,0.7373
3541,51,41,95.70,HIGH,1920,2400,1968,2448,48,48,  40,1.00,1.00,0.7730
3542,51,42,98.31,HIGH,1968,2400,2016,2448,48,48,  80,1.00,1.00,0.8096
3543,51,43,94.14,HIGH,2016,2400,2064,2448,48,48,  51,1.00,1.00,0.7779
3544,51,44,93.06,HIGH,2064,2400,2112,2448,48,48, 520,1.00,1.00,0.8442
3545,51,45,82.55,HIGH,2112,2400,2160,2448,48,48, 282,1.00,1.00,0.7937
3546,51,46,33.20,MEDIUM,2160,2400,2208,2448,48,48,  76,1.00,0.20,0.2352
3607,52,37,53.56,MEDIUM,1728,2448,1776,2496,48,48,1298,1.00,0.20,0.6147
3608,52,38,99.35,HIGH,1776,2448,1824,2496,48,48,  22,1.00,1.00,0.7559
3609,52,39,99.05,HIGH,1824,2448,1872,2496,48,48,  12,1.00,1.00,0.7171
3610,52,40,97.96,HIGH,1872,2448,1920,2496,48,48,  15,1.00,1.00,0.7250
3611,52,41,97.83,HIGH,1920,2448,1968,2496,48,48,   4,1.00,1.00,0.5948
3612,52,42,97.40,HIGH,1968,2448,2016,2496,48,48,   4,1.00,1.00,0.6076
3613,52,43,94.88,HIGH,2016,2448,2064,2496,48,48,   4,1.00,1.00,0.6047
3614,52,44,95.62,HIGH,2064,2448,2112,2496,48,48,  11,1.00,1.00,0.6959
3615,52,45,92.19,HIGH,2112,2448,2160,2496,48,48,  85,1.00,1.00,0.7909
3616,52,46,83.16,HIGH,2160,2448,2208,2496,48,48, 248,1.00,1.00,0.7924
3617,52,47,57.81,MEDIUM,2208,2448,2256,2496,48,48,2376,1.00,0.20,0.6733
3678,53,38,79.90,MEDIUM,1776,2496,1824,2544,48,48, 609,1.00,0.20,0.7544
3679,53,39,99.52,HIGH,1824,2496,1872,2544,48,48,  24,1.00,1.00,0.7621
3680,53,40,98.96,HIGH,1872,2496,1920,2544,48,48,  11,1.00,1.00,0.7109
3681,53,41,97.48,HIGH,1920,2496,1968,2544,48,48,  14,1.00,1.00,0.7178
3682,53,42,98.48,HIGH,1968,2496,2016,2544,48,48,  11,1.00,1.00,0.7038
3683,53,43,94.53,HIGH,2016,2496,2064,2544,48,48,   9,1.00,1.00,0.6711
3684,53,44,96.74,HIGH,2064,2496,2112,2544,48,48,  13,1.00,1.00,0.7134
3685,53,45,94.18,HIGH,2112,2496,2160,2544,48,48,  12,1.00,1.00,0.6962
3686,53,46,96.70,HIGH,2160,2496,2208,2544,48,48,   7,1.00,1.00,0.6581
3687,53,47,90.23,HIGH,2208,2496,2256,2544,48,48,  17,1.00,1.00,0.7021
3688,53,48,34.29,MEDIUM,2256,2496,2304,2544,48,48,  38,1.00,0.20,0.2027
3749,54,39,74.13,MEDIUM,1824,2544,1872,2592,48,48, 636,1.00,0.20,0.7273
3750,54,40,99.35,HIGH,1872,2544,1920,2592,48,48,  68,1.00,1.00,0.8069
3751,54,41,99.52,HIGH,1920,2544,1968,2592,48,48,  40,1.00,1.00,0.7866
3752,54,42,98.91,HIGH,1968,2544,2016,2592,48,48,   8,1.00,1.00,0.6788
3753,54,43,98.48,HIGH,2016,2544,2064,2592,48,48,   5,1.00,1.00,0.6245
3754,54,44,95.49,HIGH,2064,2544,2112,2592,48,48,   9,1.00,1.00,0.6735
3755,54,45,97.48,HIGH,2112,2544,2160,2592,48,48,   4,1.00,1.00,0.6014
3756,54,46,95.49,HIGH,2160,2544,2208,2592,48,48,   8,1.00,1.00,0.6716
3757,54,47,94.70,HIGH,2208,2544,2256,2592,48,48,  19,1.00,1.00,0.7274
3758,54,48,67.66,MEDIUM,2256,2544,2304,2592,48,48, 150,1.00,0.20,0.6111
3820,55,40,76.17,MEDIUM,1872,2592,1920,2640,48,48,1043,1.00,0.20,0.7562
3821,55,41,99.65,HIGH,1920,2592,1968,2640,48,48,  68,1.00,1.00,0.8078
3822,55,42,99.65,HIGH,1968,2592,2016,2640,48,48,  39,1.00,1.00,0.7852
3823,55,43,99.39,HIGH,2016,2592,2064,2640,48,48,  21,1.00,1.00,0.7529
3824,55,44,93.36,HIGH,2064,2592,2112,2640,48,48,   6,1.00,1.00,0.6310
3825,55,45,98.87,HIGH,2112,2592,2160,2640,48,48,   8,1.00,1.00,0.6842
3826,55,46,95.40,HIGH,2160,2592,2208,2640,48,48,  19,1.00,1.00,0.7311
3827,55,47,97.31,HIGH,2208,2592,2256,2640,48,48,  32,1.00,1.00,0.7685
3828,55,48,69.62,MEDIUM,2256,2592,2304,2640,48,48,  28,1.00,0.20,0.4794
3891,56,41,38.54,MEDIUM,1920,2640,1968,2688,48,48,2495,1.00,0.20,0.4800
3892,56,42,76.91,MEDIUM,1968,2640,2016,2688,48,48, 735,1.00,0.20,0.7472
3893,56,43,99.57,HIGH,2016,2640,2064,2688,48,48,  84,1.00,1.00,0.8148
3894,56,44,96.44,HIGH,2064,2640,2112,2688,48,48,  12,1.00,1.00,0.7037
3895,56,45,96.88,HIGH,2112,2640,2160,2688,48,48,  19,1.00,1.00,0.7385
3896,56,46,97.74,HIGH,2160,2640,2208,2688,48,48,   4,1.00,1.00,0.6185
3897,56,47,98.91,HIGH,2208,2640,2256,2688,48,48,   5,1.00,1.00,0.6446
3898,56,48,64.11,MEDIUM,2256,2640,2304,2688,48,48,  18,1.00,0.20,0.3869
3963,57,43,54.21,MEDIUM,2016,2688,2064,2736,48,48, 957,1.00,0.20,0.6072
3964,57,44,81.34,HIGH,2064,2688,2112,2736,48,48,  68,1.00,1.00,0.7368
3965,57,45,93.27,HIGH,2112,2688,2160,2736,48,48,  13,1.00,1.00,0.6960
3966,57,46,95.92,HIGH,2160,2688,2208,2736,48,48,  19,1.00,1.00,0.7348
3967,57,47,99.57,HIGH,2208,2688,2256,2736,48,48,  21,1.00,1.00,0.7547
3968,57,48,47.48,MEDIUM,2256,2688,2304,2736,48,48,   6,1.00,0.20,0.1557
4034,58,44,52.86,MEDIUM,2064,2736,2112,2784,48,48, 851,1.00,0.20,0.5897
4035,58,45,94.57,HIGH,2112,2736,2160,2784,48,48, 441,1.00,1.00,0.8449
4036,58,46,99.52,HIGH,2160,2736,2208,2784,48,48, 259,1.00,1.00,0.8463
4037,58,47,95.66,HIGH,2208,2736,2256,2784,48,48, 193,1.00,1.00,0.8282
4038,58,48,29.08,MEDIUM,2256,2736,2304,2784,48,48, 918,1.00,0.20,0.3062
4106,59,46,16.88,MEDIUM,2160,2784,2208,2832,48,48,3645,1.00,0.20,0.1582
4508,65,28,26.39,MEDIUM,1296,3072,1344,3120,48,48, 165,1.00,0.20,0.1970
4509,65,29,58.07,MEDIUM,1344,3072,1392,3120,48,48, 132,1.00,0.20,0.5273
4510,65,30,80.86,HIGH,1392,3072,1440,3120,48,48,  65,1.00,1.00,0.7329
4511,65,31,42.06,MEDIUM,1440,3072,1488,3120,48,48,   8,1.00,0.20,0.1433
4512,65,32,56.99,MEDIUM,1488,3072,1536,3120,48,48, 179,1.00,0.20,0.5393
4513,65,33,83.38,HIGH,1536,3072,1584,3120,48,48, 152,1.00,1.00,0.7777
4514,65,34,84.81,HIGH,1584,3072,1632,3120,48,48, 143,1.00,1.00,0.7814
4515,65,35,61.28,MEDIUM,1632,3072,1680,3120,48,48, 171,1.00,0.20,0.5720
4516,65,36,51.26,MEDIUM,1680,3072,1728,3120,48,48, 330,1.00,0.20,0.5249
4517,65,37,28.39,MEDIUM,1728,3072,1776,3120,48,48,2030,1.00,0.20,0.3262
4577,66,27,46.05,MEDIUM,1248,3120,1296,3168,48,48,  25,1.00,0.20,0.2755
4578,66,28,95.96,HIGH,1296,3120,1344,3168,48,48,  16,1.00,1.00,0.7222
4579,66,29,97.66,HIGH,1344,3120,1392,3168,48,48,   2,1.00,1.00,0.5032
4580,66,30,97.70,HIGH,1392,3120,1440,3168,48,48,   4,1.00,1.00,0.6064
4581,66,31,97.48,HIGH,1440,3120,1488,3168,48,48,   2,1.00,1.00,0.5110
4582,66,32,96.22,HIGH,1488,3120,1536,3168,48,48,  16,1.00,1.00,0.7258
4583,66,33,96.44,HIGH,1536,3120,1584,3168,48,48,   6,1.00,1.00,0.6495
4584,66,34,96.53,HIGH,1584,3120,1632,3168,48,48,   7,1.00,1.00,0.6550
4585,66,35,93.66,HIGH,1632,3120,1680,3168,48,48,  36,1.00,1.00,0.7605
4586,66,36,91.71,HIGH,1680,3120,1728,3168,48,48, 111,1.00,1.00,0.7986
4587,66,37,91.75,HIGH,1728,3120,1776,3168,48,48, 141,1.00,1.00,0.8067
4588,66,38,82.38,HIGH,1776,3120,1824,3168,48,48, 243,1.00,1.00,0.7887
4589,66,39,56.25,MEDIUM,1824,3120,1872,3168,48,48, 365,1.00,0.20,0.5766
4590,66,40,38.06,MEDIUM,1872,3120,1920,3168,48,48, 134,1.00,0.20,0.3253
