Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x5312
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x5312
Scaled Tile Size: 48x48
Total Mask: 96.05%, Total Tissue: 3.95%
Tiles: 59x111 = 6549
    57 ( 0.87%) tiles >=80% tissue
   525 ( 8.02%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
118,2,59,18.49,MEDIUM,2784,48,2816,96,32,48,   0,1.00,0.20,0.0000
563,10,32,35.33,MEDIUM,1488,432,1536,480,48,48,   0,1.00,0.20,0.0084
564,10,33,39.15,MEDIUM,1536,432,1584,480,48,48,   0,1.00,0.20,0.0000
566,10,35,27.73,MEDIUM,1632,432,1680,480,48,48,   0,1.00,0.20,0.0000
567,10,36,16.88,MEDIUM,1680,432,1728,480,48,48,   0,1.00,0.20,0.0001
798,14,31,29.08,MEDIUM,1440,624,1488,672,48,48,  12,1.00,0.20,0.0934
855,15,29,35.20,MEDIUM,1344,672,1392,720,48,48,   0,1.00,0.20,0.0056
858,15,32,62.07,MEDIUM,1488,672,1536,720,48,48,  50,1.00,0.20,0.4799
911,16,26,14.32,MEDIUM,1200,720,1248,768,48,48,   0,1.00,0.20,0.0000
912,16,27,25.17,MEDIUM,1248,720,1296,768,48,48,   0,1.00,0.20,0.0000
914,16,29,17.27,MEDIUM,1344,720,1392,768,48,48,  12,1.00,0.20,0.0357
915,16,30,19.84,MEDIUM,1392,720,1440,768,48,48,  31,0.49,0.20,0.0523
916,16,31,54.43,MEDIUM,1440,720,1488,768,48,48, 372,1.00,0.20,0.5615
917,16,32,82.94,HIGH,1488,720,1536,768,48,48, 122,1.00,1.00,0.7679
918,16,33,68.23,MEDIUM,1536,720,1584,768,48,48,  27,1.00,0.20,0.4617
919,16,34,34.42,MEDIUM,1584,720,1632,768,48,48,  19,1.00,0.20,0.1579
968,17,24,15.06,MEDIUM,1104,768,1152,816,48,48,   0,1.00,0.20,0.0003
971,17,27,29.21,MEDIUM,1248,768,1296,816,48,48,   0,1.00,0.20,0.0000
973,17,29,69.05,MEDIUM,1344,768,1392,816,48,48,  74,1.00,0.20,0.5680
974,17,30,91.71,HIGH,1392,768,1440,816,48,48, 136,1.00,1.00,0.8055
975,17,31,69.70,MEDIUM,1440,768,1488,816,48,48, 195,1.00,0.20,0.6420
978,17,34,31.68,MEDIUM,1584,768,1632,816,48,48,  15,1.00,0.20,0.1227
979,17,35,35.03,MEDIUM,1632,768,1680,816,48,48,   6,1.00,0.20,0.0894
1031,18,28,25.91,MEDIUM,1296,816,1344,864,48,48,  36,1.00,0.20,0.1239
1032,18,29,63.32,MEDIUM,1344,816,1392,864,48,48,  20,1.00,0.20,0.3924
1033,18,30,59.64,MEDIUM,1392,816,1440,864,48,48,  29,1.00,0.20,0.4067
1038,18,35,33.98,MEDIUM,1632,816,1680,864,48,48,  11,1.00,0.20,0.1159
1083,19,21,15.97,MEDIUM,960,864,1008,912,48,48,   0,1.00,0.20,0.0000
1097,19,35,13.06,MEDIUM,1632,864,1680,912,48,48,   2,0.49,0.20,0.0029
1098,19,36,45.44,MEDIUM,1680,864,1728,912,48,48,   9,1.00,0.20,0.1730
1156,20,35,18.19,MEDIUM,1632,912,1680,960,48,48, 414,0.49,0.20,0.1097
1157,20,36,70.05,MEDIUM,1680,912,1728,960,48,48,  71,1.00,0.20,0.5715
1210,21,30,24.05,MEDIUM,1392,960,1440,1008,48,48,  15,1.00,0.20,0.0733
1212,21,32,30.08,MEDIUM,1488,960,1536,1008,48,48,  15,1.00,0.20,0.1110
1213,21,33,35.68,MEDIUM,1536,960,1584,1008,48,48,  23,1.00,0.20,0.1799
1214,21,34,78.17,MEDIUM,1584,960,1632,1008,48,48, 170,1.00,0.20,0.6846
1215,21,35,52.56,MEDIUM,1632,960,1680,1008,48,48,  96,1.00,0.20,0.4535
1216,21,36,32.77,MEDIUM,1680,960,1728,1008,48,48, 157,1.00,0.20,0.2718
1217,21,37,42.88,MEDIUM,1728,960,1776,1008,48,48,  26,1.00,0.20,0.2527
1271,22,32,52.60,MEDIUM,1488,1008,1536,1056,48,48,  13,1.00,0.20,0.2599
1272,22,33,57.86,MEDIUM,1536,1008,1584,1056,48,48,   9,1.00,0.20,0.2551
1273,22,34,54.12,MEDIUM,1584,1008,1632,1056,48,48,  19,1.00,0.20,0.3137
1277,22,38,40.58,MEDIUM,1776,1008,1824,1056,48,48,  24,1.00,0.20,0.2251
1331,23,33,20.23,MEDIUM,1536,1056,1584,1104,48,48,  11,1.00,0.20,0.0445
1336,23,38,39.45,MEDIUM,1776,1056,1824,1104,48,48,  21,1.00,0.20,0.2025
1396,24,39,47.57,MEDIUM,1824,1104,1872,1152,48,48,  33,1.00,0.20,0.3143
1446,25,30,15.15,MEDIUM,1392,1152,1440,1200,48,48,   0,0.49,0.20,0.0000
1449,25,33,21.22,MEDIUM,1536,1152,1584,1200,48,48,   0,1.00,0.20,0.0000
1450,25,34,21.27,MEDIUM,1584,1152,1632,1200,48,48,   1,1.00,0.20,0.0070
1455,25,39,36.63,MEDIUM,1824,1152,1872,1200,48,48,  18,1.00,0.20,0.1714
1508,26,33,28.30,MEDIUM,1536,1200,1584,1248,48,48,   0,1.00,0.20,0.0000
1509,26,34,29.08,MEDIUM,1584,1200,1632,1248,48,48,   0,1.00,0.20,0.0000
1510,26,35,46.83,MEDIUM,1632,1200,1680,1248,48,48,   0,1.00,0.20,0.0000
1511,26,36,19.36,MEDIUM,1680,1200,1728,1248,48,48,   0,1.00,0.20,0.0008
1512,26,37,39.19,MEDIUM,1728,1200,1776,1248,48,48,   2,1.00,0.20,0.0416
1513,26,38,16.88,MEDIUM,1776,1200,1824,1248,48,48,   0,1.00,0.20,0.0000
1514,26,39,16.15,MEDIUM,1824,1200,1872,1248,48,48,  11,1.00,0.20,0.0298
1515,26,40,25.00,MEDIUM,1872,1200,1920,1248,48,48,  48,1.00,0.20,0.1290
1568,27,34,13.45,MEDIUM,1584,1248,1632,1296,48,48,   0,0.49,0.20,0.0000
1569,27,35,57.34,MEDIUM,1632,1248,1680,1296,48,48,  16,1.00,0.20,0.3190
1570,27,36,63.06,MEDIUM,1680,1248,1728,1296,48,48,   1,1.00,0.20,0.0628
1571,27,37,26.61,MEDIUM,1728,1248,1776,1296,48,48,   0,1.00,0.20,0.0000
1574,27,40,67.53,MEDIUM,1872,1248,1920,1296,48,48,  22,1.00,0.20,0.4361
1627,28,34,14.02,MEDIUM,1584,1296,1632,1344,48,48,   0,0.49,0.20,0.0000
1628,28,35,47.66,MEDIUM,1632,1296,1680,1344,48,48,   8,1.00,0.20,0.1775
1629,28,36,50.61,MEDIUM,1680,1296,1728,1344,48,48,   0,1.00,0.20,0.0000
1630,28,37,30.12,MEDIUM,1728,1296,1776,1344,48,48,   0,1.00,0.20,0.0000
1633,28,40,53.47,MEDIUM,1872,1296,1920,1344,48,48,  39,1.00,0.20,0.3843
1682,29,30,23.48,MEDIUM,1392,1344,1440,1392,48,48,   0,1.00,0.20,0.0009
1686,29,34,27.82,MEDIUM,1584,1344,1632,1392,48,48,   0,1.00,0.20,0.0000
1687,29,35,26.26,MEDIUM,1632,1344,1680,1392,48,48,   0,1.00,0.20,0.0000
1688,29,36,37.50,MEDIUM,1680,1344,1728,1392,48,48,  31,1.00,0.20,0.2169
1689,29,37,35.85,MEDIUM,1728,1344,1776,1392,48,48,  35,1.00,0.20,0.2119
1692,29,40,22.61,MEDIUM,1872,1344,1920,1392,48,48,  11,1.00,0.20,0.0550
1693,29,41,25.91,MEDIUM,1920,1344,1968,1392,48,48,  22,1.00,0.20,0.1020
1740,30,29,18.84,MEDIUM,1344,1392,1392,1440,48,48,  13,1.00,0.20,0.0431
1745,30,34,30.03,MEDIUM,1584,1392,1632,1440,48,48,   0,1.00,0.20,0.0000
1746,30,35,41.36,MEDIUM,1632,1392,1680,1440,48,48,   0,1.00,0.20,0.0000
1747,30,36,59.11,MEDIUM,1680,1392,1728,1440,48,48,  13,1.00,0.20,0.3081
1748,30,37,66.32,MEDIUM,1728,1392,1776,1440,48,48,  38,1.00,0.20,0.4867
1749,30,38,25.30,MEDIUM,1776,1392,1824,1440,48,48,   0,1.00,0.20,0.0035
1752,30,41,44.92,MEDIUM,1920,1392,1968,1440,48,48,  20,1.00,0.20,0.2451
1797,31,27,27.52,MEDIUM,1248,1440,1296,1488,48,48,   0,1.00,0.20,0.0000
1805,31,35,15.58,MEDIUM,1632,1440,1680,1488,48,48,  12,0.49,0.20,0.0189
1806,31,36,73.96,MEDIUM,1680,1440,1728,1488,48,48,   9,1.00,0.20,0.3627
1807,31,37,70.83,MEDIUM,1728,1440,1776,1488,48,48,  59,1.00,0.20,0.5615
1808,31,38,78.52,MEDIUM,1776,1440,1824,1488,48,48,  17,1.00,0.20,0.4782
1809,31,39,40.49,MEDIUM,1824,1440,1872,1488,48,48,  13,1.00,0.20,0.1711
1811,31,41,15.41,MEDIUM,1920,1440,1968,1488,48,48,   6,1.00,0.20,0.0178
1812,31,42,37.02,MEDIUM,1968,1440,2016,1488,48,48,  11,1.00,0.20,0.1344
1860,32,31,20.01,MEDIUM,1440,1488,1488,1536,48,48,   1,1.00,0.20,0.0072
1864,32,35,16.45,MEDIUM,1632,1488,1680,1536,48,48,   7,1.00,0.20,0.0224
1865,32,36,70.70,MEDIUM,1680,1488,1728,1536,48,48,   4,1.00,0.20,0.2237
1866,32,37,75.00,MEDIUM,1728,1488,1776,1536,48,48,   4,1.00,0.20,0.2623
1867,32,38,66.49,MEDIUM,1776,1488,1824,1536,48,48,   5,1.00,0.20,0.2419
1868,32,39,16.93,MEDIUM,1824,1488,1872,1536,48,48,   8,0.49,0.20,0.0158
1871,32,42,54.47,MEDIUM,1968,1488,2016,1536,48,48,  12,1.00,0.20,0.2646
1891,33,3,26.65,MEDIUM,96,1536,144,1584,48,48,   0,1.00,0.20,0.0000
1923,33,35,18.97,MEDIUM,1632,1536,1680,1584,48,48,   7,1.00,0.20,0.0300
1924,33,36,48.48,MEDIUM,1680,1536,1728,1584,48,48,   5,1.00,0.20,0.1386
1925,33,37,60.29,MEDIUM,1728,1536,1776,1584,48,48,   4,1.00,0.20,0.1848
1926,33,38,47.70,MEDIUM,1776,1536,1824,1584,48,48,   0,1.00,0.20,0.0000
1928,33,40,14.54,MEDIUM,1872,1536,1920,1584,48,48,   0,0.49,0.20,0.0000
1930,33,42,39.50,MEDIUM,1968,1536,2016,1584,48,48,  21,1.00,0.20,0.2036
1949,34,2,15.93,MEDIUM,48,1584,96,1632,48,48,   0,1.00,0.20,0.0000
1950,34,3,26.74,MEDIUM,96,1584,144,1632,48,48,   0,1.00,0.20,0.0011
1959,34,12,21.61,MEDIUM,528,1584,576,1632,48,48,   0,1.00,0.20,0.0000
1982,34,35,16.41,MEDIUM,1632,1584,1680,1632,48,48,   0,1.00,0.20,0.0000
