Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3119x3673
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3119x3673
Scaled Tile Size: 48x48
Total Mask: 58.06%, Total Tissue: 41.94%
Tiles: 65x77 = 5005
  1810 (36.16%) tiles >=80% tissue
   649 (12.97%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
141,3,11,23.78,MEDIUM,480,96,528,144,48,48,  37,1.00,0.20,0.1071
142,3,12,49.91,MEDIUM,528,96,576,144,48,48, 828,1.00,0.20,0.5603
201,4,6,44.53,MEDIUM,240,144,288,192,48,48,   0,1.00,0.20,0.0000
206,4,11,86.11,HIGH,480,144,528,192,48,48,   4,1.00,1.00,0.5453
207,4,12,83.98,HIGH,528,144,576,192,48,48,   1,0.49,1.00,0.2163
208,4,13,80.77,HIGH,576,144,624,192,48,48,1243,1.00,1.00,0.8230
209,4,14,47.61,MEDIUM,624,144,672,192,48,48,1359,1.00,0.20,0.5598
265,5,5,19.49,MEDIUM,192,192,240,240,48,48,   0,0.49,0.20,0.0000
266,5,6,51.61,MEDIUM,240,192,288,240,48,48,   1,1.00,0.20,0.0585
270,5,10,44.57,MEDIUM,432,192,480,240,48,48,  10,1.00,0.20,0.1789
271,5,11,77.69,MEDIUM,480,192,528,240,48,48,  14,1.00,0.20,0.4480
272,5,12,86.24,HIGH,528,192,576,240,48,48,   0,0.49,1.00,0.0000
273,5,13,90.58,HIGH,576,192,624,240,48,48,   0,0.49,1.00,0.0000
274,5,14,97.44,HIGH,624,192,672,240,48,48,   2,0.49,1.00,0.4140
275,5,15,77.47,MEDIUM,672,192,720,240,48,48, 620,1.00,0.20,0.7435
330,6,5,38.63,MEDIUM,192,240,240,288,48,48,   5,1.00,0.20,0.0934
331,6,6,31.64,MEDIUM,240,240,288,288,48,48,  13,1.00,0.20,0.1139
332,6,7,29.82,MEDIUM,288,240,336,288,48,48,   3,1.00,0.20,0.0362
333,6,8,26.13,MEDIUM,336,240,384,288,48,48,   5,1.00,0.20,0.0421
334,6,9,83.64,HIGH,384,240,432,288,48,48,   3,1.00,1.00,0.5096
335,6,10,77.47,MEDIUM,432,240,480,288,48,48,   6,1.00,0.20,0.3182
336,6,11,57.38,MEDIUM,480,240,528,288,48,48,   0,1.00,0.20,0.0000
337,6,12,78.26,MEDIUM,528,240,576,288,48,48,  11,0.49,0.20,0.3133
338,6,13,71.57,MEDIUM,576,240,624,288,48,48,   5,0.49,0.20,0.1799
339,6,14,85.42,HIGH,624,240,672,288,48,48,  12,0.49,1.00,0.5800
340,6,15,88.85,HIGH,672,240,720,288,48,48,  59,1.00,1.00,0.7635
341,6,16,22.27,MEDIUM,720,240,768,288,48,48, 696,1.00,0.20,0.1968
395,7,5,23.31,MEDIUM,192,288,240,336,48,48,   0,1.00,0.20,0.0000
