Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4806x2755
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4806x2755
Scaled Tile Size: 48x48
Total Mask: 97.22%, Total Tissue: 2.78%
Tiles: 101x58 = 5858
    24 ( 0.41%) tiles >=80% tissue
   332 ( 5.67%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
21,1,21,21.53,MEDIUM,960,0,1008,48,48,48,1906,1.00,0.20,0.2160
120,2,19,41.84,MEDIUM,864,48,912,96,48,48,1753,1.00,0.20,0.5065
121,2,20,34.07,MEDIUM,912,48,960,96,48,48,2289,1.00,0.20,0.4157
123,2,22,22.35,MEDIUM,1008,48,1056,96,48,48,1238,1.00,0.20,0.2161
220,3,18,38.50,MEDIUM,816,96,864,144,48,48,1054,1.00,0.20,0.4425
221,3,19,17.14,MEDIUM,864,96,912,144,48,48,1850,0.49,0.20,0.1327
320,4,17,21.27,MEDIUM,768,144,816,192,48,48, 693,1.00,0.20,0.1826
321,4,18,55.08,MEDIUM,816,144,864,192,48,48,1740,1.00,0.20,0.6398
421,5,17,33.38,MEDIUM,768,192,816,240,48,48,3678,1.00,0.20,0.4238
521,6,16,29.90,MEDIUM,720,240,768,288,48,48,2332,1.00,0.20,0.3547
526,6,21,20.23,MEDIUM,960,240,1008,288,48,48,3436,1.00,0.20,0.2109
541,6,36,19.14,MEDIUM,1680,240,1728,288,48,48,  67,1.00,0.20,0.0892
542,6,37,14.32,MEDIUM,1728,240,1776,288,48,48,  83,0.49,0.20,0.0435
543,6,38,20.70,MEDIUM,1776,240,1824,288,48,48,  66,1.00,0.20,0.1023
585,6,80,39.50,MEDIUM,3792,240,3840,288,48,48,  45,1.00,0.20,0.2636
586,6,81,15.67,MEDIUM,3840,240,3888,288,48,48,  17,1.00,0.20,0.0351
641,7,35,32.55,MEDIUM,1632,288,1680,336,48,48, 353,1.00,0.20,0.3116
683,7,77,12.93,MEDIUM,3648,288,3696,336,48,48,  15,1.00,0.20,0.0226
684,7,78,36.63,MEDIUM,3696,288,3744,336,48,48,   8,1.00,0.20,0.1131
685,7,79,35.46,MEDIUM,3744,288,3792,336,48,48,  22,1.00,0.20,0.1750
688,7,82,53.86,MEDIUM,3888,288,3936,336,48,48, 174,1.00,0.20,0.5094
689,7,83,46.96,MEDIUM,3936,288,3984,336,48,48,  66,1.00,0.20,0.3688
690,7,84,27.43,MEDIUM,3984,288,4032,336,48,48,  37,1.00,0.20,0.1384
691,7,85,35.07,MEDIUM,4032,288,4080,336,48,48,  49,1.00,0.20,0.2259
692,7,86,23.18,MEDIUM,4080,288,4128,336,48,48,  56,1.00,0.20,0.1187
693,7,87,16.67,MEDIUM,4128,288,4176,336,48,48,  65,1.00,0.20,0.0682
741,8,34,52.26,MEDIUM,1584,336,1632,384,48,48, 376,1.00,0.20,0.5420
784,8,77,13.76,MEDIUM,3648,336,3696,384,48,48,  11,1.00,0.20,0.0214
795,8,88,15.93,MEDIUM,4176,336,4224,384,48,48,  84,1.00,0.20,0.0680
796,8,89,35.46,MEDIUM,4224,336,4272,384,48,48,  33,1.00,0.20,0.2036
797,8,90,18.92,MEDIUM,4272,336,4320,384,48,48,  38,1.00,0.20,0.0719
