Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1792x4416
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1792x4416
Scaled Tile Size: 48x48
Total Mask: 81.23%, Total Tissue: 18.77%
Tiles: 38x92 = 3496
   291 ( 8.32%) tiles >=80% tissue
   633 (18.11%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
50,2,12,17.45,MEDIUM,528,48,576,96,48,48,   0,1.00,0.20,0.0026
51,2,13,18.06,MEDIUM,576,48,624,96,48,48,   0,1.00,0.20,0.0026
86,3,10,23.74,MEDIUM,432,96,480,144,48,48,  12,1.00,0.20,0.0632
87,3,11,77.34,MEDIUM,480,96,528,144,48,48,  14,1.00,0.20,0.4485
88,3,12,87.41,HIGH,528,96,576,144,48,48,  64,1.00,1.00,0.7613
123,4,9,48.96,MEDIUM,384,144,432,192,48,48,  15,1.00,0.20,0.2480
124,4,10,73.57,MEDIUM,432,144,480,192,48,48, 101,1.00,0.20,0.6228
125,4,11,97.53,HIGH,480,144,528,192,48,48, 172,0.49,1.00,0.8087
126,4,12,90.23,HIGH,528,144,576,192,48,48,  73,1.00,1.00,0.7783
127,4,13,29.99,MEDIUM,576,144,624,192,48,48,   0,1.00,0.20,0.0000
133,4,19,19.18,MEDIUM,864,144,912,192,48,48,   2,1.00,0.20,0.0120
134,4,20,45.92,MEDIUM,912,144,960,192,48,48,   6,1.00,0.20,0.1376
160,5,8,82.51,HIGH,336,192,384,240,48,48,  25,1.00,1.00,0.6893
161,5,9,99.18,HIGH,384,192,432,240,48,48,  54,0.49,1.00,0.7653
162,5,10,99.52,HIGH,432,192,480,240,48,48,  25,1.00,1.00,0.7627
163,5,11,89.63,HIGH,480,192,528,240,48,48,  23,1.00,1.00,0.7194
164,5,12,62.20,MEDIUM,528,192,576,240,48,48,   0,1.00,0.20,0.0336
165,5,13,49.96,MEDIUM,576,192,624,240,48,48,   0,1.00,0.20,0.0000
166,5,14,30.16,MEDIUM,624,192,672,240,48,48,   0,1.00,0.20,0.0000
171,5,19,90.49,HIGH,864,192,912,240,48,48,  65,1.00,1.00,0.7743
172,5,20,84.72,HIGH,912,192,960,240,48,48,   3,1.00,1.00,0.4784
173,5,21,70.05,MEDIUM,960,192,1008,240,48,48,   0,1.00,0.20,0.0000
174,5,22,62.28,MEDIUM,1008,192,1056,240,48,48,   0,1.00,0.20,0.0000
175,5,23,48.26,MEDIUM,1056,192,1104,240,48,48,   0,1.00,0.20,0.0000
176,5,24,24.35,MEDIUM,1104,192,1152,240,48,48,  27,1.00,0.20,0.0991
197,6,7,44.14,MEDIUM,288,240,336,288,48,48,  15,1.00,0.20,0.2117
198,6,8,99.65,HIGH,336,240,384,288,48,48,  81,0.49,1.00,0.7865
199,6,9,99.78,HIGH,384,240,432,288,48,48,   7,1.00,1.00,0.6784
200,6,10,98.52,HIGH,432,240,480,288,48,48,   4,1.00,1.00,0.6023
201,6,11,82.90,HIGH,480,240,528,288,48,48,  14,1.00,1.00,0.6507
202,6,12,69.14,MEDIUM,528,240,576,288,48,48,   0,1.00,0.20,0.0000
203,6,13,68.62,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0014
204,6,14,68.14,MEDIUM,624,240,672,288,48,48,   0,1.00,0.20,0.0000
205,6,15,55.82,MEDIUM,672,240,720,288,48,48,   0,1.00,0.20,0.0000
206,6,16,24.31,MEDIUM,720,240,768,288,48,48,   0,1.00,0.20,0.0000
208,6,18,26.30,MEDIUM,816,240,864,288,48,48,  18,1.00,0.20,0.0958
209,6,19,98.57,HIGH,864,240,912,288,48,48,  72,0.49,1.00,0.7774
210,6,20,81.68,HIGH,912,240,960,288,48,48,   0,1.00,1.00,0.0000
211,6,21,60.98,MEDIUM,960,240,1008,288,48,48,   0,1.00,0.20,0.0000
212,6,22,75.65,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0000
213,6,23,64.41,MEDIUM,1056,240,1104,288,48,48,   0,1.00,0.20,0.0000
214,6,24,52.47,MEDIUM,1104,240,1152,288,48,48,   2,1.00,0.20,0.0719
215,6,25,32.94,MEDIUM,1152,240,1200,288,48,48,   0,1.00,0.20,0.0000
216,6,26,45.53,MEDIUM,1200,240,1248,288,48,48,   0,1.00,0.20,0.0000
217,6,27,16.67,MEDIUM,1248,240,1296,288,48,48,   0,1.00,0.20,0.0000
235,7,7,91.93,HIGH,288,288,336,336,48,48,  53,1.00,1.00,0.7712
236,7,8,99.65,HIGH,336,288,384,336,48,48,  23,0.49,1.00,0.7124
237,7,9,99.87,HIGH,384,288,432,336,48,48,   3,0.49,1.00,0.4703
238,7,10,99.22,HIGH,432,288,480,336,48,48,   4,1.00,1.00,0.6253
239,7,11,71.01,MEDIUM,480,288,528,336,48,48,   2,1.00,0.20,0.1382
240,7,12,70.05,MEDIUM,528,288,576,336,48,48,   0,1.00,0.20,0.0000
241,7,13,68.53,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0000
242,7,14,70.66,MEDIUM,624,288,672,336,48,48,   0,1.00,0.20,0.0000
243,7,15,74.22,MEDIUM,672,288,720,336,48,48,   0,1.00,0.20,0.0000
244,7,16,61.37,MEDIUM,720,288,768,336,48,48,   0,1.00,0.20,0.0000
245,7,17,19.75,MEDIUM,768,288,816,336,48,48,   0,1.00,0.20,0.0000
246,7,18,28.99,MEDIUM,816,288,864,336,48,48,  50,1.00,0.20,0.1682
247,7,19,99.61,HIGH,864,288,912,336,48,48,  58,0.49,1.00,0.7702
248,7,20,83.72,HIGH,912,288,960,336,48,48,  24,1.00,1.00,0.6928
249,7,21,68.49,MEDIUM,960,288,1008,336,48,48,   0,1.00,0.20,0.0000
250,7,22,68.88,MEDIUM,1008,288,1056,336,48,48,   0,1.00,0.20,0.0000
251,7,23,70.75,MEDIUM,1056,288,1104,336,48,48,   0,1.00,0.20,0.0000
252,7,24,69.79,MEDIUM,1104,288,1152,336,48,48,   0,1.00,0.20,0.0000
253,7,25,49.70,MEDIUM,1152,288,1200,336,48,48,  10,1.00,0.20,0.2144
254,7,26,60.03,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0000
255,7,27,65.67,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0000
256,7,28,58.64,MEDIUM,1296,288,1344,336,48,48,   0,1.00,0.20,0.0000
272,8,6,26.56,MEDIUM,240,336,288,384,48,48,   1,1.00,0.20,0.0099
273,8,7,99.65,HIGH,288,336,336,384,48,48,  63,0.49,1.00,0.7745
274,8,8,99.74,HIGH,336,336,384,384,48,48,  11,1.00,1.00,0.7086
275,8,9,99.87,HIGH,384,336,432,384,48,48,   3,0.49,1.00,0.4823
276,8,10,94.92,HIGH,432,336,480,384,48,48,   5,1.00,1.00,0.6188
277,8,11,70.05,MEDIUM,480,336,528,384,48,48,   2,1.00,0.20,0.1207
278,8,12,69.84,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0000
279,8,13,71.88,MEDIUM,576,336,624,384,48,48,   0,1.00,0.20,0.0000
280,8,14,69.23,MEDIUM,624,336,672,384,48,48,   0,1.00,0.20,0.0000
281,8,15,73.87,MEDIUM,672,336,720,384,48,48,  57,1.00,0.20,0.5782
282,8,16,74.65,MEDIUM,720,336,768,384,48,48,   0,1.00,0.20,0.0000
283,8,17,35.59,MEDIUM,768,336,816,384,48,48,   0,1.00,0.20,0.0000
284,8,18,28.99,MEDIUM,816,336,864,384,48,48,  27,1.00,0.20,0.1356
285,8,19,99.78,HIGH,864,336,912,384,48,48,  69,0.49,1.00,0.7796
286,8,20,93.62,HIGH,912,336,960,384,48,48,  53,1.00,1.00,0.7778
287,8,21,73.70,MEDIUM,960,336,1008,384,48,48,   0,1.00,0.20,0.0000
288,8,22,65.45,MEDIUM,1008,336,1056,384,48,48,   0,1.00,0.20,0.0000
289,8,23,70.01,MEDIUM,1056,336,1104,384,48,48,   0,1.00,0.20,0.0000
290,8,24,63.37,MEDIUM,1104,336,1152,384,48,48,   0,1.00,0.20,0.0000
291,8,25,47.31,MEDIUM,1152,336,1200,384,48,48, 140,1.00,0.20,0.4296
292,8,26,18.40,MEDIUM,1200,336,1248,384,48,48,  68,1.00,0.20,0.0831
293,8,27,41.02,MEDIUM,1248,336,1296,384,48,48,   0,1.00,0.20,0.0000
294,8,28,66.97,MEDIUM,1296,336,1344,384,48,48,   0,1.00,0.20,0.0000
295,8,29,22.14,MEDIUM,1344,336,1392,384,48,48,   0,1.00,0.20,0.0000
310,9,6,36.33,MEDIUM,240,384,288,432,48,48,  11,1.00,0.20,0.1300
311,9,7,99.65,HIGH,288,384,336,432,48,48,  43,0.49,1.00,0.7545
312,9,8,99.48,HIGH,336,384,384,432,48,48,  10,0.49,1.00,0.6343
313,9,9,99.52,HIGH,384,384,432,432,48,48,   7,0.49,1.00,0.5873
314,9,10,89.24,HIGH,432,384,480,432,48,48,   5,1.00,1.00,0.5944
315,9,11,64.02,MEDIUM,480,384,528,432,48,48,   0,1.00,0.20,0.0000
316,9,12,62.46,MEDIUM,528,384,576,432,48,48,   0,1.00,0.20,0.0000
317,9,13,68.53,MEDIUM,576,384,624,432,48,48,   0,1.00,0.20,0.0000
318,9,14,72.87,MEDIUM,624,384,672,432,48,48,   0,1.00,0.20,0.0000
319,9,15,76.13,MEDIUM,672,384,720,432,48,48,  37,1.00,0.20,0.5521
320,9,16,71.18,MEDIUM,720,384,768,432,48,48,   0,1.00,0.20,0.0000
321,9,17,35.07,MEDIUM,768,384,816,432,48,48,   0,1.00,0.20,0.0000
323,9,19,98.13,HIGH,864,384,912,432,48,48, 153,0.49,1.00,0.8065
324,9,20,99.26,HIGH,912,384,960,432,48,48,  72,0.49,1.00,0.7798
325,9,21,84.07,HIGH,960,384,1008,432,48,48,   3,1.00,1.00,0.5047
326,9,22,65.49,MEDIUM,1008,384,1056,432,48,48,   0,1.00,0.20,0.0000
327,9,23,70.75,MEDIUM,1056,384,1104,432,48,48,   3,1.00,0.20,0.1948
328,9,24,67.93,MEDIUM,1104,384,1152,432,48,48,   1,1.00,0.20,0.0790
329,9,25,59.46,MEDIUM,1152,384,1200,432,48,48,   1,1.00,0.20,0.0506
331,9,27,25.00,MEDIUM,1248,384,1296,432,48,48,   0,1.00,0.20,0.0000
332,9,28,62.24,MEDIUM,1296,384,1344,432,48,48,   0,1.00,0.20,0.0000
333,9,29,46.48,MEDIUM,1344,384,1392,432,48,48,   0,1.00,0.20,0.0000
334,9,30,26.09,MEDIUM,1392,384,1440,432,48,48,   0,1.00,0.20,0.0005
348,10,6,32.34,MEDIUM,240,432,288,480,48,48,   4,1.00,0.20,0.0616
349,10,7,99.65,HIGH,288,432,336,480,48,48,  29,0.49,1.00,0.7294
350,10,8,99.48,HIGH,336,432,384,480,48,48,   7,0.49,1.00,0.5938
351,10,9,99.18,HIGH,384,432,432,480,48,48,  13,0.49,1.00,0.6610
352,10,10,85.20,HIGH,432,432,480,480,48,48,   7,1.00,1.00,0.6046
353,10,11,68.23,MEDIUM,480,432,528,480,48,48,   0,1.00,0.20,0.0000
354,10,12,65.62,MEDIUM,528,432,576,480,48,48,   0,1.00,0.20,0.0000
355,10,13,66.36,MEDIUM,576,432,624,480,48,48,   0,1.00,0.20,0.0000
356,10,14,63.28,MEDIUM,624,432,672,480,48,48,   0,1.00,0.20,0.0000
357,10,15,64.58,MEDIUM,672,432,720,480,48,48,   0,1.00,0.20,0.0000
358,10,16,57.90,MEDIUM,720,432,768,480,48,48,   0,1.00,0.20,0.0000
359,10,17,71.74,MEDIUM,768,432,816,480,48,48,   0,1.00,0.20,0.0000
361,10,19,68.32,MEDIUM,864,432,912,480,48,48,  88,1.00,0.20,0.5767
362,10,20,99.09,HIGH,912,432,960,480,48,48, 236,0.49,1.00,0.8237
363,10,21,98.83,HIGH,960,432,1008,480,48,48,  56,0.49,1.00,0.7657
364,10,22,84.85,HIGH,1008,432,1056,480,48,48,  15,1.00,1.00,0.6668
365,10,23,65.84,MEDIUM,1056,432,1104,480,48,48,   0,1.00,0.20,0.0000
366,10,24,66.02,MEDIUM,1104,432,1152,480,48,48,   0,1.00,0.20,0.0000
367,10,25,63.41,MEDIUM,1152,432,1200,480,48,48,  35,1.00,0.20,0.4539
368,10,26,49.13,MEDIUM,1200,432,1248,480,48,48,  61,1.00,0.20,0.3840
369,10,27,62.59,MEDIUM,1248,432,1296,480,48,48,   0,1.00,0.20,0.0000
370,10,28,65.80,MEDIUM,1296,432,1344,480,48,48,   0,1.00,0.20,0.0000
371,10,29,64.71,MEDIUM,1344,432,1392,480,48,48, 104,1.00,0.20,0.5634
372,10,30,52.95,MEDIUM,1392,432,1440,480,48,48,  21,1.00,0.20,0.3140
373,10,31,17.06,MEDIUM,1440,432,1488,480,48,48,   0,1.00,0.20,0.0000
386,11,6,20.70,MEDIUM,240,480,288,528,48,48,   5,1.00,0.20,0.0271
387,11,7,99.70,HIGH,288,480,336,528,48,48,  41,0.49,1.00,0.7524
388,11,8,99.61,HIGH,336,480,384,528,48,48,  14,0.49,1.00,0.6712
389,11,9,99.00,HIGH,384,480,432,528,48,48,  43,0.49,1.00,0.7526
390,11,10,84.81,HIGH,432,480,480,528,48,48,   0,1.00,1.00,0.0000
391,11,11,68.27,MEDIUM,480,480,528,528,48,48,   0,1.00,0.20,0.0000
392,11,12,66.62,MEDIUM,528,480,576,528,48,48,   0,1.00,0.20,0.0000
393,11,13,68.36,MEDIUM,576,480,624,528,48,48,   0,1.00,0.20,0.0000
394,11,14,65.84,MEDIUM,624,480,672,528,48,48,  42,1.00,0.20,0.4937
395,11,15,47.22,MEDIUM,672,480,720,528,48,48,   0,1.00,0.20,0.0000
396,11,16,52.69,MEDIUM,720,480,768,528,48,48,   0,1.00,0.20,0.0000
397,11,17,66.54,MEDIUM,768,480,816,528,48,48,   0,1.00,0.20,0.0000
398,11,18,24.05,MEDIUM,816,480,864,528,48,48,   0,1.00,0.20,0.0000
400,11,20,99.00,HIGH,912,480,960,528,48,48, 194,1.00,1.00,0.8379
401,11,21,99.22,HIGH,960,480,1008,528,48,48,  82,0.49,1.00,0.7853
402,11,22,90.93,HIGH,1008,480,1056,528,48,48,  24,1.00,1.00,0.7261
403,11,23,71.48,MEDIUM,1056,480,1104,528,48,48,   0,1.00,0.20,0.0000
404,11,24,66.45,MEDIUM,1104,480,1152,528,48,48,   0,1.00,0.20,0.0000
405,11,25,69.53,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0000
406,11,26,65.62,MEDIUM,1200,480,1248,528,48,48,   0,1.00,0.20,0.0000
407,11,27,71.35,MEDIUM,1248,480,1296,528,48,48,   0,1.00,0.20,0.0000
408,11,28,72.87,MEDIUM,1296,480,1344,528,48,48,  26,1.00,0.20,0.4905
409,11,29,70.79,MEDIUM,1344,480,1392,528,48,48,   0,1.00,0.20,0.0000
410,11,30,69.53,MEDIUM,1392,480,1440,528,48,48,   0,1.00,0.20,0.0000
411,11,31,16.88,MEDIUM,1440,480,1488,528,48,48,   0,1.00,0.20,0.0000
425,12,7,81.90,HIGH,288,528,336,576,48,48,  22,1.00,1.00,0.6770
426,12,8,99.05,HIGH,336,528,384,576,48,48,  27,0.49,1.00,0.7227
427,12,9,98.52,HIGH,384,528,432,576,48,48,  29,0.49,1.00,0.7258
428,12,10,87.28,HIGH,432,528,480,576,48,48,   0,1.00,1.00,0.0854
429,12,11,74.44,MEDIUM,480,528,528,576,48,48,  20,1.00,0.20,0.4711
430,12,12,63.28,MEDIUM,528,528,576,576,48,48,  11,1.00,0.20,0.3141
431,12,13,73.96,MEDIUM,576,528,624,576,48,48,   0,1.00,0.20,0.0000
432,12,14,67.23,MEDIUM,624,528,672,576,48,48,   0,1.00,0.20,0.0000
433,12,15,74.52,MEDIUM,672,528,720,576,48,48,   0,1.00,0.20,0.0000
434,12,16,75.22,MEDIUM,720,528,768,576,48,48,   0,1.00,0.20,0.0000
435,12,17,75.04,MEDIUM,768,528,816,576,48,48,   0,1.00,0.20,0.0000
438,12,20,64.84,MEDIUM,912,528,960,576,48,48,  56,1.00,0.20,0.5119
439,12,21,99.13,HIGH,960,528,1008,576,48,48, 153,0.49,1.00,0.8098
440,12,22,97.01,HIGH,1008,528,1056,576,48,48,  82,0.49,1.00,0.7775
