Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 87.27%, Total Tissue: 12.73%
Tiles: 135x68 = 9180
   879 ( 9.58%) tiles >=80% tissue
   673 ( 7.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2063,16,38,30.95,MEDIUM,1776,720,1824,768,48,48, 884,1.00,0.20,0.3316
2064,16,39,15.84,MEDIUM,1824,720,1872,768,48,48, 452,1.00,0.20,0.1018
2130,16,105,16.93,MEDIUM,4992,720,5040,768,48,48, 447,1.00,0.20,0.1143
2136,16,111,20.18,MEDIUM,5280,720,5328,768,48,48, 451,1.00,0.20,0.1553
2137,16,112,37.72,MEDIUM,5328,720,5376,768,48,48, 479,1.00,0.20,0.3942
2138,16,113,43.84,MEDIUM,5376,720,5424,768,48,48, 379,1.00,0.20,0.4549
2139,16,114,36.68,MEDIUM,5424,720,5472,768,48,48, 440,1.00,0.20,0.3764
2140,16,115,16.23,MEDIUM,5472,720,5520,768,48,48, 789,1.00,0.20,0.1178
2190,17,30,38.85,MEDIUM,1392,768,1440,816,48,48, 354,1.00,0.20,0.3921
2191,17,31,38.54,MEDIUM,1440,768,1488,816,48,48, 380,1.00,0.20,0.3922
2197,17,37,48.18,MEDIUM,1728,768,1776,816,48,48, 516,1.00,0.20,0.5188
2198,17,38,68.97,MEDIUM,1776,768,1824,816,48,48,1226,1.00,0.20,0.7237
2199,17,39,78.08,MEDIUM,1824,768,1872,816,48,48, 987,1.00,0.20,0.7633
2200,17,40,69.14,MEDIUM,1872,768,1920,816,48,48,1016,1.00,0.20,0.7177
2201,17,41,54.73,MEDIUM,1920,768,1968,816,48,48,1147,1.00,0.20,0.6197
2202,17,42,41.32,MEDIUM,1968,768,2016,816,48,48, 788,1.00,0.20,0.4638
2263,17,103,26.82,MEDIUM,4896,768,4944,816,48,48, 405,1.00,0.20,0.2407
2264,17,104,70.10,MEDIUM,4944,768,4992,816,48,48, 339,1.00,0.20,0.6752
2265,17,105,70.96,MEDIUM,4992,768,5040,816,48,48, 261,1.00,0.20,0.6668
2266,17,106,61.20,MEDIUM,5040,768,5088,816,48,48, 377,1.00,0.20,0.6189
2267,17,107,12.59,MEDIUM,5088,768,5136,816,48,48, 259,1.00,0.20,0.0591
2269,17,109,15.93,MEDIUM,5184,768,5232,816,48,48, 931,1.00,0.20,0.1172
2270,17,110,24.74,MEDIUM,5232,768,5280,816,48,48, 593,1.00,0.20,0.2265
2271,17,111,39.63,MEDIUM,5280,768,5328,816,48,48, 581,1.00,0.20,0.4280
2272,17,112,50.00,MEDIUM,5328,768,5376,816,48,48,1114,1.00,0.20,0.5750
2273,17,113,58.59,MEDIUM,5376,768,5424,816,48,48,1668,1.00,0.20,0.6662
2274,17,114,79.25,MEDIUM,5424,768,5472,816,48,48,1550,1.00,0.20,0.7829
2275,17,115,81.68,HIGH,5472,768,5520,816,48,48,1000,1.00,1.00,0.8217
2276,17,116,66.54,MEDIUM,5520,768,5568,816,48,48, 664,1.00,0.20,0.6843
2277,17,117,30.16,MEDIUM,5568,768,5616,816,48,48, 801,1.00,0.20,0.3162
2278,17,118,35.11,MEDIUM,5616,768,5664,816,48,48, 896,1.00,0.20,0.3904
2279,17,119,29.30,MEDIUM,5664,768,5712,816,48,48,1131,1.00,0.20,0.3177
2280,17,120,20.92,MEDIUM,5712,768,5760,816,48,48, 722,1.00,0.20,0.1789
2281,17,121,21.92,MEDIUM,5760,768,5808,816,48,48, 776,1.00,0.20,0.1953
2323,18,28,16.10,MEDIUM,1296,816,1344,864,48,48, 563,1.00,0.20,0.1093
2324,18,29,77.21,MEDIUM,1344,816,1392,864,48,48, 415,1.00,0.20,0.7254
2325,18,30,97.70,HIGH,1392,816,1440,864,48,48, 323,1.00,1.00,0.8466
2326,18,31,91.36,HIGH,1440,816,1488,864,48,48, 282,1.00,1.00,0.8250
2327,18,32,76.22,MEDIUM,1488,816,1536,864,48,48, 416,1.00,0.20,0.7203
2329,18,34,16.36,MEDIUM,1584,816,1632,864,48,48, 933,1.00,0.20,0.1229
2330,18,35,33.64,MEDIUM,1632,816,1680,864,48,48, 964,1.00,0.20,0.3734
2331,18,36,56.34,MEDIUM,1680,816,1728,864,48,48, 822,1.00,0.20,0.6185
2332,18,37,48.87,MEDIUM,1728,816,1776,864,48,48, 990,1.00,0.20,0.5584
2333,18,38,86.63,HIGH,1776,816,1824,864,48,48,1129,1.00,1.00,0.8407
2334,18,39,96.35,HIGH,1824,816,1872,864,48,48,1409,1.00,1.00,0.8707
2335,18,40,97.01,HIGH,1872,816,1920,864,48,48,1063,1.00,1.00,0.8677
2336,18,41,92.10,HIGH,1920,816,1968,864,48,48, 709,1.00,1.00,0.8478
2337,18,42,74.26,MEDIUM,1968,816,2016,864,48,48, 585,1.00,0.20,0.7246
2338,18,43,47.61,MEDIUM,2016,816,2064,864,48,48, 891,1.00,0.20,0.5405
2339,18,44,62.46,MEDIUM,2064,816,2112,864,48,48, 602,1.00,0.20,0.6518
2340,18,45,56.68,MEDIUM,2112,816,2160,864,48,48, 543,1.00,0.20,0.6014
2341,18,46,37.33,MEDIUM,2160,816,2208,864,48,48, 502,1.00,0.20,0.3915
2342,18,47,22.35,MEDIUM,2208,816,2256,864,48,48, 564,1.00,0.20,0.1913
2398,18,103,90.45,HIGH,4896,816,4944,864,48,48, 368,1.00,1.00,0.8286
2399,18,104,94.14,HIGH,4944,816,4992,864,48,48, 303,1.00,1.00,0.8351
2400,18,105,63.80,MEDIUM,4992,816,5040,864,48,48, 262,1.00,0.20,0.6183
2401,18,106,97.01,HIGH,5040,816,5088,864,48,48, 521,1.00,1.00,0.8548
2402,18,107,60.16,MEDIUM,5088,816,5136,864,48,48, 308,1.00,0.20,0.5995
2403,18,108,37.02,MEDIUM,5136,816,5184,864,48,48, 797,1.00,0.20,0.4104
2404,18,109,64.76,MEDIUM,5184,816,5232,864,48,48,1172,1.00,0.20,0.6961
2405,18,110,79.30,MEDIUM,5232,816,5280,864,48,48,1219,1.00,0.20,0.7757
2406,18,111,76.69,MEDIUM,5280,816,5328,864,48,48,1548,1.00,0.20,0.7714
2407,18,112,97.61,HIGH,5328,816,5376,864,48,48,1910,1.00,1.00,0.8780
2408,18,113,91.97,HIGH,5376,816,5424,864,48,48,1810,1.00,1.00,0.8639
2409,18,114,97.35,HIGH,5424,816,5472,864,48,48,1877,1.00,1.00,0.8772
2410,18,115,96.18,HIGH,5472,816,5520,864,48,48,1869,1.00,1.00,0.8745
2411,18,116,95.88,HIGH,5520,816,5568,864,48,48,1251,1.00,1.00,0.8677
2412,18,117,82.77,HIGH,5568,816,5616,864,48,48, 443,1.00,1.00,0.8068
2413,18,118,76.95,MEDIUM,5616,816,5664,864,48,48, 299,1.00,0.20,0.7086
2414,18,119,84.64,HIGH,5664,816,5712,864,48,48, 234,1.00,1.00,0.7963
2415,18,120,84.64,HIGH,5712,816,5760,864,48,48, 202,1.00,1.00,0.7920
2416,18,121,38.11,MEDIUM,5760,816,5808,864,48,48, 235,1.00,0.20,0.3598
2418,18,123,17.06,MEDIUM,5856,816,5904,864,48,48, 390,1.00,0.20,0.1128
2419,18,124,35.63,MEDIUM,5904,816,5952,864,48,48, 295,1.00,0.20,0.3420
2420,18,125,18.45,MEDIUM,5952,816,6000,864,48,48, 342,1.00,0.20,0.1261
2458,19,28,48.52,MEDIUM,1296,864,1344,912,48,48, 406,1.00,0.20,0.5094
