Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x2720
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2304x2720
Scaled Tile Size: 48x48
Total Mask: 80.61%, Total Tissue: 19.39%
Tiles: 48x57 = 2736
   382 (13.96%) tiles >=80% tissue
   353 (12.90%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
62,2,14,32.25,MEDIUM,624,48,672,96,48,48,   0,1.00,0.20,0.0000
110,3,14,60.50,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0000
111,3,15,83.98,HIGH,672,96,720,144,48,48,   3,1.00,1.00,0.4888
112,3,16,60.03,MEDIUM,720,96,768,144,48,48,   0,1.00,0.20,0.0000
113,3,17,57.99,MEDIUM,768,96,816,144,48,48,   0,1.00,0.20,0.0000
157,4,13,13.67,MEDIUM,576,144,624,192,48,48,   0,1.00,0.20,0.0000
158,4,14,44.62,MEDIUM,624,144,672,192,48,48,   0,1.00,0.20,0.0000
159,4,15,96.05,HIGH,672,144,720,192,48,48,   8,1.00,1.00,0.6714
160,4,16,97.05,HIGH,720,144,768,192,48,48,   5,1.00,1.00,0.6322
161,4,17,92.75,HIGH,768,144,816,192,48,48,   6,1.00,1.00,0.6312
162,4,18,56.90,MEDIUM,816,144,864,192,48,48,   1,1.00,0.20,0.0317
202,5,10,25.30,MEDIUM,432,192,480,240,48,48,   0,1.00,0.20,0.0052
203,5,11,23.05,MEDIUM,480,192,528,240,48,48,   0,1.00,0.20,0.0000
206,5,14,50.04,MEDIUM,624,192,672,240,48,48,   0,1.00,0.20,0.0000
207,5,15,85.72,HIGH,672,192,720,240,48,48,   1,1.00,1.00,0.2977
208,5,16,98.09,HIGH,720,192,768,240,48,48,   4,1.00,1.00,0.5981
209,5,17,96.44,HIGH,768,192,816,240,48,48,   3,1.00,1.00,0.5735
210,5,18,82.99,HIGH,816,192,864,240,48,48,   3,1.00,1.00,0.4633
249,6,9,18.45,MEDIUM,384,240,432,288,48,48,   0,1.00,0.20,0.0000
250,6,10,22.48,MEDIUM,432,240,480,288,48,48,   0,1.00,0.20,0.0000
252,6,12,15.45,MEDIUM,528,240,576,288,48,48,   0,1.00,0.20,0.0009
253,6,13,23.61,MEDIUM,576,240,624,288,48,48,   0,1.00,0.20,0.0024
254,6,14,49.44,MEDIUM,624,240,672,288,48,48,   0,1.00,0.20,0.0063
255,6,15,86.55,HIGH,672,240,720,288,48,48,   2,1.00,1.00,0.4119
256,6,16,99.48,HIGH,720,240,768,288,48,48,   1,0.49,1.00,0.2708
257,6,17,99.35,HIGH,768,240,816,288,48,48,   2,1.00,1.00,0.5521
258,6,18,95.92,HIGH,816,240,864,288,48,48,   2,1.00,1.00,0.5151
296,7,8,18.23,MEDIUM,336,288,384,336,48,48,   0,1.00,0.20,0.0000
297,7,9,59.03,MEDIUM,384,288,432,336,48,48,   0,1.00,0.20,0.0024
298,7,10,76.39,MEDIUM,432,288,480,336,48,48,   0,1.00,0.20,0.0454
299,7,11,34.90,MEDIUM,480,288,528,336,48,48,   0,1.00,0.20,0.0000
300,7,12,16.75,MEDIUM,528,288,576,336,48,48,   0,1.00,0.20,0.0012
301,7,13,42.84,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0000
302,7,14,35.46,MEDIUM,624,288,672,336,48,48,   0,1.00,0.20,0.0000
303,7,15,91.67,HIGH,672,288,720,336,48,48,   0,1.00,1.00,0.0275
304,7,16,97.01,HIGH,720,288,768,336,48,48,   3,1.00,1.00,0.5600
305,7,17,96.88,HIGH,768,288,816,336,48,48,   6,1.00,1.00,0.6437
306,7,18,98.57,HIGH,816,288,864,336,48,48,   4,1.00,1.00,0.5991
307,7,19,22.70,MEDIUM,864,288,912,336,48,48,   0,1.00,0.20,0.0030
344,8,8,29.56,MEDIUM,336,336,384,384,48,48,   0,1.00,0.20,0.0022
345,8,9,24.87,MEDIUM,384,336,432,384,48,48,   0,1.00,0.20,0.0016
346,8,10,38.67,MEDIUM,432,336,480,384,48,48,   0,1.00,0.20,0.0000
347,8,11,31.29,MEDIUM,480,336,528,384,48,48,   0,1.00,0.20,0.0000
348,8,12,31.68,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0055
349,8,13,83.90,HIGH,576,336,624,384,48,48,   0,1.00,1.00,0.1257
350,8,14,39.93,MEDIUM,624,336,672,384,48,48,   0,1.00,0.20,0.0041
351,8,15,54.04,MEDIUM,672,336,720,384,48,48,   1,1.00,0.20,0.0588
352,8,16,96.48,HIGH,720,336,768,384,48,48,   6,1.00,1.00,0.6450
353,8,17,95.49,HIGH,768,336,816,384,48,48,   4,1.00,1.00,0.5840
354,8,18,98.31,HIGH,816,336,864,384,48,48,   3,1.00,1.00,0.5526
355,8,19,58.46,MEDIUM,864,336,912,384,48,48,   4,1.00,0.20,0.1726
391,9,7,38.67,MEDIUM,288,384,336,432,48,48,   0,1.00,0.20,0.0000
393,9,9,35.72,MEDIUM,384,384,432,432,48,48,   0,1.00,0.20,0.0102
394,9,10,54.12,MEDIUM,432,384,480,432,48,48,   0,1.00,0.20,0.0219
395,9,11,25.74,MEDIUM,480,384,528,432,48,48,   0,1.00,0.20,0.0000
397,9,13,50.78,MEDIUM,576,384,624,432,48,48,   1,1.00,0.20,0.0291
398,9,14,54.34,MEDIUM,624,384,672,432,48,48,   0,1.00,0.20,0.0009
399,9,15,30.08,MEDIUM,672,384,720,432,48,48,   0,1.00,0.20,0.0000
400,9,16,92.97,HIGH,720,384,768,432,48,48,   1,1.00,1.00,0.2892
401,9,17,98.48,HIGH,768,384,816,432,48,48,   3,1.00,1.00,0.5608
402,9,18,92.97,HIGH,816,384,864,432,48,48,   1,1.00,1.00,0.4168
403,9,19,90.41,HIGH,864,384,912,432,48,48,   2,1.00,1.00,0.4949
439,10,7,28.43,MEDIUM,288,432,336,480,48,48,   0,1.00,0.20,0.0000
440,10,8,34.85,MEDIUM,336,432,384,480,48,48,   0,1.00,0.20,0.0000
441,10,9,35.20,MEDIUM,384,432,432,480,48,48,   0,1.00,0.20,0.0017
444,10,12,36.11,MEDIUM,528,432,576,480,48,48,   0,1.00,0.20,0.0000
447,10,15,67.84,MEDIUM,672,432,720,480,48,48,   3,1.00,0.20,0.1953
448,10,16,95.40,HIGH,720,432,768,480,48,48,   9,1.00,1.00,0.6769
449,10,17,95.53,HIGH,768,432,816,480,48,48,   4,1.00,1.00,0.5790
450,10,18,95.92,HIGH,816,432,864,480,48,48,   2,1.00,1.00,0.5295
451,10,19,93.01,HIGH,864,432,912,480,48,48,   2,1.00,1.00,0.4605
486,11,6,20.79,MEDIUM,240,480,288,528,48,48,   0,1.00,0.20,0.0034
487,11,7,26.00,MEDIUM,288,480,336,528,48,48,   0,1.00,0.20,0.0000
488,11,8,39.37,MEDIUM,336,480,384,528,48,48,   0,1.00,0.20,0.0025
489,11,9,36.46,MEDIUM,384,480,432,528,48,48,   0,1.00,0.20,0.0118
490,11,10,73.26,MEDIUM,432,480,480,528,48,48,   0,1.00,0.20,0.0000
491,11,11,72.09,MEDIUM,480,480,528,528,48,48,   0,1.00,0.20,0.0133
492,11,12,86.11,HIGH,528,480,576,528,48,48,   0,1.00,1.00,0.0243
493,11,13,39.02,MEDIUM,576,480,624,528,48,48,   9,1.00,0.20,0.1381
494,11,14,69.01,MEDIUM,624,480,672,528,48,48,   0,1.00,0.20,0.0121
495,11,15,74.57,MEDIUM,672,480,720,528,48,48,   0,1.00,0.20,0.0000
496,11,16,93.45,HIGH,720,480,768,528,48,48,   1,1.00,1.00,0.3228
497,11,17,95.44,HIGH,768,480,816,528,48,48,   0,1.00,1.00,0.2181
498,11,18,97.44,HIGH,816,480,864,528,48,48,   2,1.00,1.00,0.5307
499,11,19,96.66,HIGH,864,480,912,528,48,48,   2,1.00,1.00,0.5272
500,11,20,31.47,MEDIUM,912,480,960,528,48,48,   0,1.00,0.20,0.0000
532,12,4,35.76,MEDIUM,144,528,192,576,48,48,   0,1.00,0.20,0.0000
