Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2692x5512
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2692x5512
Scaled Tile Size: 48x48
Total Mask: 97.31%, Total Tissue: 2.69%
Tiles: 57x115 = 6555
    87 ( 1.33%) tiles >=80% tissue
   206 ( 3.14%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1227,22,30,13.89,MEDIUM,1392,1008,1440,1056,48,48,  50,1.00,0.20,0.0441
1283,23,29,21.40,MEDIUM,1344,1056,1392,1104,48,48, 340,1.00,0.20,0.1624
1340,24,29,26.82,MEDIUM,1344,1104,1392,1152,48,48,1116,1.00,0.20,0.2803
1343,24,32,26.13,MEDIUM,1488,1104,1536,1152,48,48, 462,1.00,0.20,0.2365
1501,27,19,16.75,MEDIUM,864,1248,912,1296,48,48, 423,1.00,0.20,0.1110
1558,28,19,29.43,MEDIUM,864,1296,912,1344,48,48,8647,1.00,0.20,0.3923
1559,28,20,20.70,MEDIUM,912,1296,960,1344,48,48,1889,1.00,0.20,0.2028
1732,31,22,14.37,MEDIUM,1008,1440,1056,1488,48,48,1923,0.49,0.20,0.0977
2257,40,34,27.04,MEDIUM,1584,1872,1632,1920,48,48,1129,1.00,0.20,0.2840
2313,41,33,29.86,MEDIUM,1536,1920,1584,1968,48,48,3935,1.00,0.20,0.3729
2314,41,34,30.95,MEDIUM,1584,1920,1632,1968,48,48,1820,1.00,0.20,0.3610
2370,42,33,37.41,MEDIUM,1536,1968,1584,2016,48,48,5339,1.00,0.20,0.4940
2371,42,34,59.03,MEDIUM,1584,1968,1632,2016,48,48,11558,1.00,0.20,0.7297
2372,42,35,69.10,MEDIUM,1632,1968,1680,2016,48,48,16691,1.00,0.20,0.7948
2373,42,36,49.44,MEDIUM,1680,1968,1728,2016,48,48,11491,1.00,0.20,0.6542
2413,43,19,15.58,MEDIUM,864,2016,912,2064,48,48,1348,1.00,0.20,0.1197
2428,43,34,81.64,HIGH,1584,2016,1632,2064,48,48,4567,1.00,1.00,0.8489
2429,43,35,89.93,HIGH,1632,2016,1680,2064,48,48,3873,1.00,1.00,0.8698
2430,43,36,87.41,HIGH,1680,2016,1728,2064,48,48,3686,1.00,1.00,0.8625
2431,43,37,42.49,MEDIUM,1728,2016,1776,2064,48,48,12488,1.00,0.20,0.5855
2470,44,19,30.03,MEDIUM,864,2064,912,2112,48,48,2283,1.00,0.20,0.3559
2485,44,34,65.49,MEDIUM,1584,2064,1632,2112,48,48, 379,1.00,0.20,0.6506
2486,44,35,79.34,MEDIUM,1632,2064,1680,2112,48,48, 591,1.00,0.20,0.7506
2487,44,36,96.09,HIGH,1680,2064,1728,2112,48,48,1676,1.00,1.00,0.8727
2488,44,37,84.77,HIGH,1728,2064,1776,2112,48,48,6158,1.00,1.00,0.8624
2527,45,19,75.56,MEDIUM,864,2112,912,2160,48,48,3460,1.00,0.20,0.7888
2528,45,20,92.06,HIGH,912,2112,960,2160,48,48,2977,1.00,1.00,0.8714
2529,45,21,68.71,MEDIUM,960,2112,1008,2160,48,48,3232,1.00,0.20,0.7534
2542,45,34,25.87,MEDIUM,1584,2112,1632,2160,48,48,  99,1.00,0.20,0.1687
