Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3720x3152
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3720x3152
Scaled Tile Size: 48x48
Total Mask: 66.65%, Total Tissue: 33.35%
Tiles: 78x66 = 5148
  1435 (27.87%) tiles >=80% tissue
   623 (12.10%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
195,3,39,22.31,MEDIUM,1824,96,1872,144,48,48,   0,1.00,0.20,0.0000
340,5,28,53.78,MEDIUM,1296,192,1344,240,48,48,   0,1.00,0.20,0.0000
341,5,29,48.00,MEDIUM,1344,192,1392,240,48,48,   0,1.00,0.20,0.0000
342,5,30,57.64,MEDIUM,1392,192,1440,240,48,48,   0,1.00,0.20,0.0000
343,5,31,34.94,MEDIUM,1440,192,1488,240,48,48,   0,1.00,0.20,0.0000
344,5,32,27.13,MEDIUM,1488,192,1536,240,48,48,   0,1.00,0.20,0.0000
345,5,33,40.32,MEDIUM,1536,192,1584,240,48,48,   0,1.00,0.20,0.0000
418,6,28,21.83,MEDIUM,1296,240,1344,288,48,48,   0,1.00,0.20,0.0000
419,6,29,54.64,MEDIUM,1344,240,1392,288,48,48,   0,1.00,0.20,0.0000
420,6,30,89.11,HIGH,1392,240,1440,288,48,48,   0,1.00,1.00,0.0000
421,6,31,81.55,HIGH,1440,240,1488,288,48,48,   0,1.00,1.00,0.0000
422,6,32,57.12,MEDIUM,1488,240,1536,288,48,48,   0,1.00,0.20,0.0000
423,6,33,66.97,MEDIUM,1536,240,1584,288,48,48,   0,1.00,0.20,0.0000
424,6,34,49.31,MEDIUM,1584,240,1632,288,48,48,   0,1.00,0.20,0.0000
435,6,45,15.19,MEDIUM,2112,240,2160,288,48,48,   0,1.00,0.20,0.0000
436,6,46,14.54,MEDIUM,2160,240,2208,288,48,48,   0,1.00,0.20,0.0000
493,7,25,14.67,MEDIUM,1152,288,1200,336,48,48,   0,0.49,0.20,0.0000
494,7,26,19.31,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0000
498,7,30,20.79,MEDIUM,1392,288,1440,336,48,48,   0,1.00,0.20,0.0000
499,7,31,44.62,MEDIUM,1440,288,1488,336,48,48,   0,1.00,0.20,0.0000
500,7,32,16.97,MEDIUM,1488,288,1536,336,48,48,   0,1.00,0.20,0.0000
502,7,34,45.14,MEDIUM,1584,288,1632,336,48,48,   0,1.00,0.20,0.0000
503,7,35,80.64,HIGH,1632,288,1680,336,48,48,   0,1.00,1.00,0.0000
504,7,36,33.46,MEDIUM,1680,288,1728,336,48,48,   0,1.00,0.20,0.0000
506,7,38,21.05,MEDIUM,1776,288,1824,336,48,48,   0,1.00,0.20,0.0000
507,7,39,14.97,MEDIUM,1824,288,1872,336,48,48,   0,1.00,0.20,0.0000
508,7,40,17.14,MEDIUM,1872,288,1920,336,48,48,   0,1.00,0.20,0.0000
509,7,41,15.49,MEDIUM,1920,288,1968,336,48,48,   0,1.00,0.20,0.0000
510,7,42,18.32,MEDIUM,1968,288,2016,336,48,48,   0,1.00,0.20,0.0000
511,7,43,33.72,MEDIUM,2016,288,2064,336,48,48,   0,1.00,0.20,0.0000
512,7,44,48.78,MEDIUM,2064,288,2112,336,48,48,   0,1.00,0.20,0.0000
513,7,45,49.52,MEDIUM,2112,288,2160,336,48,48,   0,1.00,0.20,0.0000
514,7,46,68.06,MEDIUM,2160,288,2208,336,48,48,   0,1.00,0.20,0.0000
515,7,47,28.82,MEDIUM,2208,288,2256,336,48,48,   0,1.00,0.20,0.0000
581,8,35,62.07,MEDIUM,1632,336,1680,384,48,48,   0,1.00,0.20,0.0000
582,8,36,87.07,HIGH,1680,336,1728,384,48,48,   0,1.00,1.00,0.0000
583,8,37,62.37,MEDIUM,1728,336,1776,384,48,48,   0,1.00,0.20,0.0000
584,8,38,80.51,HIGH,1776,336,1824,384,48,48,   0,1.00,1.00,0.0000
585,8,39,88.32,HIGH,1824,336,1872,384,48,48,   0,1.00,1.00,0.0000
586,8,40,86.98,HIGH,1872,336,1920,384,48,48,   0,1.00,1.00,0.0000
587,8,41,88.98,HIGH,1920,336,1968,384,48,48,   0,1.00,1.00,0.0000
588,8,42,81.68,HIGH,1968,336,2016,384,48,48,   0,1.00,1.00,0.0000
589,8,43,82.42,HIGH,2016,336,2064,384,48,48,   0,1.00,1.00,0.0000
590,8,44,75.09,MEDIUM,2064,336,2112,384,48,48,   0,1.00,0.20,0.0000
591,8,45,75.30,MEDIUM,2112,336,2160,384,48,48,   0,1.00,0.20,0.0000
592,8,46,33.33,MEDIUM,2160,336,2208,384,48,48,   0,1.00,0.20,0.0000
648,9,24,40.93,MEDIUM,1104,384,1152,432,48,48,   0,1.00,0.20,0.0000
659,9,35,17.49,MEDIUM,1632,384,1680,432,48,48,   0,1.00,0.20,0.0000
660,9,36,70.31,MEDIUM,1680,384,1728,432,48,48,   0,1.00,0.20,0.0000
661,9,37,75.30,MEDIUM,1728,384,1776,432,48,48,   0,1.00,0.20,0.0101
662,9,38,92.01,HIGH,1776,384,1824,432,48,48,   0,1.00,1.00,0.0000
663,9,39,86.46,HIGH,1824,384,1872,432,48,48,   0,1.00,1.00,0.0548
664,9,40,73.83,MEDIUM,1872,384,1920,432,48,48,   0,1.00,0.20,0.0000
665,9,41,72.70,MEDIUM,1920,384,1968,432,48,48,   0,1.00,0.20,0.0000
666,9,42,78.26,MEDIUM,1968,384,2016,432,48,48,   0,1.00,0.20,0.0000
667,9,43,60.63,MEDIUM,2016,384,2064,432,48,48,   0,1.00,0.20,0.0000
727,10,25,17.71,MEDIUM,1152,432,1200,480,48,48,   0,1.00,0.20,0.0000
738,10,36,32.99,MEDIUM,1680,432,1728,480,48,48,   0,1.00,0.20,0.0000
739,10,37,67.62,MEDIUM,1728,432,1776,480,48,48,   0,1.00,0.20,0.0020
740,10,38,56.03,MEDIUM,1776,432,1824,480,48,48,   0,1.00,0.20,0.0000
741,10,39,87.98,HIGH,1824,432,1872,480,48,48,   0,1.00,1.00,0.0000
742,10,40,65.84,MEDIUM,1872,432,1920,480,48,48,   0,1.00,0.20,0.0000
744,10,42,36.07,MEDIUM,1968,432,2016,480,48,48,   0,1.00,0.20,0.0000
745,10,43,22.79,MEDIUM,2016,432,2064,480,48,48,   0,1.00,0.20,0.0000
805,11,25,47.48,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0000
