Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x5088
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x5088
Scaled Tile Size: 48x48
Total Mask: 79.76%, Total Tissue: 20.24%
Tiles: 59x106 = 6254
   816 (13.05%) tiles >=80% tissue
   997 (15.94%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
109,2,50,16.75,MEDIUM,2352,48,2400,96,48,48,   3,1.00,0.20,0.0113
168,3,50,46.31,MEDIUM,2352,96,2400,144,48,48,   3,1.00,0.20,0.0861
215,4,38,41.45,MEDIUM,1776,144,1824,192,48,48,  26,1.00,0.20,0.2400
216,4,39,44.84,MEDIUM,1824,144,1872,192,48,48,  18,1.00,0.20,0.2340
217,4,40,37.54,MEDIUM,1872,144,1920,192,48,48,  31,1.00,0.20,0.2185
223,4,46,18.23,MEDIUM,2160,144,2208,192,48,48,   6,1.00,0.20,0.0256
224,4,47,21.92,MEDIUM,2208,144,2256,192,48,48,   5,1.00,0.20,0.0341
227,4,50,53.82,MEDIUM,2352,144,2400,192,48,48,   4,1.00,0.20,0.1448
271,5,35,39.19,MEDIUM,1632,192,1680,240,48,48,  22,1.00,0.20,0.2044
272,5,36,74.13,MEDIUM,1680,192,1728,240,48,48,  30,1.00,0.20,0.5167
273,5,37,65.71,MEDIUM,1728,192,1776,240,48,48,   9,1.00,0.20,0.3122
274,5,38,66.58,MEDIUM,1776,192,1824,240,48,48,  33,1.00,0.20,0.4738
275,5,39,76.22,MEDIUM,1824,192,1872,240,48,48,   8,1.00,0.20,0.3628
276,5,40,89.63,HIGH,1872,192,1920,240,48,48,  54,1.00,1.00,0.7630
277,5,41,86.33,HIGH,1920,192,1968,240,48,48,  21,1.00,1.00,0.6964
278,5,42,67.93,MEDIUM,1968,192,2016,240,48,48,  19,1.00,0.20,0.4181
279,5,43,79.56,MEDIUM,2016,192,2064,240,48,48,  32,1.00,0.20,0.5576
280,5,44,79.56,MEDIUM,2064,192,2112,240,48,48,  29,1.00,0.20,0.5474
281,5,45,81.29,HIGH,2112,192,2160,240,48,48,  27,1.00,1.00,0.6887
282,5,46,95.53,HIGH,2160,192,2208,240,48,48,  54,1.00,1.00,0.7852
283,5,47,78.39,MEDIUM,2208,192,2256,240,48,48,  65,1.00,0.20,0.6189
284,5,48,57.16,MEDIUM,2256,192,2304,240,48,48,  27,1.00,0.20,0.3793
285,5,49,65.32,MEDIUM,2304,192,2352,240,48,48,   7,1.00,0.20,0.2682
286,5,50,69.40,MEDIUM,2352,192,2400,240,48,48,   4,1.00,0.20,0.2115
328,6,33,44.84,MEDIUM,1536,240,1584,288,48,48,  16,1.00,0.20,0.2248
329,6,34,74.31,MEDIUM,1584,240,1632,288,48,48,   6,1.00,0.20,0.2978
