Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12000
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5544x12000
Scaled Tile Size: 48x48
Total Mask: 96.64%, Total Tissue: 3.36%
Tiles: 116x250 = 29000
   127 ( 0.44%) tiles >=80% tissue
  2038 ( 7.03%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1833,16,93,36.63,MEDIUM,4416,720,4464,768,48,48,   7,1.00,0.20,0.1047
1834,16,94,37.67,MEDIUM,4464,720,4512,768,48,48,   9,1.00,0.20,0.1280
1835,16,95,49.18,MEDIUM,4512,720,4560,768,48,48,   9,1.00,0.20,0.1950
1836,16,96,52.08,MEDIUM,4560,720,4608,768,48,48,   8,1.00,0.20,0.2055
1837,16,97,44.31,MEDIUM,4608,720,4656,768,48,48,  13,1.00,0.20,0.1991
1948,17,92,42.66,MEDIUM,4368,768,4416,816,48,48,   8,1.00,0.20,0.1529
1952,17,96,39.06,MEDIUM,4560,768,4608,816,48,48,  27,1.00,0.20,0.2210
1953,17,97,22.66,MEDIUM,4608,768,4656,816,48,48,   1,0.49,0.20,0.0068
2063,18,91,43.45,MEDIUM,4320,816,4368,864,48,48,  10,1.00,0.20,0.1682
2064,18,92,12.54,MEDIUM,4368,816,4416,864,48,48,   0,0.49,0.20,0.0007
2175,19,87,60.29,MEDIUM,4128,864,4176,912,48,48,   9,1.00,0.20,0.2663
2176,19,88,70.40,MEDIUM,4176,864,4224,912,48,48,   8,1.00,0.20,0.3188
2177,19,89,47.40,MEDIUM,4224,864,4272,912,48,48,  17,1.00,0.20,0.2494
2178,19,90,42.84,MEDIUM,4272,864,4320,912,48,48,   8,1.00,0.20,0.1482
2179,19,91,52.78,MEDIUM,4320,864,4368,912,48,48,  14,1.00,0.20,0.2720
2290,20,86,37.54,MEDIUM,4080,912,4128,960,48,48,  17,1.00,0.20,0.1720
2291,20,87,25.82,MEDIUM,4128,912,4176,960,48,48,   3,1.00,0.20,0.0274
2301,20,97,57.16,MEDIUM,4608,912,4656,960,48,48,   1,1.00,0.20,0.0610
