Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1008x2520
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1008x2520
Scaled Tile Size: 48x48
Total Mask: 93.19%, Total Tissue: 6.81%
Tiles: 21x53 = 1113
    20 ( 1.80%) tiles >=80% tissue
   123 (11.05%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
75,4,12,32.64,MEDIUM,528,144,576,192,48,48, 256,1.00,0.20,0.2965
93,5,9,84.85,HIGH,384,192,432,240,48,48,   5,1.00,1.00,0.5632
94,5,10,21.31,MEDIUM,432,192,480,240,48,48,  21,1.00,0.20,0.0695
95,5,11,15.76,MEDIUM,480,192,528,240,48,48,  19,0.49,0.20,0.0252
96,5,12,50.09,MEDIUM,528,192,576,240,48,48,  64,1.00,0.20,0.3970
101,5,17,33.55,MEDIUM,768,192,816,240,48,48, 144,1.00,0.20,0.2763
102,5,18,18.79,MEDIUM,816,192,864,240,48,48,  67,1.00,0.20,0.0860
114,6,9,47.66,MEDIUM,384,240,432,288,48,48,  10,1.00,0.20,0.1960
115,6,10,86.33,HIGH,432,240,480,288,48,48,   7,1.00,1.00,0.6128
116,6,11,66.32,MEDIUM,480,240,528,288,48,48,   9,1.00,0.20,0.3083
117,6,12,45.75,MEDIUM,528,240,576,288,48,48,   4,1.00,0.20,0.1142
118,6,13,16.75,MEDIUM,576,240,624,288,48,48,  39,0.49,0.20,0.0423
119,6,14,56.29,MEDIUM,624,240,672,288,48,48, 198,1.00,0.20,0.5400
120,6,15,19.18,MEDIUM,672,240,720,288,48,48,   5,1.00,0.20,0.0232
121,6,16,68.01,MEDIUM,720,240,768,288,48,48,  88,1.00,0.20,0.5749
122,6,17,86.07,HIGH,768,240,816,288,48,48,  61,1.00,1.00,0.7535
123,6,18,69.10,MEDIUM,816,240,864,288,48,48,  53,1.00,0.20,0.5396
134,7,8,57.42,MEDIUM,336,288,384,336,48,48,  15,1.00,0.20,0.3150
135,7,9,58.85,MEDIUM,384,288,432,336,48,48,  11,1.00,0.20,0.2864
136,7,10,71.57,MEDIUM,432,288,480,336,48,48,   7,1.00,0.20,0.3017
137,7,11,79.17,MEDIUM,480,288,528,336,48,48,   2,1.00,0.20,0.1914
138,7,12,57.73,MEDIUM,528,288,576,336,48,48,   5,1.00,0.20,0.1886
139,7,13,34.90,MEDIUM,576,288,624,336,48,48,  95,1.00,0.20,0.2671
140,7,14,47.44,MEDIUM,624,288,672,336,48,48,  80,1.00,0.20,0.3889
141,7,15,28.56,MEDIUM,672,288,720,336,48,48,  14,1.00,0.20,0.0977
142,7,16,70.83,MEDIUM,720,288,768,336,48,48,  33,1.00,0.20,0.5031
143,7,17,85.42,HIGH,768,288,816,336,48,48,  92,1.00,1.00,0.7678
144,7,18,77.69,MEDIUM,816,288,864,336,48,48, 116,1.00,0.20,0.6577
154,8,7,27.69,MEDIUM,288,336,336,384,48,48,   7,1.00,0.20,0.0625
155,8,8,80.30,HIGH,336,336,384,384,48,48,   6,1.00,1.00,0.5645
156,8,9,46.48,MEDIUM,384,336,432,384,48,48,   5,1.00,0.20,0.1286
157,8,10,69.10,MEDIUM,432,336,480,384,48,48,   7,1.00,0.20,0.2862
158,8,11,68.36,MEDIUM,480,336,528,384,48,48,   4,1.00,0.20,0.2272
159,8,12,31.99,MEDIUM,528,336,576,384,48,48,   2,1.00,0.20,0.0336
160,8,13,48.87,MEDIUM,576,336,624,384,48,48,   5,1.00,0.20,0.1463
161,8,14,40.62,MEDIUM,624,336,672,384,48,48,  21,1.00,0.20,0.2142
163,8,16,67.36,MEDIUM,720,336,768,384,48,48,  62,1.00,0.20,0.5412
164,8,17,76.74,MEDIUM,768,336,816,384,48,48,   6,1.00,0.20,0.3117
165,8,18,69.97,MEDIUM,816,336,864,384,48,48,  51,1.00,0.20,0.5411
175,9,7,46.09,MEDIUM,288,384,336,432,48,48,   8,1.00,0.20,0.1664
176,9,8,60.16,MEDIUM,336,384,384,432,48,48,   3,1.00,0.20,0.1422
177,9,9,35.37,MEDIUM,384,384,432,432,48,48,   3,1.00,0.20,0.0561
178,9,10,51.78,MEDIUM,432,384,480,432,48,48,   4,1.00,0.20,0.1460
179,9,11,49.18,MEDIUM,480,384,528,432,48,48,  48,1.00,0.20,0.3637
180,9,12,30.99,MEDIUM,528,384,576,432,48,48,   9,1.00,0.20,0.0889
181,9,13,36.68,MEDIUM,576,384,624,432,48,48,  54,1.00,0.20,0.2497
182,9,14,53.08,MEDIUM,624,384,672,432,48,48,  25,1.00,0.20,0.3339
184,9,16,65.15,MEDIUM,720,384,768,432,48,48,  63,1.00,0.20,0.5254
185,9,17,92.49,HIGH,768,384,816,432,48,48,  55,0.49,1.00,0.7406
186,9,18,51.65,MEDIUM,816,384,864,432,48,48, 143,1.00,0.20,0.4746
196,10,7,51.61,MEDIUM,288,432,336,480,48,48,  11,1.00,0.20,0.2363
197,10,8,55.43,MEDIUM,336,432,384,480,48,48,   3,1.00,0.20,0.1191
201,10,12,31.29,MEDIUM,528,432,576,480,48,48,  17,1.00,0.20,0.1272
202,10,13,33.55,MEDIUM,576,432,624,480,48,48,  12,1.00,0.20,0.1194
203,10,14,50.74,MEDIUM,624,432,672,480,48,48,   4,1.00,0.20,0.1399
204,10,15,37.85,MEDIUM,672,432,720,480,48,48,  28,1.00,0.20,0.2126
205,10,16,86.59,HIGH,720,432,768,480,48,48, 143,1.00,1.00,0.7885
206,10,17,96.83,HIGH,768,432,816,480,48,48, 123,0.49,1.00,0.7943
207,10,18,16.49,MEDIUM,816,432,864,480,48,48,  57,1.00,0.20,0.0643
216,11,6,13.02,MEDIUM,240,480,288,528,48,48,   2,0.49,0.20,0.0036
217,11,7,16.45,MEDIUM,288,480,336,528,48,48,   1,1.00,0.20,0.0029
222,11,12,26.00,MEDIUM,528,480,576,528,48,48, 241,1.00,0.20,0.2085
223,11,13,32.90,MEDIUM,576,480,624,528,48,48,  13,1.00,0.20,0.1235
224,11,14,55.69,MEDIUM,624,480,672,528,48,48,  30,1.00,0.20,0.3772
225,11,15,67.62,MEDIUM,672,480,720,528,48,48, 224,1.00,0.20,0.6361
226,11,16,95.23,HIGH,720,480,768,528,48,48,  57,0.49,1.00,0.7529
227,11,17,59.33,MEDIUM,768,480,816,528,48,48, 202,1.00,0.20,0.5673
245,12,14,38.41,MEDIUM,624,528,672,576,48,48,  96,1.00,0.20,0.3070
246,12,15,94.23,HIGH,672,528,720,576,48,48,  72,1.00,1.00,0.7923
247,12,16,63.89,MEDIUM,720,528,768,576,48,48, 181,1.00,0.20,0.5962
266,13,14,23.05,MEDIUM,624,576,672,624,48,48,  84,1.00,0.20,0.1328
267,13,15,28.78,MEDIUM,672,576,720,624,48,48,  94,1.00,0.20,0.1980
849,41,9,20.40,MEDIUM,384,1920,432,1968,48,48,  10,1.00,0.20,0.0442
850,41,10,71.05,MEDIUM,432,1920,480,1968,48,48,   3,1.00,0.20,0.2081
853,41,13,63.89,MEDIUM,576,1920,624,1968,48,48, 137,1.00,0.20,0.5774
870,42,9,23.13,MEDIUM,384,1968,432,2016,48,48,  22,1.00,0.20,0.0824
871,42,10,67.14,MEDIUM,432,1968,480,2016,48,48,   4,1.00,0.20,0.2124
872,42,11,70.53,MEDIUM,480,1968,528,2016,48,48,   5,1.00,0.20,0.2495
873,42,12,36.41,MEDIUM,528,1968,576,2016,48,48,  11,1.00,0.20,0.1334
890,43,8,55.30,MEDIUM,336,2016,384,2064,48,48,  19,1.00,0.20,0.3246
891,43,9,61.72,MEDIUM,384,2016,432,2064,48,48,   5,1.00,0.20,0.2164
892,43,10,61.15,MEDIUM,432,2016,480,2064,48,48,   6,1.00,0.20,0.2249
893,43,11,80.47,HIGH,480,2016,528,2064,48,48,   3,1.00,1.00,0.4932
894,43,12,30.56,MEDIUM,528,2016,576,2064,48,48,   1,1.00,0.20,0.0234
895,43,13,23.31,MEDIUM,576,2016,624,2064,48,48,  40,1.00,0.20,0.1069
896,43,14,58.42,MEDIUM,624,2016,672,2064,48,48, 144,1.00,0.20,0.5368
897,43,15,15.54,MEDIUM,672,2016,720,2064,48,48, 153,1.00,0.20,0.0769
898,43,16,48.87,MEDIUM,720,2016,768,2064,48,48,  10,1.00,0.20,0.2069
899,43,17,56.34,MEDIUM,768,2016,816,2064,48,48, 151,1.00,0.20,0.5221
