Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 896x800
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 896x800
Scaled Tile Size: 48x48
Total Mask: 98.55%, Total Tissue: 1.45%
Tiles: 19x17 = 323
     0 ( 0.00%) tiles >=80% tissue
    15 ( 4.64%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
69,4,12,17.62,MEDIUM,528,144,576,192,48,48,   2,1.00,0.20,0.0094
88,5,12,14.71,MEDIUM,528,192,576,240,48,48, 471,0.49,0.20,0.0770
89,5,13,24.48,MEDIUM,576,192,624,240,48,48,   8,1.00,0.20,0.0523
108,6,13,30.08,MEDIUM,576,240,624,288,48,48,  41,1.00,0.20,0.1673
119,7,5,55.77,MEDIUM,192,288,240,336,48,48, 178,1.00,0.20,0.5284
127,7,13,21.05,MEDIUM,576,288,624,336,48,48,   0,1.00,0.20,0.0000
138,8,5,78.56,MEDIUM,192,336,240,384,48,48, 280,1.00,0.20,0.7139
146,8,13,19.66,MEDIUM,576,336,624,384,48,48,   0,1.00,0.20,0.0004
157,9,5,30.60,MEDIUM,192,384,240,432,48,48, 284,1.00,0.20,0.2753
176,10,5,12.89,MEDIUM,192,432,240,480,48,48,   0,1.00,0.20,0.0000
203,11,13,15.67,MEDIUM,576,480,624,528,48,48,   0,1.00,0.20,0.0002
223,12,14,18.36,MEDIUM,624,528,672,576,48,48,   0,1.00,0.20,0.0000
242,13,14,13.54,MEDIUM,624,576,672,624,48,48,   0,1.00,0.20,0.0001
259,14,12,15.45,MEDIUM,528,624,576,672,48,48, 181,0.49,0.20,0.0654
260,14,13,15.84,MEDIUM,576,624,624,672,48,48,   0,1.00,0.20,0.0006
