Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3222x1389
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3222x1389
Scaled Tile Size: 48x48
Total Mask: 99.19%, Total Tissue: 0.81%
Tiles: 68x29 = 1972
     4 ( 0.20%) tiles >=80% tissue
    30 ( 1.52%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
669,10,57,12.24,MEDIUM,2688,432,2736,480,48,48,   2,0.49,0.20,0.0029
670,10,58,19.66,MEDIUM,2736,432,2784,480,48,48,   2,0.49,0.20,0.0059
671,10,59,32.25,MEDIUM,2784,432,2832,480,48,48,   3,0.49,0.20,0.0236
672,10,60,60.33,MEDIUM,2832,432,2880,480,48,48,   2,1.00,0.20,0.1212
673,10,61,67.36,MEDIUM,2880,432,2928,480,48,48,   2,1.00,0.20,0.1256
674,10,62,44.31,MEDIUM,2928,432,2976,480,48,48,   1,1.00,0.20,0.0343
736,11,56,13.85,MEDIUM,2640,480,2688,528,48,48,   1,0.49,0.20,0.0023
737,11,57,75.78,MEDIUM,2688,480,2736,528,48,48,   3,1.00,0.20,0.1908
738,11,58,91.54,HIGH,2736,480,2784,528,48,48,   2,1.00,1.00,0.4957
739,11,59,72.14,MEDIUM,2784,480,2832,528,48,48,   3,1.00,0.20,0.1839
740,11,60,61.76,MEDIUM,2832,480,2880,528,48,48,   9,1.00,0.20,0.2808
741,11,61,79.25,MEDIUM,2880,480,2928,528,48,48,  21,1.00,0.20,0.5088
742,11,62,34.68,MEDIUM,2928,480,2976,528,48,48,   3,0.49,0.20,0.0334
805,12,57,45.96,MEDIUM,2688,528,2736,576,48,48,   1,1.00,0.20,0.0300
809,12,61,19.36,MEDIUM,2880,528,2928,576,48,48,  20,0.49,0.20,0.0388
961,15,9,17.88,MEDIUM,384,672,432,720,48,48,   3,0.49,0.20,0.0075
962,15,10,39.80,MEDIUM,432,672,480,720,48,48,   1,1.00,0.20,0.0211
963,15,11,59.51,MEDIUM,480,672,528,720,48,48,   3,1.00,0.20,0.1318
964,15,12,18.19,MEDIUM,528,672,576,720,48,48,   0,0.49,0.20,0.0011
1027,16,7,52.91,MEDIUM,288,720,336,768,48,48,   3,1.00,0.20,0.1039
1028,16,8,79.95,MEDIUM,336,720,384,768,48,48,   2,1.00,0.20,0.1914
1029,16,9,80.77,HIGH,384,720,432,768,48,48,   2,1.00,1.00,0.4305
1030,16,10,94.27,HIGH,432,720,480,768,48,48,  11,0.49,1.00,0.6241
1031,16,11,89.45,HIGH,480,720,528,768,48,48,   3,1.00,1.00,0.5340
1032,16,12,13.06,MEDIUM,528,720,576,768,48,48,   0,0.49,0.20,0.0003
1094,17,6,33.59,MEDIUM,240,768,288,816,48,48,   2,1.00,0.20,0.0406
1095,17,7,53.73,MEDIUM,288,768,336,816,48,48,   2,1.00,0.20,0.0981
1096,17,8,15.32,MEDIUM,336,768,384,816,48,48,   2,0.49,0.20,0.0046
1098,17,10,45.70,MEDIUM,432,768,480,816,48,48,  34,0.49,0.20,0.2336
1099,17,11,14.84,MEDIUM,480,768,528,816,48,48,   1,0.49,0.20,0.0029
1166,18,10,12.20,MEDIUM,432,816,480,864,48,48,  13,0.49,0.20,0.0122
1167,18,11,27.17,MEDIUM,480,816,528,864,48,48,   0,1.00,0.20,0.0009
1168,18,12,21.31,MEDIUM,528,816,576,864,48,48,   0,0.49,0.20,0.0020
1236,19,12,12.15,MEDIUM,528,864,576,912,48,48,   0,0.49,0.20,0.0000
