Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x2496
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2176x2496
Scaled Tile Size: 48x48
Total Mask: 89.33%, Total Tissue: 10.67%
Tiles: 46x52 = 2392
    73 ( 3.05%) tiles >=80% tissue
   384 (16.05%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
71,2,25,23.09,MEDIUM,1152,48,1200,96,48,48, 646,1.00,0.20,0.2061
72,2,26,24.65,MEDIUM,1200,48,1248,96,48,48, 215,1.00,0.20,0.1870
73,2,27,21.40,MEDIUM,1248,48,1296,96,48,48, 269,0.49,0.20,0.1316
116,3,24,22.40,MEDIUM,1104,96,1152,144,48,48, 406,1.00,0.20,0.1811
117,3,25,44.27,MEDIUM,1152,96,1200,144,48,48, 125,1.00,0.20,0.3897
118,3,26,49.52,MEDIUM,1200,96,1248,144,48,48,   0,1.00,0.20,0.0000
120,3,28,50.52,MEDIUM,1296,96,1344,144,48,48, 390,1.00,0.20,0.5272
121,3,29,51.95,MEDIUM,1344,96,1392,144,48,48, 133,1.00,0.20,0.4725
168,4,30,32.42,MEDIUM,1392,144,1440,192,48,48, 518,1.00,0.20,0.3283
169,4,31,35.55,MEDIUM,1440,144,1488,192,48,48, 244,1.00,0.20,0.3306
170,4,32,28.43,MEDIUM,1488,144,1536,192,48,48, 344,1.00,0.20,0.2554
199,5,15,20.96,MEDIUM,672,192,720,240,48,48, 632,1.00,0.20,0.1756
200,5,16,16.62,MEDIUM,720,192,768,240,48,48, 290,0.49,0.20,0.0855
216,5,32,30.82,MEDIUM,1488,192,1536,240,48,48,  61,1.00,0.20,0.1971
217,5,33,49.05,MEDIUM,1536,192,1584,240,48,48,  61,1.00,0.20,0.3831
218,5,34,21.05,MEDIUM,1584,192,1632,240,48,48, 122,1.00,0.20,0.1255
246,6,16,34.11,MEDIUM,720,240,768,288,48,48, 343,1.00,0.20,0.3306
247,6,17,43.84,MEDIUM,768,240,816,288,48,48, 267,1.00,0.20,0.4344
263,6,33,25.91,MEDIUM,1536,240,1584,288,48,48,   0,1.00,0.20,0.0000
264,6,34,28.95,MEDIUM,1584,240,1632,288,48,48, 182,1.00,0.20,0.2328
265,6,35,44.75,MEDIUM,1632,240,1680,288,48,48, 212,1.00,0.20,0.4303
266,6,36,17.88,MEDIUM,1680,240,1728,288,48,48, 210,1.00,0.20,0.1073
292,7,16,17.14,MEDIUM,720,288,768,336,48,48,   0,0.49,0.20,0.0000
293,7,17,65.28,MEDIUM,768,288,816,336,48,48,  27,1.00,0.20,0.4435
294,7,18,42.75,MEDIUM,816,288,864,336,48,48, 280,1.00,0.20,0.4249
311,7,35,21.66,MEDIUM,1632,288,1680,336,48,48, 144,0.49,0.20,0.1130
312,7,36,74.39,MEDIUM,1680,288,1728,336,48,48, 114,1.00,0.20,0.6372
313,7,37,37.28,MEDIUM,1728,288,1776,336,48,48, 107,1.00,0.20,0.3020
338,8,16,39.11,MEDIUM,720,336,768,384,48,48,  19,1.00,0.20,0.1940
339,8,17,52.17,MEDIUM,768,336,816,384,48,48,  78,1.00,0.20,0.4338
340,8,18,72.83,MEDIUM,816,336,864,384,48,48, 333,1.00,0.20,0.6909
357,8,35,20.62,MEDIUM,1632,336,1680,384,48,48,   0,1.00,0.20,0.0000
358,8,36,48.70,MEDIUM,1680,336,1728,384,48,48,   0,1.00,0.20,0.0209
359,8,37,78.12,MEDIUM,1728,336,1776,384,48,48,  94,1.00,0.20,0.6456
360,8,38,32.90,MEDIUM,1776,336,1824,384,48,48, 270,1.00,0.20,0.3025
384,9,16,17.80,MEDIUM,720,384,768,432,48,48,   0,1.00,0.20,0.0028
385,9,17,48.83,MEDIUM,768,384,816,432,48,48,   2,1.00,0.20,0.0697
386,9,18,87.11,HIGH,816,384,864,432,48,48,  58,1.00,1.00,0.7558
387,9,19,25.13,MEDIUM,864,384,912,432,48,48, 170,1.00,0.20,0.1835
405,9,37,36.07,MEDIUM,1728,384,1776,432,48,48,   3,1.00,0.20,0.0505
406,9,38,56.90,MEDIUM,1776,384,1824,432,48,48, 141,1.00,0.20,0.5221
429,10,15,22.09,MEDIUM,672,432,720,480,48,48,  36,1.00,0.20,0.0934
430,10,16,41.10,MEDIUM,720,432,768,480,48,48,  98,1.00,0.20,0.3385
431,10,17,48.00,MEDIUM,768,432,816,480,48,48,  72,1.00,0.20,0.3863
432,10,18,77.39,MEDIUM,816,432,864,480,48,48,  92,0.49,0.20,0.5793
433,10,19,30.99,MEDIUM,864,432,912,480,48,48, 218,1.00,0.20,0.2673
452,10,38,59.20,MEDIUM,1776,432,1824,480,48,48,  76,1.00,0.20,0.4935
453,10,39,58.16,MEDIUM,1824,432,1872,480,48,48, 436,1.00,0.20,0.6024
454,10,40,17.06,MEDIUM,1872,432,1920,480,48,48,  46,1.00,0.20,0.0632
476,11,16,21.14,MEDIUM,720,480,768,528,48,48,  41,1.00,0.20,0.0904
477,11,17,68.19,MEDIUM,768,480,816,528,48,48, 271,1.00,0.20,0.6510
478,11,18,66.36,MEDIUM,816,480,864,528,48,48, 101,1.00,0.20,0.5735
498,11,38,27.91,MEDIUM,1776,480,1824,528,48,48,  28,1.00,0.20,0.1289
499,11,39,26.95,MEDIUM,1824,480,1872,528,48,48,   0,1.00,0.20,0.0000
501,11,41,17.66,MEDIUM,1920,480,1968,528,48,48,  32,1.00,0.20,0.0588
522,12,16,50.13,MEDIUM,720,528,768,576,48,48,  63,1.00,0.20,0.3963
523,12,17,81.99,HIGH,768,528,816,576,48,48, 210,1.00,1.00,0.7825
524,12,18,28.65,MEDIUM,816,528,864,576,48,48, 121,1.00,0.20,0.2095
533,12,27,26.22,MEDIUM,1248,528,1296,576,48,48, 202,1.00,0.20,0.2037
534,12,28,41.97,MEDIUM,1296,528,1344,576,48,48, 714,1.00,0.20,0.4667
535,12,29,39.19,MEDIUM,1344,528,1392,576,48,48,1673,1.00,0.20,0.4718
536,12,30,20.27,MEDIUM,1392,528,1440,576,48,48,1942,1.00,0.20,0.1968
544,12,38,15.06,MEDIUM,1776,528,1824,576,48,48,   0,0.49,0.20,0.0000
546,12,40,22.53,MEDIUM,1872,528,1920,576,48,48,   0,0.49,0.20,0.0000
568,13,16,31.08,MEDIUM,720,576,768,624,48,48,   3,1.00,0.20,0.0432
