Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x4928
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x4928
Scaled Tile Size: 48x48
Total Mask: 91.28%, Total Tissue: 8.72%
Tiles: 62x103 = 6386
   360 ( 5.64%) tiles >=80% tissue
   467 ( 7.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
34,1,34,73.61,MEDIUM,1584,0,1632,48,48,48,  44,1.00,0.20,0.5518
35,1,35,60.03,MEDIUM,1632,0,1680,48,48,48,  38,1.00,0.20,0.4377
36,1,36,31.60,MEDIUM,1680,0,1728,48,48,48,  28,1.00,0.20,0.1576
62,1,62,16.67,MEDIUM,2928,0,2944,48,16,48,   0,0.49,0.20,0.0000
96,2,34,31.03,MEDIUM,1584,48,1632,96,48,48,   1,1.00,0.20,0.0196
97,2,35,70.83,MEDIUM,1632,48,1680,96,48,48,   5,1.00,0.20,0.2497
98,2,36,58.64,MEDIUM,1680,48,1728,96,48,48,   0,1.00,0.20,0.0000
99,2,37,61.24,MEDIUM,1728,48,1776,96,48,48,  21,1.00,0.20,0.3803
159,3,35,39.28,MEDIUM,1632,96,1680,144,48,48,   0,1.00,0.20,0.0000
160,3,36,69.01,MEDIUM,1680,96,1728,144,48,48,   1,1.00,0.20,0.0740
161,3,37,71.22,MEDIUM,1728,96,1776,144,48,48,   8,1.00,0.20,0.3260
162,3,38,62.28,MEDIUM,1776,96,1824,144,48,48,  38,1.00,0.20,0.4542
200,4,14,28.56,MEDIUM,624,144,672,192,48,48,  11,1.00,0.20,0.0850
201,4,15,30.51,MEDIUM,672,144,720,192,48,48,  21,1.00,0.20,0.1337
202,4,16,21.22,MEDIUM,720,144,768,192,48,48,  27,1.00,0.20,0.0776
220,4,34,30.34,MEDIUM,1584,144,1632,192,48,48,   0,1.00,0.20,0.0000
221,4,35,50.35,MEDIUM,1632,144,1680,192,48,48,   0,1.00,0.20,0.0000
222,4,36,62.24,MEDIUM,1680,144,1728,192,48,48,   0,1.00,0.20,0.0000
223,4,37,81.03,HIGH,1728,144,1776,192,48,48,  13,1.00,1.00,0.6354
224,4,38,76.78,MEDIUM,1776,144,1824,192,48,48,  10,1.00,0.20,0.3892
225,4,39,41.54,MEDIUM,1824,144,1872,192,48,48,  10,1.00,0.20,0.1612
262,5,14,54.04,MEDIUM,624,192,672,240,48,48,   4,1.00,0.20,0.1424
263,5,15,19.75,MEDIUM,672,192,720,240,48,48,   4,0.49,0.20,0.0130
264,5,16,18.84,MEDIUM,720,192,768,240,48,48,  32,1.00,0.20,0.0665
265,5,17,27.08,MEDIUM,768,192,816,240,48,48,  45,1.00,0.20,0.1445
282,5,34,38.24,MEDIUM,1584,192,1632,240,48,48,   4,1.00,0.20,0.0733
283,5,35,71.40,MEDIUM,1632,192,1680,240,48,48,   0,1.00,0.20,0.0090
284,5,36,31.08,MEDIUM,1680,192,1728,240,48,48,   0,1.00,0.20,0.0009
285,5,37,41.02,MEDIUM,1728,192,1776,240,48,48,   0,1.00,0.20,0.0094
286,5,38,76.43,MEDIUM,1776,192,1824,240,48,48,  15,1.00,0.20,0.4499
287,5,39,87.54,HIGH,1824,192,1872,240,48,48,   7,1.00,1.00,0.6160
288,5,40,20.57,MEDIUM,1872,192,1920,240,48,48,  11,1.00,0.20,0.0481
310,5,62,19.27,MEDIUM,2928,192,2944,240,16,48,   0,0.49,0.20,0.0000
324,6,14,18.75,MEDIUM,624,240,672,288,48,48,   1,0.49,0.20,0.0026
325,6,15,31.34,MEDIUM,672,240,720,288,48,48,   0,1.00,0.20,0.0072
327,6,17,37.80,MEDIUM,768,240,816,288,48,48,   9,1.00,0.20,0.1274
328,6,18,25.00,MEDIUM,816,240,864,288,48,48,   4,1.00,0.20,0.0352
344,6,34,30.82,MEDIUM,1584,240,1632,288,48,48,  41,1.00,0.20,0.1742
347,6,37,47.74,MEDIUM,1728,240,1776,288,48,48,  95,1.00,0.20,0.4057
348,6,38,52.60,MEDIUM,1776,240,1824,288,48,48, 113,1.00,0.20,0.4668
349,6,39,86.94,HIGH,1824,240,1872,288,48,48,  44,1.00,1.00,0.7423
350,6,40,84.11,HIGH,1872,240,1920,288,48,48,  11,1.00,1.00,0.6364
372,6,62,20.96,MEDIUM,2928,240,2944,288,16,48,   0,0.49,0.20,0.0000
390,7,18,36.55,MEDIUM,816,288,864,336,48,48,   7,1.00,0.20,0.1034
391,7,19,15.93,MEDIUM,864,288,912,336,48,48,  10,1.00,0.20,0.0274
406,7,34,40.32,MEDIUM,1584,288,1632,336,48,48,  20,1.00,0.20,0.2079
407,7,35,43.19,MEDIUM,1632,288,1680,336,48,48,  42,1.00,0.20,0.2940
409,7,37,59.90,MEDIUM,1728,288,1776,336,48,48,  44,1.00,0.20,0.4510
410,7,38,99.05,HIGH,1776,288,1824,336,48,48, 157,1.00,1.00,0.8324
411,7,39,95.88,HIGH,1824,288,1872,336,48,48,  43,1.00,1.00,0.7764
412,7,40,99.70,HIGH,1872,288,1920,336,48,48,   6,1.00,1.00,0.6523
434,7,62,16.93,MEDIUM,2928,288,2944,336,16,48,   0,0.49,0.20,0.0000
449,8,15,13.02,MEDIUM,672,336,720,384,48,48,  25,0.49,0.20,0.0204
450,8,16,20.53,MEDIUM,720,336,768,384,48,48,   2,1.00,0.20,0.0138
453,8,19,76.13,MEDIUM,864,336,912,384,48,48,  25,1.00,0.20,0.5105
454,8,20,36.11,MEDIUM,912,336,960,384,48,48,   3,1.00,0.20,0.0554
468,8,34,15.76,MEDIUM,1584,336,1632,384,48,48,  47,1.00,0.20,0.0548
469,8,35,46.01,MEDIUM,1632,336,1680,384,48,48,  34,1.00,0.20,0.3026
470,8,36,23.13,MEDIUM,1680,336,1728,384,48,48,  45,1.00,0.20,0.1093
471,8,37,64.71,MEDIUM,1728,336,1776,384,48,48,  14,1.00,0.20,0.3570
472,8,38,97.53,HIGH,1776,336,1824,384,48,48,   6,0.49,1.00,0.5634
473,8,39,98.83,HIGH,1824,336,1872,384,48,48,   1,0.49,1.00,0.2164
474,8,40,99.35,HIGH,1872,336,1920,384,48,48,  11,1.00,1.00,0.7110
496,8,62,16.93,MEDIUM,2928,336,2944,384,16,48,   0,0.49,0.20,0.0000
515,9,19,93.97,HIGH,864,384,912,432,48,48,  18,1.00,1.00,0.7217
516,9,20,97.61,HIGH,912,384,960,432,48,48,  11,1.00,1.00,0.7055
517,9,21,22.83,MEDIUM,960,384,1008,432,48,48,   7,1.00,0.20,0.0419
531,9,35,23.22,MEDIUM,1632,384,1680,432,48,48,   0,1.00,0.20,0.0000
532,9,36,50.95,MEDIUM,1680,384,1728,432,48,48,   0,1.00,0.20,0.0000
533,9,37,83.90,HIGH,1728,384,1776,432,48,48,   0,1.00,1.00,0.0000
534,9,38,95.57,HIGH,1776,384,1824,432,48,48,   4,0.49,1.00,0.4784
535,9,39,99.22,HIGH,1824,384,1872,432,48,48,   1,0.49,1.00,0.3078
536,9,40,99.39,HIGH,1872,384,1920,432,48,48,  42,1.00,1.00,0.7875
537,9,41,13.63,MEDIUM,1920,384,1968,432,48,48,  14,1.00,0.20,0.0239
558,9,62,25.00,MEDIUM,2928,384,2944,432,16,48,   0,0.49,0.20,0.0000
577,10,19,89.15,HIGH,864,432,912,480,48,48,  47,0.49,1.00,0.7159
578,10,20,98.61,HIGH,912,432,960,480,48,48,  34,0.16,1.00,0.6428
579,10,21,89.24,HIGH,960,432,1008,480,48,48,  19,1.00,1.00,0.7037
593,10,35,27.95,MEDIUM,1632,432,1680,480,48,48,   0,1.00,0.20,0.0005
