Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4440x1656
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4440x1656
Scaled Tile Size: 48x48
Total Mask: 92.90%, Total Tissue: 7.10%
Tiles: 93x35 = 3255
   148 ( 4.55%) tiles >=80% tissue
   176 ( 5.41%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
310,4,31,41.36,MEDIUM,1440,144,1488,192,48,48,  37,1.00,0.20,0.2663
380,5,8,14.63,MEDIUM,336,192,384,240,48,48,   8,1.00,0.20,0.0204
381,5,9,16.10,MEDIUM,384,192,432,240,48,48,  18,1.00,0.20,0.0384
401,5,29,51.04,MEDIUM,1344,192,1392,240,48,48,   7,1.00,0.20,0.1852
402,5,30,75.35,MEDIUM,1392,192,1440,240,48,48,  30,1.00,0.20,0.5244
403,5,31,15.49,MEDIUM,1440,192,1488,240,48,48,  45,1.00,0.20,0.0526
473,6,8,72.35,MEDIUM,336,240,384,288,48,48,  15,1.00,0.20,0.4206
474,6,9,83.42,HIGH,384,240,432,288,48,48,   4,1.00,1.00,0.5289
475,6,10,76.26,MEDIUM,432,240,480,288,48,48,  22,1.00,0.20,0.4935
476,6,11,59.59,MEDIUM,480,240,528,288,48,48,  15,1.00,0.20,0.3302
493,6,28,60.98,MEDIUM,1296,240,1344,288,48,48,   4,1.00,0.20,0.1826
494,6,29,56.94,MEDIUM,1344,240,1392,288,48,48,  12,1.00,0.20,0.2797
551,6,86,18.58,MEDIUM,4080,240,4128,288,48,48,  43,1.00,0.20,0.0727
565,7,7,42.40,MEDIUM,288,288,336,336,48,48,  17,1.00,0.20,0.2103
566,7,8,68.84,MEDIUM,336,288,384,336,48,48,   7,1.00,0.20,0.2892
567,7,9,49.91,MEDIUM,384,288,432,336,48,48,  13,1.00,0.20,0.2435
568,7,10,73.39,MEDIUM,432,288,480,336,48,48,  11,1.00,0.20,0.3867
569,7,11,92.23,HIGH,480,288,528,336,48,48,   5,1.00,1.00,0.6030
570,7,12,56.90,MEDIUM,528,288,576,336,48,48,   7,1.00,0.20,0.2223
585,7,27,40.10,MEDIUM,1248,288,1296,336,48,48,   3,1.00,0.20,0.0662
586,7,28,87.37,HIGH,1296,288,1344,336,48,48,   5,1.00,1.00,0.5802
