Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 98.23%, Total Tissue: 1.77%
Tiles: 70x200 = 14000
   197 ( 1.41%) tiles >=80% tissue
   108 ( 0.77%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1849,27,29,74.44,MEDIUM,1344,1248,1392,1296,48,48,1282,1.00,0.20,0.7546
1850,27,30,90.45,HIGH,1392,1248,1440,1296,48,48, 526,1.00,1.00,0.8368
1851,27,31,88.80,HIGH,1440,1248,1488,1296,48,48, 691,1.00,1.00,0.8376
1852,27,32,38.32,MEDIUM,1488,1248,1536,1296,48,48,1455,1.00,0.20,0.4547
1917,28,27,16.28,MEDIUM,1248,1296,1296,1344,48,48,1933,1.00,0.20,0.1364
1918,28,28,88.50,HIGH,1296,1296,1344,1344,48,48, 764,1.00,1.00,0.8387
1919,28,29,97.79,HIGH,1344,1296,1392,1344,48,48, 172,1.00,1.00,0.8312
1920,28,30,88.41,HIGH,1392,1296,1440,1344,48,48, 133,1.00,1.00,0.7930
1921,28,31,41.49,MEDIUM,1440,1296,1488,1344,48,48, 310,1.00,0.20,0.4163
1987,29,27,86.68,HIGH,1248,1344,1296,1392,48,48,1435,1.00,1.00,0.8452
1988,29,28,99.74,HIGH,1296,1344,1344,1392,48,48, 172,1.00,1.00,0.8367
1989,29,29,95.57,HIGH,1344,1344,1392,1392,48,48, 340,1.00,1.00,0.8419
1990,29,30,97.14,HIGH,1392,1344,1440,1392,48,48, 255,1.00,1.00,0.8395
1991,29,31,81.94,HIGH,1440,1344,1488,1392,48,48, 269,1.00,1.00,0.7899
1992,29,32,37.41,MEDIUM,1488,1344,1536,1392,48,48,2279,1.00,0.20,0.4616
2055,30,25,30.47,MEDIUM,1152,1392,1200,1440,48,48,1915,1.00,0.20,0.3559
2056,30,26,99.05,HIGH,1200,1392,1248,1440,48,48,1703,1.00,1.00,0.8795
2057,30,27,99.83,HIGH,1248,1392,1296,1440,48,48, 300,1.00,1.00,0.8505
2058,30,28,98.96,HIGH,1296,1392,1344,1440,48,48, 257,1.00,1.00,0.8447
2059,30,29,99.39,HIGH,1344,1392,1392,1440,48,48, 144,1.00,1.00,0.8310
2060,30,30,96.31,HIGH,1392,1392,1440,1440,48,48, 133,1.00,1.00,0.8195
2061,30,31,86.07,HIGH,1440,1392,1488,1440,48,48, 102,1.00,1.00,0.7746
2062,30,32,52.13,MEDIUM,1488,1392,1536,1440,48,48, 575,1.00,0.20,0.5636
2124,31,24,43.66,MEDIUM,1104,1440,1152,1488,48,48,3324,1.00,0.20,0.5535
2125,31,25,96.01,HIGH,1152,1440,1200,1488,48,48,2533,1.00,1.00,0.8784
2126,31,26,99.83,HIGH,1200,1440,1248,1488,48,48, 790,1.00,1.00,0.8693
2127,31,27,96.61,HIGH,1248,1440,1296,1488,48,48, 231,1.00,1.00,0.8356
2128,31,28,98.57,HIGH,1296,1440,1344,1488,48,48, 105,1.00,1.00,0.8193
2129,31,29,95.66,HIGH,1344,1440,1392,1488,48,48, 158,1.00,1.00,0.8226
2130,31,30,90.80,HIGH,1392,1440,1440,1488,48,48, 169,1.00,1.00,0.8090
2131,31,31,70.49,MEDIUM,1440,1440,1488,1488,48,48, 393,1.00,0.20,0.6851
2132,31,32,63.02,MEDIUM,1488,1440,1536,1488,48,48, 128,1.00,0.20,0.5656
2133,31,33,16.75,MEDIUM,1536,1440,1584,1488,48,48, 757,1.00,0.20,0.1236
2194,32,24,94.75,HIGH,1104,1488,1152,1536,48,48,2620,1.00,1.00,0.8760
2195,32,25,99.18,HIGH,1152,1488,1200,1536,48,48,1680,1.00,1.00,0.8796
2196,32,26,99.78,HIGH,1200,1488,1248,1536,48,48, 295,1.00,1.00,0.8500
2197,32,27,97.92,HIGH,1248,1488,1296,1536,48,48, 146,1.00,1.00,0.8272
2198,32,28,98.70,HIGH,1296,1488,1344,1536,48,48, 173,1.00,1.00,0.8341
2199,32,29,95.23,HIGH,1344,1488,1392,1536,48,48, 169,1.00,1.00,0.8233
2200,32,30,68.01,MEDIUM,1392,1488,1440,1536,48,48, 260,1.00,0.20,0.6474
2201,32,31,68.62,MEDIUM,1440,1488,1488,1536,48,48, 163,1.00,0.20,0.6234
2202,32,32,82.60,HIGH,1488,1488,1536,1536,48,48,  85,1.00,1.00,0.7522
2203,32,33,21.96,MEDIUM,1536,1488,1584,1536,48,48, 125,1.00,0.20,0.1358
2263,33,23,26.13,MEDIUM,1056,1536,1104,1584,48,48,2592,1.00,0.20,0.2992
2264,33,24,99.26,HIGH,1104,1536,1152,1584,48,48,2873,1.00,1.00,0.8870
2265,33,25,99.48,HIGH,1152,1536,1200,1584,48,48,1454,1.00,1.00,0.8782
2266,33,26,99.61,HIGH,1200,1536,1248,1584,48,48, 184,1.00,1.00,0.8382
2267,33,27,99.22,HIGH,1248,1536,1296,1584,48,48, 117,1.00,1.00,0.8244
2268,33,28,93.06,HIGH,1296,1536,1344,1584,48,48, 144,1.00,1.00,0.8117
2269,33,29,97.61,HIGH,1344,1536,1392,1584,48,48, 165,1.00,1.00,0.8296
2270,33,30,94.70,HIGH,1392,1536,1440,1584,48,48, 211,1.00,1.00,0.8277
2271,33,31,99.31,HIGH,1440,1536,1488,1584,48,48, 119,1.00,1.00,0.8252
2272,33,32,97.27,HIGH,1488,1536,1536,1584,48,48,  68,1.00,1.00,0.8003
2273,33,33,48.31,MEDIUM,1536,1536,1584,1584,48,48, 126,1.00,0.20,0.4323
2333,34,23,70.44,MEDIUM,1056,1584,1104,1632,48,48,3206,1.00,0.20,0.7624
2334,34,24,99.57,HIGH,1104,1584,1152,1632,48,48,3466,1.00,1.00,0.8899
2335,34,25,99.87,HIGH,1152,1584,1200,1632,48,48, 542,1.00,1.00,0.8627
2336,34,26,99.70,HIGH,1200,1584,1248,1632,48,48, 230,1.00,1.00,0.8439
2337,34,27,99.39,HIGH,1248,1584,1296,1632,48,48, 128,1.00,1.00,0.8275
2338,34,28,96.27,HIGH,1296,1584,1344,1632,48,48, 251,1.00,1.00,0.8367
2339,34,29,86.98,HIGH,1344,1584,1392,1632,48,48, 337,1.00,1.00,0.8150
2340,34,30,91.54,HIGH,1392,1584,1440,1632,48,48, 125,1.00,1.00,0.8022
2341,34,31,92.66,HIGH,1440,1584,1488,1632,48,48,  88,1.00,1.00,0.7941
2342,34,32,70.44,MEDIUM,1488,1584,1536,1632,48,48,  54,1.00,0.20,0.5501
2403,35,23,95.44,HIGH,1056,1632,1104,1680,48,48,3504,1.00,1.00,0.8814
2404,35,24,99.61,HIGH,1104,1632,1152,1680,48,48,3485,1.00,1.00,0.8900
2405,35,25,99.39,HIGH,1152,1632,1200,1680,48,48, 312,1.00,1.00,0.8502
2406,35,26,99.61,HIGH,1200,1632,1248,1680,48,48, 130,1.00,1.00,0.8287
2407,35,27,98.26,HIGH,1248,1632,1296,1680,48,48, 302,1.00,1.00,0.8466
2408,35,28,92.80,HIGH,1296,1632,1344,1680,48,48, 714,1.00,1.00,0.8498
2409,35,29,80.64,HIGH,1344,1632,1392,1680,48,48, 223,1.00,1.00,0.7787
2410,35,30,94.75,HIGH,1392,1632,1440,1680,48,48,  97,1.00,1.00,0.8045
2411,35,31,77.52,MEDIUM,1440,1632,1488,1680,48,48,  50,1.00,0.20,0.5906
2473,36,23,84.11,HIGH,1056,1680,1104,1728,48,48,3242,1.00,1.00,0.8512
2474,36,24,99.61,HIGH,1104,1680,1152,1728,48,48,3563,1.00,1.00,0.8903
2475,36,25,99.87,HIGH,1152,1680,1200,1728,48,48, 286,1.00,1.00,0.8495
2476,36,26,98.91,HIGH,1200,1680,1248,1728,48,48, 134,1.00,1.00,0.8276
2477,36,27,94.79,HIGH,1248,1680,1296,1728,48,48, 274,1.00,1.00,0.8346
2478,36,28,87.07,HIGH,1296,1680,1344,1728,48,48, 156,1.00,1.00,0.7931
2479,36,29,90.71,HIGH,1344,1680,1392,1728,48,48, 118,1.00,1.00,0.7974
2480,36,30,92.62,HIGH,1392,1680,1440,1728,48,48, 103,1.00,1.00,0.7994
2481,36,31,86.76,HIGH,1440,1680,1488,1728,48,48,  88,1.00,1.00,0.7715
2482,36,32,69.10,MEDIUM,1488,1680,1536,1728,48,48,  70,1.00,0.20,0.5641
2483,36,33,36.11,MEDIUM,1536,1680,1584,1728,48,48, 256,1.00,0.20,0.3404
2543,37,23,69.53,MEDIUM,1056,1728,1104,1776,48,48,2013,1.00,0.20,0.7437
2544,37,24,98.05,HIGH,1104,1728,1152,1776,48,48,2220,1.00,1.00,0.8811
2545,37,25,99.35,HIGH,1152,1728,1200,1776,48,48, 335,1.00,1.00,0.8517
2546,37,26,99.65,HIGH,1200,1728,1248,1776,48,48, 208,1.00,1.00,0.8413
2547,37,27,99.13,HIGH,1248,1728,1296,1776,48,48, 658,1.00,1.00,0.8645
2548,37,28,98.09,HIGH,1296,1728,1344,1776,48,48, 114,1.00,1.00,0.8204
2549,37,29,97.57,HIGH,1344,1728,1392,1776,48,48, 109,1.00,1.00,0.8173
2550,37,30,96.22,HIGH,1392,1728,1440,1776,48,48,  98,1.00,1.00,0.8096
2551,37,31,77.21,MEDIUM,1440,1728,1488,1776,48,48, 160,1.00,0.20,0.6760
2552,37,32,76.87,MEDIUM,1488,1728,1536,1776,48,48,  62,1.00,0.20,0.6046
2553,37,33,57.34,MEDIUM,1536,1728,1584,1776,48,48,  86,1.00,0.20,0.4878
2613,38,23,85.85,HIGH,1056,1776,1104,1824,48,48,2644,1.00,1.00,0.8531
2614,38,24,99.78,HIGH,1104,1776,1152,1824,48,48,2886,1.00,1.00,0.8881
2615,38,25,99.78,HIGH,1152,1776,1200,1824,48,48, 255,1.00,1.00,0.8466
2616,38,26,99.52,HIGH,1200,1776,1248,1824,48,48, 173,1.00,1.00,0.8364
2617,38,27,99.44,HIGH,1248,1776,1296,1824,48,48, 261,1.00,1.00,0.8463
2618,38,28,95.79,HIGH,1296,1776,1344,1824,48,48, 126,1.00,1.00,0.8164
2619,38,29,98.09,HIGH,1344,1776,1392,1824,48,48, 129,1.00,1.00,0.8240
2620,38,30,95.31,HIGH,1392,1776,1440,1824,48,48,  84,1.00,1.00,0.8015
2621,38,31,69.62,MEDIUM,1440,1776,1488,1824,48,48, 342,1.00,0.20,0.6727
2622,38,32,40.89,MEDIUM,1488,1776,1536,1824,48,48, 170,1.00,0.20,0.3729
2683,39,23,61.20,MEDIUM,1056,1824,1104,1872,48,48,2775,1.00,0.20,0.7030
2684,39,24,99.44,HIGH,1104,1824,1152,1872,48,48,2285,1.00,1.00,0.8844
2685,39,25,99.87,HIGH,1152,1824,1200,1872,48,48, 555,1.00,1.00,0.8631
2686,39,26,99.00,HIGH,1200,1824,1248,1872,48,48, 320,1.00,1.00,0.8498
2687,39,27,98.35,HIGH,1248,1824,1296,1872,48,48, 151,1.00,1.00,0.8293
2688,39,28,94.88,HIGH,1296,1824,1344,1872,48,48, 187,1.00,1.00,0.8250
2689,39,29,85.81,HIGH,1344,1824,1392,1872,48,48, 115,1.00,1.00,0.7778
2690,39,30,63.06,MEDIUM,1392,1824,1440,1872,48,48, 136,1.00,0.20,0.5707
2691,39,31,64.58,MEDIUM,1440,1824,1488,1872,48,48, 309,1.00,0.20,0.6332
2692,39,32,32.77,MEDIUM,1488,1824,1536,1872,48,48, 735,1.00,0.20,0.3492
2753,40,23,64.45,MEDIUM,1056,1872,1104,1920,48,48,2130,1.00,0.20,0.7156
2754,40,24,99.61,HIGH,1104,1872,1152,1920,48,48,1844,1.00,1.00,0.8818
2755,40,25,99.78,HIGH,1152,1872,1200,1920,48,48, 325,1.00,1.00,0.8521
2756,40,26,99.87,HIGH,1200,1872,1248,1920,48,48, 169,1.00,1.00,0.8366
2757,40,27,98.61,HIGH,1248,1872,1296,1920,48,48, 148,1.00,1.00,0.8296
2758,40,28,97.01,HIGH,1296,1872,1344,1920,48,48, 128,1.00,1.00,0.8207
2759,40,29,85.50,HIGH,1344,1872,1392,1920,48,48, 113,1.00,1.00,0.7760
2760,40,30,89.54,HIGH,1392,1872,1440,1920,48,48,  79,1.00,1.00,0.7782
2761,40,31,86.89,HIGH,1440,1872,1488,1920,48,48, 120,1.00,1.00,0.7837
2762,40,32,49.52,MEDIUM,1488,1872,1536,1920,48,48, 387,1.00,0.20,0.5168
2823,41,23,46.31,MEDIUM,1056,1920,1104,1968,48,48,2804,1.00,0.20,0.5759
2824,41,24,98.87,HIGH,1104,1920,1152,1968,48,48,1829,1.00,1.00,0.8801
2825,41,25,99.70,HIGH,1152,1920,1200,1968,48,48, 543,1.00,1.00,0.8623
