Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x5984
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x5984
Scaled Tile Size: 48x48
Total Mask: 77.55%, Total Tissue: 22.45%
Tiles: 62x125 = 7750
   852 (10.99%) tiles >=80% tissue
  1682 (21.70%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
73,2,11,29.25,MEDIUM,480,48,528,96,48,48,   1,1.00,0.20,0.0157
134,3,10,19.23,MEDIUM,432,96,480,144,48,48,   0,1.00,0.20,0.0012
135,3,11,59.16,MEDIUM,480,96,528,144,48,48,   0,1.00,0.20,0.0000
136,3,12,65.80,MEDIUM,528,96,576,144,48,48,   3,1.00,0.20,0.1522
137,3,13,38.06,MEDIUM,576,96,624,144,48,48,   0,1.00,0.20,0.0037
138,3,14,22.31,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0000
198,4,12,66.28,MEDIUM,528,144,576,192,48,48,   0,1.00,0.20,0.0114
199,4,13,75.09,MEDIUM,576,144,624,192,48,48,   1,1.00,0.20,0.0893
200,4,14,88.15,HIGH,624,144,672,192,48,48,   0,1.00,1.00,0.0000
201,4,15,85.89,HIGH,672,144,720,192,48,48,   0,1.00,1.00,0.0000
202,4,16,25.13,MEDIUM,720,144,768,192,48,48,   0,1.00,0.20,0.0000
262,5,14,45.53,MEDIUM,624,192,672,240,48,48,   6,1.00,0.20,0.1341
263,5,15,50.35,MEDIUM,672,192,720,240,48,48,   1,1.00,0.20,0.0450
264,5,16,14.45,MEDIUM,720,192,768,240,48,48,   0,1.00,0.20,0.0000
623,11,3,40.80,MEDIUM,96,480,144,528,48,48,  10,1.00,0.20,0.1510
624,11,4,97.27,HIGH,144,480,192,528,48,48,   6,1.00,1.00,0.6403
625,11,5,26.43,MEDIUM,192,480,240,528,48,48,  62,1.00,0.20,0.1538
685,12,3,97.74,HIGH,96,528,144,576,48,48,   2,1.00,1.00,0.5428
686,12,4,92.40,HIGH,144,528,192,576,48,48,   2,1.00,1.00,0.4717
687,12,5,81.64,HIGH,192,528,240,576,48,48,   0,1.00,1.00,0.0755
688,12,6,67.62,MEDIUM,240,528,288,576,48,48,  46,1.00,0.20,0.5145
689,12,7,48.05,MEDIUM,288,528,336,576,48,48,  13,1.00,0.20,0.2265
690,12,8,35.29,MEDIUM,336,528,384,576,48,48,   1,1.00,0.20,0.0268
691,12,9,49.09,MEDIUM,384,528,432,576,48,48,  42,1.00,0.20,0.3505
692,12,10,23.44,MEDIUM,432,528,480,576,48,48,   2,1.00,0.20,0.0201
693,12,11,31.38,MEDIUM,480,528,528,576,48,48,   4,1.00,0.20,0.0522
694,12,12,33.16,MEDIUM,528,528,576,576,48,48,   4,1.00,0.20,0.0569
695,12,13,15.93,MEDIUM,576,528,624,576,48,48,   3,1.00,0.20,0.0124
746,13,2,32.86,MEDIUM,48,576,96,624,48,48,   1,1.00,0.20,0.0168
747,13,3,97.74,HIGH,96,576,144,624,48,48,   2,1.00,1.00,0.5441
748,13,4,85.16,HIGH,144,576,192,624,48,48,   0,1.00,1.00,0.1724
749,13,5,83.90,HIGH,192,576,240,624,48,48,   0,1.00,1.00,0.0000
750,13,6,81.94,HIGH,240,576,288,624,48,48,   0,1.00,1.00,0.0000
751,13,7,81.03,HIGH,288,576,336,624,48,48,   0,1.00,1.00,0.0000
752,13,8,77.56,MEDIUM,336,576,384,624,48,48,   0,1.00,0.20,0.0071
753,13,9,76.65,MEDIUM,384,576,432,624,48,48,   0,1.00,0.20,0.0018
754,13,10,72.66,MEDIUM,432,576,480,624,48,48,   0,1.00,0.20,0.0117
755,13,11,62.33,MEDIUM,480,576,528,624,48,48,   1,1.00,0.20,0.0828
756,13,12,74.70,MEDIUM,528,576,576,624,48,48,   1,1.00,0.20,0.0618
757,13,13,83.42,HIGH,576,576,624,624,48,48,   0,1.00,1.00,0.0000
758,13,14,86.15,HIGH,624,576,672,624,48,48,   0,1.00,1.00,0.0000
759,13,15,59.77,MEDIUM,672,576,720,624,48,48,   0,1.00,0.20,0.0000
762,13,18,54.60,MEDIUM,816,576,864,624,48,48,   1,1.00,0.20,0.0462
808,14,2,42.45,MEDIUM,48,624,96,672,48,48,   1,1.00,0.20,0.0419
809,14,3,93.79,HIGH,96,624,144,672,48,48,   2,1.00,1.00,0.4581
810,14,4,87.02,HIGH,144,624,192,672,48,48,   0,1.00,1.00,0.0000
811,14,5,85.33,HIGH,192,624,240,672,48,48,   0,1.00,1.00,0.0820
812,14,6,82.81,HIGH,240,624,288,672,48,48,   0,1.00,1.00,0.0000
813,14,7,81.03,HIGH,288,624,336,672,48,48,   0,1.00,1.00,0.0000
814,14,8,75.39,MEDIUM,336,624,384,672,48,48,   0,1.00,0.20,0.0000
815,14,9,78.73,MEDIUM,384,624,432,672,48,48,   0,1.00,0.20,0.0000
816,14,10,70.40,MEDIUM,432,624,480,672,48,48,   0,1.00,0.20,0.0126
817,14,11,72.79,MEDIUM,480,624,528,672,48,48,  14,1.00,0.20,0.4144
818,14,12,71.88,MEDIUM,528,624,576,672,48,48,   1,1.00,0.20,0.0587
819,14,13,84.03,HIGH,576,624,624,672,48,48,   0,1.00,1.00,0.0000
820,14,14,86.24,HIGH,624,624,672,672,48,48,   0,1.00,1.00,0.0000
821,14,15,69.97,MEDIUM,672,624,720,672,48,48,   0,1.00,0.20,0.0053
841,14,35,58.81,MEDIUM,1632,624,1680,672,48,48,  12,1.00,0.20,0.3016
842,14,36,48.52,MEDIUM,1680,624,1728,672,48,48,   6,1.00,0.20,0.1557
870,15,2,46.66,MEDIUM,48,672,96,720,48,48,   3,1.00,0.20,0.0960
871,15,3,96.79,HIGH,96,672,144,720,48,48,   1,1.00,1.00,0.2883
872,15,4,85.16,HIGH,144,672,192,720,48,48,   1,1.00,1.00,0.3864
873,15,5,85.68,HIGH,192,672,240,720,48,48,   1,1.00,1.00,0.3465
874,15,6,84.24,HIGH,240,672,288,720,48,48,   4,1.00,1.00,0.5297
875,15,7,58.07,MEDIUM,288,672,336,720,48,48,   2,1.00,0.20,0.0916
876,15,8,42.49,MEDIUM,336,672,384,720,48,48,   2,1.00,0.20,0.0543
877,15,9,42.14,MEDIUM,384,672,432,720,48,48,   6,1.00,0.20,0.1227
878,15,10,50.30,MEDIUM,432,672,480,720,48,48,   0,1.00,0.20,0.0065
879,15,11,78.21,MEDIUM,480,672,528,720,48,48,   0,1.00,0.20,0.0156
880,15,12,58.16,MEDIUM,528,672,576,720,48,48,   0,1.00,0.20,0.0000
881,15,13,72.83,MEDIUM,576,672,624,720,48,48,   0,1.00,0.20,0.0000
882,15,14,71.88,MEDIUM,624,672,672,720,48,48,   0,1.00,0.20,0.0444
883,15,15,65.93,MEDIUM,672,672,720,720,48,48,   1,1.00,0.20,0.0723
884,15,16,20.27,MEDIUM,720,672,768,720,48,48,   2,1.00,0.20,0.0162
902,15,34,62.15,MEDIUM,1584,672,1632,720,48,48,   9,1.00,0.20,0.2838
903,15,35,93.58,HIGH,1632,672,1680,720,48,48,   0,1.00,1.00,0.0000
904,15,36,78.17,MEDIUM,1680,672,1728,720,48,48, 473,1.00,0.20,0.7359
905,15,37,46.27,MEDIUM,1728,672,1776,720,48,48, 355,1.00,0.20,0.4779
932,16,2,57.42,MEDIUM,48,720,96,768,48,48,   1,1.00,0.20,0.0611
933,16,3,90.97,HIGH,96,720,144,768,48,48,   0,1.00,1.00,0.0774
934,16,4,89.89,HIGH,144,720,192,768,48,48,   0,1.00,1.00,0.0000
935,16,5,82.68,HIGH,192,720,240,768,48,48,   7,1.00,1.00,0.5865
936,16,6,95.23,HIGH,240,720,288,768,48,48,   4,1.00,1.00,0.5776
937,16,7,52.82,MEDIUM,288,720,336,768,48,48,   1,1.00,0.20,0.0589
938,16,8,15.67,MEDIUM,336,720,384,768,48,48,   2,1.00,0.20,0.0071
940,16,10,34.46,MEDIUM,432,720,480,768,48,48,   0,1.00,0.20,0.0030
941,16,11,79.60,MEDIUM,480,720,528,768,48,48,   0,1.00,0.20,0.0000
942,16,12,64.11,MEDIUM,528,720,576,768,48,48,   0,1.00,0.20,0.0036
943,16,13,69.97,MEDIUM,576,720,624,768,48,48,   1,1.00,0.20,0.1048
944,16,14,64.67,MEDIUM,624,720,672,768,48,48,   0,1.00,0.20,0.0225
945,16,15,73.48,MEDIUM,672,720,720,768,48,48,   0,1.00,0.20,0.0000
946,16,16,34.72,MEDIUM,720,720,768,768,48,48,   0,1.00,0.20,0.0000
964,16,34,88.45,HIGH,1584,720,1632,768,48,48,  16,1.00,1.00,0.6912
965,16,35,82.60,HIGH,1632,720,1680,768,48,48,   0,1.00,1.00,0.0000
966,16,36,80.60,HIGH,1680,720,1728,768,48,48,   0,1.00,1.00,0.0000
967,16,37,78.39,MEDIUM,1728,720,1776,768,48,48,   1,1.00,0.20,0.0826
968,16,38,58.03,MEDIUM,1776,720,1824,768,48,48,  69,1.00,0.20,0.4762
969,16,39,48.96,MEDIUM,1824,720,1872,768,48,48, 173,1.00,0.20,0.4613
970,16,40,27.91,MEDIUM,1872,720,1920,768,48,48,  14,1.00,0.20,0.0932
994,17,2,45.53,MEDIUM,48,768,96,816,48,48,   6,1.00,0.20,0.1423
995,17,3,81.86,HIGH,96,768,144,816,48,48,   3,1.00,1.00,0.4848
996,17,4,93.62,HIGH,144,768,192,816,48,48,   1,1.00,1.00,0.3643
997,17,5,93.88,HIGH,192,768,240,816,48,48,   4,1.00,1.00,0.5899
998,17,6,80.03,HIGH,240,768,288,816,48,48,   4,1.00,1.00,0.5064
999,17,7,47.14,MEDIUM,288,768,336,816,48,48,   0,1.00,0.20,0.0000
1000,17,8,52.21,MEDIUM,336,768,384,816,48,48,   0,1.00,0.20,0.0028
1001,17,9,34.64,MEDIUM,384,768,432,816,48,48,   0,1.00,0.20,0.0016
1002,17,10,49.57,MEDIUM,432,768,480,816,48,48,   1,1.00,0.20,0.0391
1003,17,11,72.87,MEDIUM,480,768,528,816,48,48,   0,1.00,0.20,0.0000
1004,17,12,70.01,MEDIUM,528,768,576,816,48,48,   0,1.00,0.20,0.0000
1005,17,13,77.99,MEDIUM,576,768,624,816,48,48,   0,1.00,0.20,0.0000
1006,17,14,78.12,MEDIUM,624,768,672,816,48,48,   1,1.00,0.20,0.0700
1007,17,15,74.70,MEDIUM,672,768,720,816,48,48,   0,1.00,0.20,0.0142
1008,17,16,45.23,MEDIUM,720,768,768,816,48,48,   0,1.00,0.20,0.0000
1026,17,34,95.57,HIGH,1584,768,1632,816,48,48,  15,1.00,1.00,0.7147
1027,17,35,81.21,HIGH,1632,768,1680,816,48,48,   0,1.00,1.00,0.0279
1028,17,36,83.29,HIGH,1680,768,1728,816,48,48,   0,1.00,1.00,0.0000
1029,17,37,81.55,HIGH,1728,768,1776,816,48,48,   1,1.00,1.00,0.3337
1030,17,38,84.07,HIGH,1776,768,1824,816,48,48,   0,1.00,1.00,0.0797
1031,17,39,70.83,MEDIUM,1824,768,1872,816,48,48,   0,1.00,0.20,0.0034
1032,17,40,75.30,MEDIUM,1872,768,1920,816,48,48,  65,1.00,0.20,0.5991
1040,17,48,52.73,MEDIUM,2256,768,2304,816,48,48, 109,1.00,0.20,0.4652
1041,17,49,27.60,MEDIUM,2304,768,2352,816,48,48,   4,1.00,0.20,0.0421
1056,18,2,82.47,HIGH,48,816,96,864,48,48,   3,1.00,1.00,0.4850
1057,18,3,94.88,HIGH,96,816,144,864,48,48,   1,1.00,1.00,0.4127
1058,18,4,89.45,HIGH,144,816,192,864,48,48,   0,1.00,1.00,0.0000
1059,18,5,83.12,HIGH,192,816,240,864,48,48,   0,1.00,1.00,0.0000
1060,18,6,82.81,HIGH,240,816,288,864,48,48,   0,1.00,1.00,0.0000
1061,18,7,80.82,HIGH,288,816,336,864,48,48,   0,1.00,1.00,0.0000
1062,18,8,75.00,MEDIUM,336,816,384,864,48,48,   0,1.00,0.20,0.0000
1063,18,9,79.56,MEDIUM,384,816,432,864,48,48,   0,1.00,0.20,0.0539
1064,18,10,78.47,MEDIUM,432,816,480,864,48,48,   0,1.00,0.20,0.0000
1065,18,11,73.09,MEDIUM,480,816,528,864,48,48,   3,1.00,0.20,0.2057
1066,18,12,73.22,MEDIUM,528,816,576,864,48,48,   1,1.00,0.20,0.0792
1067,18,13,70.83,MEDIUM,576,816,624,864,48,48,   0,1.00,0.20,0.0000
1068,18,14,70.23,MEDIUM,624,816,672,864,48,48,   0,1.00,0.20,0.0169
1069,18,15,70.27,MEDIUM,672,816,720,864,48,48,   0,1.00,0.20,0.0000
1070,18,16,33.07,MEDIUM,720,816,768,864,48,48,   0,1.00,0.20,0.0000
1077,18,23,48.65,MEDIUM,1056,816,1104,864,48,48,   0,1.00,0.20,0.0000
1078,18,24,25.52,MEDIUM,1104,816,1152,864,48,48,   0,1.00,0.20,0.0014
1087,18,33,49.52,MEDIUM,1536,816,1584,864,48,48,  15,1.00,0.20,0.2559
1088,18,34,92.49,HIGH,1584,816,1632,864,48,48,   3,1.00,1.00,0.5514
1089,18,35,84.64,HIGH,1632,816,1680,864,48,48,   0,1.00,1.00,0.0000
1090,18,36,80.90,HIGH,1680,816,1728,864,48,48,   0,1.00,1.00,0.0000
1091,18,37,76.82,MEDIUM,1728,816,1776,864,48,48,   0,1.00,0.20,0.0000
1092,18,38,76.52,MEDIUM,1776,816,1824,864,48,48,   1,1.00,0.20,0.0720
1093,18,39,73.52,MEDIUM,1824,816,1872,864,48,48,   0,1.00,0.20,0.0000
1094,18,40,48.35,MEDIUM,1872,816,1920,864,48,48,   0,1.00,0.20,0.0096
1097,18,43,29.30,MEDIUM,2016,816,2064,864,48,48,   5,1.00,0.20,0.0536
1098,18,44,45.62,MEDIUM,2064,816,2112,864,48,48,   4,1.00,0.20,0.1056
1099,18,45,38.54,MEDIUM,2112,816,2160,864,48,48,   2,1.00,0.20,0.0475
1100,18,46,24.96,MEDIUM,2160,816,2208,864,48,48,   4,1.00,0.20,0.0358
1101,18,47,21.27,MEDIUM,2208,816,2256,864,48,48,   0,1.00,0.20,0.0025
1102,18,48,34.72,MEDIUM,2256,816,2304,864,48,48,   0,1.00,0.20,0.0000
1118,19,2,83.59,HIGH,48,864,96,912,48,48,   2,1.00,1.00,0.4088
1119,19,3,94.79,HIGH,96,864,144,912,48,48,   0,1.00,1.00,0.1573
1120,19,4,86.89,HIGH,144,864,192,912,48,48,   0,1.00,1.00,0.0000
1121,19,5,79.25,MEDIUM,192,864,240,912,48,48,   0,1.00,0.20,0.0434
1122,19,6,86.63,HIGH,240,864,288,912,48,48,   3,1.00,1.00,0.5117
1123,19,7,84.51,HIGH,288,864,336,912,48,48,   0,1.00,1.00,0.0000
1124,19,8,66.80,MEDIUM,336,864,384,912,48,48,   5,1.00,0.20,0.2252
1125,19,9,63.72,MEDIUM,384,864,432,912,48,48,   3,1.00,0.20,0.1772
1126,19,10,56.86,MEDIUM,432,864,480,912,48,48,   2,1.00,0.20,0.1158
1127,19,11,71.05,MEDIUM,480,864,528,912,48,48,   1,1.00,0.20,0.0654
1128,19,12,78.99,MEDIUM,528,864,576,912,48,48,   0,1.00,0.20,0.0000
1129,19,13,73.61,MEDIUM,576,864,624,912,48,48,   0,1.00,0.20,0.0000
1130,19,14,78.47,MEDIUM,624,864,672,912,48,48,   0,1.00,0.20,0.0157
1131,19,15,53.65,MEDIUM,672,864,720,912,48,48,   0,1.00,0.20,0.0252
1138,19,22,19.62,MEDIUM,1008,864,1056,912,48,48,   0,1.00,0.20,0.0000
1139,19,23,74.96,MEDIUM,1056,864,1104,912,48,48,   0,1.00,0.20,0.0017
1140,19,24,23.18,MEDIUM,1104,864,1152,912,48,48,   0,1.00,0.20,0.0000
