Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3960x1512
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3960x1512
Scaled Tile Size: 48x48
Total Mask: 94.49%, Total Tissue: 5.51%
Tiles: 83x32 = 2656
    35 ( 1.32%) tiles >=80% tissue
   255 ( 9.60%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
30,1,30,26.78,MEDIUM,1392,0,1440,48,48,48, 484,1.00,0.20,0.2473
113,2,30,34.07,MEDIUM,1392,48,1440,96,48,48, 593,1.00,0.20,0.3571
192,3,26,17.27,MEDIUM,1200,96,1248,144,48,48, 763,1.00,0.20,0.1306
195,3,29,13.06,MEDIUM,1344,96,1392,144,48,48, 165,1.00,0.20,0.0567
196,3,30,21.92,MEDIUM,1392,96,1440,144,48,48, 408,1.00,0.20,0.1750
278,4,29,42.10,MEDIUM,1344,144,1392,192,48,48, 332,1.00,0.20,0.4275
309,4,60,37.72,MEDIUM,2832,144,2880,192,48,48, 205,1.00,0.20,0.3471
337,5,5,22.05,MEDIUM,192,192,240,240,48,48, 291,1.00,0.20,0.1656
350,5,18,61.46,MEDIUM,816,192,864,240,48,48,2313,1.00,0.20,0.6987
351,5,19,44.10,MEDIUM,864,192,912,240,48,48,2002,1.00,0.20,0.5383
360,5,28,33.46,MEDIUM,1296,192,1344,240,48,48, 221,1.00,0.20,0.2991
391,5,59,27.17,MEDIUM,2784,192,2832,240,48,48, 251,1.00,0.20,0.2251
420,6,5,36.81,MEDIUM,192,240,240,288,48,48, 133,1.00,0.20,0.3102
421,6,6,33.98,MEDIUM,240,240,288,288,48,48,  78,1.00,0.20,0.2452
422,6,7,13.32,MEDIUM,288,240,336,288,48,48,  22,1.00,0.20,0.0293
432,6,17,20.66,MEDIUM,768,240,816,288,48,48,2227,1.00,0.20,0.2066
433,6,18,69.79,MEDIUM,816,240,864,288,48,48,3814,1.00,0.20,0.7638
434,6,19,49.05,MEDIUM,864,240,912,288,48,48,2510,1.00,0.20,0.5994
441,6,26,69.66,MEDIUM,1200,240,1248,288,48,48,  53,1.00,0.20,0.5436
442,6,27,48.91,MEDIUM,1248,240,1296,288,48,48,  64,1.00,0.20,0.3863
475,6,60,33.85,MEDIUM,2832,240,2880,288,48,48, 103,1.00,0.20,0.2605
505,7,7,34.94,MEDIUM,288,288,336,336,48,48, 102,1.00,0.20,0.2721
506,7,8,15.28,MEDIUM,336,288,384,336,48,48,  20,1.00,0.20,0.0362
507,7,9,22.70,MEDIUM,384,288,432,336,48,48, 236,1.00,0.20,0.1664
513,7,15,16.06,MEDIUM,672,288,720,336,48,48, 867,1.00,0.20,0.1175
516,7,18,45.27,MEDIUM,816,288,864,336,48,48,2855,1.00,0.20,0.5654
520,7,22,20.18,MEDIUM,1008,288,1056,336,48,48,1034,1.00,0.20,0.1786
521,7,23,44.40,MEDIUM,1056,288,1104,336,48,48,  60,1.00,0.20,0.3361
522,7,24,64.32,MEDIUM,1104,288,1152,336,48,48, 142,1.00,0.20,0.5831
523,7,25,63.15,MEDIUM,1152,288,1200,336,48,48,  47,1.00,0.20,0.4831
524,7,26,20.14,MEDIUM,1200,288,1248,336,48,48, 141,1.00,0.20,0.1203
558,7,60,46.61,MEDIUM,2832,288,2880,336,48,48, 107,1.00,0.20,0.4034
559,7,61,33.33,MEDIUM,2880,288,2928,336,48,48,   3,1.00,0.20,0.0550
588,8,7,37.89,MEDIUM,288,336,336,384,48,48, 110,1.00,0.20,0.3104
589,8,8,78.86,MEDIUM,336,336,384,384,48,48,  40,1.00,0.20,0.5779
590,8,9,68.06,MEDIUM,384,336,432,384,48,48, 199,1.00,0.20,0.6321
591,8,10,88.93,HIGH,432,336,480,384,48,48, 170,1.00,1.00,0.8026
592,8,11,61.63,MEDIUM,480,336,528,384,48,48, 114,1.00,0.20,0.5462
593,8,12,51.69,MEDIUM,528,336,576,384,48,48, 196,1.00,0.20,0.4966
594,8,13,45.92,MEDIUM,576,336,624,384,48,48, 162,1.00,0.20,0.4251
