Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1792x3040
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1792x3040
Scaled Tile Size: 48x48
Total Mask: 97.75%, Total Tissue: 2.25%
Tiles: 38x64 = 2432
     5 ( 0.21%) tiles >=80% tissue
   143 ( 5.88%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
92,3,16,31.42,MEDIUM,720,96,768,144,48,48,   2,1.00,0.20,0.0289
130,4,16,27.34,MEDIUM,720,144,768,192,48,48,   1,1.00,0.20,0.0080
164,5,12,15.32,MEDIUM,528,192,576,240,48,48,   4,1.00,0.20,0.0142
168,5,16,34.33,MEDIUM,720,192,768,240,48,48,   3,1.00,0.20,0.0502
206,6,16,26.78,MEDIUM,720,240,768,288,48,48,   3,1.00,0.20,0.0299
282,8,16,24.83,MEDIUM,720,336,768,384,48,48,   1,1.00,0.20,0.0137
320,9,16,25.26,MEDIUM,720,384,768,432,48,48,   1,1.00,0.20,0.0133
358,10,16,24.05,MEDIUM,720,432,768,480,48,48,   3,1.00,0.20,0.0242
396,11,16,20.57,MEDIUM,720,480,768,528,48,48,   2,1.00,0.20,0.0120
433,12,15,20.96,MEDIUM,672,528,720,576,48,48,   3,1.00,0.20,0.0183
471,13,15,25.09,MEDIUM,672,576,720,624,48,48,   2,1.00,0.20,0.0192
507,14,13,29.43,MEDIUM,576,624,624,672,48,48,   2,1.00,0.20,0.0323
508,14,14,25.43,MEDIUM,624,624,672,672,48,48,   5,1.00,0.20,0.0421
509,14,15,35.20,MEDIUM,672,624,720,672,48,48,   5,1.00,0.20,0.0832
526,14,32,15.58,MEDIUM,1488,624,1536,672,48,48,   0,1.00,0.20,0.0002
544,15,12,31.68,MEDIUM,528,672,576,720,48,48,   2,1.00,0.20,0.0355
545,15,13,38.41,MEDIUM,576,672,624,720,48,48,   4,1.00,0.20,0.0830
546,15,14,82.60,HIGH,624,672,672,720,48,48,   3,1.00,1.00,0.4674
547,15,15,31.68,MEDIUM,672,672,720,720,48,48,   2,1.00,0.20,0.0389
564,15,32,29.86,MEDIUM,1488,672,1536,720,48,48,   1,1.00,0.20,0.0165
583,16,13,53.95,MEDIUM,576,720,624,768,48,48,   1,1.00,0.20,0.0332
584,16,14,90.45,HIGH,624,720,672,768,48,48,   1,1.00,1.00,0.3998
585,16,15,20.14,MEDIUM,672,720,720,768,48,48,   1,1.00,0.20,0.0081
602,16,32,14.54,MEDIUM,1488,720,1536,768,48,48,   1,1.00,0.20,0.0044
621,17,13,56.29,MEDIUM,576,768,624,816,48,48,   3,1.00,0.20,0.1326
622,17,14,93.62,HIGH,624,768,672,816,48,48,   2,0.49,1.00,0.3826
623,17,15,20.44,MEDIUM,672,768,720,816,48,48,   1,1.00,0.20,0.0050
641,17,33,24.31,MEDIUM,1536,768,1584,816,48,48,   0,1.00,0.20,0.0032
659,18,13,30.95,MEDIUM,576,816,624,864,48,48,   1,1.00,0.20,0.0216
660,18,14,94.18,HIGH,624,816,672,864,48,48,   4,0.49,1.00,0.4825
661,18,15,20.14,MEDIUM,672,816,720,864,48,48,   3,1.00,0.20,0.0174
