Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5154x2046
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5154x2046
Scaled Tile Size: 48x48
Total Mask: 98.32%, Total Tissue: 1.68%
Tiles: 108x43 = 4644
    17 ( 0.37%) tiles >=80% tissue
   159 ( 3.42%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
929,9,65,25.17,MEDIUM,3072,384,3120,432,48,48,   4,0.49,0.20,0.0195
961,9,97,24.48,MEDIUM,4608,384,4656,432,48,48,  15,0.49,0.20,0.0516
984,10,12,23.39,MEDIUM,528,432,576,480,48,48,4085,1.00,0.20,0.2685
985,10,13,28.08,MEDIUM,576,432,624,480,48,48,2875,0.49,0.20,0.3080
992,10,20,14.84,MEDIUM,912,432,960,480,48,48,  84,0.49,0.20,0.0467
1037,10,65,29.34,MEDIUM,3072,432,3120,480,48,48,   6,0.49,0.20,0.0365
1094,11,14,17.06,MEDIUM,624,480,672,528,48,48, 976,0.49,0.20,0.1174
1098,11,18,29.56,MEDIUM,816,480,864,528,48,48, 272,1.00,0.20,0.2596
1099,11,19,31.12,MEDIUM,864,480,912,528,48,48, 121,1.00,0.20,0.2381
1167,11,87,23.22,MEDIUM,4128,480,4176,528,48,48,   4,1.00,0.20,0.0311
1195,12,7,25.74,MEDIUM,288,528,336,576,48,48, 126,1.00,0.20,0.1778
1201,12,13,28.12,MEDIUM,576,528,624,576,48,48,  99,1.00,0.20,0.1937
1202,12,14,45.92,MEDIUM,624,528,672,576,48,48, 170,1.00,0.20,0.4285
1203,12,15,32.51,MEDIUM,672,528,720,576,48,48, 135,1.00,0.20,0.2606
1204,12,16,29.82,MEDIUM,720,528,768,576,48,48, 154,1.00,0.20,0.2353
1205,12,17,18.84,MEDIUM,768,528,816,576,48,48, 191,1.00,0.20,0.1151
1247,12,59,16.41,MEDIUM,2784,528,2832,576,48,48,2882,1.00,0.20,0.1461
1248,12,60,35.37,MEDIUM,2832,528,2880,576,48,48,1034,1.00,0.20,0.4004
1281,12,93,14.71,MEDIUM,4416,528,4464,576,48,48,2409,0.49,0.20,0.1059
1282,12,94,13.28,MEDIUM,4464,528,4512,576,48,48,1092,0.49,0.20,0.0763
1304,13,8,26.87,MEDIUM,336,576,384,624,48,48,  50,1.00,0.20,0.1473
