Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5760x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5760x3240
Scaled Tile Size: 48x48
Total Mask: 96.92%, Total Tissue: 3.08%
Tiles: 120x68 = 8160
    47 ( 0.58%) tiles >=80% tissue
   546 ( 6.69%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
12,1,12,13.45,MEDIUM,528,0,576,48,48,48,31071,0.49,0.20,0.1268
13,1,13,93.84,HIGH,576,0,624,48,48,48,   0,0.49,1.00,0.0000
14,1,14,100.00,HIGH,624,0,672,48,48,48,   0,0.16,1.00,0.0000
15,1,15,100.00,HIGH,672,0,720,48,48,48,   0,0.16,1.00,0.0000
16,1,16,23.13,MEDIUM,720,0,768,48,48,48,   0,0.49,0.20,0.0000
18,1,18,18.79,MEDIUM,816,0,864,48,48,48,3037,0.49,0.20,0.1676
133,2,13,83.90,HIGH,576,48,624,96,48,48,6290,0.49,1.00,0.8497
134,2,14,78.39,MEDIUM,624,48,672,96,48,48,3950,0.49,0.20,0.7855
135,2,15,67.32,MEDIUM,672,48,720,96,48,48,6047,0.49,0.20,0.7432
136,2,16,74.83,MEDIUM,720,48,768,96,48,48,4892,1.00,0.20,0.7941
137,2,17,14.97,MEDIUM,768,48,816,96,48,48,12475,0.49,0.20,0.1375
138,2,18,27.56,MEDIUM,816,48,864,96,48,48,4603,0.49,0.20,0.3171
172,2,52,25.74,MEDIUM,2448,48,2496,96,48,48,4611,0.49,0.20,0.2883
173,2,53,36.37,MEDIUM,2496,48,2544,96,48,48,4210,0.49,0.20,0.4435
174,2,54,32.12,MEDIUM,2544,48,2592,96,48,48,4190,0.49,0.20,0.3831
175,2,55,26.22,MEDIUM,2592,48,2640,96,48,48,4243,0.49,0.20,0.2931
177,2,57,24.44,MEDIUM,2688,48,2736,96,48,48,3926,0.49,0.20,0.2623
178,2,58,17.84,MEDIUM,2736,48,2784,96,48,48,4999,0.49,0.20,0.1647
