Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12288
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5552x12288
Scaled Tile Size: 48x48
Total Mask: 99.32%, Total Tissue: 0.68%
Tiles: 116x256 = 29696
    18 ( 0.06%) tiles >=80% tissue
   534 ( 1.80%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
17,1,17,15.02,MEDIUM,768,0,816,48,48,48,  36,0.49,0.20,0.0329
46,1,46,16.97,MEDIUM,2160,0,2208,48,48,48,   0,0.49,0.20,0.0000
133,2,17,26.87,MEDIUM,768,48,816,96,48,48,  25,0.49,0.20,0.0822
161,2,45,30.86,MEDIUM,2112,48,2160,96,48,48,   0,0.49,0.20,0.0010
162,2,46,51.48,MEDIUM,2160,48,2208,96,48,48,   0,1.00,0.20,0.0000
240,3,8,21.88,MEDIUM,336,96,384,144,48,48,  14,0.49,0.20,0.0389
276,3,44,18.84,MEDIUM,2064,96,2112,144,48,48,   0,0.49,0.20,0.0000
277,3,45,45.75,MEDIUM,2112,96,2160,144,48,48,   0,1.00,0.20,0.0026
278,3,46,15.36,MEDIUM,2160,96,2208,144,48,48,   0,0.49,0.20,0.0000
368,4,20,57.03,MEDIUM,912,144,960,192,48,48,  16,1.00,0.20,0.3195
391,4,43,23.31,MEDIUM,2016,144,2064,192,48,48,   0,0.49,0.20,0.0000
392,4,44,41.88,MEDIUM,2064,144,2112,192,48,48,   0,1.00,0.20,0.0000
393,4,45,70.70,MEDIUM,2112,144,2160,192,48,48,   0,1.00,0.20,0.0000
394,4,46,16.36,MEDIUM,2160,144,2208,192,48,48,   0,0.49,0.20,0.0000
398,4,50,28.73,MEDIUM,2352,144,2400,192,48,48,   0,1.00,0.20,0.0000
484,5,20,31.21,MEDIUM,912,192,960,240,48,48,  22,0.49,0.20,0.1004
485,5,21,16.15,MEDIUM,960,192,1008,240,48,48,   0,0.49,0.20,0.0012
506,5,42,21.53,MEDIUM,1968,192,2016,240,48,48,   0,0.49,0.20,0.0000
507,5,43,16.75,MEDIUM,2016,192,2064,240,48,48,   0,0.49,0.20,0.0000
508,5,44,47.70,MEDIUM,2064,192,2112,240,48,48,   0,1.00,0.20,0.0000
513,5,49,38.89,MEDIUM,2304,192,2352,240,48,48,   0,1.00,0.20,0.0000
514,5,50,49.74,MEDIUM,2352,192,2400,240,48,48,   0,1.00,0.20,0.0000
585,6,5,15.02,MEDIUM,192,240,240,288,48,48,   5,0.49,0.20,0.0091
586,6,6,77.95,MEDIUM,240,240,288,288,48,48,   4,1.00,0.20,0.2474
587,6,7,79.86,MEDIUM,288,240,336,288,48,48,   5,1.00,0.20,0.3141
590,6,10,48.91,MEDIUM,432,240,480,288,48,48,   6,1.00,0.20,0.1544
591,6,11,50.00,MEDIUM,480,240,528,288,48,48,  12,1.00,0.20,0.2385
593,6,13,16.93,MEDIUM,576,240,624,288,48,48,   3,0.49,0.20,0.0079
594,6,14,15.36,MEDIUM,624,240,672,288,48,48,   7,0.49,0.20,0.0128
598,6,18,43.62,MEDIUM,816,240,864,288,48,48,  26,0.49,0.20,0.1927
601,6,21,39.11,MEDIUM,960,240,1008,288,48,48,   2,0.49,0.20,0.0317
614,6,34,32.77,MEDIUM,1584,240,1632,288,48,48,   0,1.00,0.20,0.0000
622,6,42,24.78,MEDIUM,1968,240,2016,288,48,48,   0,0.49,0.20,0.0000
625,6,45,53.47,MEDIUM,2112,240,2160,288,48,48,   0,1.00,0.20,0.0000
626,6,46,32.42,MEDIUM,2160,240,2208,288,48,48,   0,0.49,0.20,0.0000
627,6,47,31.16,MEDIUM,2208,240,2256,288,48,48,   0,0.49,0.20,0.0000
628,6,48,33.77,MEDIUM,2256,240,2304,288,48,48,   0,0.49,0.20,0.0000
629,6,49,51.17,MEDIUM,2304,240,2352,288,48,48,   0,1.00,0.20,0.0000
630,6,50,66.97,MEDIUM,2352,240,2400,288,48,48,   0,1.00,0.20,0.0000
631,6,51,23.31,MEDIUM,2400,240,2448,288,48,48,   0,1.00,0.20,0.0000
697,7,1,19.57,MEDIUM,0,288,48,336,48,48,   0,0.49,0.20,0.0000
700,7,4,52.65,MEDIUM,144,288,192,336,48,48,   0,1.00,0.20,0.0000
701,7,5,57.42,MEDIUM,192,288,240,336,48,48,   0,1.00,0.20,0.0000
702,7,6,92.53,HIGH,240,288,288,336,48,48,   0,1.00,1.00,0.0000
703,7,7,91.15,HIGH,288,288,336,336,48,48,   0,0.49,1.00,0.0000
704,7,8,78.52,MEDIUM,336,288,384,336,48,48,   0,1.00,0.20,0.0000
705,7,9,83.77,HIGH,384,288,432,336,48,48,   0,0.49,1.00,0.0000
706,7,10,91.67,HIGH,432,288,480,336,48,48,   0,0.49,1.00,0.1485
707,7,11,61.07,MEDIUM,480,288,528,336,48,48,   0,1.00,0.20,0.0000
708,7,12,59.77,MEDIUM,528,288,576,336,48,48,   0,0.49,0.20,0.0158
709,7,13,99.18,HIGH,576,288,624,336,48,48,   0,0.49,1.00,0.0000
710,7,14,87.67,HIGH,624,288,672,336,48,48,   0,0.49,1.00,0.0385
711,7,15,88.41,HIGH,672,288,720,336,48,48,   6,0.49,1.00,0.5161
712,7,16,35.42,MEDIUM,720,288,768,336,48,48,   3,0.49,0.20,0.0350
713,7,17,35.42,MEDIUM,768,288,816,336,48,48,   6,0.49,0.20,0.0546
714,7,18,37.76,MEDIUM,816,288,864,336,48,48,   4,0.49,0.20,0.0490
715,7,19,16.71,MEDIUM,864,288,912,336,48,48,   3,0.49,0.20,0.0073
736,7,40,52.65,MEDIUM,1872,288,1920,336,48,48,   0,1.00,0.20,0.0000
737,7,41,59.64,MEDIUM,1920,288,1968,336,48,48,   0,1.00,0.20,0.0000
739,7,43,37.93,MEDIUM,2016,288,2064,336,48,48,   0,1.00,0.20,0.0000
740,7,44,27.95,MEDIUM,2064,288,2112,336,48,48,   0,1.00,0.20,0.0000
741,7,45,37.80,MEDIUM,2112,288,2160,336,48,48,   0,1.00,0.20,0.0000
743,7,47,22.22,MEDIUM,2208,288,2256,336,48,48,   0,0.49,0.20,0.0000
746,7,50,16.97,MEDIUM,2352,288,2400,336,48,48,   0,0.49,0.20,0.0000
817,8,5,25.65,MEDIUM,192,336,240,384,48,48,   0,1.00,0.20,0.0000
818,8,6,19.49,MEDIUM,240,336,288,384,48,48,   0,1.00,0.20,0.0000
819,8,7,22.44,MEDIUM,288,336,336,384,48,48,   0,1.00,0.20,0.0000
820,8,8,21.18,MEDIUM,336,336,384,384,48,48,   0,1.00,0.20,0.0000
824,8,12,29.90,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0080
825,8,13,45.10,MEDIUM,576,336,624,384,48,48,   0,1.00,0.20,0.0000
826,8,14,22.83,MEDIUM,624,336,672,384,48,48,   5,1.00,0.20,0.0332
827,8,15,18.01,MEDIUM,672,336,720,384,48,48,   0,1.00,0.20,0.0000
828,8,16,27.04,MEDIUM,720,336,768,384,48,48,   0,1.00,0.20,0.0000
