Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4141x2674
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4141x2674
Scaled Tile Size: 48x48
Total Mask: 86.82%, Total Tissue: 13.18%
Tiles: 87x56 = 4872
   206 ( 4.23%) tiles >=80% tissue
   912 (18.72%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
940,11,70,26.04,MEDIUM,3312,480,3360,528,48,48,   0,1.00,0.20,0.0061
941,11,71,40.89,MEDIUM,3360,480,3408,528,48,48,   0,1.00,0.20,0.0000
1025,12,68,14.06,MEDIUM,3216,528,3264,576,48,48,   0,1.00,0.20,0.0000
1027,12,70,21.27,MEDIUM,3312,528,3360,576,48,48,   0,1.00,0.20,0.0000
1107,13,63,17.71,MEDIUM,2976,576,3024,624,48,48,   0,1.00,0.20,0.0000
1112,13,68,40.15,MEDIUM,3216,576,3264,624,48,48,   0,1.00,0.20,0.0000
1113,13,69,36.72,MEDIUM,3264,576,3312,624,48,48,   0,1.00,0.20,0.0120
1114,13,70,36.28,MEDIUM,3312,576,3360,624,48,48,   0,1.00,0.20,0.0000
1185,14,54,18.45,MEDIUM,2544,624,2592,672,48,48,   0,1.00,0.20,0.0000
1191,14,60,21.14,MEDIUM,2832,624,2880,672,48,48,   0,1.00,0.20,0.0000
1199,14,68,14.93,MEDIUM,3216,624,3264,672,48,48,   0,1.00,0.20,0.0000
1201,14,70,36.55,MEDIUM,3312,624,3360,672,48,48,   0,1.00,0.20,0.0000
1280,15,62,16.36,MEDIUM,2928,672,2976,720,48,48,   3,1.00,0.20,0.0113
1288,15,70,49.00,MEDIUM,3312,672,3360,720,48,48,   0,1.00,0.20,0.0000
1350,16,45,20.10,MEDIUM,2112,720,2160,768,48,48,   0,1.00,0.20,0.0000
1351,16,46,13.85,MEDIUM,2160,720,2208,768,48,48,   0,1.00,0.20,0.0000
1356,16,51,27.39,MEDIUM,2400,720,2448,768,48,48,   0,1.00,0.20,0.0000
1362,16,57,37.89,MEDIUM,2688,720,2736,768,48,48,   0,1.00,0.20,0.0000
1363,16,58,38.06,MEDIUM,2736,720,2784,768,48,48,   0,1.00,0.20,0.0000
1367,16,62,20.53,MEDIUM,2928,720,2976,768,48,48,   0,1.00,0.20,0.0000
1374,16,69,17.49,MEDIUM,3264,720,3312,768,48,48,   0,1.00,0.20,0.0000
1430,17,38,19.14,MEDIUM,1776,768,1824,816,48,48,   0,1.00,0.20,0.0000
1431,17,39,22.57,MEDIUM,1824,768,1872,816,48,48,   0,1.00,0.20,0.0000
1432,17,40,41.41,MEDIUM,1872,768,1920,816,48,48,   0,1.00,0.20,0.0000
1433,17,41,56.73,MEDIUM,1920,768,1968,816,48,48,   0,1.00,0.20,0.0000
1434,17,42,35.89,MEDIUM,1968,768,2016,816,48,48,   8,1.00,0.20,0.1103
1446,17,54,20.70,MEDIUM,2544,768,2592,816,48,48,   0,1.00,0.20,0.0000
1521,18,42,30.60,MEDIUM,1968,816,2016,864,48,48,   0,1.00,0.20,0.0000
1523,18,44,33.46,MEDIUM,2064,816,2112,864,48,48,   0,1.00,0.20,0.0000
1542,18,63,18.88,MEDIUM,2976,816,3024,864,48,48,   5,1.00,0.20,0.0226
1609,19,43,27.21,MEDIUM,2016,864,2064,912,48,48,   0,1.00,0.20,0.0000
1610,19,44,20.05,MEDIUM,2064,864,2112,912,48,48,   0,1.00,0.20,0.0000
1619,19,53,31.47,MEDIUM,2496,864,2544,912,48,48,   0,1.00,0.20,0.0000
1629,19,63,20.66,MEDIUM,2976,864,3024,912,48,48,   0,1.00,0.20,0.0000
1630,19,64,15.62,MEDIUM,3024,864,3072,912,48,48,   0,1.00,0.20,0.0000
1685,20,32,16.19,MEDIUM,1488,912,1536,960,48,48,   0,1.00,0.20,0.0000
1696,20,43,14.93,MEDIUM,2016,912,2064,960,48,48,   0,1.00,0.20,0.0000
1707,20,54,15.97,MEDIUM,2544,912,2592,960,48,48,   0,1.00,0.20,0.0000
1716,20,63,19.49,MEDIUM,2976,912,3024,960,48,48,   0,1.00,0.20,0.0000
1717,20,64,28.04,MEDIUM,3024,912,3072,960,48,48,   0,1.00,0.20,0.0000
1718,20,65,17.45,MEDIUM,3072,912,3120,960,48,48,  18,1.00,0.20,0.0448
1746,21,6,27.56,MEDIUM,240,960,288,1008,48,48,   0,1.00,0.20,0.0000
1769,21,29,27.86,MEDIUM,1344,960,1392,1008,48,48,   0,1.00,0.20,0.0000
1770,21,30,38.24,MEDIUM,1392,960,1440,1008,48,48,   0,1.00,0.20,0.0000
1772,21,32,17.36,MEDIUM,1488,960,1536,1008,48,48,   0,1.00,0.20,0.0000
1784,21,44,15.84,MEDIUM,2064,960,2112,1008,48,48,   0,1.00,0.20,0.0000
1794,21,54,28.65,MEDIUM,2544,960,2592,1008,48,48,   0,1.00,0.20,0.0000
1795,21,55,16.23,MEDIUM,2592,960,2640,1008,48,48,   0,1.00,0.20,0.0000
1803,21,63,19.44,MEDIUM,2976,960,3024,1008,48,48,   0,1.00,0.20,0.0000
1804,21,64,19.23,MEDIUM,3024,960,3072,1008,48,48,   0,1.00,0.20,0.0000
1805,21,65,29.25,MEDIUM,3072,960,3120,1008,48,48,   0,1.00,0.20,0.0000
1806,21,66,33.25,MEDIUM,3120,960,3168,1008,48,48,   0,1.00,0.20,0.0000
1807,21,67,22.57,MEDIUM,3168,960,3216,1008,48,48,   0,1.00,0.20,0.0000
1833,22,6,75.04,MEDIUM,240,1008,288,1056,48,48,   0,1.00,0.20,0.0000
1855,22,28,36.72,MEDIUM,1296,1008,1344,1056,48,48,   0,1.00,0.20,0.0000
1856,22,29,33.64,MEDIUM,1344,1008,1392,1056,48,48,   0,1.00,0.20,0.0000
1857,22,30,27.34,MEDIUM,1392,1008,1440,1056,48,48,   0,1.00,0.20,0.0000
1881,22,54,25.69,MEDIUM,2544,1008,2592,1056,48,48,   0,1.00,0.20,0.0000
1882,22,55,32.20,MEDIUM,2592,1008,2640,1056,48,48,   0,1.00,0.20,0.0000
1890,22,63,21.48,MEDIUM,2976,1008,3024,1056,48,48,   0,1.00,0.20,0.0000
1891,22,64,17.62,MEDIUM,3024,1008,3072,1056,48,48,   0,1.00,0.20,0.0000
1919,23,5,21.22,MEDIUM,192,1056,240,1104,48,48,   0,1.00,0.20,0.0000
1920,23,6,73.74,MEDIUM,240,1056,288,1104,48,48,   0,1.00,0.20,0.0000
1968,23,54,14.67,MEDIUM,2544,1056,2592,1104,48,48,   0,1.00,0.20,0.0000
1969,23,55,49.09,MEDIUM,2592,1056,2640,1104,48,48,   0,1.00,0.20,0.0000
1970,23,56,17.53,MEDIUM,2640,1056,2688,1104,48,48,   0,1.00,0.20,0.0000
1977,23,63,26.52,MEDIUM,2976,1056,3024,1104,48,48,   0,1.00,0.20,0.0000
2007,24,6,46.92,MEDIUM,240,1104,288,1152,48,48,   0,1.00,0.20,0.0000
2055,24,54,42.66,MEDIUM,2544,1104,2592,1152,48,48,   0,1.00,0.20,0.0000
2056,24,55,51.82,MEDIUM,2592,1104,2640,1152,48,48,   0,1.00,0.20,0.0000
2057,24,56,17.80,MEDIUM,2640,1104,2688,1152,48,48,   0,1.00,0.20,0.0000
2064,24,63,28.34,MEDIUM,2976,1104,3024,1152,48,48,  59,1.00,0.20,0.1697
2069,24,68,31.25,MEDIUM,3216,1104,3264,1152,48,48,   0,1.00,0.20,0.0000
2094,25,6,18.19,MEDIUM,240,1152,288,1200,48,48,   3,1.00,0.20,0.0156
2142,25,54,50.09,MEDIUM,2544,1152,2592,1200,48,48,   0,1.00,0.20,0.0000
2143,25,55,18.10,MEDIUM,2592,1152,2640,1200,48,48,   0,1.00,0.20,0.0000
2151,25,63,42.14,MEDIUM,2976,1152,3024,1200,48,48,   2,1.00,0.20,0.0653
2155,25,67,15.15,MEDIUM,3168,1152,3216,1200,48,48,   0,1.00,0.20,0.0000
2156,25,68,55.77,MEDIUM,3216,1152,3264,1200,48,48,   0,1.00,0.20,0.0000
2163,25,75,15.15,MEDIUM,3552,1152,3600,1200,48,48,   0,1.00,0.20,0.0000
2237,26,62,19.36,MEDIUM,2928,1200,2976,1248,48,48,  10,1.00,0.20,0.0394
2238,26,63,25.22,MEDIUM,2976,1200,3024,1248,48,48,   0,1.00,0.20,0.0057
2242,26,67,25.65,MEDIUM,3168,1200,3216,1248,48,48,   0,1.00,0.20,0.0000
2243,26,68,60.11,MEDIUM,3216,1200,3264,1248,48,48,   0,1.00,0.20,0.0000
2244,26,69,50.82,MEDIUM,3264,1200,3312,1248,48,48,   1,1.00,0.20,0.0273
2245,26,70,35.11,MEDIUM,3312,1200,3360,1248,48,48,  13,1.00,0.20,0.1375
2247,26,72,23.05,MEDIUM,3408,1200,3456,1248,48,48,   0,1.00,0.20,0.0048
2249,26,74,36.50,MEDIUM,3504,1200,3552,1248,48,48,   0,1.00,0.20,0.0000
2250,26,75,63.59,MEDIUM,3552,1200,3600,1248,48,48,   0,1.00,0.20,0.0000
2314,27,52,18.27,MEDIUM,2448,1248,2496,1296,48,48,   0,1.00,0.20,0.0000
2323,27,61,15.49,MEDIUM,2880,1248,2928,1296,48,48,   0,1.00,0.20,0.0000
2324,27,62,28.95,MEDIUM,2928,1248,2976,1296,48,48,   0,1.00,0.20,0.0000
2326,27,64,16.54,MEDIUM,3024,1248,3072,1296,48,48,   8,1.00,0.20,0.0259
2327,27,65,16.67,MEDIUM,3072,1248,3120,1296,48,48,   5,1.00,0.20,0.0199
2330,27,68,47.18,MEDIUM,3216,1248,3264,1296,48,48,   0,1.00,0.20,0.0000
2331,27,69,34.24,MEDIUM,3264,1248,3312,1296,48,48,   0,1.00,0.20,0.0104
2332,27,70,44.40,MEDIUM,3312,1248,3360,1296,48,48,  20,1.00,0.20,0.2405
2333,27,71,66.36,MEDIUM,3360,1248,3408,1296,48,48,  54,1.00,0.20,0.5204
2334,27,72,69.14,MEDIUM,3408,1248,3456,1296,48,48,   0,1.00,0.20,0.0000
