Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1920x1184
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1920x1184
Scaled Tile Size: 48x48
Total Mask: 91.94%, Total Tissue: 8.06%
Tiles: 40x25 = 1000
    60 ( 6.00%) tiles >=80% tissue
    49 ( 4.90%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
47,2,7,29.77,MEDIUM,288,48,336,96,48,48,   1,1.00,0.20,0.0103
83,3,3,22.96,MEDIUM,96,96,144,144,48,48,   0,1.00,0.20,0.0000
84,3,4,49.78,MEDIUM,144,96,192,144,48,48,   2,1.00,0.20,0.0666
85,3,5,84.20,HIGH,192,96,240,144,48,48,   3,1.00,1.00,0.5062
86,3,6,95.57,HIGH,240,96,288,144,48,48,   8,1.00,1.00,0.6727
87,3,7,97.01,HIGH,288,96,336,144,48,48,  10,1.00,1.00,0.6949
88,3,8,27.73,MEDIUM,336,96,384,144,48,48,   4,1.00,0.20,0.0416
123,4,3,54.77,MEDIUM,96,144,144,192,48,48,   0,1.00,0.20,0.0048
124,4,4,96.48,HIGH,144,144,192,192,48,48,   1,1.00,1.00,0.4483
125,4,5,93.14,HIGH,192,144,240,192,48,48,   4,1.00,1.00,0.5717
126,4,6,96.05,HIGH,240,144,288,192,48,48,   8,1.00,1.00,0.6709
127,4,7,99.22,HIGH,288,144,336,192,48,48,  16,1.00,1.00,0.7341
128,4,8,48.96,MEDIUM,336,144,384,192,48,48,   6,1.00,0.20,0.1570
163,5,3,24.78,MEDIUM,96,192,144,240,48,48,   0,1.00,0.20,0.0000
164,5,4,91.80,HIGH,144,192,192,240,48,48,   2,1.00,1.00,0.4719
165,5,5,96.66,HIGH,192,192,240,240,48,48,   3,1.00,1.00,0.5788
166,5,6,98.61,HIGH,240,192,288,240,48,48,   6,0.49,1.00,0.5762
167,5,7,99.48,HIGH,288,192,336,240,48,48,  12,1.00,1.00,0.7196
168,5,8,77.21,MEDIUM,336,192,384,240,48,48,   5,1.00,0.20,0.3015
204,6,4,93.19,HIGH,144,240,192,288,48,48,   1,1.00,1.00,0.3400
205,6,5,91.15,HIGH,192,240,240,288,48,48,   2,1.00,1.00,0.5012
206,6,6,96.96,HIGH,240,240,288,288,48,48,   3,1.00,1.00,0.5616
207,6,7,99.57,HIGH,288,240,336,288,48,48,   5,1.00,1.00,0.6404
208,6,8,99.48,HIGH,336,240,384,288,48,48,   7,1.00,1.00,0.6752
209,6,9,29.30,MEDIUM,384,240,432,288,48,48,   3,1.00,0.20,0.0415
244,7,4,65.49,MEDIUM,144,288,192,336,48,48,   0,1.00,0.20,0.0047
245,7,5,94.23,HIGH,192,288,240,336,48,48,   0,1.00,1.00,0.1932
246,7,6,95.40,HIGH,240,288,288,336,48,48,   1,1.00,1.00,0.4233
247,7,7,98.18,HIGH,288,288,336,336,48,48,   3,1.00,1.00,0.5638
248,7,8,99.05,HIGH,336,288,384,336,48,48,   5,1.00,1.00,0.6385
249,7,9,76.04,MEDIUM,384,288,432,336,48,48,   3,1.00,0.20,0.2024
284,8,4,20.44,MEDIUM,144,336,192,384,48,48,   0,1.00,0.20,0.0000
285,8,5,92.45,HIGH,192,336,240,384,48,48,   0,1.00,1.00,0.1881
286,8,6,97.87,HIGH,240,336,288,384,48,48,   2,1.00,1.00,0.4852
287,8,7,98.83,HIGH,288,336,336,384,48,48,   2,1.00,1.00,0.5372
288,8,8,97.92,HIGH,336,336,384,384,48,48,   6,1.00,1.00,0.6436
289,8,9,92.66,HIGH,384,336,432,384,48,48,  10,1.00,1.00,0.6746
290,8,10,22.61,MEDIUM,432,336,480,384,48,48,   1,1.00,0.20,0.0074
325,9,5,60.68,MEDIUM,192,384,240,432,48,48,   0,1.00,0.20,0.0140
326,9,6,94.18,HIGH,240,384,288,432,48,48,   1,1.00,1.00,0.4267
327,9,7,87.37,HIGH,288,384,336,432,48,48,   2,1.00,1.00,0.4422
328,9,8,94.01,HIGH,336,384,384,432,48,48,   3,1.00,1.00,0.5603
329,9,9,92.88,HIGH,384,384,432,432,48,48,  10,1.00,1.00,0.6700
330,9,10,61.55,MEDIUM,432,384,480,432,48,48,   5,1.00,0.20,0.1986
362,10,2,25.39,MEDIUM,48,432,96,480,48,48,   0,1.00,0.20,0.0000
363,10,3,55.64,MEDIUM,96,432,144,480,48,48,   0,1.00,0.20,0.0000
365,10,5,56.90,MEDIUM,192,432,240,480,48,48,   0,1.00,0.20,0.0106
366,10,6,79.51,MEDIUM,240,432,288,480,48,48,   0,1.00,0.20,0.0137
367,10,7,92.49,HIGH,288,432,336,480,48,48,   0,1.00,1.00,0.1704
368,10,8,31.55,MEDIUM,336,432,384,480,48,48,   1,1.00,0.20,0.0143
369,10,9,60.81,MEDIUM,384,432,432,480,48,48,   2,1.00,0.20,0.1216
370,10,10,67.36,MEDIUM,432,432,480,480,48,48,   7,1.00,0.20,0.2799
403,11,3,31.94,MEDIUM,96,480,144,528,48,48,   0,1.00,0.20,0.0000
406,11,6,79.08,MEDIUM,240,480,288,528,48,48,   0,1.00,0.20,0.0084
407,11,7,49.26,MEDIUM,288,480,336,528,48,48,   0,1.00,0.20,0.0062
511,13,31,13.54,MEDIUM,1440,576,1488,624,48,48,   0,0.49,0.20,0.0000
512,13,32,15.67,MEDIUM,1488,576,1536,624,48,48,   0,1.00,0.20,0.0023
513,13,33,44.31,MEDIUM,1536,576,1584,624,48,48,   3,1.00,0.20,0.0846
514,13,34,33.20,MEDIUM,1584,576,1632,624,48,48,   0,1.00,0.20,0.0098
550,14,30,33.12,MEDIUM,1392,624,1440,672,48,48,   1,1.00,0.20,0.0249
551,14,31,74.83,MEDIUM,1440,624,1488,672,48,48,   2,1.00,0.20,0.1502
552,14,32,89.19,HIGH,1488,624,1536,672,48,48,   9,1.00,1.00,0.6478
553,14,33,94.70,HIGH,1536,624,1584,672,48,48,  14,1.00,1.00,0.7080
554,14,34,75.13,MEDIUM,1584,624,1632,672,48,48,   6,1.00,0.20,0.3076
590,15,30,89.71,HIGH,1392,672,1440,720,48,48,   0,1.00,1.00,0.0843
