Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1364x1840
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1364x1840
Scaled Tile Size: 48x48
Total Mask: 63.56%, Total Tissue: 36.44%
Tiles: 29x39 = 1131
   366 (32.36%) tiles >=80% tissue
    80 ( 7.07%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
65,3,7,29.86,MEDIUM,288,96,336,144,48,48,   0,1.00,0.20,0.0011
66,3,8,29.25,MEDIUM,336,96,384,144,48,48,   0,1.00,0.20,0.0063
67,3,9,64.93,MEDIUM,384,96,432,144,48,48,   0,1.00,0.20,0.0041
68,3,10,41.62,MEDIUM,432,96,480,144,48,48,   1,1.00,0.20,0.0168
73,3,15,24.78,MEDIUM,672,96,720,144,48,48,   4,1.00,0.20,0.0376
74,3,16,18.14,MEDIUM,720,96,768,144,48,48,   1,1.00,0.20,0.0078
75,3,17,16.45,MEDIUM,768,96,816,144,48,48,   1,1.00,0.20,0.0031
76,3,18,33.03,MEDIUM,816,96,864,144,48,48,   0,1.00,0.20,0.0053
77,3,19,39.63,MEDIUM,864,96,912,144,48,48,   0,1.00,0.20,0.0011
94,4,7,54.34,MEDIUM,288,144,336,192,48,48,   1,1.00,0.20,0.0567
95,4,8,72.40,MEDIUM,336,144,384,192,48,48,   0,1.00,0.20,0.0134
96,4,9,90.71,HIGH,384,144,432,192,48,48,   0,1.00,1.00,0.0916
97,4,10,81.29,HIGH,432,144,480,192,48,48,   0,1.00,1.00,0.1201
98,4,11,68.75,MEDIUM,480,144,528,192,48,48,   3,1.00,0.20,0.1826
100,4,13,64.89,MEDIUM,576,144,624,192,48,48,   2,1.00,0.20,0.1180
101,4,14,91.58,HIGH,624,144,672,192,48,48,   1,1.00,1.00,0.3956
102,4,15,85.42,HIGH,672,144,720,192,48,48,   2,1.00,1.00,0.4019
103,4,16,75.09,MEDIUM,720,144,768,192,48,48,   2,1.00,0.20,0.1415
104,4,17,86.55,HIGH,768,144,816,192,48,48,   1,1.00,1.00,0.2986
105,4,18,96.05,HIGH,816,144,864,192,48,48,   2,1.00,1.00,0.4788
106,4,19,97.61,HIGH,864,144,912,192,48,48,   0,1.00,1.00,0.1502
107,4,20,78.26,MEDIUM,912,144,960,192,48,48,   2,1.00,0.20,0.1716
108,4,21,68.32,MEDIUM,960,144,1008,192,48,48,   0,1.00,0.20,0.0318
109,4,22,67.88,MEDIUM,1008,144,1056,192,48,48,   0,1.00,0.20,0.0378
110,4,23,35.20,MEDIUM,1056,144,1104,192,48,48,   0,1.00,0.20,0.0033
122,5,6,51.35,MEDIUM,240,192,288,240,48,48,   0,1.00,0.20,0.0236
123,5,7,87.02,HIGH,288,192,336,240,48,48,   1,1.00,1.00,0.3281
124,5,8,86.11,HIGH,336,192,384,240,48,48,   5,1.00,1.00,0.5678
125,5,9,95.57,HIGH,384,192,432,240,48,48,   1,1.00,1.00,0.4288
126,5,10,86.55,HIGH,432,192,480,240,48,48,   0,1.00,1.00,0.1428
127,5,11,88.15,HIGH,480,192,528,240,48,48,   2,1.00,1.00,0.4716
128,5,12,80.38,HIGH,528,192,576,240,48,48,   0,1.00,1.00,0.1708
129,5,13,96.83,HIGH,576,192,624,240,48,48,   1,1.00,1.00,0.4333
130,5,14,96.01,HIGH,624,192,672,240,48,48,   1,1.00,1.00,0.4305
131,5,15,96.74,HIGH,672,192,720,240,48,48,   1,1.00,1.00,0.3482
132,5,16,94.01,HIGH,720,192,768,240,48,48,   2,1.00,1.00,0.4528
133,5,17,86.11,HIGH,768,192,816,240,48,48,   1,1.00,1.00,0.3069
134,5,18,98.57,HIGH,816,192,864,240,48,48,   1,1.00,1.00,0.3641
135,5,19,94.84,HIGH,864,192,912,240,48,48,   1,1.00,1.00,0.3554
136,5,20,95.10,HIGH,912,192,960,240,48,48,   1,1.00,1.00,0.3804
137,5,21,97.57,HIGH,960,192,1008,240,48,48,   1,1.00,1.00,0.3698
138,5,22,98.22,HIGH,1008,192,1056,240,48,48,   1,1.00,1.00,0.4451
139,5,23,70.96,MEDIUM,1056,192,1104,240,48,48,   0,1.00,0.20,0.0307
150,6,5,37.33,MEDIUM,192,240,240,288,48,48,   1,1.00,0.20,0.0142
151,6,6,94.05,HIGH,240,240,288,288,48,48,   0,1.00,1.00,0.0436
152,6,7,94.53,HIGH,288,240,336,288,48,48,   0,1.00,1.00,0.0508
153,6,8,93.79,HIGH,336,240,384,288,48,48,   0,1.00,1.00,0.1614
154,6,9,92.75,HIGH,384,240,432,288,48,48,   1,1.00,1.00,0.3040
155,6,10,95.49,HIGH,432,240,480,288,48,48,   2,1.00,1.00,0.4754
156,6,11,95.75,HIGH,480,240,528,288,48,48,   0,1.00,1.00,0.2303
157,6,12,92.88,HIGH,528,240,576,288,48,48,   0,1.00,1.00,0.2275
158,6,13,96.61,HIGH,576,240,624,288,48,48,   0,1.00,1.00,0.2536
159,6,14,95.57,HIGH,624,240,672,288,48,48,   0,1.00,1.00,0.1884
160,6,15,96.66,HIGH,672,240,720,288,48,48,   1,1.00,1.00,0.4255
161,6,16,89.89,HIGH,720,240,768,288,48,48,   2,1.00,1.00,0.4510
162,6,17,97.66,HIGH,768,240,816,288,48,48,   1,1.00,1.00,0.3694
163,6,18,97.83,HIGH,816,240,864,288,48,48,   3,1.00,1.00,0.5822
164,6,19,98.39,HIGH,864,240,912,288,48,48,   1,1.00,1.00,0.4403
165,6,20,98.26,HIGH,912,240,960,288,48,48,   1,1.00,1.00,0.4051
166,6,21,97.70,HIGH,960,240,1008,288,48,48,   1,1.00,1.00,0.3337
167,6,22,95.75,HIGH,1008,240,1056,288,48,48,   0,1.00,1.00,0.1740
168,6,23,93.36,HIGH,1056,240,1104,288,48,48,   0,1.00,1.00,0.1931
169,6,24,28.73,MEDIUM,1104,240,1152,288,48,48,   0,1.00,0.20,0.0056
178,7,4,23.09,MEDIUM,144,288,192,336,48,48,   0,1.00,0.20,0.0000
179,7,5,86.50,HIGH,192,288,240,336,48,48,   0,1.00,1.00,0.2300
180,7,6,94.40,HIGH,240,288,288,336,48,48,   3,1.00,1.00,0.5490
181,7,7,97.22,HIGH,288,288,336,336,48,48,   2,1.00,1.00,0.5234
182,7,8,92.75,HIGH,336,288,384,336,48,48,  14,1.00,1.00,0.7018
183,7,9,96.09,HIGH,384,288,432,336,48,48,   0,1.00,1.00,0.2013
184,7,10,98.91,HIGH,432,288,480,336,48,48,   0,1.00,1.00,0.2543
185,7,11,95.70,HIGH,480,288,528,336,48,48,   0,1.00,1.00,0.1965
186,7,12,95.53,HIGH,528,288,576,336,48,48,   0,1.00,1.00,0.2620
187,7,13,98.26,HIGH,576,288,624,336,48,48,   1,1.00,1.00,0.3438
188,7,14,97.14,HIGH,624,288,672,336,48,48,   7,1.00,1.00,0.6580
189,7,15,98.22,HIGH,672,288,720,336,48,48,   2,1.00,1.00,0.5302
190,7,16,97.18,HIGH,720,288,768,336,48,48,   2,1.00,1.00,0.5359
191,7,17,96.74,HIGH,768,288,816,336,48,48,   2,1.00,1.00,0.5022
192,7,18,94.97,HIGH,816,288,864,336,48,48,   4,1.00,1.00,0.5971
193,7,19,99.00,HIGH,864,288,912,336,48,48,   1,1.00,1.00,0.4069
194,7,20,98.61,HIGH,912,288,960,336,48,48,   1,1.00,1.00,0.3909
195,7,21,84.55,HIGH,960,288,1008,336,48,48,   6,1.00,1.00,0.5855
196,7,22,90.06,HIGH,1008,288,1056,336,48,48,   2,1.00,1.00,0.4745
197,7,23,93.19,HIGH,1056,288,1104,336,48,48,   1,1.00,1.00,0.2959
198,7,24,57.81,MEDIUM,1104,288,1152,336,48,48,   1,1.00,0.20,0.0443
205,8,2,36.55,MEDIUM,48,336,96,384,48,48,   9,1.00,0.20,0.1178
206,8,3,86.41,HIGH,96,336,144,384,48,48,  48,1.00,1.00,0.7441
207,8,4,98.00,HIGH,144,336,192,384,48,48,   2,1.00,1.00,0.4949
208,8,5,88.80,HIGH,192,336,240,384,48,48,  12,1.00,1.00,0.6694
209,8,6,92.53,HIGH,240,336,288,384,48,48,   5,1.00,1.00,0.6003
210,8,7,97.79,HIGH,288,336,336,384,48,48,   2,1.00,1.00,0.4983
211,8,8,98.13,HIGH,336,336,384,384,48,48,   2,1.00,1.00,0.5041
212,8,9,97.27,HIGH,384,336,432,384,48,48,   0,1.00,1.00,0.1582
213,8,10,98.48,HIGH,432,336,480,384,48,48,   1,1.00,1.00,0.3161
214,8,11,96.92,HIGH,480,336,528,384,48,48,   0,1.00,1.00,0.1078
215,8,12,96.74,HIGH,528,336,576,384,48,48,   1,1.00,1.00,0.3190
216,8,13,98.35,HIGH,576,336,624,384,48,48,   1,1.00,1.00,0.4288
217,8,14,98.26,HIGH,624,336,672,384,48,48,   1,1.00,1.00,0.4086
218,8,15,98.05,HIGH,672,336,720,384,48,48,   1,1.00,1.00,0.4390
219,8,16,98.26,HIGH,720,336,768,384,48,48,   2,1.00,1.00,0.4701
220,8,17,94.75,HIGH,768,336,816,384,48,48,   2,1.00,1.00,0.4792
221,8,18,97.74,HIGH,816,336,864,384,48,48,   2,1.00,1.00,0.4890
222,8,19,99.05,HIGH,864,336,912,384,48,48,   1,1.00,1.00,0.4447
223,8,20,93.66,HIGH,912,336,960,384,48,48,   2,1.00,1.00,0.4502
224,8,21,95.05,HIGH,960,336,1008,384,48,48,   2,1.00,1.00,0.4940
225,8,22,97.31,HIGH,1008,336,1056,384,48,48,   1,1.00,1.00,0.3159
226,8,23,98.26,HIGH,1056,336,1104,384,48,48,   3,1.00,1.00,0.5616
227,8,24,78.52,MEDIUM,1104,336,1152,384,48,48,   1,1.00,0.20,0.1147
235,9,3,81.86,HIGH,96,384,144,432,48,48,  91,1.00,1.00,0.7521
236,9,4,99.57,HIGH,144,384,192,432,48,48,  19,1.00,1.00,0.7478
237,9,5,98.00,HIGH,192,384,240,432,48,48,  10,1.00,1.00,0.7007
238,9,6,97.14,HIGH,240,384,288,432,48,48,  17,1.00,1.00,0.7328
239,9,7,99.05,HIGH,288,384,336,432,48,48,   1,1.00,1.00,0.4138
240,9,8,99.26,HIGH,336,384,384,432,48,48,   2,1.00,1.00,0.4746
241,9,9,99.05,HIGH,384,384,432,432,48,48,   1,1.00,1.00,0.4589
242,9,10,99.00,HIGH,432,384,480,432,48,48,   2,1.00,1.00,0.5139
243,9,11,99.13,HIGH,480,384,528,432,48,48,   5,1.00,1.00,0.6319
244,9,12,99.22,HIGH,528,384,576,432,48,48,   4,1.00,1.00,0.6010
245,9,13,97.92,HIGH,576,384,624,432,48,48,  10,1.00,1.00,0.6932
246,9,14,98.83,HIGH,624,384,672,432,48,48,   1,1.00,1.00,0.4280
247,9,15,99.13,HIGH,672,384,720,432,48,48,   2,1.00,1.00,0.4799
248,9,16,98.74,HIGH,720,384,768,432,48,48,   1,1.00,1.00,0.4635
249,9,17,96.74,HIGH,768,384,816,432,48,48,   1,1.00,1.00,0.4108
250,9,18,98.00,HIGH,816,384,864,432,48,48,   1,1.00,1.00,0.4528
251,9,19,99.00,HIGH,864,384,912,432,48,48,   1,1.00,1.00,0.3645
252,9,20,98.44,HIGH,912,384,960,432,48,48,   1,1.00,1.00,0.3805
253,9,21,98.05,HIGH,960,384,1008,432,48,48,   1,1.00,1.00,0.4533
254,9,22,96.74,HIGH,1008,384,1056,432,48,48,   0,1.00,1.00,0.1552
255,9,23,99.26,HIGH,1056,384,1104,432,48,48,   1,1.00,1.00,0.3838
256,9,24,85.42,HIGH,1104,384,1152,432,48,48,   1,1.00,1.00,0.2299
265,10,4,93.92,HIGH,144,432,192,480,48,48, 320,1.00,1.00,0.8358
266,10,5,99.61,HIGH,192,432,240,480,48,48,1409,1.00,1.00,0.8780
267,10,6,94.01,HIGH,240,432,288,480,48,48, 544,1.00,1.00,0.8477
268,10,7,99.70,HIGH,288,432,336,480,48,48, 353,1.00,1.00,0.8537
269,10,8,99.57,HIGH,336,432,384,480,48,48, 213,1.00,1.00,0.8418
270,10,9,99.35,HIGH,384,432,432,480,48,48, 216,1.00,1.00,0.8415
271,10,10,99.52,HIGH,432,432,480,480,48,48, 600,1.00,1.00,0.8637
272,10,11,99.57,HIGH,480,432,528,480,48,48, 995,1.00,1.00,0.8725
273,10,12,99.52,HIGH,528,432,576,480,48,48, 209,1.00,1.00,0.8412
274,10,13,99.57,HIGH,576,432,624,480,48,48, 109,1.00,1.00,0.8234
275,10,14,99.65,HIGH,624,432,672,480,48,48,  11,1.00,1.00,0.7141
276,10,15,99.57,HIGH,672,432,720,480,48,48,  16,1.00,1.00,0.7392
277,10,16,99.44,HIGH,720,432,768,480,48,48,   4,1.00,1.00,0.6050
278,10,17,98.91,HIGH,768,432,816,480,48,48,   3,1.00,1.00,0.5700
279,10,18,99.05,HIGH,816,432,864,480,48,48,   2,1.00,1.00,0.5319
280,10,19,97.74,HIGH,864,432,912,480,48,48,   1,1.00,1.00,0.3978
281,10,20,98.44,HIGH,912,432,960,480,48,48,   2,1.00,1.00,0.5096
282,10,21,96.14,HIGH,960,432,1008,480,48,48,   2,1.00,1.00,0.4663
283,10,22,98.78,HIGH,1008,432,1056,480,48,48,   1,1.00,1.00,0.4118
284,10,23,96.44,HIGH,1056,432,1104,480,48,48,  14,1.00,1.00,0.7148
285,10,24,91.84,HIGH,1104,432,1152,480,48,48,   4,1.00,1.00,0.5686
294,11,4,26.95,MEDIUM,144,480,192,528,48,48, 228,1.00,0.20,0.2182
295,11,5,99.48,HIGH,192,480,240,528,48,48,2430,1.00,1.00,0.8853
296,11,6,99.31,HIGH,240,480,288,528,48,48,2382,1.00,1.00,0.8846
297,11,7,99.48,HIGH,288,480,336,528,48,48,1299,1.00,1.00,0.8765
298,11,8,99.00,HIGH,336,480,384,528,48,48, 572,1.00,1.00,0.8616
299,11,9,99.13,HIGH,384,480,432,528,48,48, 708,1.00,1.00,0.8658
300,11,10,99.22,HIGH,432,480,480,528,48,48,1137,1.00,1.00,0.8739
301,11,11,99.39,HIGH,480,480,528,528,48,48, 907,1.00,1.00,0.8706
302,11,12,99.22,HIGH,528,480,576,528,48,48,2045,1.00,1.00,0.8824
303,11,13,99.61,HIGH,576,480,624,528,48,48,2052,1.00,1.00,0.8833
304,11,14,99.74,HIGH,624,480,672,528,48,48, 570,1.00,1.00,0.8633
305,11,15,99.39,HIGH,672,480,720,528,48,48, 484,1.00,1.00,0.8593
306,11,16,99.57,HIGH,720,480,768,528,48,48, 150,1.00,1.00,0.8326
307,11,17,99.52,HIGH,768,480,816,528,48,48,  23,1.00,1.00,0.7587
308,11,18,99.35,HIGH,816,480,864,528,48,48,  15,1.00,1.00,0.7302
309,11,19,98.96,HIGH,864,480,912,528,48,48,  15,1.00,1.00,0.7305
310,11,20,98.57,HIGH,912,480,960,528,48,48,   4,1.00,1.00,0.5952
311,11,21,99.31,HIGH,960,480,1008,528,48,48,   3,1.00,1.00,0.5878
312,11,22,99.39,HIGH,1008,480,1056,528,48,48,   3,1.00,1.00,0.5660
313,11,23,98.09,HIGH,1056,480,1104,528,48,48,  12,1.00,1.00,0.7118
314,11,24,99.61,HIGH,1104,480,1152,528,48,48,  10,1.00,1.00,0.7077
324,12,5,44.70,MEDIUM,192,528,240,576,48,48, 497,1.00,0.20,0.4795
325,12,6,97.74,HIGH,240,528,288,576,48,48,1247,1.00,1.00,0.8720
326,12,7,99.31,HIGH,288,528,336,576,48,48,4129,1.00,1.00,0.8914
327,12,8,99.18,HIGH,336,528,384,576,48,48,2120,1.00,1.00,0.8828
328,12,9,99.39,HIGH,384,528,432,576,48,48,1741,1.00,1.00,0.8806
329,12,10,98.78,HIGH,432,528,480,576,48,48, 965,1.00,1.00,0.8703
330,12,11,99.00,HIGH,480,528,528,576,48,48,1515,1.00,1.00,0.8777
331,12,12,99.31,HIGH,528,528,576,576,48,48,2714,1.00,1.00,0.8863
332,12,13,99.05,HIGH,576,528,624,576,48,48,3167,1.00,1.00,0.8877
333,12,14,99.52,HIGH,624,528,672,576,48,48,1060,1.00,1.00,0.8734
334,12,15,99.26,HIGH,672,528,720,576,48,48, 214,1.00,1.00,0.8411
335,12,16,98.96,HIGH,720,528,768,576,48,48, 455,1.00,1.00,0.8570
336,12,17,99.13,HIGH,768,528,816,576,48,48, 399,1.00,1.00,0.8548
337,12,18,99.22,HIGH,816,528,864,576,48,48, 455,1.00,1.00,0.8577
338,12,19,99.44,HIGH,864,528,912,576,48,48, 178,1.00,1.00,0.8368
339,12,20,99.70,HIGH,912,528,960,576,48,48,  54,1.00,1.00,0.7995
340,12,21,97.61,HIGH,960,528,1008,576,48,48,  17,1.00,1.00,0.7327
341,12,22,99.65,HIGH,1008,528,1056,576,48,48,  17,1.00,1.00,0.7412
342,12,23,94.75,HIGH,1056,528,1104,576,48,48,  56,1.00,1.00,0.7839
343,12,24,36.28,MEDIUM,1104,528,1152,576,48,48,  78,1.00,0.20,0.2703
355,13,7,61.24,MEDIUM,288,576,336,624,48,48, 868,1.00,0.20,0.6594
356,13,8,61.81,MEDIUM,336,576,384,624,48,48, 646,1.00,0.20,0.6503
357,13,9,70.23,MEDIUM,384,576,432,624,48,48, 370,1.00,0.20,0.6804
358,13,10,95.88,HIGH,432,576,480,624,48,48, 139,1.00,1.00,0.8196
359,13,11,95.10,HIGH,480,576,528,624,48,48,1005,1.00,1.00,0.8621
360,13,12,99.00,HIGH,528,576,576,624,48,48,3629,1.00,1.00,0.8893
361,13,13,99.35,HIGH,576,576,624,624,48,48,2656,1.00,1.00,0.8861
362,13,14,98.52,HIGH,624,576,672,624,48,48, 983,1.00,1.00,0.8700
363,13,15,98.91,HIGH,672,576,720,624,48,48, 970,1.00,1.00,0.8706
364,13,16,98.91,HIGH,720,576,768,624,48,48, 670,1.00,1.00,0.8643
365,13,17,99.00,HIGH,768,576,816,624,48,48, 405,1.00,1.00,0.8548
366,13,18,97.92,HIGH,816,576,864,624,48,48, 529,1.00,1.00,0.8574
367,13,19,97.92,HIGH,864,576,912,624,48,48, 657,1.00,1.00,0.8615
368,13,20,99.18,HIGH,912,576,960,624,48,48, 352,1.00,1.00,0.8523
369,13,21,99.74,HIGH,960,576,1008,624,48,48, 214,1.00,1.00,0.8424
370,13,22,90.58,HIGH,1008,576,1056,624,48,48, 130,1.00,1.00,0.8000
388,14,11,51.48,MEDIUM,480,624,528,672,48,48, 160,1.00,0.20,0.4811
389,14,12,77.73,MEDIUM,528,624,576,672,48,48, 520,1.00,0.20,0.7377
390,14,13,94.36,HIGH,576,624,624,672,48,48, 552,1.00,1.00,0.8490
391,14,14,94.57,HIGH,624,624,672,672,48,48, 487,1.00,1.00,0.8470
392,14,15,95.05,HIGH,672,624,720,672,48,48, 965,1.00,1.00,0.8613
393,14,16,92.27,HIGH,720,624,768,672,48,48, 877,1.00,1.00,0.8523
394,14,17,97.96,HIGH,768,624,816,672,48,48, 915,1.00,1.00,0.8675
395,14,18,99.31,HIGH,816,624,864,672,48,48,1475,1.00,1.00,0.8780
396,14,19,98.74,HIGH,864,624,912,672,48,48, 615,1.00,1.00,0.8623
397,14,20,85.20,HIGH,912,624,960,672,48,48, 135,1.00,1.00,0.7810
398,14,21,40.06,MEDIUM,960,624,1008,672,48,48, 137,1.00,0.20,0.3493
419,15,13,17.32,MEDIUM,576,672,624,720,48,48,  21,1.00,0.20,0.0473
420,15,14,23.96,MEDIUM,624,672,672,720,48,48,   8,1.00,0.20,0.0516
422,15,16,20.79,MEDIUM,720,672,768,720,48,48,  92,1.00,0.20,0.1135
423,15,17,41.71,MEDIUM,768,672,816,720,48,48, 205,1.00,0.20,0.3941
424,15,18,57.42,MEDIUM,816,672,864,720,48,48, 515,1.00,0.20,0.6050
675,24,8,25.35,MEDIUM,336,1104,384,1152,48,48, 155,1.00,0.20,0.1820
676,24,9,33.29,MEDIUM,384,1104,432,1152,48,48, 372,1.00,0.20,0.3238
683,24,16,24.00,MEDIUM,720,1104,768,1152,48,48,  33,1.00,0.20,0.1047
684,24,17,26.04,MEDIUM,768,1104,816,1152,48,48,  59,1.00,0.20,0.1472
685,24,18,24.70,MEDIUM,816,1104,864,1152,48,48,  49,1.00,0.20,0.1264
702,25,6,74.44,MEDIUM,240,1152,288,1200,48,48,1143,1.00,0.20,0.7508
703,25,7,98.26,HIGH,288,1152,336,1200,48,48,2966,1.00,1.00,0.8853
704,25,8,99.26,HIGH,336,1152,384,1200,48,48,4416,1.00,1.00,0.8921
705,25,9,99.35,HIGH,384,1152,432,1200,48,48,3182,1.00,1.00,0.8884
706,25,10,98.83,HIGH,432,1152,480,1200,48,48,1969,1.00,1.00,0.8811
707,25,11,95.57,HIGH,480,1152,528,1200,48,48, 988,1.00,1.00,0.8630
708,25,12,92.19,HIGH,528,1152,576,1200,48,48, 520,1.00,1.00,0.8417
709,25,13,79.77,MEDIUM,576,1152,624,1200,48,48, 644,1.00,0.20,0.7559
710,25,14,73.31,MEDIUM,624,1152,672,1200,48,48,1473,1.00,0.20,0.7535
711,25,15,91.10,HIGH,672,1152,720,1200,48,48, 853,1.00,1.00,0.8485
712,25,16,98.22,HIGH,720,1152,768,1200,48,48,1410,1.00,1.00,0.8749
713,25,17,99.18,HIGH,768,1152,816,1200,48,48,2025,1.00,1.00,0.8822
714,25,18,96.79,HIGH,816,1152,864,1200,48,48,1182,1.00,1.00,0.8689
715,25,19,99.22,HIGH,864,1152,912,1200,48,48,3150,1.00,1.00,0.8880
716,25,20,99.70,HIGH,912,1152,960,1200,48,48, 961,1.00,1.00,0.8722
717,25,21,99.00,HIGH,960,1152,1008,1200,48,48,1391,1.00,1.00,0.8765
718,25,22,66.62,MEDIUM,1008,1152,1056,1200,48,48, 569,1.00,0.20,0.6780
730,26,5,64.89,MEDIUM,192,1200,240,1248,48,48, 804,1.00,0.20,0.6817
731,26,6,99.65,HIGH,240,1200,288,1248,48,48,3496,1.00,1.00,0.8901
732,26,7,99.39,HIGH,288,1200,336,1248,48,48,6694,1.00,1.00,0.8969
733,26,8,99.13,HIGH,336,1200,384,1248,48,48,4216,1.00,1.00,0.8913
734,26,9,99.39,HIGH,384,1200,432,1248,48,48,1895,1.00,1.00,0.8817
735,26,10,98.22,HIGH,432,1200,480,1248,48,48, 951,1.00,1.00,0.8687
736,26,11,92.49,HIGH,480,1200,528,1248,48,48, 681,1.00,1.00,0.8481
737,26,12,96.48,HIGH,528,1200,576,1248,48,48, 424,1.00,1.00,0.8493
738,26,13,99.22,HIGH,576,1200,624,1248,48,48,1207,1.00,1.00,0.8748
739,26,14,99.70,HIGH,624,1200,672,1248,48,48,1640,1.00,1.00,0.8804
740,26,15,99.18,HIGH,672,1200,720,1248,48,48,2345,1.00,1.00,0.8842
741,26,16,98.48,HIGH,720,1200,768,1248,48,48,2005,1.00,1.00,0.8806
742,26,17,99.39,HIGH,768,1200,816,1248,48,48,1783,1.00,1.00,0.8809
743,26,18,98.83,HIGH,816,1200,864,1248,48,48,1367,1.00,1.00,0.8758
744,26,19,99.09,HIGH,864,1200,912,1248,48,48,2636,1.00,1.00,0.8855
745,26,20,98.65,HIGH,912,1200,960,1248,48,48,5198,1.00,1.00,0.8928
746,26,21,99.26,HIGH,960,1200,1008,1248,48,48,2838,1.00,1.00,0.8868
