Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x6016
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x6016
Scaled Tile Size: 48x48
Total Mask: 89.45%, Total Tissue: 10.55%
Tiles: 56x126 = 7056
   445 ( 6.31%) tiles >=80% tissue
   658 ( 9.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
9,1,9,20.62,MEDIUM,384,0,432,48,48,48,   2,1.00,0.20,0.0160
37,1,37,31.47,MEDIUM,1728,0,1776,48,48,48,   0,1.00,0.20,0.0000
38,1,38,33.33,MEDIUM,1776,0,1824,48,48,48,   0,1.00,0.20,0.0070
39,1,39,32.07,MEDIUM,1824,0,1872,48,48,48,  28,1.00,0.20,0.1615
40,1,40,20.01,MEDIUM,1872,0,1920,48,48,48,   1,1.00,0.20,0.0100
251,5,27,48.57,MEDIUM,1248,192,1296,240,48,48,  17,1.00,0.20,0.2582
252,5,28,87.37,HIGH,1296,192,1344,240,48,48,  22,0.49,1.00,0.6532
307,6,27,46.01,MEDIUM,1248,240,1296,288,48,48,   3,1.00,0.20,0.0907
308,6,28,60.63,MEDIUM,1296,240,1344,288,48,48,   9,1.00,0.20,0.2699
309,6,29,61.50,MEDIUM,1344,240,1392,288,48,48, 136,1.00,0.20,0.5582
363,7,27,32.34,MEDIUM,1248,288,1296,336,48,48,  11,1.00,0.20,0.1077
364,7,28,80.77,HIGH,1296,288,1344,336,48,48,  98,1.00,1.00,0.7497
365,7,29,93.84,HIGH,1344,288,1392,336,48,48, 205,0.49,1.00,0.8027
419,8,27,58.16,MEDIUM,1248,336,1296,384,48,48,   3,1.00,0.20,0.1518
420,8,28,68.23,MEDIUM,1296,336,1344,384,48,48,  25,1.00,0.20,0.4535
421,8,29,78.73,MEDIUM,1344,336,1392,384,48,48,  42,1.00,0.20,0.5825
