Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 90.79%, Total Tissue: 9.21%
Tiles: 135x68 = 9180
   235 ( 2.56%) tiles >=80% tissue
  1326 (14.44%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
71,1,71,14.93,MEDIUM,3360,0,3408,48,48,48, 716,1.00,0.20,0.0998
72,1,72,52.47,MEDIUM,3408,0,3456,48,48,48, 173,1.00,0.20,0.4959
73,1,73,76.61,MEDIUM,3456,0,3504,48,48,48,  96,1.00,0.20,0.6381
74,1,74,88.37,HIGH,3504,0,3552,48,48,48,  67,1.00,1.00,0.7673
75,1,75,94.14,HIGH,3552,0,3600,48,48,48,  46,1.00,1.00,0.7734
76,1,76,90.15,HIGH,3600,0,3648,48,48,48,  27,1.00,1.00,0.7298
77,1,77,94.40,HIGH,3648,0,3696,48,48,48,  22,0.49,1.00,0.6857
78,1,78,95.57,HIGH,3696,0,3744,48,48,48,  21,1.00,1.00,0.7377
79,1,79,44.14,MEDIUM,3744,0,3792,48,48,48,  71,1.00,0.20,0.3466
203,2,68,37.63,MEDIUM,3216,48,3264,96,48,48, 140,1.00,0.20,0.3228
204,2,69,88.41,HIGH,3264,48,3312,96,48,48,  78,1.00,1.00,0.7734
205,2,70,95.36,HIGH,3312,48,3360,96,48,48,  51,1.00,1.00,0.7820
206,2,71,94.10,HIGH,3360,48,3408,96,48,48,  39,1.00,1.00,0.7655
207,2,72,89.76,HIGH,3408,48,3456,96,48,48,  17,1.00,1.00,0.7014
208,2,73,86.68,HIGH,3456,48,3504,96,48,48,   6,1.00,1.00,0.5885
209,2,74,85.37,HIGH,3504,48,3552,96,48,48,  10,1.00,1.00,0.6357
210,2,75,86.89,HIGH,3552,48,3600,96,48,48,   4,1.00,1.00,0.5515
211,2,76,87.98,HIGH,3600,48,3648,96,48,48,  13,1.00,1.00,0.6689
212,2,77,86.55,HIGH,3648,48,3696,96,48,48,   2,1.00,1.00,0.4779
213,2,78,86.15,HIGH,3696,48,3744,96,48,48,   4,1.00,1.00,0.5518
214,2,79,43.45,MEDIUM,3744,48,3792,96,48,48,  69,1.00,0.20,0.3371
247,2,112,28.52,MEDIUM,5328,48,5376,96,48,48,   1,1.00,0.20,0.0079
248,2,113,88.63,HIGH,5376,48,5424,96,48,48,  34,1.00,1.00,0.7365
249,2,114,78.56,MEDIUM,5424,48,5472,96,48,48,  76,1.00,0.20,0.6318
250,2,115,53.04,MEDIUM,5472,48,5520,96,48,48,  46,1.00,0.20,0.3955
333,3,63,20.14,MEDIUM,2976,96,3024,144,48,48, 381,1.00,0.20,0.1499
334,3,64,36.33,MEDIUM,3024,96,3072,144,48,48, 666,1.00,0.20,0.3927
335,3,65,52.17,MEDIUM,3072,96,3120,144,48,48, 440,1.00,0.20,0.5499
336,3,66,70.18,MEDIUM,3120,96,3168,144,48,48, 113,1.00,0.20,0.6087
337,3,67,75.74,MEDIUM,3168,96,3216,144,48,48,  44,1.00,0.20,0.5670
338,3,68,99.52,HIGH,3216,96,3264,144,48,48,   5,0.16,1.00,0.3781
339,3,69,95.23,HIGH,3264,96,3312,144,48,48,   6,0.49,1.00,0.5563
340,3,70,85.63,HIGH,3312,96,3360,144,48,48,   4,1.00,1.00,0.5311
341,3,71,84.29,HIGH,3360,96,3408,144,48,48,   3,1.00,1.00,0.5089
342,3,72,85.07,HIGH,3408,96,3456,144,48,48,   4,1.00,1.00,0.5266
343,3,73,88.59,HIGH,3456,96,3504,144,48,48,   1,1.00,1.00,0.3252
344,3,74,82.51,HIGH,3504,96,3552,144,48,48,   3,1.00,1.00,0.4628
345,3,75,88.19,HIGH,3552,96,3600,144,48,48,  15,1.00,1.00,0.6843
346,3,76,89.15,HIGH,3600,96,3648,144,48,48,   3,1.00,1.00,0.5018
347,3,77,86.46,HIGH,3648,96,3696,144,48,48,   4,1.00,1.00,0.5517
348,3,78,82.16,HIGH,3696,96,3744,144,48,48,   3,1.00,1.00,0.4689
349,3,79,43.88,MEDIUM,3744,96,3792,144,48,48,   9,1.00,0.20,0.1652
381,3,111,27.65,MEDIUM,5280,96,5328,144,48,48,   7,1.00,0.20,0.0625
382,3,112,82.47,HIGH,5328,96,5376,144,48,48,   2,1.00,1.00,0.3867
383,3,113,83.72,HIGH,5376,96,5424,144,48,48, 449,1.00,1.00,0.8107
384,3,114,87.33,HIGH,5424,96,5472,144,48,48,  68,1.00,1.00,0.7637
385,3,115,88.41,HIGH,5472,96,5520,144,48,48,   3,0.49,1.00,0.4041
386,3,116,55.64,MEDIUM,5520,96,5568,144,48,48,  39,1.00,0.20,0.4036
466,4,61,19.49,MEDIUM,2880,144,2928,192,48,48, 350,1.00,0.20,0.1393
467,4,62,61.85,MEDIUM,2928,144,2976,192,48,48,1115,1.00,0.20,0.6743
468,4,63,94.97,HIGH,2976,144,3024,192,48,48,1160,1.00,1.00,0.8642
469,4,64,94.84,HIGH,3024,144,3072,192,48,48, 404,1.00,1.00,0.8437
470,4,65,92.58,HIGH,3072,144,3120,192,48,48, 104,1.00,1.00,0.7996
471,4,66,97.35,HIGH,3120,144,3168,192,48,48,  18,0.49,1.00,0.6835
472,4,67,45.57,MEDIUM,3168,144,3216,192,48,48,  15,1.00,0.20,0.2240
473,4,68,92.27,HIGH,3216,144,3264,192,48,48,   3,1.00,1.00,0.5480
474,4,69,93.58,HIGH,3264,144,3312,192,48,48,   4,0.49,1.00,0.5031
475,4,70,89.02,HIGH,3312,144,3360,192,48,48,   2,1.00,1.00,0.4882
476,4,71,90.02,HIGH,3360,144,3408,192,48,48,   2,1.00,1.00,0.4337
477,4,72,85.46,HIGH,3408,144,3456,192,48,48,   5,1.00,1.00,0.5770
478,4,73,87.63,HIGH,3456,144,3504,192,48,48,   1,1.00,1.00,0.4059
479,4,74,84.94,HIGH,3504,144,3552,192,48,48,   3,1.00,1.00,0.5001
480,4,75,88.06,HIGH,3552,144,3600,192,48,48,   2,1.00,1.00,0.4309
481,4,76,89.93,HIGH,3600,144,3648,192,48,48,   1,1.00,1.00,0.3027
482,4,77,88.50,HIGH,3648,144,3696,192,48,48,   2,1.00,1.00,0.4335
483,4,78,87.11,HIGH,3696,144,3744,192,48,48,   2,1.00,1.00,0.4451
484,4,79,42.75,MEDIUM,3744,144,3792,192,48,48,   6,1.00,0.20,0.1305
516,4,111,79.69,MEDIUM,5280,144,5328,192,48,48,   2,1.00,0.20,0.1530
517,4,112,79.47,MEDIUM,5328,144,5376,192,48,48,   0,1.00,0.20,0.0434
518,4,113,80.16,HIGH,5376,144,5424,192,48,48,  34,1.00,1.00,0.6957
519,4,114,69.23,MEDIUM,5424,144,5472,192,48,48, 133,1.00,0.20,0.6139
520,4,115,88.28,HIGH,5472,144,5520,192,48,48,  17,0.49,1.00,0.6366
521,4,116,88.37,HIGH,5520,144,5568,192,48,48,   4,0.49,1.00,0.4672
522,4,117,76.00,MEDIUM,5568,144,5616,192,48,48,  24,1.00,0.20,0.5025
599,5,59,42.40,MEDIUM,2784,192,2832,240,48,48, 730,1.00,0.20,0.4730
600,5,60,77.30,MEDIUM,2832,192,2880,240,48,48,1068,1.00,0.20,0.7624
601,5,61,91.67,HIGH,2880,192,2928,240,48,48, 460,1.00,1.00,0.8375
602,5,62,98.44,HIGH,2928,192,2976,240,48,48,  75,1.00,1.00,0.8074
603,5,63,99.00,HIGH,2976,192,3024,240,48,48, 214,0.49,1.00,0.8205
604,5,64,97.05,HIGH,3024,192,3072,240,48,48, 120,0.49,1.00,0.7938
605,5,65,90.89,HIGH,3072,192,3120,240,48,48, 266,1.00,1.00,0.8219
606,5,66,98.26,HIGH,3120,192,3168,240,48,48,  80,0.49,1.00,0.7809
607,5,67,74.26,MEDIUM,3168,192,3216,240,48,48,  18,1.00,0.20,0.4556
608,5,68,75.00,MEDIUM,3216,192,3264,240,48,48,  10,1.00,0.20,0.3805
609,5,69,79.43,MEDIUM,3264,192,3312,240,48,48,   2,1.00,0.20,0.1750
610,5,70,58.68,MEDIUM,3312,192,3360,240,48,48,  17,1.00,0.20,0.3350
611,5,71,68.01,MEDIUM,3360,192,3408,240,48,48,   3,1.00,0.20,0.1630
612,5,72,51.78,MEDIUM,3408,192,3456,240,48,48,   2,1.00,0.20,0.0873
613,5,73,41.58,MEDIUM,3456,192,3504,240,48,48,   1,1.00,0.20,0.0223
