Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1280x2304
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1280x2304
Scaled Tile Size: 48x48
Total Mask: 84.91%, Total Tissue: 15.09%
Tiles: 27x48 = 1296
   150 (11.57%) tiles >=80% tissue
   105 ( 8.10%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
117,5,9,45.27,MEDIUM,384,192,432,240,48,48,   2,1.00,0.20,0.0686
118,5,10,95.79,HIGH,432,192,480,240,48,48,  20,1.00,1.00,0.7359
119,5,11,51.65,MEDIUM,480,192,528,240,48,48,  51,1.00,0.20,0.3922
143,6,8,48.00,MEDIUM,336,240,384,288,48,48,   0,1.00,0.20,0.0027
144,6,9,86.15,HIGH,384,240,432,288,48,48,   0,1.00,1.00,0.0000
145,6,10,93.01,HIGH,432,240,480,288,48,48,  30,1.00,1.00,0.7486
146,6,11,85.46,HIGH,480,240,528,288,48,48,  15,1.00,1.00,0.6703
152,6,17,38.24,MEDIUM,768,240,816,288,48,48, 187,1.00,0.20,0.3479
153,6,18,66.45,MEDIUM,816,240,864,288,48,48,   6,1.00,0.20,0.2671
168,7,6,49.35,MEDIUM,240,288,288,336,48,48,  17,1.00,0.20,0.2670
169,7,7,74.74,MEDIUM,288,288,336,336,48,48,   6,1.00,0.20,0.3022
170,7,8,85.76,HIGH,336,288,384,336,48,48,  21,1.00,1.00,0.6951
171,7,9,83.77,HIGH,384,288,432,336,48,48,   0,1.00,1.00,0.0296
172,7,10,90.97,HIGH,432,288,480,336,48,48,   0,1.00,1.00,0.0921
173,7,11,92.27,HIGH,480,288,528,336,48,48,  11,1.00,1.00,0.6793
176,7,14,23.35,MEDIUM,624,288,672,336,48,48,  62,1.00,0.20,0.1242
177,7,15,31.16,MEDIUM,672,288,720,336,48,48,2036,1.00,0.20,0.3686
178,7,16,61.46,MEDIUM,720,288,768,336,48,48, 302,1.00,0.20,0.6087
179,7,17,91.54,HIGH,768,288,816,336,48,48,  50,1.00,1.00,0.7668
180,7,18,39.67,MEDIUM,816,288,864,336,48,48,   3,1.00,0.20,0.0710
194,8,5,22.87,MEDIUM,192,336,240,384,48,48, 127,1.00,0.20,0.1463
195,8,6,70.83,MEDIUM,240,336,288,384,48,48,   3,1.00,0.20,0.1748
196,8,7,89.15,HIGH,288,336,336,384,48,48,   0,1.00,1.00,0.1917
197,8,8,79.38,MEDIUM,336,336,384,384,48,48,   0,1.00,0.20,0.0000
198,8,9,82.25,HIGH,384,336,432,384,48,48,   0,1.00,1.00,0.0000
199,8,10,92.49,HIGH,432,336,480,384,48,48,   8,1.00,1.00,0.6560
200,8,11,85.59,HIGH,480,336,528,384,48,48,   7,1.00,1.00,0.6082
202,8,13,26.87,MEDIUM,576,336,624,384,48,48, 209,1.00,0.20,0.2134
203,8,14,61.89,MEDIUM,624,336,672,384,48,48, 298,1.00,0.20,0.6113
204,8,15,86.63,HIGH,672,336,720,384,48,48, 165,1.00,1.00,0.7933
205,8,16,94.57,HIGH,720,336,768,384,48,48,  27,1.00,1.00,0.7489
206,8,17,90.45,HIGH,768,336,816,384,48,48,   1,1.00,1.00,0.3946
221,9,5,59.59,MEDIUM,192,384,240,432,48,48,   1,1.00,0.20,0.0840
222,9,6,85.76,HIGH,240,384,288,432,48,48,   1,1.00,1.00,0.3227
223,9,7,87.02,HIGH,288,384,336,432,48,48,   0,1.00,1.00,0.0000
224,9,8,81.64,HIGH,336,384,384,432,48,48,   0,1.00,1.00,0.0000
225,9,9,84.68,HIGH,384,384,432,432,48,48,   0,1.00,1.00,0.0000
226,9,10,95.96,HIGH,432,384,480,432,48,48,  20,1.00,1.00,0.7383
227,9,11,64.11,MEDIUM,480,384,528,432,48,48,  18,1.00,0.20,0.3842
230,9,14,74.00,MEDIUM,624,384,672,432,48,48, 248,1.00,0.20,0.6824
231,9,15,92.19,HIGH,672,384,720,432,48,48,   2,1.00,1.00,0.4545
232,9,16,95.75,HIGH,720,384,768,432,48,48,   0,1.00,1.00,0.0506
233,9,17,82.94,HIGH,768,384,816,432,48,48,   6,1.00,1.00,0.5657
247,10,4,37.98,MEDIUM,144,432,192,480,48,48,   1,1.00,0.20,0.0249
248,10,5,58.72,MEDIUM,192,432,240,480,48,48,   7,1.00,0.20,0.2346
249,10,6,95.05,HIGH,240,432,288,480,48,48,   2,1.00,1.00,0.5304
250,10,7,88.93,HIGH,288,432,336,480,48,48,   3,1.00,1.00,0.5003
251,10,8,84.03,HIGH,336,432,384,480,48,48,   0,1.00,1.00,0.0000
252,10,9,78.12,MEDIUM,384,432,432,480,48,48,   0,1.00,0.20,0.0000
253,10,10,96.35,HIGH,432,432,480,480,48,48,  19,1.00,1.00,0.7354
254,10,11,59.51,MEDIUM,480,432,528,480,48,48,  32,1.00,0.20,0.4142
256,10,13,38.98,MEDIUM,576,432,624,480,48,48, 210,1.00,0.20,0.3636
257,10,14,82.81,HIGH,624,432,672,480,48,48,   9,1.00,1.00,0.6082
258,10,15,77.04,MEDIUM,672,432,720,480,48,48,   2,1.00,0.20,0.1754
259,10,16,80.64,HIGH,720,432,768,480,48,48,   0,1.00,1.00,0.0000
260,10,17,83.29,HIGH,768,432,816,480,48,48,   1,1.00,1.00,0.3805
261,10,18,96.74,HIGH,816,432,864,480,48,48,   1,1.00,1.00,0.3536
262,10,19,98.65,HIGH,864,432,912,480,48,48,  16,1.00,1.00,0.7338
274,11,4,38.89,MEDIUM,144,480,192,528,48,48,   5,1.00,0.20,0.0990
275,11,5,83.38,HIGH,192,480,240,528,48,48,   0,1.00,1.00,0.0000
276,11,6,85.63,HIGH,240,480,288,528,48,48,   3,1.00,1.00,0.4981
277,11,7,85.11,HIGH,288,480,336,528,48,48,   1,1.00,1.00,0.3179
278,11,8,68.06,MEDIUM,336,480,384,528,48,48,   0,1.00,0.20,0.0000
279,11,9,82.29,HIGH,384,480,432,528,48,48,   4,1.00,1.00,0.5138
280,11,10,96.79,HIGH,432,480,480,528,48,48,   4,1.00,1.00,0.6053
285,11,15,54.43,MEDIUM,672,480,720,528,48,48, 445,1.00,0.20,0.5714
286,11,16,86.24,HIGH,720,480,768,528,48,48,   0,1.00,1.00,0.1194
287,11,17,87.54,HIGH,768,480,816,528,48,48,   0,1.00,1.00,0.0000
288,11,18,91.97,HIGH,816,480,864,528,48,48,   3,1.00,1.00,0.5582
289,11,19,96.66,HIGH,864,480,912,528,48,48,   7,1.00,1.00,0.6641
290,11,20,57.55,MEDIUM,912,480,960,528,48,48,   5,1.00,0.20,0.1891
302,12,5,51.82,MEDIUM,192,528,240,576,48,48,   2,1.00,0.20,0.0713
303,12,6,82.55,HIGH,240,528,288,576,48,48,   0,1.00,1.00,0.0000
