Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x4736
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x4736
Scaled Tile Size: 48x48
Total Mask: 81.90%, Total Tissue: 18.10%
Tiles: 59x99 = 5841
   537 ( 9.19%) tiles >=80% tissue
  1072 (18.35%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
656,12,7,43.58,MEDIUM,288,528,336,576,48,48, 320,1.00,0.20,0.4421
715,13,7,62.37,MEDIUM,288,576,336,624,48,48, 315,1.00,0.20,0.6180
716,13,8,22.48,MEDIUM,336,576,384,624,48,48,  54,1.00,0.20,0.1109
717,13,9,20.05,MEDIUM,384,576,432,624,48,48, 196,0.49,0.20,0.1078
774,14,7,41.45,MEDIUM,288,624,336,672,48,48,  77,1.00,0.20,0.3242
775,14,8,65.76,MEDIUM,336,624,384,672,48,48, 106,1.00,0.20,0.5729
776,14,9,40.76,MEDIUM,384,624,432,672,48,48, 134,1.00,0.20,0.3558
831,15,5,30.12,MEDIUM,192,672,240,720,48,48,   7,1.00,0.20,0.0712
832,15,6,58.03,MEDIUM,240,672,288,720,48,48,   9,1.00,0.20,0.2528
833,15,7,50.65,MEDIUM,288,672,336,720,48,48,  30,1.00,0.20,0.3326
834,15,8,47.35,MEDIUM,336,672,384,720,48,48,  23,1.00,0.20,0.2769
890,16,5,39.06,MEDIUM,192,720,240,768,48,48,   8,1.00,0.20,0.1236
891,16,6,47.79,MEDIUM,240,720,288,768,48,48,  21,1.00,0.20,0.2730
892,16,7,61.63,MEDIUM,288,720,336,768,48,48,  13,1.00,0.20,0.3292
893,16,8,29.08,MEDIUM,336,720,384,768,48,48,  30,1.00,0.20,0.1407
897,16,12,20.62,MEDIUM,528,720,576,768,48,48, 114,1.00,0.20,0.1186
949,17,5,37.11,MEDIUM,192,768,240,816,48,48,  18,1.00,0.20,0.1748
950,17,6,40.54,MEDIUM,240,768,288,816,48,48,  55,1.00,0.20,0.2893
951,17,7,32.29,MEDIUM,288,768,336,816,48,48,  23,1.00,0.20,0.1510
952,17,8,43.92,MEDIUM,336,768,384,816,48,48,  61,1.00,0.20,0.3328
1008,18,5,62.54,MEDIUM,192,816,240,864,48,48,   0,1.00,0.20,0.0340
1009,18,6,65.67,MEDIUM,240,816,288,864,48,48, 113,1.00,0.20,0.5771
1010,18,7,49.70,MEDIUM,288,816,336,864,48,48,   3,1.00,0.20,0.1152
1066,19,4,24.26,MEDIUM,144,864,192,912,48,48,   8,1.00,0.20,0.0526
1067,19,5,87.20,HIGH,192,864,240,912,48,48,  10,1.00,1.00,0.6419
1068,19,6,63.93,MEDIUM,240,864,288,912,48,48,   0,1.00,0.20,0.0157
1069,19,7,53.12,MEDIUM,288,864,336,912,48,48,   0,1.00,0.20,0.0000
1070,19,8,49.83,MEDIUM,336,864,384,912,48,48,  90,1.00,0.20,0.4225
1071,19,9,34.68,MEDIUM,384,864,432,912,48,48,  79,1.00,0.20,0.2530
1072,19,10,18.62,MEDIUM,432,864,480,912,48,48,  15,0.49,0.20,0.0308
1074,19,12,31.38,MEDIUM,528,864,576,912,48,48,   9,1.00,0.20,0.0912
1075,19,13,29.17,MEDIUM,576,864,624,912,48,48,   0,1.00,0.20,0.0076
1076,19,14,31.03,MEDIUM,624,864,672,912,48,48,  40,1.00,0.20,0.1744
1077,19,15,37.76,MEDIUM,672,864,720,912,48,48,  14,1.00,0.20,0.1609
1078,19,16,27.26,MEDIUM,720,864,768,912,48,48,  19,1.00,0.20,0.1033
1079,19,17,49.61,MEDIUM,768,864,816,912,48,48,  22,1.00,0.20,0.2922
1080,19,18,78.52,MEDIUM,816,864,864,912,48,48,  32,1.00,0.20,0.5512
1081,19,19,18.23,MEDIUM,864,864,912,912,48,48,  57,1.00,0.20,0.0774
1125,20,4,44.49,MEDIUM,144,912,192,960,48,48,   9,1.00,0.20,0.1712
1126,20,5,89.63,HIGH,192,912,240,960,48,48,  24,1.00,1.00,0.7213
1127,20,6,88.37,HIGH,240,912,288,960,48,48,  74,1.00,1.00,0.7712
1128,20,7,70.27,MEDIUM,288,912,336,960,48,48,  37,1.00,0.20,0.5115
1129,20,8,43.75,MEDIUM,336,912,384,960,48,48,   5,1.00,0.20,0.1120
1130,20,9,43.62,MEDIUM,384,912,432,960,48,48,  21,1.00,0.20,0.2398
1131,20,10,43.49,MEDIUM,432,912,480,960,48,48,  31,1.00,0.20,0.2724
1132,20,11,17.93,MEDIUM,480,912,528,960,48,48,   1,0.49,0.20,0.0029
1133,20,12,40.19,MEDIUM,528,912,576,960,48,48,  40,1.00,0.20,0.2614
1134,20,13,52.04,MEDIUM,576,912,624,960,48,48,  10,1.00,0.20,0.2309
1135,20,14,50.39,MEDIUM,624,912,672,960,48,48,   0,1.00,0.20,0.0190
1136,20,15,67.88,MEDIUM,672,912,720,960,48,48,  16,1.00,0.20,0.3970
1137,20,16,66.54,MEDIUM,720,912,768,960,48,48,   8,1.00,0.20,0.3034
1138,20,17,82.03,HIGH,768,912,816,960,48,48,  21,1.00,1.00,0.6738
1139,20,18,85.42,HIGH,816,912,864,960,48,48,  92,1.00,1.00,0.7679
1140,20,19,43.84,MEDIUM,864,912,912,960,48,48,  15,1.00,0.20,0.2093
1185,21,5,20.88,MEDIUM,192,960,240,1008,48,48,  18,1.00,0.20,0.0628
1186,21,6,58.64,MEDIUM,240,960,288,1008,48,48,  30,1.00,0.20,0.4012
1187,21,7,75.09,MEDIUM,288,960,336,1008,48,48,  17,1.00,0.20,0.4556
1188,21,8,67.40,MEDIUM,336,960,384,1008,48,48,   7,1.00,0.20,0.2836
1189,21,9,23.22,MEDIUM,384,960,432,1008,48,48,   8,1.00,0.20,0.0493
1190,21,10,51.65,MEDIUM,432,960,480,1008,48,48,  16,1.00,0.20,0.2766
1191,21,11,67.49,MEDIUM,480,960,528,1008,48,48,  22,1.00,0.20,0.4352
1192,21,12,40.36,MEDIUM,528,960,576,1008,48,48,  17,1.00,0.20,0.1944
1193,21,13,52.39,MEDIUM,576,960,624,1008,48,48,   4,1.00,0.20,0.1364
1194,21,14,45.92,MEDIUM,624,960,672,1008,48,48,   0,1.00,0.20,0.0013
1195,21,15,69.05,MEDIUM,672,960,720,1008,48,48,  15,1.00,0.20,0.3966
1196,21,16,73.26,MEDIUM,720,960,768,1008,48,48,   9,1.00,0.20,0.3602
1197,21,17,75.82,MEDIUM,768,960,816,1008,48,48,  13,1.00,0.20,0.4285
1198,21,18,55.95,MEDIUM,816,960,864,1008,48,48,  10,1.00,0.20,0.2609
1199,21,19,63.11,MEDIUM,864,960,912,1008,48,48,  10,1.00,0.20,0.3033
1200,21,20,47.14,MEDIUM,912,960,960,1008,48,48,  39,1.00,0.20,0.3254
1244,22,5,36.94,MEDIUM,192,1008,240,1056,48,48,   1,1.00,0.20,0.0142
1245,22,6,50.04,MEDIUM,240,1008,288,1056,48,48,   3,1.00,0.20,0.0958
1246,22,7,82.25,HIGH,288,1008,336,1056,48,48,  27,1.00,1.00,0.6934
1247,22,8,52.26,MEDIUM,336,1008,384,1056,48,48,  21,1.00,0.20,0.3082
1248,22,9,45.57,MEDIUM,384,1008,432,1056,48,48,   6,1.00,0.20,0.1389
1249,22,10,60.72,MEDIUM,432,1008,480,1056,48,48,  27,1.00,0.20,0.4043
1250,22,11,38.19,MEDIUM,480,1008,528,1056,48,48,   5,1.00,0.20,0.0934
1251,22,12,20.88,MEDIUM,528,1008,576,1056,48,48,   0,1.00,0.20,0.0000
1253,22,14,22.01,MEDIUM,624,1008,672,1056,48,48,   7,1.00,0.20,0.0408
1254,22,15,50.74,MEDIUM,672,1008,720,1056,48,48,   9,1.00,0.20,0.2051
1255,22,16,67.10,MEDIUM,720,1008,768,1056,48,48,   4,1.00,0.20,0.2225
1256,22,17,77.99,MEDIUM,768,1008,816,1056,48,48,  19,1.00,0.20,0.4908
1257,22,18,40.32,MEDIUM,816,1008,864,1056,48,48,  14,1.00,0.20,0.1760
1258,22,19,29.08,MEDIUM,864,1008,912,1056,48,48,   7,1.00,0.20,0.0687
1260,22,21,29.47,MEDIUM,960,1008,1008,1056,48,48,  12,1.00,0.20,0.0952
1262,22,23,26.91,MEDIUM,1056,1008,1104,1056,48,48, 182,1.00,0.20,0.2079
1301,23,3,36.46,MEDIUM,96,1056,144,1104,48,48,   0,1.00,0.20,0.0000
1305,23,7,54.73,MEDIUM,288,1056,336,1104,48,48,  17,1.00,0.20,0.3085
1306,23,8,70.49,MEDIUM,336,1056,384,1104,48,48,  11,1.00,0.20,0.3680
1312,23,14,25.00,MEDIUM,624,1056,672,1104,48,48,   1,1.00,0.20,0.0102
1313,23,15,34.77,MEDIUM,672,1056,720,1104,48,48,  14,1.00,0.20,0.1411
1314,23,16,60.07,MEDIUM,720,1056,768,1104,48,48,   8,1.00,0.20,0.2487
1315,23,17,54.56,MEDIUM,768,1056,816,1104,48,48,  11,1.00,0.20,0.2520
1316,23,18,63.93,MEDIUM,816,1056,864,1104,48,48,  12,1.00,0.20,0.3323
1317,23,19,29.04,MEDIUM,864,1056,912,1104,48,48,   6,1.00,0.20,0.0648
1318,23,20,40.06,MEDIUM,912,1056,960,1104,48,48,   3,1.00,0.20,0.0702
1319,23,21,59.98,MEDIUM,960,1056,1008,1104,48,48,  30,1.00,0.20,0.4130
1360,24,3,24.87,MEDIUM,96,1104,144,1152,48,48,   0,1.00,0.20,0.0000
1365,24,8,26.04,MEDIUM,336,1104,384,1152,48,48,  16,1.00,0.20,0.0884
1371,24,14,39.71,MEDIUM,624,1104,672,1152,48,48,   0,1.00,0.20,0.0000
1372,24,15,27.95,MEDIUM,672,1104,720,1152,48,48,   0,1.00,0.20,0.0000
1373,24,16,54.77,MEDIUM,720,1104,768,1152,48,48,  19,1.00,0.20,0.3188
1374,24,17,78.21,MEDIUM,768,1104,816,1152,48,48,  13,1.00,0.20,0.4420
1375,24,18,48.61,MEDIUM,816,1104,864,1152,48,48,  24,1.00,0.20,0.2918
1376,24,19,48.57,MEDIUM,864,1104,912,1152,48,48,  17,1.00,0.20,0.2599
1377,24,20,55.64,MEDIUM,912,1104,960,1152,48,48,  14,1.00,0.20,0.2933
1378,24,21,18.71,MEDIUM,960,1104,1008,1152,48,48,   2,0.49,0.20,0.0067
1379,24,22,30.51,MEDIUM,1008,1104,1056,1152,48,48, 145,1.00,0.20,0.2406
1383,24,26,42.80,MEDIUM,1200,1104,1248,1152,48,48,   4,1.00,0.20,0.1039
1430,25,14,13.63,MEDIUM,624,1152,672,1200,48,48,   3,0.49,0.20,0.0050
1431,25,15,43.23,MEDIUM,672,1152,720,1200,48,48,   8,1.00,0.20,0.1548
1432,25,16,42.32,MEDIUM,720,1152,768,1200,48,48,   5,1.00,0.20,0.1076
1433,25,17,72.09,MEDIUM,768,1152,816,1200,48,48,  21,1.00,0.20,0.4636
1434,25,18,53.21,MEDIUM,816,1152,864,1200,48,48,   4,1.00,0.20,0.1485
1435,25,19,47.53,MEDIUM,864,1152,912,1200,48,48,   3,1.00,0.20,0.0899
1436,25,20,34.03,MEDIUM,912,1152,960,1200,48,48,  15,1.00,0.20,0.1370
1437,25,21,70.01,MEDIUM,960,1152,1008,1200,48,48,  73,1.00,0.20,0.5733
1438,25,22,55.03,MEDIUM,1008,1152,1056,1200,48,48,  39,1.00,0.20,0.3961
1441,25,25,49.91,MEDIUM,1152,1152,1200,1200,48,48, 237,1.00,0.20,0.4915
1442,25,26,48.91,MEDIUM,1200,1152,1248,1200,48,48,  12,1.00,0.20,0.2264
1443,25,27,59.59,MEDIUM,1248,1152,1296,1200,48,48,  21,1.00,0.20,0.3714
1488,26,13,41.10,MEDIUM,576,1200,624,1248,48,48,   4,1.00,0.20,0.0917
1489,26,14,25.87,MEDIUM,624,1200,672,1248,48,48,   0,1.00,0.20,0.0052
1490,26,15,66.80,MEDIUM,672,1200,720,1248,48,48,   7,1.00,0.20,0.2855
1491,26,16,50.74,MEDIUM,720,1200,768,1248,48,48,  12,1.00,0.20,0.2354
1492,26,17,42.93,MEDIUM,768,1200,816,1248,48,48,  26,1.00,0.20,0.2518
1493,26,18,55.30,MEDIUM,816,1200,864,1248,48,48,  11,1.00,0.20,0.2664
1494,26,19,61.85,MEDIUM,864,1200,912,1248,48,48,  40,1.00,0.20,0.4566
1495,26,20,46.14,MEDIUM,912,1200,960,1248,48,48,   7,1.00,0.20,0.1535
1496,26,21,74.31,MEDIUM,960,1200,1008,1248,48,48,  51,1.00,0.20,0.5720
1497,26,22,79.60,MEDIUM,1008,1200,1056,1248,48,48,  58,1.00,0.20,0.6169
1498,26,23,35.85,MEDIUM,1056,1200,1104,1248,48,48, 156,1.00,0.20,0.3087
1499,26,24,25.82,MEDIUM,1104,1200,1152,1248,48,48, 163,1.00,0.20,0.1899
1500,26,25,80.95,HIGH,1152,1200,1200,1248,48,48, 139,1.00,1.00,0.7641
1501,26,26,78.17,MEDIUM,1200,1200,1248,1248,48,48,  40,1.00,0.20,0.5734
1502,26,27,75.78,MEDIUM,1248,1200,1296,1248,48,48,  31,1.00,0.20,0.5303
1503,26,28,43.27,MEDIUM,1296,1200,1344,1248,48,48,  57,1.00,0.20,0.3206
1543,27,9,54.51,MEDIUM,384,1248,432,1296,48,48,   0,1.00,0.20,0.0027
1547,27,13,51.91,MEDIUM,576,1248,624,1296,48,48,   0,1.00,0.20,0.0040
1548,27,14,34.03,MEDIUM,624,1248,672,1296,48,48,   0,1.00,0.20,0.0061
1549,27,15,47.48,MEDIUM,672,1248,720,1296,48,48,   4,1.00,0.20,0.1131
1550,27,16,62.80,MEDIUM,720,1248,768,1296,48,48,  10,1.00,0.20,0.3034
1551,27,17,66.62,MEDIUM,768,1248,816,1296,48,48,  20,1.00,0.20,0.4173
1552,27,18,78.99,MEDIUM,816,1248,864,1296,48,48,   7,1.00,0.20,0.3550
1553,27,19,79.51,MEDIUM,864,1248,912,1296,48,48,  40,1.00,0.20,0.5807
1554,27,20,72.61,MEDIUM,912,1248,960,1296,48,48,  23,1.00,0.20,0.4770
1555,27,21,85.85,HIGH,960,1248,1008,1296,48,48,  32,0.49,1.00,0.6737
1556,27,22,72.92,MEDIUM,1008,1248,1056,1296,48,48,  30,1.00,0.20,0.5077
1557,27,23,97.22,HIGH,1056,1248,1104,1296,48,48, 151,1.00,1.00,0.8260
1558,27,24,63.59,MEDIUM,1104,1248,1152,1296,48,48,  73,1.00,0.20,0.5260
1559,27,25,95.27,HIGH,1152,1248,1200,1296,48,48, 184,1.00,1.00,0.8257
1560,27,26,85.94,HIGH,1200,1248,1248,1296,48,48,  27,1.00,1.00,0.7120
1561,27,27,83.16,HIGH,1248,1248,1296,1296,48,48,  76,1.00,1.00,0.7502
1562,27,28,70.23,MEDIUM,1296,1248,1344,1296,48,48,  50,1.00,0.20,0.5411
1563,27,29,75.04,MEDIUM,1344,1248,1392,1296,48,48,  92,1.00,0.20,0.6252
1564,27,30,18.79,MEDIUM,1392,1248,1440,1296,48,48,  75,1.00,0.20,0.0892
1605,28,12,22.22,MEDIUM,528,1296,576,1344,48,48,   0,1.00,0.20,0.0000
1606,28,13,56.81,MEDIUM,576,1296,624,1344,48,48,   0,1.00,0.20,0.0000
1607,28,14,60.89,MEDIUM,624,1296,672,1344,48,48,   0,1.00,0.20,0.0000
1608,28,15,53.65,MEDIUM,672,1296,720,1344,48,48,   1,1.00,0.20,0.0661
1609,28,16,79.69,MEDIUM,720,1296,768,1344,48,48,   8,1.00,0.20,0.3699
1610,28,17,83.38,HIGH,768,1296,816,1344,48,48,  26,1.00,1.00,0.6951
1611,28,18,63.50,MEDIUM,816,1296,864,1344,48,48,  20,1.00,0.20,0.3907
1612,28,19,85.50,HIGH,864,1296,912,1344,48,48,  24,1.00,1.00,0.7005
1613,28,20,73.09,MEDIUM,912,1296,960,1344,48,48,  28,1.00,0.20,0.5000
1614,28,21,92.14,HIGH,960,1296,1008,1344,48,48, 124,0.49,1.00,0.7778
1615,28,22,82.12,HIGH,1008,1296,1056,1344,48,48,  80,1.00,1.00,0.7479
1616,28,23,82.42,HIGH,1056,1296,1104,1344,48,48, 201,1.00,1.00,0.7829
1617,28,24,83.72,HIGH,1104,1296,1152,1344,48,48,  48,1.00,1.00,0.7318
1618,28,25,90.10,HIGH,1152,1296,1200,1344,48,48,  50,0.49,1.00,0.7245
1619,28,26,95.53,HIGH,1200,1296,1248,1344,48,48,  29,0.49,1.00,0.7131
1620,28,27,72.61,MEDIUM,1248,1296,1296,1344,48,48,  39,1.00,0.20,0.5350
1621,28,28,57.86,MEDIUM,1296,1296,1344,1344,48,48,  43,1.00,0.20,0.4314
1622,28,29,48.22,MEDIUM,1344,1296,1392,1344,48,48,  31,1.00,0.20,0.3131
1663,29,11,34.77,MEDIUM,480,1344,528,1392,48,48,   0,1.00,0.20,0.0000
1664,29,12,21.22,MEDIUM,528,1344,576,1392,48,48,   0,1.00,0.20,0.0000
1666,29,14,13.80,MEDIUM,624,1344,672,1392,48,48,   0,1.00,0.20,0.0000
1667,29,15,71.88,MEDIUM,672,1344,720,1392,48,48,   0,1.00,0.20,0.0000
1668,29,16,89.84,HIGH,720,1344,768,1392,48,48,   8,1.00,1.00,0.6343
1669,29,17,71.74,MEDIUM,768,1344,816,1392,48,48,  34,1.00,0.20,0.5152
1670,29,18,69.01,MEDIUM,816,1344,864,1392,48,48,  16,1.00,0.20,0.4092
1671,29,19,75.78,MEDIUM,864,1344,912,1392,48,48,  62,1.00,0.20,0.5980
1672,29,20,78.99,MEDIUM,912,1344,960,1392,48,48,  30,1.00,0.20,0.5486
1673,29,21,86.50,HIGH,960,1344,1008,1392,48,48,  19,1.00,1.00,0.6932
1674,29,22,85.59,HIGH,1008,1344,1056,1392,48,48,  23,1.00,1.00,0.6982
1675,29,23,78.69,MEDIUM,1056,1344,1104,1392,48,48, 153,1.00,0.20,0.6814
1676,29,24,81.42,HIGH,1104,1344,1152,1392,48,48, 181,1.00,1.00,0.7753
1677,29,25,91.19,HIGH,1152,1344,1200,1392,48,48, 227,1.00,1.00,0.8187
1678,29,26,94.31,HIGH,1200,1344,1248,1392,48,48,  74,1.00,1.00,0.7932
1679,29,27,96.88,HIGH,1248,1344,1296,1392,48,48,  46,1.00,1.00,0.7829
1680,29,28,90.41,HIGH,1296,1344,1344,1392,48,48, 105,0.49,1.00,0.7640
1681,29,29,75.09,MEDIUM,1344,1344,1392,1392,48,48,  37,1.00,0.20,0.5451
1682,29,30,30.69,MEDIUM,1392,1344,1440,1392,48,48,  20,1.00,0.20,0.1326
1720,30,9,60.37,MEDIUM,384,1392,432,1440,48,48,   0,1.00,0.20,0.0000
1721,30,10,42.75,MEDIUM,432,1392,480,1440,48,48,   0,1.00,0.20,0.0000
1722,30,11,14.58,MEDIUM,480,1392,528,1440,48,48,   0,1.00,0.20,0.0000
1723,30,12,54.60,MEDIUM,528,1392,576,1440,48,48,   0,1.00,0.20,0.0000
1724,30,13,45.83,MEDIUM,576,1392,624,1440,48,48,   0,1.00,0.20,0.0000
1726,30,15,16.49,MEDIUM,672,1392,720,1440,48,48,   0,1.00,0.20,0.0000
1727,30,16,64.24,MEDIUM,720,1392,768,1440,48,48,   0,1.00,0.20,0.0000
1728,30,17,51.17,MEDIUM,768,1392,816,1440,48,48,   0,1.00,0.20,0.0000
1729,30,18,55.51,MEDIUM,816,1392,864,1440,48,48,   0,1.00,0.20,0.0270
1730,30,19,75.82,MEDIUM,864,1392,912,1440,48,48, 102,1.00,0.20,0.6378
1731,30,20,72.66,MEDIUM,912,1392,960,1440,48,48,  30,1.00,0.20,0.5067
1732,30,21,70.36,MEDIUM,960,1392,1008,1440,48,48,  22,1.00,0.20,0.4547
1733,30,22,70.88,MEDIUM,1008,1392,1056,1440,48,48,   3,1.00,0.20,0.2055
1734,30,23,66.54,MEDIUM,1056,1392,1104,1440,48,48,   4,1.00,0.20,0.1953
1735,30,24,67.01,MEDIUM,1104,1392,1152,1440,48,48, 245,1.00,0.20,0.6373
1736,30,25,64.58,MEDIUM,1152,1392,1200,1440,48,48,   4,1.00,0.20,0.1941
1737,30,26,84.20,HIGH,1200,1392,1248,1440,48,48,  10,1.00,1.00,0.6297
1738,30,27,85.20,HIGH,1248,1392,1296,1440,48,48,  35,1.00,1.00,0.7224
1739,30,28,96.70,HIGH,1296,1392,1344,1440,48,48,  71,0.49,1.00,0.7701
1740,30,29,87.63,HIGH,1344,1392,1392,1440,48,48,  79,1.00,1.00,0.7709
1741,30,30,93.53,HIGH,1392,1392,1440,1440,48,48,  33,1.00,1.00,0.7551
1779,31,9,19.57,MEDIUM,384,1440,432,1488,48,48,   0,1.00,0.20,0.0000
1780,31,10,22.96,MEDIUM,432,1440,480,1488,48,48,   0,1.00,0.20,0.0000
1781,31,11,46.66,MEDIUM,480,1440,528,1488,48,48,   0,1.00,0.20,0.0000
1782,31,12,48.87,MEDIUM,528,1440,576,1488,48,48,   0,1.00,0.20,0.0000
1783,31,13,25.61,MEDIUM,576,1440,624,1488,48,48,   0,1.00,0.20,0.0000
1788,31,18,16.62,MEDIUM,816,1440,864,1488,48,48,   0,1.00,0.20,0.0000
1789,31,19,62.11,MEDIUM,864,1440,912,1488,48,48,   0,1.00,0.20,0.0000
1790,31,20,56.03,MEDIUM,912,1440,960,1488,48,48,   0,1.00,0.20,0.0057
1791,31,21,44.70,MEDIUM,960,1440,1008,1488,48,48,   0,1.00,0.20,0.0000
1792,31,22,53.12,MEDIUM,1008,1440,1056,1488,48,48,   3,1.00,0.20,0.1077
1793,31,23,25.95,MEDIUM,1056,1440,1104,1488,48,48,   0,1.00,0.20,0.0000
1794,31,24,33.12,MEDIUM,1104,1440,1152,1488,48,48,   3,1.00,0.20,0.0431
1795,31,25,55.77,MEDIUM,1152,1440,1200,1488,48,48,   0,1.00,0.20,0.0006
1796,31,26,58.20,MEDIUM,1200,1440,1248,1488,48,48,   6,1.00,0.20,0.2010
1797,31,27,85.72,HIGH,1248,1440,1296,1488,48,48,  35,0.49,1.00,0.6810
1798,31,28,92.27,HIGH,1296,1440,1344,1488,48,48,  76,0.49,1.00,0.7564
