Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 91.34%, Total Tissue: 8.66%
Tiles: 70x200 = 14000
  1093 ( 7.81%) tiles >=80% tissue
   241 ( 1.72%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1435,21,35,56.86,MEDIUM,1632,960,1680,1008,48,48,1545,1.00,0.20,0.6497
1436,21,36,84.64,HIGH,1680,960,1728,1008,48,48, 571,1.00,1.00,0.8198
1437,21,37,87.20,HIGH,1728,960,1776,1008,48,48, 167,1.00,1.00,0.7958
1438,21,38,86.98,HIGH,1776,960,1824,1008,48,48, 710,1.00,1.00,0.8324
1439,21,39,72.53,MEDIUM,1824,960,1872,1008,48,48,2264,1.00,0.20,0.7629
1504,22,34,47.27,MEDIUM,1584,1008,1632,1056,48,48,1215,1.00,0.20,0.5512
1505,22,35,98.52,HIGH,1632,1008,1680,1056,48,48,  16,0.49,1.00,0.6776
1506,22,36,96.96,HIGH,1680,1008,1728,1056,48,48,  15,1.00,1.00,0.7220
1507,22,37,97.92,HIGH,1728,1008,1776,1056,48,48,  14,1.00,1.00,0.7196
1508,22,38,98.61,HIGH,1776,1008,1824,1056,48,48, 194,1.00,1.00,0.8368
1509,22,39,99.61,HIGH,1824,1008,1872,1056,48,48, 273,0.49,1.00,0.8295
1510,22,40,95.14,HIGH,1872,1008,1920,1056,48,48,2250,1.00,1.00,0.8748
1511,22,41,44.62,MEDIUM,1920,1008,1968,1056,48,48,5254,1.00,0.20,0.5807
1575,23,35,39.54,MEDIUM,1632,1056,1680,1104,48,48,   6,1.00,0.20,0.1072
1576,23,36,98.09,HIGH,1680,1056,1728,1104,48,48, 133,1.00,1.00,0.8249
1577,23,37,98.91,HIGH,1728,1056,1776,1104,48,48,  65,1.00,1.00,0.8041
1578,23,38,99.78,HIGH,1776,1056,1824,1104,48,48, 358,1.00,1.00,0.8542
1579,23,39,99.87,HIGH,1824,1056,1872,1104,48,48,1627,0.49,1.00,0.8695
1580,23,40,99.83,HIGH,1872,1056,1920,1104,48,48, 751,1.00,1.00,0.8684
1581,23,41,99.91,HIGH,1920,1056,1968,1104,48,48, 254,1.00,1.00,0.8469
1582,23,42,68.10,MEDIUM,1968,1056,2016,1104,48,48,2615,1.00,0.20,0.7438
1645,24,35,50.09,MEDIUM,1632,1104,1680,1152,48,48, 207,1.00,0.20,0.4846
1646,24,36,96.61,HIGH,1680,1104,1728,1152,48,48,1529,1.00,1.00,0.8725
1647,24,37,99.52,HIGH,1728,1104,1776,1152,48,48, 630,1.00,1.00,0.8646
1648,24,38,99.96,HIGH,1776,1104,1824,1152,48,48,1676,1.00,1.00,0.8812
1649,24,39,99.96,HIGH,1824,1104,1872,1152,48,48,2456,1.00,1.00,0.8864
1650,24,40,100.00,HIGH,1872,1104,1920,1152,48,48,6787,1.00,1.00,0.8982
1651,24,41,99.96,HIGH,1920,1104,1968,1152,48,48,1352,0.49,1.00,0.8665
1652,24,42,99.78,HIGH,1968,1104,2016,1152,48,48, 247,1.00,1.00,0.8459
1653,24,43,40.28,MEDIUM,2016,1104,2064,1152,48,48,3799,1.00,0.20,0.5184
1715,25,35,56.47,MEDIUM,1632,1152,1680,1200,48,48,2725,1.00,0.20,0.6677
1716,25,36,92.66,HIGH,1680,1152,1728,1200,48,48,1524,1.00,1.00,0.8629
1717,25,37,100.00,HIGH,1728,1152,1776,1200,48,48,3090,1.00,1.00,0.8893
1718,25,38,100.00,HIGH,1776,1152,1824,1200,48,48,7958,0.49,1.00,0.8921
1719,25,39,99.96,HIGH,1824,1152,1872,1200,48,48,7916,0.49,1.00,0.8920
1720,25,40,99.91,HIGH,1872,1152,1920,1200,48,48,3536,1.00,1.00,0.8908
1721,25,41,100.00,HIGH,1920,1152,1968,1200,48,48,2953,0.49,1.00,0.8792
1722,25,42,99.83,HIGH,1968,1152,2016,1200,48,48, 792,1.00,1.00,0.8693
1723,25,43,89.45,HIGH,2016,1152,2064,1200,48,48, 648,1.00,1.00,0.8382
1784,26,34,34.46,MEDIUM,1584,1200,1632,1248,48,48,1946,1.00,0.20,0.4147
1785,26,35,98.96,HIGH,1632,1200,1680,1248,48,48,9209,1.00,1.00,0.8994
1786,26,36,99.61,HIGH,1680,1200,1728,1248,48,48, 373,1.00,1.00,0.8546
1787,26,37,99.78,HIGH,1728,1200,1776,1248,48,48, 898,1.00,1.00,0.8713
1788,26,38,100.00,HIGH,1776,1200,1824,1248,48,48,3071,1.00,1.00,0.8893
1789,26,39,100.00,HIGH,1824,1200,1872,1248,48,48,3567,1.00,1.00,0.8911
1790,26,40,100.00,HIGH,1872,1200,1920,1248,48,48,5911,0.49,1.00,0.8885
1791,26,41,100.00,HIGH,1920,1200,1968,1248,48,48,5788,0.49,1.00,0.8883
1792,26,42,100.00,HIGH,1968,1200,2016,1248,48,48,2374,0.49,1.00,0.8759
1793,26,43,100.00,HIGH,2016,1200,2064,1248,48,48, 760,0.49,1.00,0.8556
1794,26,44,63.45,MEDIUM,2064,1200,2112,1248,48,48,1475,1.00,0.20,0.6962
1854,27,34,98.78,HIGH,1584,1248,1632,1296,48,48,3137,1.00,1.00,0.8871
1855,27,35,97.79,HIGH,1632,1248,1680,1296,48,48,5052,1.00,1.00,0.8908
1856,27,36,99.83,HIGH,1680,1248,1728,1296,48,48,2933,1.00,1.00,0.8883
1857,27,37,99.83,HIGH,1728,1248,1776,1296,48,48, 873,1.00,1.00,0.8710
1858,27,38,99.96,HIGH,1776,1248,1824,1296,48,48,1002,0.49,1.00,0.8610
1859,27,39,99.96,HIGH,1824,1248,1872,1296,48,48,3104,0.49,1.00,0.8798
1860,27,40,99.91,HIGH,1872,1248,1920,1296,48,48,3679,0.49,1.00,0.8821
1861,27,41,99.96,HIGH,1920,1248,1968,1296,48,48,5879,0.49,1.00,0.8884
1862,27,42,100.00,HIGH,1968,1248,2016,1296,48,48,5044,0.49,1.00,0.8865
1863,27,43,100.00,HIGH,2016,1248,2064,1296,48,48,6623,0.49,1.00,0.8899
1864,27,44,98.44,HIGH,2064,1248,2112,1296,48,48, 617,1.00,1.00,0.8616
1865,27,45,24.74,MEDIUM,2112,1248,2160,1296,48,48,4471,1.00,0.20,0.2938
1912,28,22,21.05,MEDIUM,1008,1296,1056,1344,48,48,1679,1.00,0.20,0.2050
1913,28,23,54.77,MEDIUM,1056,1296,1104,1344,48,48,1271,1.00,0.20,0.6244
1914,28,24,64.32,MEDIUM,1104,1296,1152,1344,48,48, 679,1.00,0.20,0.6705
1915,28,25,33.68,MEDIUM,1152,1296,1200,1344,48,48,2784,1.00,0.20,0.4177
1923,28,33,49.65,MEDIUM,1536,1296,1584,1344,48,48,1571,1.00,0.20,0.5865
1924,28,34,99.87,HIGH,1584,1296,1632,1344,48,48,3570,1.00,1.00,0.8908
1925,28,35,99.61,HIGH,1632,1296,1680,1344,48,48,3136,1.00,1.00,0.8887
1926,28,36,99.96,HIGH,1680,1296,1728,1344,48,48,8693,0.49,1.00,0.8930
1927,28,37,99.65,HIGH,1728,1296,1776,1344,48,48,1159,1.00,1.00,0.8751
1928,28,38,99.83,HIGH,1776,1296,1824,1344,48,48,1790,0.49,1.00,0.8710
1929,28,39,100.00,HIGH,1824,1296,1872,1344,48,48,2188,0.49,1.00,0.8747
1930,28,40,100.00,HIGH,1872,1296,1920,1344,48,48,3119,0.49,1.00,0.8800
1931,28,41,99.96,HIGH,1920,1296,1968,1344,48,48,4020,0.49,1.00,0.8834
1932,28,42,100.00,HIGH,1968,1296,2016,1344,48,48,3426,0.49,1.00,0.8813
1933,28,43,99.91,HIGH,2016,1296,2064,1344,48,48,4202,0.49,1.00,0.8840
1934,28,44,99.87,HIGH,2064,1296,2112,1344,48,48, 678,0.49,1.00,0.8528
1935,28,45,76.48,MEDIUM,2112,1296,2160,1344,48,48,1175,1.00,0.20,0.7617
1981,29,21,53.30,MEDIUM,960,1344,1008,1392,48,48,   3,1.00,0.20,0.1078
1982,29,22,92.45,HIGH,1008,1344,1056,1392,48,48,  67,1.00,1.00,0.7831
1983,29,23,96.66,HIGH,1056,1344,1104,1392,48,48,  43,1.00,1.00,0.7799
1984,29,24,98.13,HIGH,1104,1344,1152,1392,48,48,  89,1.00,1.00,0.8127
