Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3360
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2688x3360
Scaled Tile Size: 48x48
Total Mask: 83.36%, Total Tissue: 16.64%
Tiles: 56x70 = 3920
   443 (11.30%) tiles >=80% tissue
   416 (10.61%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
524,10,20,14.80,MEDIUM,912,432,960,480,48,48,  33,1.00,0.20,0.0423
526,10,22,44.70,MEDIUM,1008,432,1056,480,48,48,   1,1.00,0.20,0.0262
527,10,23,25.91,MEDIUM,1056,432,1104,480,48,48,   1,1.00,0.20,0.0068
585,11,25,18.53,MEDIUM,1152,480,1200,528,48,48,   0,1.00,0.20,0.0008
639,12,23,25.17,MEDIUM,1056,528,1104,576,48,48,   0,1.00,0.20,0.0000
641,12,25,37.93,MEDIUM,1152,528,1200,576,48,48,   0,1.00,0.20,0.0012
695,13,23,64.58,MEDIUM,1056,576,1104,624,48,48,   0,1.00,0.20,0.0000
696,13,24,32.16,MEDIUM,1104,576,1152,624,48,48,   0,1.00,0.20,0.0000
697,13,25,79.30,MEDIUM,1152,576,1200,624,48,48,   1,1.00,0.20,0.0688
698,13,26,14.93,MEDIUM,1200,576,1248,624,48,48,   0,1.00,0.20,0.0003
749,14,21,27.52,MEDIUM,960,624,1008,672,48,48,   0,1.00,0.20,0.0000
750,14,22,24.96,MEDIUM,1008,624,1056,672,48,48,   0,1.00,0.20,0.0000
751,14,23,65.19,MEDIUM,1056,624,1104,672,48,48,   0,1.00,0.20,0.0000
752,14,24,56.03,MEDIUM,1104,624,1152,672,48,48,   0,1.00,0.20,0.0000
753,14,25,85.42,HIGH,1152,624,1200,672,48,48,   0,1.00,1.00,0.1993
754,14,26,88.67,HIGH,1200,624,1248,672,48,48,   0,1.00,1.00,0.1658
755,14,27,64.15,MEDIUM,1248,624,1296,672,48,48,   0,1.00,0.20,0.0049
756,14,28,15.97,MEDIUM,1296,624,1344,672,48,48,   1,1.00,0.20,0.0033
804,15,20,24.52,MEDIUM,912,672,960,720,48,48,   0,1.00,0.20,0.0000
805,15,21,43.97,MEDIUM,960,672,1008,720,48,48,   0,1.00,0.20,0.0163
806,15,22,70.18,MEDIUM,1008,672,1056,720,48,48,   0,1.00,0.20,0.0274
807,15,23,51.13,MEDIUM,1056,672,1104,720,48,48,   0,1.00,0.20,0.0000
808,15,24,39.54,MEDIUM,1104,672,1152,720,48,48,   0,1.00,0.20,0.0000
809,15,25,55.43,MEDIUM,1152,672,1200,720,48,48,   2,1.00,0.20,0.0961
810,15,26,72.40,MEDIUM,1200,672,1248,720,48,48,   1,1.00,0.20,0.1004
811,15,27,75.48,MEDIUM,1248,672,1296,720,48,48,   0,1.00,0.20,0.0459
812,15,28,43.79,MEDIUM,1296,672,1344,720,48,48,   0,1.00,0.20,0.0140
861,16,21,54.99,MEDIUM,960,720,1008,768,48,48,   0,1.00,0.20,0.0063
862,16,22,73.78,MEDIUM,1008,720,1056,768,48,48,   0,1.00,0.20,0.0138
863,16,23,65.06,MEDIUM,1056,720,1104,768,48,48,   0,1.00,0.20,0.0000
864,16,24,26.69,MEDIUM,1104,720,1152,768,48,48,  31,1.00,0.20,0.1233
865,16,25,37.93,MEDIUM,1152,720,1200,768,48,48,   0,1.00,0.20,0.0000
866,16,26,62.24,MEDIUM,1200,720,1248,768,48,48,   0,1.00,0.20,0.0000
867,16,27,29.17,MEDIUM,1248,720,1296,768,48,48,   0,1.00,0.20,0.0000
869,16,29,38.89,MEDIUM,1344,720,1392,768,48,48,   0,1.00,0.20,0.0035
880,16,40,15.23,MEDIUM,1872,720,1920,768,48,48,   0,1.00,0.20,0.0002
881,16,41,28.78,MEDIUM,1920,720,1968,768,48,48,   0,1.00,0.20,0.0054
882,16,42,33.25,MEDIUM,1968,720,2016,768,48,48,   0,1.00,0.20,0.0000
883,16,43,41.32,MEDIUM,2016,720,2064,768,48,48,   0,1.00,0.20,0.0014
914,17,18,42.75,MEDIUM,816,768,864,816,48,48,   1,1.00,0.20,0.0395
915,17,19,30.90,MEDIUM,864,768,912,816,48,48,   0,1.00,0.20,0.0000
