Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2728x2992
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2728x2992
Scaled Tile Size: 48x48
Total Mask: 56.90%, Total Tissue: 43.10%
Tiles: 57x63 = 3591
  1407 (39.18%) tiles >=80% tissue
   378 (10.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
38,1,38,21.48,MEDIUM,1776,0,1824,48,48,48,   0,1.00,0.20,0.0024
94,2,37,19.01,MEDIUM,1728,48,1776,96,48,48,   0,1.00,0.20,0.0000
95,2,38,52.43,MEDIUM,1776,48,1824,96,48,48,   0,1.00,0.20,0.0255
104,2,47,15.02,MEDIUM,2208,48,2256,96,48,48,   0,1.00,0.20,0.0004
150,3,36,57.07,MEDIUM,1680,96,1728,144,48,48,   0,1.00,0.20,0.0220
151,3,37,31.86,MEDIUM,1728,96,1776,144,48,48,   0,1.00,0.20,0.0055
154,3,40,72.31,MEDIUM,1872,96,1920,144,48,48,  13,1.00,0.20,0.4001
155,3,41,40.84,MEDIUM,1920,96,1968,144,48,48,  12,1.00,0.20,0.1714
157,3,43,35.55,MEDIUM,2016,96,2064,144,48,48,   0,1.00,0.20,0.0080
158,3,44,73.52,MEDIUM,2064,96,2112,144,48,48,   0,1.00,0.20,0.0183
159,3,45,40.93,MEDIUM,2112,96,2160,144,48,48,   4,1.00,0.20,0.0874
160,3,46,80.25,HIGH,2160,96,2208,144,48,48,   0,1.00,1.00,0.0683
161,3,47,92.66,HIGH,2208,96,2256,144,48,48,   5,1.00,1.00,0.6062
162,3,48,66.32,MEDIUM,2256,96,2304,144,48,48,   2,1.00,0.20,0.1273
163,3,49,30.99,MEDIUM,2304,96,2352,144,48,48,   4,1.00,0.20,0.0563
206,4,35,21.48,MEDIUM,1632,144,1680,192,48,48,   0,1.00,0.20,0.0000
208,4,37,40.19,MEDIUM,1728,144,1776,192,48,48,   2,1.00,0.20,0.0503
211,4,40,66.41,MEDIUM,1872,144,1920,192,48,48, 214,1.00,0.20,0.6250
212,4,41,92.53,HIGH,1920,144,1968,192,48,48,  65,1.00,1.00,0.7818
213,4,42,62.50,MEDIUM,1968,144,2016,192,48,48,   3,1.00,0.20,0.1372
214,4,43,67.45,MEDIUM,2016,144,2064,192,48,48,   0,1.00,0.20,0.0198
215,4,44,90.41,HIGH,2064,144,2112,192,48,48,  11,1.00,1.00,0.6728
216,4,45,54.60,MEDIUM,2112,144,2160,192,48,48,  10,1.00,0.20,0.2452
217,4,46,84.16,HIGH,2160,144,2208,192,48,48,   2,1.00,1.00,0.4079
218,4,47,94.97,HIGH,2208,144,2256,192,48,48,   0,1.00,1.00,0.1831
219,4,48,92.93,HIGH,2256,144,2304,192,48,48,   0,1.00,1.00,0.1779
220,4,49,97.74,HIGH,2304,144,2352,192,48,48,   0,1.00,1.00,0.1428
221,4,50,93.10,HIGH,2352,144,2400,192,48,48,  79,1.00,1.00,0.7916
222,4,51,39.89,MEDIUM,2400,144,2448,192,48,48,   0,1.00,0.20,0.0078
259,5,31,21.35,MEDIUM,1440,192,1488,240,48,48,  21,1.00,0.20,0.0695
261,5,33,50.56,MEDIUM,1536,192,1584,240,48,48,   0,1.00,0.20,0.0127
262,5,34,88.59,HIGH,1584,192,1632,240,48,48,   0,1.00,1.00,0.0682
263,5,35,81.68,HIGH,1632,192,1680,240,48,48,   0,1.00,1.00,0.1383
264,5,36,18.71,MEDIUM,1680,192,1728,240,48,48,   0,1.00,0.20,0.0000
265,5,37,32.77,MEDIUM,1728,192,1776,240,48,48,  21,1.00,0.20,0.1510
268,5,40,67.71,MEDIUM,1872,192,1920,240,48,48,   0,1.00,0.20,0.0146
269,5,41,95.88,HIGH,1920,192,1968,240,48,48,   0,1.00,1.00,0.0300
270,5,42,96.57,HIGH,1968,192,2016,240,48,48,   1,1.00,1.00,0.3805
271,5,43,94.18,HIGH,2016,192,2064,240,48,48,   1,1.00,1.00,0.4102
272,5,44,91.23,HIGH,2064,192,2112,240,48,48, 146,1.00,1.00,0.8059
273,5,45,97.22,HIGH,2112,192,2160,240,48,48,  25,1.00,1.00,0.7547
274,5,46,95.79,HIGH,2160,192,2208,240,48,48,   0,1.00,1.00,0.2053
275,5,47,96.57,HIGH,2208,192,2256,240,48,48,   2,1.00,1.00,0.4976
276,5,48,95.01,HIGH,2256,192,2304,240,48,48,   3,1.00,1.00,0.5534
277,5,49,98.65,HIGH,2304,192,2352,240,48,48,  10,1.00,1.00,0.6965
278,5,50,99.26,HIGH,2352,192,2400,240,48,48,   3,1.00,1.00,0.5914
279,5,51,76.56,MEDIUM,2400,192,2448,240,48,48,   1,1.00,0.20,0.0710
316,6,31,45.40,MEDIUM,1440,240,1488,288,48,48,   5,1.00,0.20,0.1289
317,6,32,76.26,MEDIUM,1488,240,1536,288,48,48,   5,1.00,0.20,0.2864
318,6,33,69.57,MEDIUM,1536,240,1584,288,48,48,   0,1.00,0.20,0.0104
319,6,34,95.92,HIGH,1584,240,1632,288,48,48,   0,1.00,1.00,0.1479
320,6,35,79.08,MEDIUM,1632,240,1680,288,48,48,   1,1.00,0.20,0.0701
321,6,36,38.54,MEDIUM,1680,240,1728,288,48,48,   1,1.00,0.20,0.0185
322,6,37,53.56,MEDIUM,1728,240,1776,288,48,48,  10,1.00,0.20,0.2397
