Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 98.16%, Total Tissue: 1.84%
Tiles: 135x68 = 9180
    73 ( 0.80%) tiles >=80% tissue
   197 ( 2.15%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
336,3,66,30.64,MEDIUM,3120,96,3168,144,48,48,1503,1.00,0.20,0.3490
470,4,65,13.80,MEDIUM,3072,144,3120,192,48,48,1317,1.00,0.20,0.0960
2483,19,53,30.43,MEDIUM,2496,864,2544,912,48,48,  13,1.00,0.20,0.1040
2484,19,54,67.06,MEDIUM,2544,864,2592,912,48,48,   8,1.00,0.20,0.2966
2485,19,55,75.91,MEDIUM,2592,864,2640,912,48,48,   8,1.00,0.20,0.3576
2486,19,56,77.99,MEDIUM,2640,864,2688,912,48,48,   5,1.00,0.20,0.2811
2487,19,57,43.58,MEDIUM,2688,864,2736,912,48,48,   4,1.00,0.20,0.1086
2490,19,60,14.54,MEDIUM,2832,864,2880,912,48,48, 327,1.00,0.20,0.0815
2616,20,51,28.34,MEDIUM,2400,912,2448,960,48,48,  94,1.00,0.20,0.1932
2617,20,52,69.66,MEDIUM,2448,912,2496,960,48,48,  16,1.00,0.20,0.4090
2618,20,53,80.21,HIGH,2496,912,2544,960,48,48,   9,1.00,1.00,0.5923
2619,20,54,82.51,HIGH,2544,912,2592,960,48,48,   4,1.00,1.00,0.5216
2620,20,55,80.64,HIGH,2592,912,2640,960,48,48,   5,1.00,1.00,0.5474
2621,20,56,86.41,HIGH,2640,912,2688,960,48,48,  10,1.00,1.00,0.6451
2622,20,57,87.20,HIGH,2688,912,2736,960,48,48,  11,1.00,1.00,0.6515
2623,20,58,91.88,HIGH,2736,912,2784,960,48,48,   6,1.00,1.00,0.6289
2624,20,59,86.33,HIGH,2784,912,2832,960,48,48,  16,1.00,1.00,0.6801
2625,20,60,89.89,HIGH,2832,912,2880,960,48,48, 100,1.00,1.00,0.7885
2626,20,61,74.22,MEDIUM,2880,912,2928,960,48,48, 109,1.00,0.20,0.6328
2750,21,50,46.96,MEDIUM,2352,960,2400,1008,48,48,  90,1.00,0.20,0.3936
2751,21,51,70.44,MEDIUM,2400,960,2448,1008,48,48,  26,1.00,0.20,0.4745
2752,21,52,65.02,MEDIUM,2448,960,2496,1008,48,48,   6,1.00,0.20,0.2583
2753,21,53,68.27,MEDIUM,2496,960,2544,1008,48,48,   4,1.00,0.20,0.2235
2754,21,54,72.27,MEDIUM,2544,960,2592,1008,48,48,   2,1.00,0.20,0.1738
2755,21,55,66.02,MEDIUM,2592,960,2640,1008,48,48,   3,1.00,0.20,0.1654
2756,21,56,46.44,MEDIUM,2640,960,2688,1008,48,48,   5,1.00,0.20,0.1258
2757,21,57,42.49,MEDIUM,2688,960,2736,1008,48,48,   4,1.00,0.20,0.1032
2758,21,58,69.14,MEDIUM,2736,960,2784,1008,48,48,   5,1.00,0.20,0.2502
2759,21,59,87.24,HIGH,2784,960,2832,1008,48,48,   3,1.00,1.00,0.5312
2760,21,60,75.09,MEDIUM,2832,960,2880,1008,48,48,  64,1.00,0.20,0.5969
2761,21,61,64.71,MEDIUM,2880,960,2928,1008,48,48,  33,1.00,0.20,0.4594
2762,21,62,50.52,MEDIUM,2928,960,2976,1008,48,48, 319,1.00,0.20,0.5157
2884,22,49,55.03,MEDIUM,2304,1008,2352,1056,48,48,  46,1.00,0.20,0.4131
2885,22,50,83.77,HIGH,2352,1008,2400,1056,48,48,  11,1.00,1.00,0.6338
2886,22,51,70.53,MEDIUM,2400,1008,2448,1056,48,48,   6,1.00,0.20,0.2874
