Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3424
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x3424
Scaled Tile Size: 48x48
Total Mask: 62.00%, Total Tissue: 38.00%
Tiles: 62x72 = 4464
  1463 (32.77%) tiles >=80% tissue
   556 (12.46%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
10,1,10,37.50,MEDIUM,432,0,480,48,48,48,   0,1.00,0.20,0.0000
11,1,11,40.49,MEDIUM,480,0,528,48,48,48,   0,1.00,0.20,0.0000
21,1,21,24.09,MEDIUM,960,0,1008,48,48,48,   0,1.00,0.20,0.0052
22,1,22,59.81,MEDIUM,1008,0,1056,48,48,48,   0,1.00,0.20,0.0000
23,1,23,39.97,MEDIUM,1056,0,1104,48,48,48,   4,1.00,0.20,0.0929
83,2,21,32.64,MEDIUM,960,48,1008,96,48,48,   0,1.00,0.20,0.0000
84,2,22,93.66,HIGH,1008,48,1056,96,48,48,   0,1.00,1.00,0.0000
85,2,23,93.97,HIGH,1056,48,1104,96,48,48,   7,1.00,1.00,0.6457
86,2,24,23.13,MEDIUM,1104,48,1152,96,48,48,   0,1.00,0.20,0.0014
143,3,19,18.75,MEDIUM,864,96,912,144,48,48,   0,1.00,0.20,0.0000
144,3,20,51.52,MEDIUM,912,96,960,144,48,48,   0,1.00,0.20,0.0000
145,3,21,43.32,MEDIUM,960,96,1008,144,48,48,   0,1.00,0.20,0.0000
146,3,22,90.76,HIGH,1008,96,1056,144,48,48,   3,1.00,1.00,0.5114
147,3,23,89.15,HIGH,1056,96,1104,144,48,48,   0,1.00,1.00,0.2346
148,3,24,43.79,MEDIUM,1104,96,1152,144,48,48,   0,1.00,0.20,0.0019
205,4,19,54.60,MEDIUM,864,144,912,192,48,48,  10,1.00,0.20,0.2478
