Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x2624
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2432x2624
Scaled Tile Size: 48x48
Total Mask: 84.21%, Total Tissue: 15.79%
Tiles: 51x55 = 2805
   364 (12.98%) tiles >=80% tissue
   177 ( 6.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
425,9,17,51.17,MEDIUM,768,384,816,432,48,48,  15,1.00,0.20,0.2635
426,9,18,71.57,MEDIUM,816,384,864,432,48,48,   6,1.00,0.20,0.2817
476,10,17,68.71,MEDIUM,768,432,816,480,48,48,  26,1.00,0.20,0.4612
477,10,18,98.52,HIGH,816,432,864,480,48,48,   2,1.00,1.00,0.4984
478,10,19,90.62,HIGH,864,432,912,480,48,48,   3,1.00,1.00,0.5396
525,11,15,18.45,MEDIUM,672,480,720,528,48,48,  14,1.00,0.20,0.0442
526,11,16,55.08,MEDIUM,720,480,768,528,48,48,  12,1.00,0.20,0.2695
527,11,17,86.11,HIGH,768,480,816,528,48,48,   0,1.00,1.00,0.2224
528,11,18,97.70,HIGH,816,480,864,528,48,48,   0,1.00,1.00,0.0000
529,11,19,99.48,HIGH,864,480,912,528,48,48,   4,1.00,1.00,0.6106
530,11,20,94.75,HIGH,912,480,960,528,48,48,   2,1.00,1.00,0.4832
575,12,14,65.58,MEDIUM,624,528,672,576,48,48,  12,1.00,0.20,0.3498
576,12,15,92.14,HIGH,672,528,720,576,48,48,   0,1.00,1.00,0.0000
577,12,16,91.49,HIGH,720,528,768,576,48,48,   0,1.00,1.00,0.0000
578,12,17,97.48,HIGH,768,528,816,576,48,48,   2,1.00,1.00,0.4840
579,12,18,93.62,HIGH,816,528,864,576,48,48,   1,1.00,1.00,0.3491
580,12,19,97.92,HIGH,864,528,912,576,48,48,   3,1.00,1.00,0.5579
581,12,20,99.61,HIGH,912,528,960,576,48,48,   3,1.00,1.00,0.5739
582,12,21,63.72,MEDIUM,960,528,1008,576,48,48,   1,1.00,0.20,0.0755
625,13,13,27.73,MEDIUM,576,576,624,624,48,48,2637,1.00,0.20,0.3254
626,13,14,89.63,HIGH,624,576,672,624,48,48,   8,1.00,1.00,0.6383
627,13,15,88.24,HIGH,672,576,720,624,48,48,   1,1.00,1.00,0.3968
628,13,16,78.17,MEDIUM,720,576,768,624,48,48,   0,1.00,0.20,0.0000
629,13,17,84.85,HIGH,768,576,816,624,48,48,   7,1.00,1.00,0.5929
630,13,18,96.27,HIGH,816,576,864,624,48,48,   5,1.00,1.00,0.6161
631,13,19,96.66,HIGH,864,576,912,624,48,48,   6,1.00,1.00,0.6380
632,13,20,99.52,HIGH,912,576,960,624,48,48,   3,1.00,1.00,0.5636
633,13,21,95.31,HIGH,960,576,1008,624,48,48,   2,1.00,1.00,0.4707
675,14,12,24.57,MEDIUM,528,624,576,672,48,48, 198,1.00,0.20,0.1826
676,14,13,79.25,MEDIUM,576,624,624,672,48,48,   3,1.00,0.20,0.2189
677,14,14,87.76,HIGH,624,624,672,672,48,48,   0,1.00,1.00,0.0000
678,14,15,89.63,HIGH,672,624,720,672,48,48,   2,1.00,1.00,0.4593
679,14,16,85.46,HIGH,720,624,768,672,48,48,   0,1.00,1.00,0.0825
680,14,17,40.71,MEDIUM,768,624,816,672,48,48,   2,1.00,0.20,0.0609
681,14,18,94.14,HIGH,816,624,864,672,48,48,   3,1.00,1.00,0.5681
682,14,19,97.01,HIGH,864,624,912,672,48,48,   6,1.00,1.00,0.6481
683,14,20,99.00,HIGH,912,624,960,672,48,48,   3,1.00,1.00,0.5585
684,14,21,95.40,HIGH,960,624,1008,672,48,48,   1,1.00,1.00,0.4428
726,15,12,77.21,MEDIUM,528,672,576,720,48,48,   2,1.00,0.20,0.1459
727,15,13,89.37,HIGH,576,672,624,720,48,48,   0,1.00,1.00,0.0000
728,15,14,94.62,HIGH,624,672,672,720,48,48,   0,1.00,1.00,0.0000
729,15,15,93.53,HIGH,672,672,720,720,48,48,   0,1.00,1.00,0.0000
730,15,16,93.45,HIGH,720,672,768,720,48,48,   0,1.00,1.00,0.0000
