Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2852x2176
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2852x2176
Scaled Tile Size: 48x48
Total Mask: 69.08%, Total Tissue: 30.92%
Tiles: 60x46 = 2760
   675 (24.46%) tiles >=80% tissue
   330 (11.96%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
69,2,9,18.27,MEDIUM,384,48,432,96,48,48,   0,1.00,0.20,0.0016
104,2,44,26.26,MEDIUM,2064,48,2112,96,48,48,   1,1.00,0.20,0.0093
130,3,10,27.78,MEDIUM,432,96,480,144,48,48,   0,1.00,0.20,0.0073
168,3,48,32.07,MEDIUM,2256,96,2304,144,48,48,   0,1.00,0.20,0.0093
169,3,49,53.17,MEDIUM,2304,96,2352,144,48,48,   1,1.00,0.20,0.0368
170,3,50,65.58,MEDIUM,2352,96,2400,144,48,48,  11,1.00,0.20,0.3390
171,3,51,55.12,MEDIUM,2400,96,2448,144,48,48,   5,1.00,0.20,0.1727
172,3,52,20.44,MEDIUM,2448,96,2496,144,48,48,   5,1.00,0.20,0.0292
226,4,46,61.98,MEDIUM,2160,144,2208,192,48,48,  12,1.00,0.20,0.3199
227,4,47,95.66,HIGH,2208,144,2256,192,48,48,   4,1.00,1.00,0.6067
228,4,48,99.70,HIGH,2256,144,2304,192,48,48,   6,1.00,1.00,0.6652
229,4,49,99.65,HIGH,2304,144,2352,192,48,48,  31,1.00,1.00,0.7754
230,4,50,99.83,HIGH,2352,144,2400,192,48,48, 165,1.00,1.00,0.8359
231,4,51,99.96,HIGH,2400,144,2448,192,48,48,   4,0.49,1.00,0.5334
232,4,52,98.96,HIGH,2448,144,2496,192,48,48, 162,1.00,1.00,0.8330
233,4,53,32.07,MEDIUM,2496,144,2544,192,48,48,   0,1.00,0.20,0.0000
282,5,42,29.56,MEDIUM,1968,192,2016,240,48,48,  64,1.00,0.20,0.1869
283,5,43,58.03,MEDIUM,2016,192,2064,240,48,48,  98,1.00,0.20,0.5049
284,5,44,86.20,HIGH,2064,192,2112,240,48,48,  45,1.00,1.00,0.7404
285,5,45,99.44,HIGH,2112,192,2160,240,48,48,  23,1.00,1.00,0.7588
286,5,46,99.35,HIGH,2160,192,2208,240,48,48,  92,1.00,1.00,0.8174
287,5,47,99.52,HIGH,2208,192,2256,240,48,48, 115,1.00,1.00,0.8249
288,5,48,99.96,HIGH,2256,192,2304,240,48,48,  14,1.00,1.00,0.7322
289,5,49,99.83,HIGH,2304,192,2352,240,48,48,   5,1.00,1.00,0.6460
290,5,50,99.87,HIGH,2352,192,2400,240,48,48,   9,0.49,1.00,0.6318
291,5,51,99.61,HIGH,2400,192,2448,240,48,48,   2,1.00,1.00,0.5014
292,5,52,99.61,HIGH,2448,192,2496,240,48,48,  25,1.00,1.00,0.7642
293,5,53,91.10,HIGH,2496,192,2544,240,48,48,   4,1.00,1.00,0.5835
294,5,54,18.10,MEDIUM,2544,192,2592,240,48,48,   0,1.00,0.20,0.0000
340,6,40,56.90,MEDIUM,1872,240,1920,288,48,48, 361,1.00,0.20,0.5816
341,6,41,94.79,HIGH,1920,240,1968,288,48,48, 638,1.00,1.00,0.8530
342,6,42,99.44,HIGH,1968,240,2016,288,48,48, 400,1.00,1.00,0.8556
343,6,43,99.48,HIGH,2016,240,2064,288,48,48, 186,1.00,1.00,0.8382
344,6,44,98.87,HIGH,2064,240,2112,288,48,48,  19,1.00,1.00,0.7450
345,6,45,98.39,HIGH,2112,240,2160,288,48,48,   7,1.00,1.00,0.6695
346,6,46,98.74,HIGH,2160,240,2208,288,48,48,   5,1.00,1.00,0.6292
347,6,47,96.01,HIGH,2208,240,2256,288,48,48,   1,1.00,1.00,0.2953
348,6,48,97.09,HIGH,2256,240,2304,288,48,48,   7,1.00,1.00,0.6650
349,6,49,93.53,HIGH,2304,240,2352,288,48,48,   5,1.00,1.00,0.6000
350,6,50,87.33,HIGH,2352,240,2400,288,48,48,  50,1.00,1.00,0.7497
351,6,51,97.31,HIGH,2400,240,2448,288,48,48,   1,1.00,1.00,0.4112
352,6,52,99.31,HIGH,2448,240,2496,288,48,48,  15,1.00,1.00,0.7300
353,6,53,99.74,HIGH,2496,240,2544,288,48,48,  14,1.00,1.00,0.7301
354,6,54,77.99,MEDIUM,2544,240,2592,288,48,48,   0,1.00,0.20,0.0000
399,7,39,78.47,MEDIUM,1824,288,1872,336,48,48, 710,1.00,0.20,0.7535
400,7,40,99.18,HIGH,1872,288,1920,336,48,48, 470,1.00,1.00,0.8582
401,7,41,96.66,HIGH,1920,288,1968,336,48,48,  92,1.00,1.00,0.8089
402,7,42,98.91,HIGH,1968,288,2016,336,48,48,  68,1.00,1.00,0.8057
403,7,43,99.61,HIGH,2016,288,2064,336,48,48, 392,1.00,1.00,0.8556
404,7,44,99.05,HIGH,2064,288,2112,336,48,48,  27,1.00,1.00,0.7653
405,7,45,98.65,HIGH,2112,288,2160,336,48,48,   2,1.00,1.00,0.5245
406,7,46,73.18,MEDIUM,2160,288,2208,336,48,48,   5,1.00,0.20,0.2632
407,7,47,40.80,MEDIUM,2208,288,2256,336,48,48,   0,1.00,0.20,0.0044
408,7,48,47.09,MEDIUM,2256,288,2304,336,48,48,   5,1.00,0.20,0.1381
409,7,49,43.23,MEDIUM,2304,288,2352,336,48,48,  83,1.00,0.20,0.3489
410,7,50,99.44,HIGH,2352,288,2400,336,48,48, 148,1.00,1.00,0.8318
411,7,51,92.88,HIGH,2400,288,2448,336,48,48,  14,1.00,1.00,0.6986
412,7,52,82.25,HIGH,2448,288,2496,336,48,48,   2,1.00,1.00,0.4485
413,7,53,95.01,HIGH,2496,288,2544,336,48,48,   4,1.00,1.00,0.6037
414,7,54,54.77,MEDIUM,2544,288,2592,336,48,48,   0,1.00,0.20,0.0000
458,8,38,28.21,MEDIUM,1776,336,1824,384,48,48, 137,1.00,0.20,0.2104
459,8,39,92.93,HIGH,1824,336,1872,384,48,48, 664,1.00,1.00,0.8488
460,8,40,97.31,HIGH,1872,336,1920,384,48,48,  78,1.00,1.00,0.8052
461,8,41,73.87,MEDIUM,1920,336,1968,384,48,48,  28,1.00,0.20,0.5055
462,8,42,73.74,MEDIUM,1968,336,2016,384,48,48,  42,1.00,0.20,0.5498
