Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2352x1512
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2352x1512
Scaled Tile Size: 48x48
Total Mask: 63.49%, Total Tissue: 36.51%
Tiles: 49x32 = 1568
   513 (32.72%) tiles >=80% tissue
   138 ( 8.80%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
112,3,14,13.19,MEDIUM,624,96,672,144,48,48,  41,1.00,0.20,0.0373
115,3,17,27.60,MEDIUM,768,96,816,144,48,48, 327,1.00,0.20,0.2422
162,4,15,55.51,MEDIUM,672,144,720,192,48,48, 311,1.00,0.20,0.5610
163,4,16,51.69,MEDIUM,720,144,768,192,48,48,1351,1.00,0.20,0.5996
164,4,17,97.57,HIGH,768,144,816,192,48,48,2584,1.00,1.00,0.8821
165,4,18,94.14,HIGH,816,144,864,192,48,48,1750,1.00,1.00,0.8687
166,4,19,59.98,MEDIUM,864,144,912,192,48,48, 760,1.00,0.20,0.6441
208,5,12,36.41,MEDIUM,528,192,576,240,48,48, 197,1.00,0.20,0.3291
209,5,13,32.81,MEDIUM,576,192,624,240,48,48, 145,1.00,0.20,0.2679
211,5,15,52.60,MEDIUM,672,192,720,240,48,48, 397,1.00,0.20,0.5483
212,5,16,72.83,MEDIUM,720,192,768,240,48,48,2776,1.00,0.20,0.7703
213,5,17,92.71,HIGH,768,192,816,240,48,48,2096,1.00,1.00,0.8680
214,5,18,93.92,HIGH,816,192,864,240,48,48,2629,1.00,1.00,0.8742
215,5,19,99.26,HIGH,864,192,912,240,48,48,1687,1.00,1.00,0.8798
216,5,20,83.46,HIGH,912,192,960,240,48,48, 872,1.00,1.00,0.8251
253,6,8,24.96,MEDIUM,336,240,384,288,48,48,1726,1.00,0.20,0.2670
254,6,9,75.43,MEDIUM,384,240,432,288,48,48,1579,1.00,0.20,0.7662
255,6,10,95.53,HIGH,432,240,480,288,48,48,2463,1.00,1.00,0.8770
256,6,11,81.42,HIGH,480,240,528,288,48,48,2369,1.00,1.00,0.8374
257,6,12,46.92,MEDIUM,528,240,576,288,48,48, 490,1.00,0.20,0.5028
259,6,14,18.14,MEDIUM,624,240,672,288,48,48, 393,1.00,0.20,0.1259
260,6,15,91.06,HIGH,672,240,720,288,48,48, 566,1.00,1.00,0.8402
261,6,16,95.79,HIGH,720,240,768,288,48,48,2288,1.00,1.00,0.8765
262,6,17,95.88,HIGH,768,240,816,288,48,48, 723,1.00,1.00,0.8582
263,6,18,96.27,HIGH,816,240,864,288,48,48,1959,1.00,1.00,0.8754
264,6,19,99.13,HIGH,864,240,912,288,48,48,1668,1.00,1.00,0.8794
265,6,20,99.22,HIGH,912,240,960,288,48,48,1758,1.00,1.00,0.8803
266,6,21,35.03,MEDIUM,960,240,1008,288,48,48, 911,1.00,0.20,0.3900
279,6,34,27.82,MEDIUM,1584,240,1632,288,48,48,   0,1.00,0.20,0.0000
282,6,37,57.47,MEDIUM,1728,240,1776,288,48,48, 809,1.00,0.20,0.6271
283,6,38,18.45,MEDIUM,1776,240,1824,288,48,48, 657,1.00,0.20,0.1426
301,7,7,19.70,MEDIUM,288,288,336,336,48,48,3543,1.00,0.20,0.2031
302,7,8,93.49,HIGH,336,288,384,336,48,48,5200,1.00,1.00,0.8821
303,7,9,97.66,HIGH,384,288,432,336,48,48,4375,1.00,1.00,0.8888
304,7,10,95.14,HIGH,432,288,480,336,48,48,2623,1.00,1.00,0.8769
305,7,11,91.28,HIGH,480,288,528,336,48,48,1836,1.00,1.00,0.8623
306,7,12,90.54,HIGH,528,288,576,336,48,48, 846,1.00,1.00,0.8468
307,7,13,90.28,HIGH,576,288,624,336,48,48, 891,1.00,1.00,0.8470
308,7,14,60.98,MEDIUM,624,288,672,336,48,48, 843,1.00,0.20,0.6563
309,7,15,91.45,HIGH,672,288,720,336,48,48,1339,1.00,1.00,0.8576
310,7,16,93.53,HIGH,720,288,768,336,48,48,1773,1.00,1.00,0.8675
311,7,17,97.74,HIGH,768,288,816,336,48,48, 682,1.00,1.00,0.8618
312,7,18,99.22,HIGH,816,288,864,336,48,48,1105,1.00,1.00,0.8734
313,7,19,98.83,HIGH,864,288,912,336,48,48,1230,1.00,1.00,0.8742
314,7,20,99.52,HIGH,912,288,960,336,48,48,1576,1.00,1.00,0.8794
315,7,21,63.89,MEDIUM,960,288,1008,336,48,48,1068,1.00,0.20,0.6866
328,7,34,36.68,MEDIUM,1584,288,1632,336,48,48,   0,1.00,0.20,0.0000
329,7,35,14.80,MEDIUM,1632,288,1680,336,48,48, 250,1.00,0.20,0.0793
330,7,36,68.71,MEDIUM,1680,288,1728,336,48,48, 855,1.00,0.20,0.7085
331,7,37,95.36,HIGH,1728,288,1776,336,48,48,1140,1.00,1.00,0.8649
332,7,38,51.82,MEDIUM,1776,288,1824,336,48,48,1136,1.00,0.20,0.5932
350,8,7,82.73,HIGH,288,336,336,384,48,48,2780,1.00,1.00,0.8444
351,8,8,97.66,HIGH,336,336,384,384,48,48,3575,1.00,1.00,0.8864
352,8,9,98.57,HIGH,384,336,432,384,48,48,3525,1.00,1.00,0.8881
353,8,10,99.22,HIGH,432,336,480,384,48,48,3263,1.00,1.00,0.8885
354,8,11,96.09,HIGH,480,336,528,384,48,48,2079,1.00,1.00,0.8759
355,8,12,97.09,HIGH,528,336,576,384,48,48,1488,1.00,1.00,0.8732
356,8,13,99.39,HIGH,576,336,624,384,48,48,2116,0.49,1.00,0.8728
357,8,14,95.27,HIGH,624,336,672,384,48,48,2668,1.00,1.00,0.8775
358,8,15,96.96,HIGH,672,336,720,384,48,48,1700,1.00,1.00,0.8749
359,8,16,99.05,HIGH,720,336,768,384,48,48,1219,1.00,1.00,0.8746
360,8,17,93.92,HIGH,768,336,816,384,48,48, 324,1.00,1.00,0.8362
361,8,18,97.22,HIGH,816,336,864,384,48,48, 500,1.00,1.00,0.8546
362,8,19,99.05,HIGH,864,336,912,384,48,48,1387,1.00,1.00,0.8765
363,8,20,99.48,HIGH,912,336,960,384,48,48,1450,1.00,1.00,0.8781
364,8,21,72.40,MEDIUM,960,336,1008,384,48,48,1469,1.00,0.20,0.7488
377,8,34,67.71,MEDIUM,1584,336,1632,384,48,48,1560,1.00,0.20,0.7248
378,8,35,97.48,HIGH,1632,336,1680,384,48,48,1440,1.00,1.00,0.8736
379,8,36,99.31,HIGH,1680,336,1728,384,48,48,1838,1.00,1.00,0.8811
380,8,37,89.71,HIGH,1728,336,1776,384,48,48, 723,1.00,1.00,0.8413
381,8,38,52.47,MEDIUM,1776,336,1824,384,48,48, 166,1.00,0.20,0.4930
382,8,39,17.23,MEDIUM,1824,336,1872,384,48,48, 202,1.00,0.20,0.0995
398,9,6,55.16,MEDIUM,240,384,288,432,48,48,4189,1.00,0.20,0.6720
399,9,7,92.62,HIGH,288,384,336,432,48,48,4453,1.00,1.00,0.8782
400,9,8,99.31,HIGH,336,384,384,432,48,48,3334,1.00,1.00,0.8889
401,9,9,98.05,HIGH,384,384,432,432,48,48,3111,1.00,1.00,0.8855
402,9,10,98.96,HIGH,432,384,480,432,48,48,3141,1.00,1.00,0.8875
403,9,11,99.52,HIGH,480,384,528,432,48,48,2849,0.49,1.00,0.8776
404,9,12,99.13,HIGH,528,384,576,432,48,48,3131,1.00,1.00,0.8878
405,9,13,99.44,HIGH,576,384,624,432,48,48,3188,0.49,1.00,0.8791
