Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x4512
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x4512
Scaled Tile Size: 48x48
Total Mask: 97.58%, Total Tissue: 2.42%
Tiles: 64x94 = 6016
    98 ( 1.63%) tiles >=80% tissue
   139 ( 2.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
245,4,53,21.79,MEDIUM,2496,144,2544,192,48,48,  35,1.00,0.20,0.0894
246,4,54,29.43,MEDIUM,2544,144,2592,192,48,48,  80,1.00,0.20,0.1969
310,5,54,25.43,MEDIUM,2544,192,2592,240,48,48,  43,1.00,0.20,0.1274
374,6,54,15.54,MEDIUM,2544,240,2592,288,48,48,  80,0.49,0.20,0.0500
439,7,55,14.37,MEDIUM,2592,288,2640,336,48,48,  26,0.49,0.20,0.0255
500,8,52,30.90,MEDIUM,2448,336,2496,384,48,48,  30,1.00,0.20,0.1564
568,9,56,16.58,MEDIUM,2640,384,2688,432,48,48,  39,0.49,0.20,0.0413
632,10,56,27.30,MEDIUM,2640,432,2688,480,48,48,  55,1.00,0.20,0.1564
695,11,55,20.96,MEDIUM,2592,480,2640,528,48,48,  54,1.00,0.20,0.0977
759,12,55,31.16,MEDIUM,2592,528,2640,576,48,48,  32,1.00,0.20,0.1634
760,12,56,25.17,MEDIUM,2640,528,2688,576,48,48,  43,1.00,0.20,0.1256
824,13,56,19.36,MEDIUM,2640,576,2688,624,48,48,  18,1.00,0.20,0.0544
889,14,57,19.75,MEDIUM,2688,624,2736,672,48,48,  27,1.00,0.20,0.0676
954,15,58,15.71,MEDIUM,2736,672,2784,720,48,48,  11,1.00,0.20,0.0277
1081,17,57,22.79,MEDIUM,2688,768,2736,816,48,48,  45,1.00,0.20,0.1071
1145,18,57,27.95,MEDIUM,2688,816,2736,864,48,48,  45,1.00,0.20,0.1523
1273,20,57,22.79,MEDIUM,2688,912,2736,960,48,48,  60,1.00,0.20,0.1176
1402,22,58,20.83,MEDIUM,2736,1008,2784,1056,48,48,  82,1.00,0.20,0.1103
1466,23,58,22.01,MEDIUM,2736,1056,2784,1104,48,48,  33,1.00,0.20,0.0893
1530,24,58,28.12,MEDIUM,2736,1104,2784,1152,48,48, 227,1.00,0.20,0.2329
1658,26,58,15.49,MEDIUM,2736,1200,2784,1248,48,48,  90,1.00,0.20,0.0659
1684,27,20,21.14,MEDIUM,912,1248,960,1296,48,48,   1,1.00,0.20,0.0085
1722,27,58,22.09,MEDIUM,2736,1248,2784,1296,48,48,  94,1.00,0.20,0.1272
1723,27,59,15.76,MEDIUM,2784,1248,2832,1296,48,48, 105,1.00,0.20,0.0712
1787,28,59,29.64,MEDIUM,2784,1296,2832,1344,48,48,  80,1.00,0.20,0.1992
1851,29,59,29.04,MEDIUM,2784,1344,2832,1392,48,48,  36,1.00,0.20,0.1514
1915,30,59,25.26,MEDIUM,2784,1392,2832,1440,48,48,  41,1.00,0.20,0.1239
1979,31,59,21.96,MEDIUM,2784,1440,2832,1488,48,48,  20,1.00,0.20,0.0726
2043,32,59,19.75,MEDIUM,2784,1488,2832,1536,48,48,  44,1.00,0.20,0.0819
2107,33,59,20.14,MEDIUM,2784,1536,2832,1584,48,48,  29,1.00,0.20,0.0724
2170,34,58,27.26,MEDIUM,2736,1584,2784,1632,48,48,  35,1.00,0.20,0.1334
2234,35,58,22.01,MEDIUM,2736,1632,2784,1680,48,48,  43,1.00,0.20,0.0984
2297,36,57,46.79,MEDIUM,2688,1680,2736,1728,48,48,  71,1.00,0.20,0.3728
2345,37,41,33.20,MEDIUM,1920,1728,1968,1776,48,48,   0,1.00,0.20,0.0060
2361,37,57,61.07,MEDIUM,2688,1728,2736,1776,48,48,  21,1.00,0.20,0.3829
2362,37,58,26.17,MEDIUM,2736,1728,2784,1776,48,48, 103,1.00,0.20,0.1738
2363,37,59,17.06,MEDIUM,2784,1728,2832,1776,48,48,  46,1.00,0.20,0.0633
2424,38,56,51.22,MEDIUM,2640,1776,2688,1824,48,48,   0,1.00,0.20,0.0230
2425,38,57,88.45,HIGH,2688,1776,2736,1824,48,48,  40,1.00,1.00,0.7444
2426,38,58,95.92,HIGH,2736,1776,2784,1824,48,48,  77,1.00,1.00,0.8004
2427,38,59,93.66,HIGH,2784,1776,2832,1824,48,48,  65,0.49,1.00,0.7538
2428,38,60,49.05,MEDIUM,2832,1776,2880,1824,48,48,  16,1.00,0.20,0.2541
2487,39,55,18.62,MEDIUM,2592,1824,2640,1872,48,48,   1,0.49,0.20,0.0019
2488,39,56,77.56,MEDIUM,2640,1824,2688,1872,48,48,   0,1.00,0.20,0.0410
2489,39,57,91.36,HIGH,2688,1824,2736,1872,48,48,  60,0.49,1.00,0.7404
2490,39,58,95.62,HIGH,2736,1824,2784,1872,48,48, 102,0.49,1.00,0.7825
2491,39,59,97.96,HIGH,2784,1824,2832,1872,48,48,  91,0.49,1.00,0.7857
2492,39,60,91.88,HIGH,2832,1824,2880,1872,48,48,  45,0.49,1.00,0.7254
2493,39,61,27.91,MEDIUM,2880,1824,2928,1872,48,48,   8,1.00,0.20,0.0693
2551,40,55,36.63,MEDIUM,2592,1872,2640,1920,48,48,   1,1.00,0.20,0.0324
2552,40,56,80.99,HIGH,2640,1872,2688,1920,48,48,  19,1.00,1.00,0.6636
2553,40,57,92.32,HIGH,2688,1872,2736,1920,48,48,  94,0.49,1.00,0.7663
2554,40,58,98.05,HIGH,2736,1872,2784,1920,48,48,  75,0.49,1.00,0.7775
2555,40,59,98.74,HIGH,2784,1872,2832,1920,48,48,  70,0.49,1.00,0.7767
