Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4680x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4680x3240
Scaled Tile Size: 48x48
Total Mask: 92.55%, Total Tissue: 7.45%
Tiles: 98x68 = 6664
   134 ( 2.01%) tiles >=80% tissue
   899 (13.49%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
164,2,66,21.74,MEDIUM,3120,48,3168,96,48,48, 800,1.00,0.20,0.1937
166,2,68,16.02,MEDIUM,3216,48,3264,96,48,48, 813,1.00,0.20,0.1156
206,3,10,19.10,MEDIUM,432,96,480,144,48,48,   0,0.49,0.20,0.0007
207,3,11,25.95,MEDIUM,480,96,528,144,48,48,   2,1.00,0.20,0.0180
249,3,53,19.49,MEDIUM,2496,96,2544,144,48,48, 118,1.00,0.20,0.1084
250,3,54,38.50,MEDIUM,2544,96,2592,144,48,48, 161,1.00,0.20,0.3418
251,3,55,42.01,MEDIUM,2592,96,2640,144,48,48, 374,1.00,0.20,0.4331
252,3,56,52.13,MEDIUM,2640,96,2688,144,48,48,1297,1.00,0.20,0.6018
253,3,57,45.96,MEDIUM,2688,96,2736,144,48,48,1301,1.00,0.20,0.5404
254,3,58,45.75,MEDIUM,2736,96,2784,144,48,48,1784,1.00,0.20,0.5517
255,3,59,48.96,MEDIUM,2784,96,2832,144,48,48,1668,1.00,0.20,0.5822
256,3,60,76.30,MEDIUM,2832,96,2880,144,48,48,1577,1.00,0.20,0.7702
257,3,61,51.69,MEDIUM,2880,96,2928,144,48,48,1127,1.00,0.20,0.5917
258,3,62,24.48,MEDIUM,2928,96,2976,144,48,48, 543,1.00,0.20,0.2196
259,3,63,35.55,MEDIUM,2976,96,3024,144,48,48, 698,1.00,0.20,0.3846
260,3,64,51.78,MEDIUM,3024,96,3072,144,48,48,1131,1.00,0.20,0.5926
261,3,65,85.55,HIGH,3072,96,3120,144,48,48,1943,1.00,1.00,0.8471
