Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2048x2752
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2048x2752
Scaled Tile Size: 48x48
Total Mask: 79.26%, Total Tissue: 20.74%
Tiles: 43x58 = 2494
   258 (10.34%) tiles >=80% tissue
   501 (20.09%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
55,2,12,56.51,MEDIUM,528,48,576,96,48,48,   3,1.00,0.20,0.1165
56,2,13,29.64,MEDIUM,576,48,624,96,48,48,   4,1.00,0.20,0.0464
97,3,11,75.43,MEDIUM,480,96,528,144,48,48,   7,1.00,0.20,0.3250
98,3,12,98.18,HIGH,528,96,576,144,48,48,   0,1.00,1.00,0.2557
99,3,13,79.38,MEDIUM,576,96,624,144,48,48, 136,1.00,0.20,0.6778
112,3,26,28.39,MEDIUM,1200,96,1248,144,48,48,   2,1.00,0.20,0.0243
140,4,11,99.57,HIGH,480,144,528,192,48,48,   6,1.00,1.00,0.6617
141,4,12,69.70,MEDIUM,528,144,576,192,48,48,   0,1.00,0.20,0.0000
142,4,13,70.49,MEDIUM,576,144,624,192,48,48,   0,1.00,0.20,0.0126
143,4,14,59.42,MEDIUM,624,144,672,192,48,48,  25,1.00,0.20,0.3873
154,4,25,85.89,HIGH,1152,144,1200,192,48,48,   2,1.00,1.00,0.4705
155,4,26,98.61,HIGH,1200,144,1248,192,48,48,   3,1.00,1.00,0.5775
156,4,27,85.63,HIGH,1248,144,1296,192,48,48,   2,1.00,1.00,0.4507
182,5,10,40.45,MEDIUM,432,192,480,240,48,48,   3,1.00,0.20,0.0721
183,5,11,95.23,HIGH,480,192,528,240,48,48,   2,1.00,1.00,0.5124
184,5,12,35.11,MEDIUM,528,192,576,240,48,48,   0,1.00,0.20,0.0032
185,5,13,24.18,MEDIUM,576,192,624,240,48,48,   1,1.00,0.20,0.0093
186,5,14,75.95,MEDIUM,624,192,672,240,48,48,   3,1.00,0.20,0.2068
187,5,15,40.10,MEDIUM,672,192,720,240,48,48, 229,1.00,0.20,0.3820
196,5,24,74.61,MEDIUM,1104,192,1152,240,48,48,   3,1.00,0.20,0.1984
197,5,25,94.36,HIGH,1152,192,1200,240,48,48,   0,1.00,1.00,0.0000
198,5,26,75.48,MEDIUM,1200,192,1248,240,48,48,   0,1.00,0.20,0.0021
