Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3648
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x3648
Scaled Tile Size: 48x48
Total Mask: 77.92%, Total Tissue: 22.08%
Tiles: 62x76 = 4712
   601 (12.75%) tiles >=80% tissue
   825 (17.51%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
772,13,28,38.41,MEDIUM,1296,576,1344,624,48,48,   0,1.00,0.20,0.0000
773,13,29,39.63,MEDIUM,1344,576,1392,624,48,48,   0,1.00,0.20,0.0000
774,13,30,43.40,MEDIUM,1392,576,1440,624,48,48,   0,1.00,0.20,0.0000
833,14,27,54.64,MEDIUM,1248,624,1296,672,48,48,   0,1.00,0.20,0.0000
834,14,28,93.53,HIGH,1296,624,1344,672,48,48,   6,0.49,1.00,0.5448
835,14,29,94.10,HIGH,1344,624,1392,672,48,48,   0,1.00,1.00,0.0000
836,14,30,94.97,HIGH,1392,624,1440,672,48,48,   8,1.00,1.00,0.6616
837,14,31,29.21,MEDIUM,1440,624,1488,672,48,48, 190,1.00,0.20,0.2381
894,15,26,20.88,MEDIUM,1200,672,1248,720,48,48,  16,1.00,0.20,0.0582
895,15,27,93.84,HIGH,1248,672,1296,720,48,48,  54,1.00,1.00,0.7792
896,15,28,88.50,HIGH,1296,672,1344,720,48,48,   0,1.00,1.00,0.0000
897,15,29,87.67,HIGH,1344,672,1392,720,48,48,   0,1.00,1.00,0.0000
898,15,30,89.63,HIGH,1392,672,1440,720,48,48, 675,1.00,1.00,0.8396
899,15,31,79.69,MEDIUM,1440,672,1488,720,48,48,1462,1.00,0.20,0.7830
902,15,34,14.80,MEDIUM,1584,672,1632,720,48,48,   0,1.00,0.20,0.0000
956,16,26,78.73,MEDIUM,1200,720,1248,768,48,48, 119,1.00,0.20,0.6657
957,16,27,95.79,HIGH,1248,720,1296,768,48,48,  68,0.49,1.00,0.7647
958,16,28,81.55,HIGH,1296,720,1344,768,48,48,   0,1.00,1.00,0.0000
959,16,29,83.81,HIGH,1344,720,1392,768,48,48,   0,1.00,1.00,0.0000
960,16,30,70.79,MEDIUM,1392,720,1440,768,48,48, 582,1.00,0.20,0.7049
961,16,31,45.96,MEDIUM,1440,720,1488,768,48,48, 852,1.00,0.20,0.5208
962,16,32,38.06,MEDIUM,1488,720,1536,768,48,48,   0,1.00,0.20,0.0000
963,16,33,80.64,HIGH,1536,720,1584,768,48,48,   0,1.00,1.00,0.0000
964,16,34,75.17,MEDIUM,1584,720,1632,768,48,48,   0,1.00,0.20,0.0000
965,16,35,56.38,MEDIUM,1632,720,1680,768,48,48,   0,1.00,0.20,0.0000
