Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 744x696
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 744x696
Scaled Tile Size: 48x48
Total Mask: 72.99%, Total Tissue: 27.01%
Tiles: 16x15 = 240
    51 (21.25%) tiles >=80% tissue
    22 ( 9.17%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
36,3,4,49.48,MEDIUM,144,96,192,144,48,48, 123,1.00,0.20,0.4423
37,3,5,64.76,MEDIUM,192,96,240,144,48,48, 169,1.00,0.20,0.5980
38,3,6,70.75,MEDIUM,240,96,288,144,48,48, 215,1.00,0.20,0.6544
39,3,7,58.25,MEDIUM,288,96,336,144,48,48,  76,1.00,0.20,0.4860
40,3,8,33.94,MEDIUM,336,96,384,144,48,48,  67,1.00,0.20,0.2352
41,3,9,25.95,MEDIUM,384,96,432,144,48,48,  42,1.00,0.20,0.1311
51,4,3,43.45,MEDIUM,96,144,144,192,48,48,  24,1.00,0.20,0.2493
52,4,4,98.31,HIGH,144,144,192,192,48,48, 542,1.00,1.00,0.8589
53,4,5,92.06,HIGH,192,144,240,192,48,48,2024,1.00,1.00,0.8658
54,4,6,99.91,HIGH,240,144,288,192,48,48,2118,1.00,1.00,0.8843
55,4,7,99.44,HIGH,288,144,336,192,48,48,1772,1.00,1.00,0.8809
56,4,8,99.22,HIGH,336,144,384,192,48,48,2215,1.00,1.00,0.8835
57,4,9,99.61,HIGH,384,144,432,192,48,48,1849,1.00,1.00,0.8819
58,4,10,99.48,HIGH,432,144,480,192,48,48,1236,1.00,1.00,0.8757
59,4,11,88.80,HIGH,480,144,528,192,48,48,1386,1.00,1.00,0.8509
60,4,12,60.94,MEDIUM,528,144,576,192,48,48, 783,1.00,0.20,0.6527
68,5,4,96.57,HIGH,144,192,192,240,48,48,  39,1.00,1.00,0.7749
69,5,5,98.13,HIGH,192,192,240,240,48,48, 368,1.00,1.00,0.8506
70,5,6,98.44,HIGH,240,192,288,240,48,48,1369,1.00,1.00,0.8750
71,5,7,99.74,HIGH,288,192,336,240,48,48,1455,1.00,1.00,0.8787
72,5,8,99.52,HIGH,336,192,384,240,48,48,1780,1.00,1.00,0.8811
73,5,9,99.22,HIGH,384,192,432,240,48,48,1692,1.00,1.00,0.8798
74,5,10,99.18,HIGH,432,192,480,240,48,48,4058,1.00,1.00,0.8910
75,5,11,98.57,HIGH,480,192,528,240,48,48,1463,1.00,1.00,0.8763
76,5,12,99.57,HIGH,528,192,576,240,48,48,2242,1.00,1.00,0.8844
77,5,13,59.46,MEDIUM,576,192,624,240,48,48, 413,1.00,0.20,0.6101
84,6,4,75.82,MEDIUM,144,240,192,288,48,48,   1,1.00,0.20,0.0529
85,6,5,99.09,HIGH,192,240,240,288,48,48,   3,0.49,1.00,0.4858
86,6,6,96.74,HIGH,240,240,288,288,48,48,  42,1.00,1.00,0.7783
87,6,7,99.05,HIGH,288,240,336,288,48,48, 176,1.00,1.00,0.8355
88,6,8,99.57,HIGH,336,240,384,288,48,48, 564,1.00,1.00,0.8627
89,6,9,92.45,HIGH,384,240,432,288,48,48,  20,1.00,1.00,0.7211
90,6,10,99.18,HIGH,432,240,480,288,48,48, 162,1.00,1.00,0.8336
91,6,11,98.87,HIGH,480,240,528,288,48,48, 344,1.00,1.00,0.8510
92,6,12,99.83,HIGH,528,240,576,288,48,48,1693,1.00,1.00,0.8811
93,6,13,61.76,MEDIUM,576,240,624,288,48,48, 615,1.00,0.20,0.6477
100,7,4,47.57,MEDIUM,144,288,192,336,48,48,   0,1.00,0.20,0.0000
101,7,5,98.05,HIGH,192,288,240,336,48,48,   2,1.00,1.00,0.4805
102,7,6,96.18,HIGH,240,288,288,336,48,48,  26,1.00,1.00,0.7535
103,7,7,97.18,HIGH,288,288,336,336,48,48,  97,1.00,1.00,0.8125
104,7,8,83.64,HIGH,336,288,384,336,48,48,  40,1.00,1.00,0.7219
105,7,9,84.29,HIGH,384,288,432,336,48,48,  28,1.00,1.00,0.7050
106,7,10,98.57,HIGH,432,288,480,336,48,48,  40,1.00,1.00,0.7831
107,7,11,99.13,HIGH,480,288,528,336,48,48,  20,1.00,1.00,0.7494
108,7,12,98.78,HIGH,528,288,576,336,48,48,  18,1.00,1.00,0.7418
109,7,13,54.38,MEDIUM,576,288,624,336,48,48,  14,1.00,0.20,0.2862
117,8,5,80.82,HIGH,192,336,240,384,48,48,   3,1.00,1.00,0.4870
118,8,6,99.18,HIGH,240,336,288,384,48,48,   5,1.00,1.00,0.6386
119,8,7,98.91,HIGH,288,336,336,384,48,48,   4,1.00,1.00,0.5997
120,8,8,97.09,HIGH,336,336,384,384,48,48,   3,1.00,1.00,0.5662
121,8,9,95.62,HIGH,384,336,432,384,48,48,   8,1.00,1.00,0.6714
122,8,10,98.57,HIGH,432,336,480,384,48,48,  10,1.00,1.00,0.6989
123,8,11,84.90,HIGH,480,336,528,384,48,48,   2,1.00,1.00,0.4496
124,8,12,51.00,MEDIUM,528,336,576,384,48,48,   0,1.00,0.20,0.0129
133,9,5,16.54,MEDIUM,192,384,240,432,48,48,   0,1.00,0.20,0.0006
134,9,6,90.76,HIGH,240,384,288,432,48,48,   1,1.00,1.00,0.3433
135,9,7,99.00,HIGH,288,384,336,432,48,48,   2,1.00,1.00,0.5490
136,9,8,98.00,HIGH,336,384,384,432,48,48,   2,1.00,1.00,0.4838
137,9,9,96.79,HIGH,384,384,432,432,48,48,   4,1.00,1.00,0.6062
138,9,10,68.79,MEDIUM,432,384,480,432,48,48,   0,1.00,0.20,0.0263
150,10,6,60.72,MEDIUM,240,432,288,480,48,48,  34,1.00,0.20,0.4316
151,10,7,95.10,HIGH,288,432,336,480,48,48,  28,1.00,1.00,0.7520
152,10,8,86.11,HIGH,336,432,384,480,48,48, 183,1.00,1.00,0.7946
153,10,9,88.76,HIGH,384,432,432,480,48,48, 145,1.00,1.00,0.7970
154,10,10,20.53,MEDIUM,432,432,480,480,48,48,   0,1.00,0.20,0.0038
167,11,7,89.45,HIGH,288,480,336,528,48,48,   1,1.00,1.00,0.3968
168,11,8,94.66,HIGH,336,480,384,528,48,48,  14,1.00,1.00,0.7072
169,11,9,46.40,MEDIUM,384,480,432,528,48,48, 795,1.00,0.20,0.5221
183,12,7,18.01,MEDIUM,288,528,336,576,48,48,   1,1.00,0.20,0.0050
184,12,8,95.40,HIGH,336,528,384,576,48,48,   0,1.00,1.00,0.1832
185,12,9,90.71,HIGH,384,528,432,576,48,48,   2,1.00,1.00,0.4728
200,13,8,51.17,MEDIUM,336,576,384,624,48,48,   0,1.00,0.20,0.0097
201,13,9,56.34,MEDIUM,384,576,432,624,48,48,   0,1.00,0.20,0.0061
