Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1024x1120
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1024x1120
Scaled Tile Size: 48x48
Total Mask: 69.19%, Total Tissue: 30.81%
Tiles: 22x24 = 528
   114 (21.59%) tiles >=80% tissue
    89 (16.86%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
72,4,6,57.94,MEDIUM,240,144,288,192,48,48,  11,1.00,0.20,0.2782
73,4,7,94.66,HIGH,288,144,336,192,48,48,  27,1.00,1.00,0.7482
74,4,8,37.89,MEDIUM,336,144,384,192,48,48,1680,1.00,0.20,0.4552
83,4,17,38.15,MEDIUM,768,144,816,192,48,48,  47,1.00,0.20,0.2542
93,5,5,56.81,MEDIUM,192,192,240,240,48,48,  36,1.00,0.20,0.4043
94,5,6,95.40,HIGH,240,192,288,240,48,48,   4,1.00,1.00,0.5984
95,5,7,90.84,HIGH,288,192,336,240,48,48,  82,1.00,1.00,0.7847
96,5,8,65.76,MEDIUM,336,192,384,240,48,48,  63,1.00,0.20,0.5304
97,5,9,67.10,MEDIUM,384,192,432,240,48,48, 313,1.00,0.20,0.6515
102,5,14,65.23,MEDIUM,624,192,672,240,48,48,  47,1.00,0.20,0.4998
103,5,15,94.44,HIGH,672,192,720,240,48,48,  23,1.00,1.00,0.7395
104,5,16,94.23,HIGH,720,192,768,240,48,48,  11,1.00,1.00,0.6913
105,5,17,66.49,MEDIUM,768,192,816,240,48,48,  68,1.00,0.20,0.5427
106,5,18,56.25,MEDIUM,816,192,864,240,48,48,  12,1.00,0.20,0.2755
115,6,5,96.92,HIGH,192,240,240,288,48,48,  10,1.00,1.00,0.6924
116,6,6,97.35,HIGH,240,240,288,288,48,48, 135,0.49,1.00,0.7995
117,6,7,89.45,HIGH,288,240,336,288,48,48,   1,1.00,1.00,0.2814
118,6,8,90.19,HIGH,336,240,384,288,48,48,   0,1.00,1.00,0.2388
119,6,9,57.38,MEDIUM,384,240,432,288,48,48,   5,1.00,0.20,0.1768
