Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x4768
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x4768
Scaled Tile Size: 48x48
Total Mask: 91.46%, Total Tissue: 8.54%
Tiles: 59x100 = 5900
   262 ( 4.44%) tiles >=80% tissue
   502 ( 8.51%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
15,1,15,24.52,MEDIUM,672,0,720,48,48,48,   0,1.00,0.20,0.0000
16,1,16,28.69,MEDIUM,720,0,768,48,48,48,  13,1.00,0.20,0.0962
41,1,41,30.21,MEDIUM,1920,0,1968,48,48,48,   0,1.00,0.20,0.0000
42,1,42,69.84,MEDIUM,1968,0,2016,48,48,48,1640,1.00,0.20,0.7387
43,1,43,90.80,HIGH,2016,0,2064,48,48,48, 455,1.00,1.00,0.8346
44,1,44,50.95,MEDIUM,2064,0,2112,48,48,48,  13,1.00,0.20,0.2492
73,2,14,28.86,MEDIUM,624,48,672,96,48,48,1992,1.00,0.20,0.3329
74,2,15,15.54,MEDIUM,672,48,720,96,48,48,   0,1.00,0.20,0.0022
99,2,40,35.98,MEDIUM,1872,48,1920,96,48,48, 143,1.00,0.20,0.3047
100,2,41,73.61,MEDIUM,1920,48,1968,96,48,48, 115,1.00,0.20,0.6325
101,2,42,64.67,MEDIUM,1968,48,2016,96,48,48, 103,1.00,0.20,0.5625
131,3,13,45.96,MEDIUM,576,96,624,144,48,48, 740,1.00,0.20,0.5139
132,3,14,24.13,MEDIUM,624,96,672,144,48,48, 533,1.00,0.20,0.2141
155,3,37,17.62,MEDIUM,1728,96,1776,144,48,48, 212,1.00,0.20,0.1048
156,3,38,50.04,MEDIUM,1776,96,1824,144,48,48,   5,1.00,0.20,0.1390
157,3,39,33.90,MEDIUM,1824,96,1872,144,48,48,   6,1.00,0.20,0.0843
158,3,40,25.48,MEDIUM,1872,96,1920,144,48,48, 397,1.00,0.20,0.2216
189,4,12,37.93,MEDIUM,528,144,576,192,48,48,2913,1.00,0.20,0.4782
190,4,13,47.48,MEDIUM,576,144,624,192,48,48,  98,1.00,0.20,0.4053
212,4,35,16.15,MEDIUM,1632,144,1680,192,48,48,  11,1.00,0.20,0.0293
213,4,36,21.70,MEDIUM,1680,144,1728,192,48,48,  10,1.00,0.20,0.0504
214,4,37,24.57,MEDIUM,1728,144,1776,192,48,48,   1,1.00,0.20,0.0110
248,5,12,19.92,MEDIUM,528,192,576,240,48,48,2557,1.00,0.20,0.1985
434,8,21,31.60,MEDIUM,960,336,1008,384,48,48,  33,1.00,0.20,0.1683
446,8,33,44.75,MEDIUM,1536,336,1584,384,48,48,1805,1.00,0.20,0.5412
447,8,34,21.01,MEDIUM,1584,336,1632,384,48,48,1736,1.00,0.20,0.2053
448,8,35,28.73,MEDIUM,1632,336,1680,384,48,48,2179,1.00,0.20,0.3342
505,9,33,22.53,MEDIUM,1536,384,1584,432,48,48, 173,1.00,0.20,0.1535
506,9,34,54.08,MEDIUM,1584,384,1632,432,48,48, 186,1.00,0.20,0.5159
507,9,35,88.80,HIGH,1632,384,1680,432,48,48, 427,1.00,1.00,0.8269
508,9,36,81.42,HIGH,1680,384,1728,432,48,48, 908,1.00,1.00,0.8187
509,9,37,75.35,MEDIUM,1728,384,1776,432,48,48,1033,1.00,0.20,0.7518
510,9,38,58.20,MEDIUM,1776,384,1824,432,48,48, 191,1.00,0.20,0.5540
511,9,39,16.32,MEDIUM,1824,384,1872,432,48,48, 503,1.00,0.20,0.1096
512,9,40,20.40,MEDIUM,1872,384,1920,432,48,48,  87,1.00,0.20,0.1081
513,9,41,21.14,MEDIUM,1920,384,1968,432,48,48,  24,1.00,0.20,0.0735
547,10,16,19.53,MEDIUM,720,432,768,480,48,48, 118,0.49,0.20,0.0880
565,10,34,16.54,MEDIUM,1584,432,1632,480,48,48, 142,0.49,0.20,0.0687
566,10,35,33.07,MEDIUM,1632,432,1680,480,48,48,  42,1.00,0.20,0.1967
567,10,36,56.86,MEDIUM,1680,432,1728,480,48,48,  13,1.00,0.20,0.2930
568,10,37,83.38,HIGH,1728,432,1776,480,48,48, 441,1.00,1.00,0.8090
569,10,38,81.64,HIGH,1776,432,1824,480,48,48, 947,1.00,1.00,0.8204
570,10,39,95.23,HIGH,1824,432,1872,480,48,48, 774,0.49,1.00,0.8434
571,10,40,93.06,HIGH,1872,432,1920,480,48,48, 626,1.00,1.00,0.8480
572,10,41,95.49,HIGH,1920,432,1968,480,48,48, 171,1.00,1.00,0.8244
573,10,42,28.12,MEDIUM,1968,432,2016,480,48,48,  14,1.00,0.20,0.0943
606,11,16,27.00,MEDIUM,720,480,768,528,48,48,  32,1.00,0.20,0.1272
627,11,37,24.39,MEDIUM,1728,480,1776,528,48,48,   0,1.00,0.20,0.0000
628,11,38,55.99,MEDIUM,1776,480,1824,528,48,48,  52,1.00,0.20,0.4326
629,11,39,74.31,MEDIUM,1824,480,1872,528,48,48,1203,1.00,0.20,0.7518
630,11,40,97.05,HIGH,1872,480,1920,528,48,48, 671,0.49,1.00,0.8452
631,11,41,99.87,HIGH,1920,480,1968,528,48,48, 526,0.49,1.00,0.8471
632,11,42,95.79,HIGH,1968,480,2016,528,48,48, 221,1.00,1.00,0.8322
633,11,43,68.53,MEDIUM,2016,480,2064,528,48,48, 106,1.00,0.20,0.5930
634,11,44,33.81,MEDIUM,2064,480,2112,528,48,48,  19,1.00,0.20,0.1518
688,12,39,32.34,MEDIUM,1824,528,1872,576,48,48,   0,1.00,0.20,0.0000
689,12,40,79.86,MEDIUM,1872,528,1920,576,48,48,   2,1.00,0.20,0.1452
690,12,41,95.14,HIGH,1920,528,1968,576,48,48, 962,0.49,1.00,0.8479
691,12,42,99.74,HIGH,1968,528,2016,576,48,48,1360,0.49,1.00,0.8661
692,12,43,98.70,HIGH,2016,528,2064,576,48,48, 819,0.49,1.00,0.8538
693,12,44,96.96,HIGH,2064,528,2112,576,48,48, 369,1.00,1.00,0.8475
694,12,45,97.48,HIGH,2112,528,2160,576,48,48, 244,1.00,1.00,0.8395
695,12,46,99.74,HIGH,2160,528,2208,576,48,48,  71,0.49,1.00,0.7809
696,12,47,80.43,HIGH,2208,528,2256,576,48,48,  11,1.00,1.00,0.6184
746,13,38,66.45,MEDIUM,1776,576,1824,624,48,48,  67,1.00,0.20,0.5403
747,13,39,16.67,MEDIUM,1824,576,1872,624,48,48,   0,1.00,0.20,0.0000
748,13,40,47.53,MEDIUM,1872,576,1920,624,48,48,   0,1.00,0.20,0.0000
749,13,41,79.47,MEDIUM,1920,576,1968,624,48,48,   0,1.00,0.20,0.0160
750,13,42,90.19,HIGH,1968,576,2016,624,48,48,  64,1.00,1.00,0.7724
751,13,43,91.45,HIGH,2016,576,2064,624,48,48, 208,1.00,1.00,0.8171
752,13,44,95.62,HIGH,2064,576,2112,624,48,48, 121,1.00,1.00,0.8145
753,13,45,99.83,HIGH,2112,576,2160,624,48,48, 417,0.49,1.00,0.8414
754,13,46,99.78,HIGH,2160,576,2208,624,48,48, 298,0.49,1.00,0.8324
755,13,47,99.78,HIGH,2208,576,2256,624,48,48, 184,0.49,1.00,0.8179
756,13,48,70.49,MEDIUM,2256,576,2304,624,48,48,  29,1.00,0.20,0.4894
805,14,38,50.13,MEDIUM,1776,624,1824,672,48,48,  59,1.00,0.20,0.3909
808,14,41,50.13,MEDIUM,1920,624,1968,672,48,48,   2,1.00,0.20,0.0878
809,14,42,63.06,MEDIUM,1968,624,2016,672,48,48,   0,1.00,0.20,0.0000
810,14,43,67.75,MEDIUM,2016,624,2064,672,48,48,   0,1.00,0.20,0.0000
811,14,44,88.98,HIGH,2064,624,2112,672,48,48,   6,1.00,1.00,0.6051
812,14,45,96.92,HIGH,2112,624,2160,672,48,48, 187,0.49,1.00,0.8097
813,14,46,99.44,HIGH,2160,624,2208,672,48,48, 261,0.49,1.00,0.8278
814,14,47,99.91,HIGH,2208,624,2256,672,48,48, 702,0.49,1.00,0.8537
815,14,48,98.57,HIGH,2256,624,2304,672,48,48, 371,0.49,1.00,0.8350
816,14,49,16.71,MEDIUM,2304,624,2352,672,48,48,   6,1.00,0.20,0.0208
868,15,42,56.81,MEDIUM,1968,672,2016,720,48,48,   0,1.00,0.20,0.0077
869,15,43,36.85,MEDIUM,2016,672,2064,720,48,48,   0,1.00,0.20,0.0000
870,15,44,32.99,MEDIUM,2064,672,2112,720,48,48,   0,1.00,0.20,0.0000
871,15,45,68.53,MEDIUM,2112,672,2160,720,48,48,   7,1.00,0.20,0.2957
872,15,46,77.17,MEDIUM,2160,672,2208,720,48,48,  39,1.00,0.20,0.5641
873,15,47,87.85,HIGH,2208,672,2256,720,48,48, 393,1.00,1.00,0.8218
874,15,48,93.71,HIGH,2256,672,2304,720,48,48, 348,0.49,1.00,0.8188
875,15,49,64.76,MEDIUM,2304,672,2352,720,48,48,  99,1.00,0.20,0.5598
876,15,50,18.62,MEDIUM,2352,672,2400,720,48,48,  30,1.00,0.20,0.0628
927,16,42,23.31,MEDIUM,1968,720,2016,768,48,48,   0,1.00,0.20,0.0000
928,16,43,42.27,MEDIUM,2016,720,2064,768,48,48,   0,1.00,0.20,0.0000
929,16,44,41.93,MEDIUM,2064,720,2112,768,48,48,   0,1.00,0.20,0.0000
930,16,45,58.38,MEDIUM,2112,720,2160,768,48,48,  13,1.00,0.20,0.3016
931,16,46,55.56,MEDIUM,2160,720,2208,768,48,48,   4,1.00,0.20,0.1442
932,16,47,55.51,MEDIUM,2208,720,2256,768,48,48,   0,1.00,0.20,0.0000
933,16,48,58.07,MEDIUM,2256,720,2304,768,48,48,   0,1.00,0.20,0.0000
934,16,49,52.73,MEDIUM,2304,720,2352,768,48,48,  19,1.00,0.20,0.3058
935,16,50,57.25,MEDIUM,2352,720,2400,768,48,48, 211,1.00,0.20,0.5524
985,17,41,18.40,MEDIUM,1920,768,1968,816,48,48,   0,1.00,0.20,0.0000
986,17,42,47.57,MEDIUM,1968,768,2016,816,48,48,  48,1.00,0.20,0.3476
987,17,43,42.27,MEDIUM,2016,768,2064,816,48,48,  82,1.00,0.20,0.3384
988,17,44,24.52,MEDIUM,2064,768,2112,816,48,48,   0,1.00,0.20,0.0000
990,17,46,23.70,MEDIUM,2160,768,2208,816,48,48,   5,1.00,0.20,0.0389
992,17,48,51.43,MEDIUM,2256,768,2304,816,48,48,   4,1.00,0.20,0.1321
994,17,50,46.09,MEDIUM,2352,768,2400,816,48,48, 438,1.00,0.20,0.4879
995,17,51,32.12,MEDIUM,2400,768,2448,816,48,48,  71,1.00,0.20,0.2188
1052,18,49,31.08,MEDIUM,2304,816,2352,864,48,48, 130,1.00,0.20,0.2416
1053,18,50,45.57,MEDIUM,2352,816,2400,864,48,48, 412,1.00,0.20,0.4788
1054,18,51,28.91,MEDIUM,2400,816,2448,864,48,48,  15,1.00,0.20,0.1036
1111,19,49,49.87,MEDIUM,2304,864,2352,912,48,48,  64,1.00,0.20,0.3944
1169,20,48,22.31,MEDIUM,2256,912,2304,960,48,48,  23,1.00,0.20,0.0796
1170,20,49,20.92,MEDIUM,2304,912,2352,960,48,48,  29,1.00,0.20,0.0772
1283,22,44,26.82,MEDIUM,2064,1008,2112,1056,48,48,  59,1.00,0.20,0.1552
1284,22,45,16.58,MEDIUM,2112,1008,2160,1056,48,48,  27,0.49,0.20,0.0346
1503,26,28,22.92,MEDIUM,1296,1200,1344,1248,48,48, 549,1.00,0.20,0.1982
1558,27,24,15.71,MEDIUM,1104,1248,1152,1296,48,48,1537,1.00,0.20,0.1240
1562,27,28,26.13,MEDIUM,1296,1248,1344,1296,48,48,1108,1.00,0.20,0.2696
1611,28,18,15.45,MEDIUM,816,1296,864,1344,48,48,   7,0.49,0.20,0.0122
1617,28,24,44.44,MEDIUM,1104,1296,1152,1344,48,48,1217,1.00,0.20,0.5206
1619,28,26,27.82,MEDIUM,1200,1296,1248,1344,48,48, 702,1.00,0.20,0.2771
1620,28,27,61.98,MEDIUM,1248,1296,1296,1344,48,48,1365,1.00,0.20,0.6832
1671,29,19,29.30,MEDIUM,864,1344,912,1392,48,48,   0,1.00,0.20,0.0077
1672,29,20,27.26,MEDIUM,912,1344,960,1392,48,48,   0,1.00,0.20,0.0015
1674,29,22,31.73,MEDIUM,1008,1344,1056,1392,48,48,  54,1.00,0.20,0.1990
1675,29,23,54.04,MEDIUM,1056,1344,1104,1392,48,48, 414,1.00,0.20,0.5639
1676,29,24,80.69,HIGH,1104,1344,1152,1392,48,48,1264,1.00,1.00,0.8230
1677,29,25,67.10,MEDIUM,1152,1344,1200,1392,48,48,1639,1.00,0.20,0.7229
1678,29,26,57.07,MEDIUM,1200,1344,1248,1392,48,48,1069,1.00,0.20,0.6362
1730,30,19,36.72,MEDIUM,864,1392,912,1440,48,48,   0,1.00,0.20,0.0010
1731,30,20,60.03,MEDIUM,912,1392,960,1440,48,48, 255,1.00,0.20,0.5875
1732,30,21,77.34,MEDIUM,960,1392,1008,1440,48,48, 847,1.00,0.20,0.7545
