Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 96.98%, Total Tissue: 3.02%
Tiles: 70x200 = 14000
   366 ( 2.61%) tiles >=80% tissue
   125 ( 0.89%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2752,40,22,43.62,MEDIUM,1008,1872,1056,1920,48,48,  23,1.00,0.20,0.2482
2753,40,23,99.74,HIGH,1056,1872,1104,1920,48,48, 229,1.00,1.00,0.8440
2754,40,24,75.30,MEDIUM,1104,1872,1152,1920,48,48, 412,1.00,0.20,0.7150
2755,40,25,27.04,MEDIUM,1152,1872,1200,1920,48,48,1019,1.00,0.20,0.2801
2821,41,21,19.97,MEDIUM,960,1920,1008,1968,48,48,   8,1.00,0.20,0.0376
2822,41,22,99.39,HIGH,1008,1920,1056,1968,48,48,  39,1.00,1.00,0.7843
2823,41,23,97.14,HIGH,1056,1920,1104,1968,48,48, 196,1.00,1.00,0.8329
2824,41,24,95.96,HIGH,1104,1920,1152,1968,48,48, 171,1.00,1.00,0.8258
2825,41,25,98.57,HIGH,1152,1920,1200,1968,48,48, 249,1.00,1.00,0.8428
2826,41,26,62.93,MEDIUM,1200,1920,1248,1968,48,48,1308,1.00,0.20,0.6881
2892,42,22,57.20,MEDIUM,1008,1968,1056,2016,48,48,  22,1.00,0.20,0.3534
2893,42,23,96.79,HIGH,1056,1968,1104,2016,48,48,  78,1.00,1.00,0.8038
2894,42,24,90.06,HIGH,1104,1968,1152,2016,48,48, 104,1.00,1.00,0.7904
2895,42,25,94.92,HIGH,1152,1968,1200,2016,48,48, 109,1.00,1.00,0.8091
2896,42,26,90.36,HIGH,1200,1968,1248,2016,48,48, 227,1.00,1.00,0.8159
2897,42,27,47.83,MEDIUM,1248,1968,1296,2016,48,48, 805,1.00,0.20,0.5379
2961,43,21,14.24,MEDIUM,960,2016,1008,2064,48,48, 465,1.00,0.20,0.0843
2962,43,22,75.13,MEDIUM,1008,2016,1056,2064,48,48,  32,1.00,0.20,0.5304
2963,43,23,98.48,HIGH,1056,2016,1104,2064,48,48,  48,1.00,1.00,0.7903
2964,43,24,95.66,HIGH,1104,2016,1152,2064,48,48,  80,1.00,1.00,0.8006
2965,43,25,94.70,HIGH,1152,2016,1200,2064,48,48, 122,1.00,1.00,0.8118
2966,43,26,91.45,HIGH,1200,2016,1248,2064,48,48, 235,1.00,1.00,0.8204
2967,43,27,90.10,HIGH,1248,2016,1296,2064,48,48, 534,1.00,1.00,0.8361
2968,43,28,36.37,MEDIUM,1296,2016,1344,2064,48,48,1282,1.00,0.20,0.4234
3030,44,20,29.21,MEDIUM,912,2064,960,2112,48,48, 140,1.00,0.20,0.2233
3031,44,21,64.80,MEDIUM,960,2064,1008,2112,48,48,  53,1.00,0.20,0.5071
3032,44,22,83.94,HIGH,1008,2064,1056,2112,48,48,  50,1.00,1.00,0.7344
3033,44,23,95.49,HIGH,1056,2064,1104,2112,48,48,  72,1.00,1.00,0.7966
3034,44,24,94.62,HIGH,1104,2064,1152,2112,48,48, 112,1.00,1.00,0.8088
3035,44,25,96.70,HIGH,1152,2064,1200,2112,48,48, 213,1.00,1.00,0.8339
3036,44,26,99.74,HIGH,1200,2064,1248,2112,48,48, 759,1.00,1.00,0.8684
3037,44,27,99.70,HIGH,1248,2064,1296,2112,48,48,1340,1.00,1.00,0.8774
3038,44,28,99.26,HIGH,1296,2064,1344,2112,48,48, 855,1.00,1.00,0.8693
3039,44,29,28.17,MEDIUM,1344,2064,1392,2112,48,48,1238,1.00,0.20,0.3044
3099,45,19,28.43,MEDIUM,864,2112,912,2160,48,48,   7,1.00,0.20,0.0662
3100,45,20,75.69,MEDIUM,912,2112,960,2160,48,48,  97,1.00,0.20,0.6334
3101,45,21,72.83,MEDIUM,960,2112,1008,2160,48,48, 261,1.00,0.20,0.6783
3102,45,22,98.52,HIGH,1008,2112,1056,2160,48,48, 119,1.00,1.00,0.8228
3103,45,23,96.88,HIGH,1056,2112,1104,2160,48,48,  42,1.00,1.00,0.7790
3104,45,24,96.57,HIGH,1104,2112,1152,2160,48,48,  56,1.00,1.00,0.7901
3105,45,25,99.57,HIGH,1152,2112,1200,2160,48,48, 100,1.00,1.00,0.8206
3106,45,26,99.83,HIGH,1200,2112,1248,2160,48,48,1033,1.00,1.00,0.8737
3107,45,27,99.83,HIGH,1248,2112,1296,2160,48,48,1498,1.00,1.00,0.8793
3108,45,28,99.87,HIGH,1296,2112,1344,2160,48,48, 942,1.00,1.00,0.8723
3109,45,29,69.31,MEDIUM,1344,2112,1392,2160,48,48, 722,1.00,0.20,0.7052
3169,46,19,51.00,MEDIUM,864,2160,912,2208,48,48,  20,1.00,0.20,0.2937
3170,46,20,86.85,HIGH,912,2160,960,2208,48,48,  65,1.00,1.00,0.7599
3171,46,21,89.37,HIGH,960,2160,1008,2208,48,48, 116,1.00,1.00,0.7919
3172,46,22,96.53,HIGH,1008,2160,1056,2208,48,48,  85,1.00,1.00,0.8057
3173,46,23,98.05,HIGH,1056,2160,1104,2208,48,48,  63,1.00,1.00,0.7998
3174,46,24,98.26,HIGH,1104,2160,1152,2208,48,48,  86,1.00,1.00,0.8117
3175,46,25,99.00,HIGH,1152,2160,1200,2208,48,48, 112,1.00,1.00,0.8226
3176,46,26,99.91,HIGH,1200,2160,1248,2208,48,48,1147,1.00,1.00,0.8755
3177,46,27,99.83,HIGH,1248,2160,1296,2208,48,48,1649,1.00,1.00,0.8807
3178,46,28,99.78,HIGH,1296,2160,1344,2208,48,48,1291,1.00,1.00,0.8770
3179,46,29,87.37,HIGH,1344,2160,1392,2208,48,48, 834,1.00,1.00,0.8370
3239,47,19,93.66,HIGH,864,2208,912,2256,48,48,  25,1.00,1.00,0.7419
3240,47,20,94.75,HIGH,912,2208,960,2256,48,48,  81,1.00,1.00,0.7980
3241,47,21,97.14,HIGH,960,2208,1008,2256,48,48,  86,1.00,1.00,0.8082
3242,47,22,98.26,HIGH,1008,2208,1056,2256,48,48, 110,1.00,1.00,0.8197
3243,47,23,98.70,HIGH,1056,2208,1104,2256,48,48,  86,1.00,1.00,0.8130
3244,47,24,97.09,HIGH,1104,2208,1152,2256,48,48,  93,1.00,1.00,0.8105
3245,47,25,99.61,HIGH,1152,2208,1200,2256,48,48, 278,1.00,1.00,0.8482
3246,47,26,100.00,HIGH,1200,2208,1248,2256,48,48,1234,1.00,1.00,0.8768
3247,47,27,99.91,HIGH,1248,2208,1296,2256,48,48,1503,1.00,1.00,0.8796
3248,47,28,99.78,HIGH,1296,2208,1344,2256,48,48,1267,1.00,1.00,0.8768
3249,47,29,92.36,HIGH,1344,2208,1392,2256,48,48,1029,1.00,1.00,0.8554
3309,48,19,63.93,MEDIUM,864,2256,912,2304,48,48,  18,1.00,0.20,0.3814
3310,48,20,56.64,MEDIUM,912,2256,960,2304,48,48,  83,1.00,0.20,0.4794
3311,48,21,96.83,HIGH,960,2256,1008,2304,48,48, 106,1.00,1.00,0.8141
3312,48,22,97.35,HIGH,1008,2256,1056,2304,48,48, 269,1.00,1.00,0.8414
3313,48,23,98.00,HIGH,1056,2256,1104,2304,48,48, 127,1.00,1.00,0.8233
3314,48,24,98.65,HIGH,1104,2256,1152,2304,48,48,  77,1.00,1.00,0.8090
3315,48,25,99.57,HIGH,1152,2256,1200,2304,48,48, 709,1.00,1.00,0.8668
3316,48,26,99.83,HIGH,1200,2256,1248,2304,48,48,1180,1.00,1.00,0.8758
3317,48,27,99.65,HIGH,1248,2256,1296,2304,48,48,1391,1.00,1.00,0.8779
3318,48,28,99.74,HIGH,1296,2256,1344,2304,48,48,1165,1.00,1.00,0.8754
3319,48,29,69.88,MEDIUM,1344,2256,1392,2304,48,48, 821,1.00,0.20,0.7138
3381,49,21,96.18,HIGH,960,2304,1008,2352,48,48,  89,1.00,1.00,0.8063
3382,49,22,97.14,HIGH,1008,2304,1056,2352,48,48, 137,1.00,1.00,0.8230
3383,49,23,97.70,HIGH,1056,2304,1104,2352,48,48,  85,1.00,1.00,0.8096
3384,49,24,98.83,HIGH,1104,2304,1152,2352,48,48,  70,1.00,1.00,0.8065
3385,49,25,99.87,HIGH,1152,2304,1200,2352,48,48, 404,1.00,1.00,0.8569
3386,49,26,97.40,HIGH,1200,2304,1248,2352,48,48,1375,1.00,1.00,0.8727
3387,49,27,97.83,HIGH,1248,2304,1296,2352,48,48,1354,1.00,1.00,0.8734
3388,49,28,100.00,HIGH,1296,2304,1344,2352,48,48, 823,1.00,1.00,0.8704
3389,49,29,93.62,HIGH,1344,2304,1392,2352,48,48, 864,1.00,1.00,0.8556
3449,50,19,35.24,MEDIUM,864,2352,912,2400,48,48,  19,1.00,0.20,0.1636
3450,50,20,54.60,MEDIUM,912,2352,960,2400,48,48,  33,1.00,0.20,0.3780
3451,50,21,97.87,HIGH,960,2352,1008,2400,48,48, 108,1.00,1.00,0.8180
3452,50,22,98.70,HIGH,1008,2352,1056,2400,48,48, 126,1.00,1.00,0.8251
3453,50,23,98.52,HIGH,1056,2352,1104,2400,48,48,  96,1.00,1.00,0.8160
3454,50,24,98.05,HIGH,1104,2352,1152,2400,48,48,  95,1.00,1.00,0.8143
3455,50,25,98.87,HIGH,1152,2352,1200,2400,48,48,1453,1.00,1.00,0.8768
3456,50,26,99.96,HIGH,1200,2352,1248,2400,48,48,1319,1.00,1.00,0.8777
3457,50,27,99.96,HIGH,1248,2352,1296,2400,48,48,1158,1.00,1.00,0.8758
3458,50,28,99.96,HIGH,1296,2352,1344,2400,48,48, 753,1.00,1.00,0.8688
3459,50,29,89.63,HIGH,1344,2352,1392,2400,48,48, 939,1.00,1.00,0.8461
3519,51,19,69.62,MEDIUM,864,2400,912,2448,48,48,  30,1.00,0.20,0.4857
3520,51,20,91.15,HIGH,912,2400,960,2448,48,48,  46,1.00,1.00,0.7622
3521,51,21,96.01,HIGH,960,2400,1008,2448,48,48, 320,1.00,1.00,0.8418
3522,51,22,98.91,HIGH,1008,2400,1056,2448,48,48, 137,1.00,1.00,0.8281
3523,51,23,98.09,HIGH,1056,2400,1104,2448,48,48, 215,1.00,1.00,0.8380
3524,51,24,99.05,HIGH,1104,2400,1152,2448,48,48, 111,1.00,1.00,0.8223
3525,51,25,99.74,HIGH,1152,2400,1200,2448,48,48, 625,1.00,1.00,0.8650
3526,51,26,100.00,HIGH,1200,2400,1248,2448,48,48,1355,1.00,1.00,0.8782
3527,51,27,99.96,HIGH,1248,2400,1296,2448,48,48,1024,1.00,1.00,0.8738
3528,51,28,99.87,HIGH,1296,2400,1344,2448,48,48,1081,1.00,1.00,0.8745
3529,51,29,66.84,MEDIUM,1344,2400,1392,2448,48,48, 866,1.00,0.20,0.6975
3589,52,19,81.16,HIGH,864,2448,912,2496,48,48,  40,1.00,1.00,0.7099
3590,52,20,97.14,HIGH,912,2448,960,2496,48,48,  95,1.00,1.00,0.8114
