Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2356x2200
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2356x2200
Scaled Tile Size: 48x48
Total Mask: 74.84%, Total Tissue: 25.16%
Tiles: 50x46 = 2300
   495 (21.52%) tiles >=80% tissue
   179 ( 7.78%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
138,3,38,33.85,MEDIUM,1776,96,1824,144,48,48,1692,1.00,0.20,0.4004
139,3,39,51.91,MEDIUM,1824,96,1872,144,48,48, 579,1.00,0.20,0.5620
140,3,40,52.60,MEDIUM,1872,96,1920,144,48,48, 684,1.00,0.20,0.5768
141,3,41,52.86,MEDIUM,1920,96,1968,144,48,48, 371,1.00,0.20,0.5469
142,3,42,51.43,MEDIUM,1968,96,2016,144,48,48, 564,1.00,0.20,0.5560
183,4,33,28.56,MEDIUM,1536,144,1584,192,48,48, 482,1.00,0.20,0.2719
184,4,34,62.54,MEDIUM,1584,144,1632,192,48,48, 588,1.00,0.20,0.6513
185,4,35,68.32,MEDIUM,1632,144,1680,192,48,48, 473,1.00,0.20,0.6804
186,4,36,92.53,HIGH,1680,144,1728,192,48,48, 384,1.00,1.00,0.8360
187,4,37,98.39,HIGH,1728,144,1776,192,48,48,1571,1.00,1.00,0.8769
188,4,38,99.09,HIGH,1776,144,1824,192,48,48,1775,1.00,1.00,0.8802
189,4,39,99.35,HIGH,1824,144,1872,192,48,48,1093,1.00,1.00,0.8735
190,4,40,99.48,HIGH,1872,144,1920,192,48,48,2151,1.00,1.00,0.8836
191,4,41,99.70,HIGH,1920,144,1968,192,48,48,1636,1.00,1.00,0.8803
192,4,42,99.57,HIGH,1968,144,2016,192,48,48,1231,1.00,1.00,0.8759
193,4,43,99.61,HIGH,2016,144,2064,192,48,48, 669,1.00,1.00,0.8659
194,4,44,89.97,HIGH,2064,144,2112,192,48,48, 506,1.00,1.00,0.8345
195,4,45,40.80,MEDIUM,2112,144,2160,192,48,48, 420,1.00,0.20,0.4252
231,5,31,42.53,MEDIUM,1440,192,1488,240,48,48, 433,1.00,0.20,0.4473
232,5,32,85.59,HIGH,1488,192,1536,240,48,48, 894,1.00,1.00,0.8328
233,5,33,93.01,HIGH,1536,192,1584,240,48,48,1942,1.00,1.00,0.8676
234,5,34,99.22,HIGH,1584,192,1632,240,48,48,2430,1.00,1.00,0.8847
235,5,35,99.22,HIGH,1632,192,1680,240,48,48, 867,1.00,1.00,0.8695
236,5,36,99.39,HIGH,1680,192,1728,240,48,48, 472,1.00,1.00,0.8588
237,5,37,99.74,HIGH,1728,192,1776,240,48,48,1068,1.00,1.00,0.8740
238,5,38,99.57,HIGH,1776,192,1824,240,48,48, 603,1.00,1.00,0.8639
239,5,39,99.00,HIGH,1824,192,1872,240,48,48, 343,1.00,1.00,0.8513
240,5,40,99.31,HIGH,1872,192,1920,240,48,48, 831,1.00,1.00,0.8690
241,5,41,99.61,HIGH,1920,192,1968,240,48,48, 738,1.00,1.00,0.8676
242,5,42,99.44,HIGH,1968,192,2016,240,48,48,1768,1.00,1.00,0.8809
243,5,43,99.52,HIGH,2016,192,2064,240,48,48, 960,1.00,1.00,0.8718
244,5,44,99.87,HIGH,2064,192,2112,240,48,48,  52,0.49,1.00,0.7661
245,5,45,99.52,HIGH,2112,192,2160,240,48,48, 137,1.00,1.00,0.8298
246,5,46,87.72,HIGH,2160,192,2208,240,48,48, 249,1.00,1.00,0.8094
279,6,29,61.24,MEDIUM,1344,240,1392,288,48,48, 241,1.00,0.20,0.5937
280,6,30,94.27,HIGH,1392,240,1440,288,48,48, 388,1.00,1.00,0.8413
281,6,31,99.87,HIGH,1440,240,1488,288,48,48, 940,1.00,1.00,0.8723
282,6,32,99.52,HIGH,1488,240,1536,288,48,48,2034,1.00,1.00,0.8830
283,6,33,98.22,HIGH,1536,240,1584,288,48,48,1483,1.00,1.00,0.8757
284,6,34,99.22,HIGH,1584,240,1632,288,48,48,4305,1.00,1.00,0.8917
285,6,35,99.57,HIGH,1632,240,1680,288,48,48,1833,1.00,1.00,0.8816
286,6,36,99.44,HIGH,1680,240,1728,288,48,48,1028,1.00,1.00,0.8727
287,6,37,99.44,HIGH,1728,240,1776,288,48,48, 252,1.00,1.00,0.8455
288,6,38,99.48,HIGH,1776,240,1824,288,48,48, 885,1.00,1.00,0.8704
289,6,39,98.87,HIGH,1824,240,1872,288,48,48,1507,1.00,1.00,0.8774
290,6,40,99.65,HIGH,1872,240,1920,288,48,48, 693,1.00,1.00,0.8666
291,6,41,97.96,HIGH,1920,240,1968,288,48,48, 658,1.00,1.00,0.8617
292,6,42,99.18,HIGH,1968,240,2016,288,48,48, 556,1.00,1.00,0.8615
293,6,43,99.44,HIGH,2016,240,2064,288,48,48, 115,1.00,1.00,0.8245
294,6,44,92.23,HIGH,2064,240,2112,288,48,48,  11,1.00,1.00,0.6766
295,6,45,89.24,HIGH,2112,240,2160,288,48,48,  48,1.00,1.00,0.7564
296,6,46,94.84,HIGH,2160,240,2208,288,48,48,  21,1.00,1.00,0.7358
297,6,47,98.18,HIGH,2208,240,2256,288,48,48, 268,1.00,1.00,0.8436
325,7,25,24.52,MEDIUM,1152,288,1200,336,48,48, 133,1.00,0.20,0.1663
326,7,26,54.51,MEDIUM,1200,288,1248,336,48,48, 262,1.00,0.20,0.5418
327,7,27,90.15,HIGH,1248,288,1296,336,48,48, 442,1.00,1.00,0.8320
328,7,28,99.70,HIGH,1296,288,1344,336,48,48, 565,1.00,1.00,0.8630
329,7,29,99.61,HIGH,1344,288,1392,336,48,48,1217,1.00,1.00,0.8758
330,7,30,99.74,HIGH,1392,288,1440,336,48,48,1278,1.00,1.00,0.8768
331,7,31,99.48,HIGH,1440,288,1488,336,48,48,1352,1.00,1.00,0.8771
332,7,32,99.48,HIGH,1488,288,1536,336,48,48,1733,1.00,1.00,0.8807
333,7,33,99.48,HIGH,1536,288,1584,336,48,48,1148,1.00,1.00,0.8746
334,7,34,99.74,HIGH,1584,288,1632,336,48,48,2764,1.00,1.00,0.8874
335,7,35,99.31,HIGH,1632,288,1680,336,48,48, 830,1.00,1.00,0.8689
336,7,36,99.70,HIGH,1680,288,1728,336,48,48, 266,1.00,1.00,0.8474
337,7,37,98.78,HIGH,1728,288,1776,336,48,48,  84,1.00,1.00,0.8126
338,7,38,96.53,HIGH,1776,288,1824,336,48,48,  21,1.00,1.00,0.7430
339,7,39,99.18,HIGH,1824,288,1872,336,48,48,  22,1.00,1.00,0.7562
340,7,40,97.01,HIGH,1872,288,1920,336,48,48,  70,1.00,1.00,0.8003
341,7,41,89.02,HIGH,1920,288,1968,336,48,48,  69,1.00,1.00,0.7708
342,7,42,86.81,HIGH,1968,288,2016,336,48,48,  31,1.00,1.00,0.7239
343,7,43,81.77,HIGH,2016,288,2064,336,48,48,   9,1.00,1.00,0.6091
344,7,44,96.05,HIGH,2064,288,2112,336,48,48,  27,1.00,1.00,0.7553
345,7,45,96.09,HIGH,2112,288,2160,336,48,48,  39,1.00,1.00,0.7733
346,7,46,86.11,HIGH,2160,288,2208,336,48,48,  21,1.00,1.00,0.6965
347,7,47,66.15,MEDIUM,2208,288,2256,336,48,48,  29,1.00,0.20,0.4551
373,8,23,65.02,MEDIUM,1056,336,1104,384,48,48, 323,1.00,0.20,0.6388
374,8,24,98.65,HIGH,1104,336,1152,384,48,48, 660,1.00,1.00,0.8634
375,8,25,99.87,HIGH,1152,336,1200,384,48,48, 977,1.00,1.00,0.8729
376,8,26,99.70,HIGH,1200,336,1248,384,48,48,1113,1.00,1.00,0.8746
377,8,27,99.78,HIGH,1248,336,1296,384,48,48,1217,1.00,1.00,0.8762
378,8,28,99.87,HIGH,1296,336,1344,384,48,48, 938,0.49,1.00,0.8595
379,8,29,99.26,HIGH,1344,336,1392,384,48,48,1470,1.00,1.00,0.8778
380,8,30,98.57,HIGH,1392,336,1440,384,48,48, 596,1.00,1.00,0.8613
