Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2784
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x2784
Scaled Tile Size: 48x48
Total Mask: 76.07%, Total Tissue: 23.93%
Tiles: 59x58 = 3422
   614 (17.94%) tiles >=80% tissue
   441 (12.89%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
161,3,43,15.10,MEDIUM,2016,96,2064,144,48,48,   0,1.00,0.20,0.0000
220,4,43,51.74,MEDIUM,2016,144,2064,192,48,48,   2,1.00,0.20,0.0716
221,4,44,23.35,MEDIUM,2064,144,2112,192,48,48,   0,1.00,0.20,0.0000
228,4,51,13.11,MEDIUM,2400,144,2448,192,48,48,   0,1.00,0.20,0.0000
229,4,52,21.48,MEDIUM,2448,144,2496,192,48,48,   0,1.00,0.20,0.0000
230,4,53,21.09,MEDIUM,2496,144,2544,192,48,48,   0,1.00,0.20,0.0000
279,5,43,53.82,MEDIUM,2016,192,2064,240,48,48,   0,1.00,0.20,0.0000
280,5,44,44.84,MEDIUM,2064,192,2112,240,48,48,   0,1.00,0.20,0.0000
281,5,45,46.01,MEDIUM,2112,192,2160,240,48,48,   0,1.00,0.20,0.0000
282,5,46,54.64,MEDIUM,2160,192,2208,240,48,48,   0,1.00,0.20,0.0262
283,5,47,53.12,MEDIUM,2208,192,2256,240,48,48,   0,1.00,0.20,0.0000
284,5,48,52.43,MEDIUM,2256,192,2304,240,48,48,   0,1.00,0.20,0.0000
285,5,49,74.35,MEDIUM,2304,192,2352,240,48,48,   0,1.00,0.20,0.0000
286,5,50,78.26,MEDIUM,2352,192,2400,240,48,48,   0,1.00,0.20,0.0000
287,5,51,90.41,HIGH,2400,192,2448,240,48,48,   0,1.00,1.00,0.0000
288,5,52,95.70,HIGH,2448,192,2496,240,48,48,   0,1.00,1.00,0.0000
289,5,53,80.86,HIGH,2496,192,2544,240,48,48,   0,1.00,1.00,0.0000
310,6,15,19.44,MEDIUM,672,240,720,288,48,48,   0,1.00,0.20,0.0000
311,6,16,38.85,MEDIUM,720,240,768,288,48,48,   0,1.00,0.20,0.0000
312,6,17,30.90,MEDIUM,768,240,816,288,48,48,   0,1.00,0.20,0.0000
314,6,19,22.35,MEDIUM,864,240,912,288,48,48,   0,1.00,0.20,0.0000
316,6,21,53.04,MEDIUM,960,240,1008,288,48,48,   1,1.00,0.20,0.0329
317,6,22,50.56,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0000
318,6,23,31.47,MEDIUM,1056,240,1104,288,48,48,   1,1.00,0.20,0.0235
337,6,42,26.52,MEDIUM,1968,240,2016,288,48,48,   0,1.00,0.20,0.0000
338,6,43,67.14,MEDIUM,2016,240,2064,288,48,48,   2,1.00,0.20,0.1472
339,6,44,57.81,MEDIUM,2064,240,2112,288,48,48,   0,1.00,0.20,0.0000
340,6,45,65.41,MEDIUM,2112,240,2160,288,48,48,   0,1.00,0.20,0.0000
341,6,46,70.92,MEDIUM,2160,240,2208,288,48,48,   0,1.00,0.20,0.0000
342,6,47,61.20,MEDIUM,2208,240,2256,288,48,48,   0,1.00,0.20,0.0000
343,6,48,77.39,MEDIUM,2256,240,2304,288,48,48,   0,1.00,0.20,0.0000
344,6,49,80.56,HIGH,2304,240,2352,288,48,48,   0,1.00,1.00,0.0000
345,6,50,90.93,HIGH,2352,240,2400,288,48,48,   0,1.00,1.00,0.0000
346,6,51,94.05,HIGH,2400,240,2448,288,48,48,   0,1.00,1.00,0.0990
347,6,52,96.31,HIGH,2448,240,2496,288,48,48,   0,0.49,1.00,0.0000
348,6,53,67.80,MEDIUM,2496,240,2544,288,48,48,   1,1.00,0.20,0.0505
364,7,10,34.03,MEDIUM,432,288,480,336,48,48,   0,1.00,0.20,0.0000
365,7,11,19.05,MEDIUM,480,288,528,336,48,48,   0,1.00,0.20,0.0000
368,7,14,55.03,MEDIUM,624,288,672,336,48,48,   0,1.00,0.20,0.0000
369,7,15,77.91,MEDIUM,672,288,720,336,48,48,   0,1.00,0.20,0.0154
370,7,16,80.34,HIGH,720,288,768,336,48,48,   0,1.00,1.00,0.0000
371,7,17,82.29,HIGH,768,288,816,336,48,48,   0,1.00,1.00,0.0000
372,7,18,85.03,HIGH,816,288,864,336,48,48,   0,1.00,1.00,0.0000
373,7,19,90.32,HIGH,864,288,912,336,48,48,   2,1.00,1.00,0.4724
374,7,20,93.71,HIGH,912,288,960,336,48,48,   1,1.00,1.00,0.3247
375,7,21,96.27,HIGH,960,288,1008,336,48,48,   3,1.00,1.00,0.5379
376,7,22,97.87,HIGH,1008,288,1056,336,48,48,   0,1.00,1.00,0.0000
377,7,23,95.10,HIGH,1056,288,1104,336,48,48,   1,1.00,1.00,0.2887
395,7,41,27.39,MEDIUM,1920,288,1968,336,48,48,   0,1.00,0.20,0.0000
396,7,42,63.59,MEDIUM,1968,288,2016,336,48,48,   0,1.00,0.20,0.0000
397,7,43,68.01,MEDIUM,2016,288,2064,336,48,48,   0,1.00,0.20,0.0000
398,7,44,68.32,MEDIUM,2064,288,2112,336,48,48,   0,1.00,0.20,0.0119
399,7,45,74.48,MEDIUM,2112,288,2160,336,48,48,   0,1.00,0.20,0.0000
400,7,46,72.44,MEDIUM,2160,288,2208,336,48,48,   0,1.00,0.20,0.0000
401,7,47,69.40,MEDIUM,2208,288,2256,336,48,48,   0,1.00,0.20,0.0000
402,7,48,90.10,HIGH,2256,288,2304,336,48,48,   0,1.00,1.00,0.0000
403,7,49,94.23,HIGH,2304,288,2352,336,48,48,   0,1.00,1.00,0.0000
404,7,50,89.54,HIGH,2352,288,2400,336,48,48,   4,1.00,1.00,0.5562
405,7,51,94.57,HIGH,2400,288,2448,336,48,48,   3,1.00,1.00,0.5349
406,7,52,98.52,HIGH,2448,288,2496,336,48,48,   0,0.49,1.00,0.1451
407,7,53,53.26,MEDIUM,2496,288,2544,336,48,48,   1,1.00,0.20,0.0678
423,8,10,67.66,MEDIUM,432,336,480,384,48,48,   0,1.00,0.20,0.0000
427,8,14,56.55,MEDIUM,624,336,672,384,48,48,   0,1.00,0.20,0.0000
428,8,15,74.91,MEDIUM,672,336,720,384,48,48,   0,1.00,0.20,0.0000
429,8,16,78.86,MEDIUM,720,336,768,384,48,48,   0,1.00,0.20,0.0000
430,8,17,78.34,MEDIUM,768,336,816,384,48,48,   0,1.00,0.20,0.0019
431,8,18,84.16,HIGH,816,336,864,384,48,48,   0,1.00,1.00,0.0000
432,8,19,90.58,HIGH,864,336,912,384,48,48,   0,1.00,1.00,0.2438
433,8,20,94.53,HIGH,912,336,960,384,48,48,   0,1.00,1.00,0.0995
434,8,21,93.92,HIGH,960,336,1008,384,48,48,   0,1.00,1.00,0.2098
435,8,22,96.35,HIGH,1008,336,1056,384,48,48,   1,1.00,1.00,0.4555
436,8,23,97.27,HIGH,1056,336,1104,384,48,48,   0,1.00,1.00,0.2036
454,8,41,45.96,MEDIUM,1920,336,1968,384,48,48,   0,1.00,0.20,0.0000
455,8,42,61.68,MEDIUM,1968,336,2016,384,48,48,   0,1.00,0.20,0.0000
456,8,43,77.82,MEDIUM,2016,336,2064,384,48,48,   0,1.00,0.20,0.0000
457,8,44,76.87,MEDIUM,2064,336,2112,384,48,48,   0,1.00,0.20,0.0000
458,8,45,68.36,MEDIUM,2112,336,2160,384,48,48,   0,1.00,0.20,0.0000
459,8,46,75.78,MEDIUM,2160,336,2208,384,48,48,   0,1.00,0.20,0.0000
460,8,47,58.55,MEDIUM,2208,336,2256,384,48,48,   0,1.00,0.20,0.0000
461,8,48,80.08,HIGH,2256,336,2304,384,48,48,   3,1.00,1.00,0.4891
462,8,49,92.88,HIGH,2304,336,2352,384,48,48,   1,1.00,1.00,0.4306
463,8,50,90.49,HIGH,2352,336,2400,384,48,48,   1,1.00,1.00,0.4181
464,8,51,95.01,HIGH,2400,336,2448,384,48,48,   0,1.00,1.00,0.0000
465,8,52,98.78,HIGH,2448,336,2496,384,48,48,   0,1.00,1.00,0.0000
482,9,10,33.64,MEDIUM,432,384,480,432,48,48,   0,1.00,0.20,0.0000
486,9,14,22.18,MEDIUM,624,384,672,432,48,48,   0,1.00,0.20,0.0000
487,9,15,68.92,MEDIUM,672,384,720,432,48,48,   0,1.00,0.20,0.0000
488,9,16,72.35,MEDIUM,720,384,768,432,48,48,   0,1.00,0.20,0.0133
489,9,17,79.43,MEDIUM,768,384,816,432,48,48,   0,1.00,0.20,0.0537
490,9,18,85.07,HIGH,816,384,864,432,48,48,   0,1.00,1.00,0.0000
491,9,19,85.33,HIGH,864,384,912,432,48,48,   0,1.00,1.00,0.0000
492,9,20,93.14,HIGH,912,384,960,432,48,48,   0,1.00,1.00,0.0000
493,9,21,93.06,HIGH,960,384,1008,432,48,48,   0,1.00,1.00,0.0000
494,9,22,92.32,HIGH,1008,384,1056,432,48,48,   0,1.00,1.00,0.0713
