Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x4512
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x4512
Scaled Tile Size: 48x48
Total Mask: 89.51%, Total Tissue: 10.49%
Tiles: 62x94 = 5828
   473 ( 8.12%) tiles >=80% tissue
   318 ( 5.46%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
396,7,24,20.10,MEDIUM,1104,288,1152,336,48,48,   0,1.00,0.20,0.0029
397,7,25,24.96,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0036
398,7,26,37.63,MEDIUM,1200,288,1248,336,48,48,   0,1.00,0.20,0.0044
399,7,27,29.99,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0015
400,7,28,30.69,MEDIUM,1296,288,1344,336,48,48,   0,1.00,0.20,0.0035
454,8,20,17.32,MEDIUM,912,336,960,384,48,48,   0,1.00,0.20,0.0025
456,8,22,28.69,MEDIUM,1008,336,1056,384,48,48,   2,1.00,0.20,0.0213
457,8,23,77.21,MEDIUM,1056,336,1104,384,48,48,   3,1.00,0.20,0.2122
458,8,24,92.93,HIGH,1104,336,1152,384,48,48,   2,1.00,1.00,0.4587
459,8,25,95.53,HIGH,1152,336,1200,384,48,48,   2,1.00,1.00,0.4898
460,8,26,96.66,HIGH,1200,336,1248,384,48,48,   5,1.00,1.00,0.6157
461,8,27,78.91,MEDIUM,1248,336,1296,384,48,48,   2,1.00,0.20,0.1642
462,8,28,88.41,HIGH,1296,336,1344,384,48,48,   5,1.00,1.00,0.5777
463,8,29,90.97,HIGH,1344,336,1392,384,48,48,   5,1.00,1.00,0.5907
464,8,30,96.92,HIGH,1392,336,1440,384,48,48,   5,1.00,1.00,0.6179
465,8,31,95.88,HIGH,1440,336,1488,384,48,48,   6,1.00,1.00,0.6377
466,8,32,30.60,MEDIUM,1488,336,1536,384,48,48,  13,1.00,0.20,0.1052
