Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12704
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5544x12704
Scaled Tile Size: 48x48
Total Mask: 99.16%, Total Tissue: 0.84%
Tiles: 116x265 = 30740
     2 ( 0.01%) tiles >=80% tissue
   730 ( 2.37%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1705,15,81,20.23,MEDIUM,3840,672,3888,720,48,48,   9,1.00,0.20,0.0401
2379,21,59,51.48,MEDIUM,2784,960,2832,1008,48,48,   1,1.00,0.20,0.0648
2380,21,60,53.12,MEDIUM,2832,960,2880,1008,48,48,   2,1.00,0.20,0.0934
2494,22,58,37.11,MEDIUM,2736,1008,2784,1056,48,48, 440,1.00,0.20,0.3820
2495,22,59,53.91,MEDIUM,2784,1008,2832,1056,48,48,   3,1.00,0.20,0.1085
2496,22,60,27.00,MEDIUM,2832,1008,2880,1056,48,48,   1,1.00,0.20,0.0128
2608,23,56,31.03,MEDIUM,2640,1056,2688,1104,48,48,   9,1.00,0.20,0.0902
2609,23,57,32.29,MEDIUM,2688,1056,2736,1104,48,48,  64,1.00,0.20,0.2146
2610,23,58,77.21,MEDIUM,2736,1056,2784,1104,48,48,  28,1.00,0.20,0.5307
2611,23,59,57.77,MEDIUM,2784,1056,2832,1104,48,48,   4,1.00,0.20,0.1598
2612,23,60,15.32,MEDIUM,2832,1056,2880,1104,48,48,   1,1.00,0.20,0.0046
2613,23,61,30.12,MEDIUM,2880,1056,2928,1104,48,48,   2,1.00,0.20,0.0237
2723,24,55,62.76,MEDIUM,2592,1104,2640,1152,48,48,   9,1.00,0.20,0.2842
2724,24,56,73.87,MEDIUM,2640,1104,2688,1152,48,48,  26,1.00,0.20,0.4991
2725,24,57,15.67,MEDIUM,2688,1104,2736,1152,48,48,   1,1.00,0.20,0.0036
2726,24,58,66.28,MEDIUM,2736,1104,2784,1152,48,48,  11,1.00,0.20,0.3340
2727,24,59,71.31,MEDIUM,2784,1104,2832,1152,48,48, 214,1.00,0.20,0.6579
2728,24,60,59.20,MEDIUM,2832,1104,2880,1152,48,48,  18,1.00,0.20,0.3488
2729,24,61,26.30,MEDIUM,2880,1104,2928,1152,48,48,   3,1.00,0.20,0.0313
2839,25,55,75.56,MEDIUM,2592,1152,2640,1200,48,48,   1,1.00,0.20,0.1239
2840,25,56,56.47,MEDIUM,2640,1152,2688,1200,48,48,   4,1.00,0.20,0.1500
2842,25,58,19.57,MEDIUM,2736,1152,2784,1200,48,48,   2,1.00,0.20,0.0121
2843,25,59,49.26,MEDIUM,2784,1152,2832,1200,48,48,   9,1.00,0.20,0.2020
2844,25,60,61.46,MEDIUM,2832,1152,2880,1200,48,48,  12,1.00,0.20,0.3144
2845,25,61,55.64,MEDIUM,2880,1152,2928,1200,48,48,   6,1.00,0.20,0.1967
2846,25,62,30.86,MEDIUM,2928,1152,2976,1200,48,48,   1,1.00,0.20,0.0230
