Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4241x2353
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 4241x2353
Scaled Tile Size: 48x48
Total Mask: 99.19%, Total Tissue: 0.81%
Tiles: 89x50 = 4450
     2 ( 0.04%) tiles >=80% tissue
   104 ( 2.34%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1178,14,21,32.42,MEDIUM,960,624,1008,672,48,48, 242,1.00,0.20,0.2907
1262,15,16,17.58,MEDIUM,720,672,768,720,48,48, 138,0.49,0.20,0.0764
1265,15,19,27.56,MEDIUM,864,672,912,720,48,48, 134,0.49,0.20,0.1674
1266,15,20,18.32,MEDIUM,912,672,960,720,48,48,  37,1.00,0.20,0.0668
1314,15,68,17.40,MEDIUM,3216,672,3264,720,48,48, 113,0.49,0.20,0.0701
1315,15,69,17.75,MEDIUM,3264,672,3312,720,48,48, 378,0.49,0.20,0.1029
1347,16,12,32.99,MEDIUM,528,720,576,768,48,48,  96,0.49,0.20,0.2034
1351,16,16,21.48,MEDIUM,720,720,768,768,48,48,1438,0.49,0.20,0.1861
1352,16,17,26.65,MEDIUM,768,720,816,768,48,48, 641,1.00,0.20,0.2567
1353,16,18,35.98,MEDIUM,816,720,864,768,48,48, 410,0.49,0.20,0.3249
1398,16,63,14.93,MEDIUM,2976,720,3024,768,48,48,1392,0.49,0.20,0.0989
1399,16,64,17.71,MEDIUM,3024,720,3072,768,48,48, 681,0.49,0.20,0.1167
1400,16,65,20.79,MEDIUM,3072,720,3120,768,48,48, 735,0.49,0.20,0.1565
1401,16,66,18.14,MEDIUM,3120,720,3168,768,48,48, 972,0.49,0.20,0.1307
1402,16,67,12.80,MEDIUM,3168,720,3216,768,48,48, 535,0.49,0.20,0.0612
1435,17,11,11.33,MEDIUM,480,768,528,816,48,48, 118,0.49,0.20,0.0314
1436,17,12,16.06,MEDIUM,528,768,576,816,48,48, 199,0.49,0.20,0.0723
1438,17,14,29.90,MEDIUM,624,768,672,816,48,48, 880,1.00,0.20,0.3164
1439,17,15,37.28,MEDIUM,672,768,720,816,48,48,1078,1.00,0.20,0.4278
1486,17,62,32.90,MEDIUM,2928,768,2976,816,48,48, 508,1.00,0.20,0.3339
1523,18,10,41.15,MEDIUM,432,816,480,864,48,48,  83,0.49,0.20,0.2723
1524,18,11,75.56,MEDIUM,480,816,528,864,48,48, 517,1.00,0.20,0.7263
1525,18,12,39.93,MEDIUM,528,816,576,864,48,48, 330,0.49,0.20,0.3586
1526,18,13,48.61,MEDIUM,576,816,624,864,48,48, 306,0.49,0.20,0.4480
1527,18,14,44.14,MEDIUM,624,816,672,864,48,48, 258,1.00,0.20,0.4358
1572,18,59,25.56,MEDIUM,2784,816,2832,864,48,48,11491,0.49,0.20,0.3147
1574,18,61,25.04,MEDIUM,2880,816,2928,864,48,48, 552,0.49,0.20,0.2010
1612,19,10,66.15,MEDIUM,432,864,480,912,48,48,1247,1.00,0.20,0.7073
1613,19,11,37.85,MEDIUM,480,864,528,912,48,48,1858,1.00,0.20,0.4589
1614,19,12,31.60,MEDIUM,528,864,576,912,48,48,1121,1.00,0.20,0.3510
1615,19,13,25.78,MEDIUM,576,864,624,912,48,48, 769,1.00,0.20,0.2510
1624,19,22,19.44,MEDIUM,1008,864,1056,912,48,48, 125,1.00,0.20,0.1096
1625,19,23,15.76,MEDIUM,1056,864,1104,912,48,48, 171,1.00,0.20,0.0812
1670,19,68,12.46,MEDIUM,3216,864,3264,912,48,48, 471,0.49,0.20,0.0564
1671,19,69,26.43,MEDIUM,3264,864,3312,912,48,48, 902,1.00,0.20,0.2665
1672,19,70,24.52,MEDIUM,3312,864,3360,912,48,48,1381,0.49,0.20,0.2281
1673,19,71,20.05,MEDIUM,3360,864,3408,912,48,48,1366,0.49,0.20,0.1647
1674,19,72,22.05,MEDIUM,3408,864,3456,912,48,48, 971,0.49,0.20,0.1816
1706,20,15,14.11,MEDIUM,672,912,720,960,48,48,  60,1.00,0.20,0.0485
1707,20,16,15.71,MEDIUM,720,912,768,960,48,48,  22,1.00,0.20,0.0401
1709,20,18,24.31,MEDIUM,816,912,864,960,48,48, 152,1.00,0.20,0.1692
1710,20,19,34.07,MEDIUM,864,912,912,960,48,48, 256,1.00,0.20,0.3146
1711,20,20,73.87,MEDIUM,912,912,960,960,48,48, 231,1.00,0.20,0.6777
1712,20,21,60.29,MEDIUM,960,912,1008,960,48,48, 211,1.00,0.20,0.5777
1713,20,22,90.19,HIGH,1008,912,1056,960,48,48, 294,0.49,1.00,0.8020
1714,20,23,76.43,MEDIUM,1056,912,1104,960,48,48, 327,0.49,0.20,0.6714
1715,20,24,59.29,MEDIUM,1104,912,1152,960,48,48, 201,0.49,0.20,0.5158
1757,20,66,12.85,MEDIUM,3120,912,3168,960,48,48, 483,0.49,0.20,0.0602
1758,20,67,14.76,MEDIUM,3168,912,3216,960,48,48,1311,0.49,0.20,0.0958
1792,21,12,28.43,MEDIUM,528,960,576,1008,48,48,  83,1.00,0.20,0.1882
1793,21,13,53.73,MEDIUM,576,960,624,1008,48,48, 223,1.00,0.20,0.5243
1794,21,14,78.60,MEDIUM,624,960,672,1008,48,48, 119,1.00,0.20,0.6649
1795,21,15,94.66,HIGH,672,960,720,1008,48,48, 123,0.49,1.00,0.7867
1796,21,16,76.69,MEDIUM,720,960,768,1008,48,48,  76,0.49,0.20,0.5569
1797,21,17,40.62,MEDIUM,768,960,816,1008,48,48, 510,0.49,0.20,0.3935
1798,21,18,25.65,MEDIUM,816,960,864,1008,48,48, 153,0.49,0.20,0.1543
1801,21,21,13.41,MEDIUM,960,960,1008,1008,48,48, 134,0.49,0.20,0.0455
1802,21,22,21.70,MEDIUM,1008,960,1056,1008,48,48, 154,0.49,0.20,0.1157
