Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6000x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6000x3240
Scaled Tile Size: 48x48
Total Mask: 84.51%, Total Tissue: 15.49%
Tiles: 125x68 = 8500
   494 ( 5.81%) tiles >=80% tissue
  1550 (18.24%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
447,4,72,45.14,MEDIUM,3408,144,3456,192,48,48,  17,1.00,0.20,0.2309
536,5,36,26.52,MEDIUM,1680,192,1728,240,48,48, 106,1.00,0.20,0.1790
537,5,37,22.48,MEDIUM,1728,192,1776,240,48,48,  27,1.00,0.20,0.0856
538,5,38,43.27,MEDIUM,1776,192,1824,240,48,48,  14,1.00,0.20,0.2020
574,5,74,18.14,MEDIUM,3504,192,3552,240,48,48,  11,1.00,0.20,0.0371
662,6,37,16.93,MEDIUM,1728,240,1776,288,48,48,  47,1.00,0.20,0.0631
663,6,38,31.77,MEDIUM,1776,240,1824,288,48,48,  14,1.00,0.20,0.1203
698,6,73,29.30,MEDIUM,3456,240,3504,288,48,48,   6,1.00,0.20,0.0611
699,6,74,25.48,MEDIUM,3504,240,3552,288,48,48,   7,1.00,0.20,0.0541
902,8,27,13.89,MEDIUM,1248,336,1296,384,48,48,   0,1.00,0.20,0.0000
920,8,45,36.94,MEDIUM,2112,336,2160,384,48,48,  10,1.00,0.20,0.1309
1026,9,26,16.58,MEDIUM,1200,384,1248,432,48,48,   0,1.00,0.20,0.0000
1027,9,27,14.06,MEDIUM,1248,384,1296,432,48,48,   0,1.00,0.20,0.0000
1035,9,35,14.67,MEDIUM,1632,384,1680,432,48,48, 152,1.00,0.20,0.0691
1036,9,36,14.50,MEDIUM,1680,384,1728,432,48,48, 262,1.00,0.20,0.0772
1037,9,37,22.96,MEDIUM,1728,384,1776,432,48,48,  87,1.00,0.20,0.1333
1045,9,45,33.07,MEDIUM,2112,384,2160,432,48,48,  15,1.00,0.20,0.1315
1046,9,46,50.78,MEDIUM,2160,384,2208,432,48,48,   8,1.00,0.20,0.1930
1047,9,47,27.82,MEDIUM,2208,384,2256,432,48,48,   3,1.00,0.20,0.0345
1049,9,49,25.91,MEDIUM,2304,384,2352,432,48,48, 176,1.00,0.20,0.1942
1150,10,25,29.69,MEDIUM,1152,432,1200,480,48,48,  41,1.00,0.20,0.1631
1163,10,38,14.76,MEDIUM,1776,432,1824,480,48,48,  61,1.00,0.20,0.0532
1171,10,46,44.49,MEDIUM,2160,432,2208,480,48,48,  25,1.00,0.20,0.2627
