Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x3200
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2432x3200
Scaled Tile Size: 48x48
Total Mask: 69.64%, Total Tissue: 30.36%
Tiles: 51x67 = 3417
   861 (25.20%) tiles >=80% tissue
   415 (12.15%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
86,2,35,30.38,MEDIUM,1632,48,1680,96,48,48, 357,1.00,0.20,0.2833
87,2,36,36.33,MEDIUM,1680,48,1728,96,48,48, 116,1.00,0.20,0.2961
134,3,32,19.14,MEDIUM,1488,96,1536,144,48,48,  18,1.00,0.20,0.0535
135,3,33,69.84,MEDIUM,1536,96,1584,144,48,48,   3,1.00,0.20,0.1726
136,3,34,80.69,HIGH,1584,96,1632,144,48,48, 333,1.00,1.00,0.7910
137,3,35,97.14,HIGH,1632,96,1680,144,48,48, 216,1.00,1.00,0.8354
138,3,36,99.13,HIGH,1680,96,1728,144,48,48,  20,1.00,1.00,0.7481
139,3,37,37.46,MEDIUM,1728,96,1776,144,48,48,  42,1.00,0.20,0.2389
184,4,31,20.66,MEDIUM,1440,144,1488,192,48,48,   0,1.00,0.20,0.0000
185,4,32,78.65,MEDIUM,1488,144,1536,192,48,48,   0,1.00,0.20,0.0000
186,4,33,97.79,HIGH,1536,144,1584,192,48,48,   0,0.49,1.00,0.0000
187,4,34,98.00,HIGH,1584,144,1632,192,48,48,   2,0.49,1.00,0.3809
188,4,35,98.83,HIGH,1632,144,1680,192,48,48,  29,0.49,1.00,0.7278
189,4,36,98.91,HIGH,1680,144,1728,192,48,48,  58,0.49,1.00,0.7678
190,4,37,34.46,MEDIUM,1728,144,1776,192,48,48, 169,1.00,0.20,0.2965
235,5,31,52.56,MEDIUM,1440,192,1488,240,48,48, 868,1.00,0.20,0.5878
236,5,32,89.06,HIGH,1488,192,1536,240,48,48, 160,1.00,1.00,0.8012
237,5,33,92.27,HIGH,1536,192,1584,240,48,48,  17,1.00,1.00,0.7095
238,5,34,95.53,HIGH,1584,192,1632,240,48,48,  17,1.00,1.00,0.7247
239,5,35,92.49,HIGH,1632,192,1680,240,48,48,  45,1.00,1.00,0.7660
240,5,36,94.05,HIGH,1680,192,1728,240,48,48,  16,1.00,1.00,0.7156
